Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,309.13,27468788,37402.9754,19.6723,11.6126,11.6126,7.7562,187.1003,161.3229,2.3498,9.5997,3.6479,15.7137,0.35,0.6679,90.4003,80543.3122,1459.109,4.3463,50.2809,3.3203,1.1801,1.6721,988.6403,879.76,437.486,1.5304,0.0994,0.3211,9.684,84.7419,316.75,309.13,316.75,307.0,393128.0,-48.84664673216576,14.610000000000017,0.6600971460038536,42.93998974210329,0.4429187703333549,-4.83515541296299,7.6385241585702595,0.14980838791914708,-0.3957836979978655,32390.667596884683,0.6428571428571429,-8.706063928816685e-06,0.07804404383151133,305.3773333333333,317.81333333333333,292.9413333333333
2/28/2007,267.63,10980926,37402.9754,17.0313,11.6126,11.6126,7.7562,187.1003,161.3229,2.3498,9.5997,3.6479,15.7137,0.35,0.6679,90.4003,70798.3037,1459.109,4.3463,43.5307,3.3203,1.3631,1.9314,988.6403,879.76,437.486,1.5304,0.1145,0.3211,8.384,73.3655,285.0,267.63,289.75,258.0,1062798.0,-84.61661341853036,-45.850000000000016,0.2952587505062347,-149.49767678842355,0.3099456038852593,4.936632662480065,-4.19110764643797,-0.08531358764533031,1.0452836890916717,-146765.36433927392,0.35714285714285715,-0.0001164191831658566,-0.10114866669998188,297.42833333333334,316.4638333333333,278.39283333333333
3/30/2007,305.63,23723440,73385.5185,10.6919,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,81727.7793,4283.076,1.9477,16.9911,5.2407,4.2497,5.3047,3339.0333,3100.6,240.11599999999999,0.9407,0.1276,0.1431,5.8148,23.5315,307.48,305.63,313.98,277.5,890452.0,-35.23316062176165,24.699999999999992,0.5167172017077953,46.22171036442544,0.19228362460562207,-3.5547058490979,2.2242275158571982,0.0547163593810659,0.7788044141081171,307879.7691851001,0.5714285714285714,1.880210051185869e-05,0.11964703654636565,289.27249999999987,309.05800000000016,269.4869999999999
4/30/2007,329.77,24175040,73385.5185,11.5368,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,87559.9625,4283.076,1.9477,18.3337,5.2407,3.9385,4.9163,3339.0333,3100.6,240.11599999999999,0.9407,0.1182,0.1431,6.2743,25.3902,320.0,329.77,336.95,315.57,804478.0,-45.053571428571466,21.21999999999997,0.3479442206246051,28.14737364017524,0.23561683473266395,-9.026869729234363,15.573191149694773,0.2086638021457093,-2.930577225111917,56932.020363819465,0.5714285714285714,-5.109518968336546e-05,0.17462481376183006,321.21466666666663,335.7841666666667,306.6451666666668
5/31/2007,351.8,21543988,73385.5185,12.3073,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,93201.7027,4283.076,1.9477,19.5582,5.2407,3.6919,4.6085,3339.0333,3100.6,240.11599999999999,0.9407,0.1104,0.1431,6.6933,27.0863,340.0,351.8,363.9,340.0,2749606.0,-23.56377799415769,32.28000000000004,0.5391501440869563,114.73380422191194,0.2176946407745758,-7.435678678095883,7.584507330962943,0.17132194379291665,-0.39133677730153066,-204516.290743483,0.6428571428571429,5.423331550607095e-06,0.08856176048265461,331.7878333333332,348.3133333333335,315.26233333333334
6/29/2007,328.55,15293638,73385.5185,11.4939,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,87886.6554,4283.076,1.9477,18.2656,5.2407,3.9532,4.9346,3339.0333,3100.6,240.11599999999999,0.9407,0.1178,0.1431,6.251,25.2962,325.0,328.55,334.0,324.0,725974.0,-28.606557377049164,-13.769999999999984,0.2884702287755533,-53.152667313799064,0.4887203878929896,2.623583732940517,-1.2095985537610596,-0.07229587199054728,0.4466650778345928,-2301.8059637556,0.5,-0.0004339270400462203,-0.06947756673205209,336.7899999999998,354.83200000000016,318.7480000000001
7/31/2007,343.75,11043800,73385.5185,12.0257,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,91570.538,4283.076,1.9477,19.1107,5.2407,3.7784,4.7164,3339.0333,3100.6,240.11599999999999,0.9407,0.1125,0.1431,6.5402,26.4665,341.5,343.75,352.0,341.0,117814.0,-70.04310344827583,3.2699999999999823,0.4603982252815974,-0.5637934924656822,0.2116592168096848,-2.03485501304624,3.798150571665333,0.06415718468177573,-1.1642840371289087,80.58822387190594,0.5714285714285714,-2.0447757763192335e-05,0.06653108227227017,345.64899999999983,356.46300000000025,334.83499999999987
8/31/2007,343.88,8573566,73385.5185,12.03,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,92198.6592,4283.076,1.9477,19.1176,5.2407,3.7769999999999997,4.7147,3339.0333,3100.6,240.11599999999999,0.9407,0.1117,0.1431,6.5425,26.4765,334.98,343.88,347.45,334.0,460776.0,-6.329787234042544,27.829999999999984,0.442434206326092,112.99382437529863,0.3142509937087993,0.4574515207710306,-6.102550919256212,-0.01617640196893508,5.656001275136707,58933.537515304684,0.5714285714285714,-7.290961506647929e-05,-0.048298553909501316,322.65,335.62400000000036,309.6760000000001
9/28/2007,422.45,11688080,73385.5185,14.7789,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,111377.8194,4283.076,1.9477,23.4859,5.2407,3.0745,3.8378,3339.0333,3100.6,240.11599999999999,0.9407,0.0909,0.1431,8.0375,32.5259,416.0,422.45,436.0,415.0,1054986.0,-19.11142454160792,55.09999999999997,0.8298208801465173,165.44377048661366,0.4042059796973492,-17.97504054780046,21.017050735013626,0.3720342464277129,-4.256327737728835,-12890.303915966253,0.7857142857142857,0.00010717435186248656,0.29246725643963883,381.0843333333333,401.0578333333336,361.11083333333335
10/31/2007,491.7,20317667,73385.5185,17.2015,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,128352.9601,4283.076,1.9477,27.3359,5.2407,2.6415,3.2973,3339.0333,3100.6,240.11599999999999,0.9407,0.0781,0.1431,9.3551,37.8577,518.0,491.7,538.3,484.0,2771268.0,-36.33528265107211,41.39999999999998,0.6828332327149254,159.21510311738496,0.26119136441968843,-18.58510123203564,20.4221939328869,0.2430411303403063,8.188304993681218,-579396.5986472531,0.6428571428571429,6.331760296711152e-05,0.2211070648087367,441.8908333333329,480.7858333333335,402.9958333333333
