Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,165.77,3633022,29241.1029,11.4194,2.3305,2.3305,3.352,132.4611,69.3973,1.2389,49.637,1.68,14.5163,0.8327,1.4383,50.363,51974.8172,1571.899,2.032,30.756999999999998,4.7927,1.0135,2.4722,789.2368,489.977,891.852,0.6596,0.1259,0.3676,2.2996,98.6726,166.37,165.77,171.86,165.07,183431.0,-62.2807017543859,-3.9399999999999977,0.452327528017787,-44.80099245854733,0.247598422193978,2.5543783510385083,-4.212063449451648,-0.1593185954120692,0.178253960135499,-24977.62364776897,0.42857142857142855,-9.506892449872111e-05,-0.10133579827198896,171.18649999999997,178.7685,163.60450000000006
2/28/2007,162.67,10596311,29241.1029,11.206,2.3305,2.3305,3.352,132.4611,69.3973,1.2389,49.637,1.68,14.5163,0.8327,1.4383,50.363,51070.0769,1571.899,2.032,30.1823,4.7927,1.0328,2.5193,789.2368,489.977,891.852,0.6596,0.1283,0.3676,2.2566,96.8274,160.07,162.67,164.72,150.38,155313.0,-68.46292019502182,-13.790000000000019,0.22456658271787536,-138.36229436121226,0.31251945147729115,1.695077567431241,0.556065716894472,-0.07637881076724283,-0.2797545220050616,31085.15391663391,0.2857142857142857,-9.830161626881936e-05,0.015119546677362537,173.69983333333332,183.2023333333333,164.19733333333338
3/30/2007,161.22,2600633,47090.2641,9.9617,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,56127.6112,1385.3770000000006,6.2968,33.9909,2.4683,1.2504,2.0521,822.7386,588.808,291.8520000000001,0.4199,0.2041,0.0684,1.9794,79.9742,158.12,161.22,162.87,155.88,35201.0,-37.355491329479776,12.590000000000005,0.38025251499869295,25.17124337237029,0.2864215516502273,0.9739163308206856,-3.9080150725620317,-0.04456322893014388,-0.3670866463802214,-4168.70241634832,0.5,-0.00014888083095588483,-0.0056086332779656176,157.356,167.801,146.911
4/30/2007,156.77,3431940,47090.2641,9.6869,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,54828.8711,1385.3770000000006,6.2968,33.0535,2.4683,1.2858,2.1103,822.7386,588.808,291.8520000000001,0.4199,0.2099,0.0684,1.9248,77.7668,155.43,156.77,162.27,155.43,133421.0,-96.90245030050856,1.840000000000004,0.46820609215390796,-40.153185125317705,0.19979946060131626,-0.2870634039707625,7.783964962718272,0.01127938839092358,-1.930476856307897,-10691.766016965323,0.5,-2.5835263629824272e-05,0.1007254050366451,164.4968333333333,174.69733333333335,154.29633333333334
5/31/2007,184.8,3836024,47090.2641,11.4187,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,63015.3117,1385.3770000000006,6.2968,38.9627,2.4683,1.0908,1.7902,822.7386,588.808,291.8520000000001,0.4199,0.1781,0.0684,2.269,91.6712,183.75,184.8,187.85,183.75,118275.0,-24.02088772845951,31.07000000000001,0.8832626205820532,126.55525101625904,0.4921352897796703,-5.80327206486692,6.187642153649727,0.1993720821031128,1.2688670366668393,-49590.24706096807,0.6428571428571429,8.991248976266657e-05,0.15783758943904858,162.47250000000003,170.653,154.2920000000001
6/29/2007,204.24,7557733,47090.2641,12.6195,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,68691.8276,1385.3770000000006,6.2968,43.0601,2.4683,0.987,1.6199,822.7386,588.808,291.8520000000001,0.4199,0.1611,0.0684,2.5076,101.3145,205.69,204.24,207.53,196.84,574770.0,-28.616290480863565,27.78,0.6560579818517264,81.51905058067085,0.4262873625815367,-9.338034480503296,18.916352044722657,0.3027511216330169,-2.2885697106753797,-51058.970037813226,0.6428571428571429,2.0188882127467525e-05,0.2038358557831453,186.69166666666663,196.72416666666672,176.65916666666672
7/31/2007,200.29,3055653,47090.2641,12.3757,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,67539.0133,1385.3770000000006,6.2968,42.228,2.4683,1.0065,1.6518,822.7386,588.808,291.8520000000001,0.4199,0.1643,0.0684,2.4591,99.3551,206.53,200.29,208.83,195.84,164907.0,-57.795126567305424,-9.590000000000003,0.4976503827456234,-26.378374008199273,0.2673847646825174,-0.3689470008962985,4.98582194983844,0.014587449375358769,-1.1549255672937777,1967.5329442420843,0.35714285714285715,-0.00014557034341103987,-0.02608881216218267,204.8581666666666,215.56316666666675,194.1531666666667
8/31/2007,183.2,1848963,47090.2641,11.3199,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,62548.349,1385.3770000000006,6.2968,38.6256,2.4683,1.1003,1.8058,822.7386,588.808,291.8520000000001,0.4199,0.1796,0.0684,2.2493,90.8775,175.06,183.2,186.4,175.06,82829.0,-27.587192681532326,-2.6000000000000227,0.5040782945274179,-6.26555373906196,0.261299597601197,5.3310266306994265,-16.17166460195421,-0.18740556799217115,-2.021343103155653,19376.093506967125,0.5,-5.377917585319574e-05,-0.1984196344253437,182.69549999999992,192.9830000000001,172.40800000000004
9/28/2007,173.16,2624200,47090.2641,10.6994,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,59615.2868,1385.3770000000006,6.2968,36.5084,2.4683,1.1642,1.9106,822.7386,588.808,291.8520000000001,0.4199,0.19,0.0684,2.126,85.8971,174.86,173.16,175.86,171.21,73700.0,-78.88007054673727,-6.050000000000013,0.6089094558359758,-81.2528965056266,0.2575404034310569,2.286851145589594,-5.697264412670586,-0.1044969914636429,-0.9661189695342242,10744.683246718241,0.35714285714285715,-3.164948139670309e-05,-0.045346821214532484,178.1451666666666,186.38866666666686,169.90166666666667
10/31/2007,210.28,4705609,47090.2641,12.9931,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,70457.5882,1385.3770000000006,6.2968,44.3346,2.4683,0.9587,1.5733,822.7386,588.808,291.8520000000001,0.4199,0.1565,0.0684,2.5818,104.3107,219.22,210.28,223.37,206.83,437265.0,-20.61417322834646,45.41,0.9331979912223362,185.11488005062654,0.5962765897198775,-6.389848770031534,3.184342178077185,0.21091028070550505,2.5483259718781754,-4386.134364761457,0.7142857142857143,7.333809428917697e-05,0.143402584155546,174.5438333333333,185.9223333333336,163.16533333333334
