Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,162.13,39364296,163225.1819,6.7583,15.1079,15.1079,16.4029,1.8968,-56.7076,3.2567,74.7245,5.3724,23.9891,4.0,1.0857,25.2755,193209.74899999998,10527.4,-1.6778,19.7983,7.2267,3.3138,3.8442,7413.7824,6906.7,646.9,2.8448,0.0028,1.926,4.5591,30.1783,164.0,162.13,165.25,161.5,801708,-23.77864245568526,12.120000000000005,0.5935102890816886,42.01251099737641,0.28915979517783946,-2.7965666403211737,5.466106049441837,0.1872373848275568,61.15356442940254,-217262.98421876348,0.5714285714285714,3.1620742120089906e-06,0.08861713578596984,159.27199999999996,163.81249999999997,154.73150000000004
2/28/2007,150.21,43707696,163225.1819,6.2617,15.1079,15.1079,16.4029,1.8968,-56.7076,3.2567,74.7245,5.3724,23.9891,4.0,1.0857,25.2755,177852.6321,10527.4,-1.6778,18.3435,7.2267,3.5766,4.149,7413.7824,6906.7,646.9,2.8448,0.003,1.926,4.2241,27.9596,163.75,150.21,168.13,144.51,4861820,-83.32845861362965,-16.840000000000003,0.18812264304647908,-155.27018331912433,0.3094706176664513,-0.5905590865947374,5.722450995888853,0.04240510701453886,3.1421113182411275,-909026.22002118,0.35714285714285715,-7.298708305792599e-06,0.030655688732818095,165.6908333333334,172.84283333333332,158.53883333333332
3/30/2007,145.7,78618630,163225.1819,6.0736,15.1079,15.1079,16.4029,1.8968,-56.7076,3.2567,74.7245,5.3724,23.9891,4.0,1.0857,25.2755,172122.6259,10527.4,-1.6778,17.7925,7.2267,3.6873,4.2775,7413.7824,6906.7,646.9,2.8448,0.0031,1.926,4.0972,27.1201,150.2,145.7,151.4,142.0,1459818,-81.30630630630641,-10.460000000000008,0.21284084995285926,-94.51596483764985,0.5937692083677101,3.737681112482875,-9.061092663140556,-0.1777217909542015,-1.0842015517000396,356505.47130253,0.2857142857142857,-2.8166738275166364e-06,-0.11815491749967495,152.87116666666668,160.27016666666663,145.47216666666662
4/30/2007,167.13,51710022,163225.1819,6.9667,15.1079,15.1079,16.4029,1.8968,-56.7076,3.2567,74.7245,5.3724,23.9891,4.0,1.0857,25.2755,204284.178,10527.4,-1.6778,20.4089,7.2267,3.2146,3.7292,7413.7824,6906.7,646.9,2.8448,0.0027,1.926,4.6997,31.109,163.0,167.13,167.53,155.0,2256178,-12.18130311614732,22.28,0.43497520067472667,60.354477857912684,0.23563756559404725,-3.9597625136946415,7.484570041889013,0.15832261576647466,3.2048243342570917,241755.2732022256,0.5,2.885248609424122e-06,0.1886459751446864,153.65,161.6304999999999,145.6695
5/31/2007,172.13,44301566,163225.1819,7.1751,15.1079,15.1079,16.4029,1.8968,-56.7076,3.2567,74.7245,5.3724,23.9891,4.0,1.0857,25.2755,210921.0091,10527.4,-1.6778,21.0194,7.2267,3.1212,3.6208,7413.7824,6906.7,646.9,2.8448,0.0026,1.926,4.8403,32.0397,173.5,172.13,174.55,170.25,2591784,-37.665615141955854,6.75,0.5801985527430183,55.216223945063064,0.16204062420697016,-3.1073520758104682,12.048164334416409,0.15786356275457394,-0.4396227972938278,-360920.15936134756,0.6428571428571429,1.5445610957482746e-06,0.08685576667725309,169.16666666666669,176.07566666666656,162.25766666666667
6/29/2007,171.98,30669802,228273.8077,5.6125,21.72300000000001,21.72300000000001,27.9972,1.8821,-24.4318,2.5045,39.8343,10.1,30.6414,4.0,1.2888,60.1657,218462.2041,13608.1,-0.7332,16.4954,6.229,5.8729999999999976,4.3701,9094.6008,13183.1,1327.4,1.8306,0.0034,0.9042,3.6988,17.0277,167.5,171.98,175.1,165.53,2049250,-22.941176470588285,-0.6700000000000159,0.7408708225542601,29.45152609309029,0.2805428874577866,0.4222227275708974,-1.6213471071194163,-0.03292208976664245,-2.6987315478443157,439310.9956322481,0.42857142857142855,-4.693357892424042e-06,-0.03875386202882272,169.5718333333334,176.49333333333328,162.65033333333332
7/31/2007,156.73,28074628,228273.8077,5.1148,21.72300000000001,21.72300000000001,27.9972,1.8821,-24.4318,2.5045,39.8343,10.1,30.6414,4.0,1.2888,60.1657,198219.8694,13608.1,-0.7332,15.0327,6.229,6.4444,4.7953,9094.6008,13183.1,1327.4,1.8306,0.0037,0.9042,3.3708,15.5178,160.0,156.73,160.2,153.55,1539204,-77.82178217821786,-12.120000000000005,0.5898864582816391,-98.85470944600868,0.17776590794351574,2.9685289429632182,-5.5060615629984415,-0.18148972121848264,-0.8804927725374166,-45940.38025052554,0.21428571428571427,-3.896444533786239e-06,-0.08160539369863005,164.11583333333334,170.37583333333333,157.85583333333332
8/31/2007,152.4,33215886,228273.8077,4.9737,21.72300000000001,21.72300000000001,27.9972,1.8821,-24.4318,2.5045,39.8343,10.1,30.6414,4.0,1.2888,60.1657,192488.6472,13608.1,-0.7332,14.6178,6.229,6.6273,4.9314,9094.6008,13183.1,1327.4,1.8306,0.0038,0.9042,3.2778,15.0891,150.5,152.4,153.1,150.0,811678,-42.32111692844673,-6.949999999999987,0.5603215829997521,18.085086387955844,0.15623344575280218,3.290793924899333,-9.605783068448831,-0.14966196914733587,-1.4216003417809011,264764.52935670404,0.5,-7.570515966347777e-06,-0.0907027139445423,150.12699999999995,158.34499999999997,141.9089999999999
9/28/2007,150.28,37307542,228273.8077,4.9043,21.72300000000001,21.72300000000001,27.9972,1.8821,-24.4318,2.5045,39.8343,10.1,30.6414,4.0,1.2888,60.1657,189667.9513,13608.1,-0.7332,14.414000000000001,6.229,6.721,5.0011,9094.6008,13183.1,1327.4,1.8306,0.0039,0.9042,3.2321,14.8792,155.0,150.28,156.25,148.5,2566944,-28.334124347413386,3.300000000000012,0.7163395400027014,52.492141814473065,0.3067015062915745,1.1352331358004335,-6.288408763020612,-0.060939453278146476,-0.21434165098703634,-163971.25364314966,0.5,-2.6667649836820443e-07,-0.07238732001810272,146.25533333333334,151.43733333333338,141.07333333333332
10/31/2007,157.53,51035524,228273.8077,5.1409,21.72300000000001,21.72300000000001,27.9972,1.8821,-24.4318,2.5045,39.8343,10.1,30.6414,4.0,1.2888,60.1657,199310.7214,13608.1,-0.7332,15.1094,6.229,6.4117,4.771,9094.6008,13183.1,1327.4,1.8306,0.0037,0.9042,3.388,15.597,156.07,157.53,159.2,152.07,1666892,-6.5257595772787305,1.2299999999999898,0.3267438132953987,48.245464919519776,0.4521531244315452,-1.3175019683694416,3.7535306999373006,0.07742531789908984,-0.6484008588944368,331986.0056254497,0.5,-2.0716623077340854e-05,0.04850859115613718,153.53933333333333,162.23683333333338,144.84183333333334
