Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,75.42,20084565,14638.0127,9.5831,7.3092,7.3092,5.5708,222.0945,147.3927,2.4928,17.0563,2.1107,7.8699,0.36,0.7622,82.9437,28852.6396,1875.382,2.5144,11.7332,9.2549,2.7986,7.308,1557.6870000000001,615.8188,1494.4242,1.4039,0.3059,0.7368,2.6117,35.7322,77.38,75.42,77.76,74.16,12337520.0,-44.32160804020096,3.3799999999999955,0.3895165994026583,46.409855104562645,0.2303032864752893,-1.6926214938967237,8.798102425913862,0.28711894220705275,78.11869852841903,-1208775.3771721802,0.5714285714285714,-1.0254051817530395e-05,0.08327325875097426,74.41250000000002,77.62599999999998,71.199
2/28/2007,77.95,18305705,14638.0127,9.9048,7.3092,7.3092,5.5708,222.0945,147.3927,2.4928,17.0563,2.1107,7.8699,0.36,0.7622,82.9437,29632.4198,1875.382,2.5144,12.1271,9.2549,2.7077,7.0707,1557.6870000000001,615.8188,1494.4242,1.4039,0.29600000000000004,0.7368,2.6994,36.9309,84.02,77.95,84.4,75.67,3098550.0,-79.64458804523427,-1.0,0.4274723145554545,-30.34469959529516,0.2084552563968151,-1.9139883534598847,11.4531488750455,0.2261881631911077,18.6513057632878,-432404.02715901326,0.6428571428571429,-2.023828574776934e-06,0.14017063300710986,80.60750000000004,85.17099999999995,76.04400000000003
3/30/2007,79.75,20872580,25852.5587,7.7637,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,2.7182,10.2723,0.4,0.8831,83.3661,33831.202000000005,1808.0939,4.5794,12.9245,5.148,3.4084,6.2949,1185.7604,832.5292,1502.8303,0.4556,0.3538,0.0467,1.6786,29.3393,80.41,79.75,80.6,78.52,54975.0,-23.74670184696567,1.3400000000000034,0.4925483609485065,40.756880155240324,0.14193088007396745,0.02415432638410664,-2.1071677646926714,-0.004595346042740756,-0.4628415082108848,230.41924897802528,0.5714285714285714,5.554427380856517e-06,-0.03458721673080848,78.83983333333336,82.1523333333333,75.52733333333337
4/30/2007,82.23,2607630,25852.5587,8.0047,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,2.7182,10.2723,0.4,0.8831,83.3661,34593.459,1808.0939,4.5794,13.3256,5.148,3.3058,6.1054,1185.7604,832.5292,1502.8303,0.4556,0.3431,0.0467,1.7307,30.2516,77.95,82.23,85.35,77.95,261380.0,-39.64843749999999,6.030000000000001,0.8158560475437002,105.28370272778044,0.4705989574225545,-0.6555678822447817,1.4403846793260269,0.08184156548001198,22.433927177844573,3877.777876847953,0.5714285714285714,3.15630067307472e-05,0.04073817207425106,79.07650000000005,82.23549999999997,75.9175
5/31/2007,89.44,18231115,25852.5587,8.7072,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,2.7182,10.2723,0.4,0.8831,83.3661,38263.7904,1808.0939,4.5794,14.4951,5.148,3.0391,5.6128,1185.7604,832.5292,1502.8303,0.4556,0.2997,0.0467,1.8826,32.9041,90.13,89.44,91.23,88.2,98380.0,-39.72712680577853,6.299999999999998,0.7265820180849438,119.73344694621599,0.2809307649946268,-2.080450070137843,9.55273203938608,0.2650449128523992,-1.7152986436943871,55120.788242470066,0.42857142857142855,-1.4279809454937134e-06,0.11592264312761348,85.40300000000005,89.13749999999996,81.66850000000002
6/29/2007,91.16,11408815,25852.5587,8.8743,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,2.7182,10.2723,0.4,0.8831,83.3661,39643.8308,1808.0939,4.5794,14.7733,5.148,2.9818,5.5071,1185.7604,832.5292,1502.8303,0.4556,0.2861,0.0467,1.9187,33.5369,88.96,91.16,93.69,88.21,314180.0,-47.027027027027046,1.259999999999991,0.4651475958419916,28.32523332063561,0.14183426388925935,-1.2130867763080886,6.583089427807102,0.1267908859432361,-1.0697546774750917,20417.441480328707,0.5714285714285714,-2.9520752256260542e-06,0.05511495201448095,90.30683333333336,93.89133333333334,86.72233333333334
7/31/2007,100.24,10902000,25852.5587,9.7587,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,2.7182,10.2723,0.4,0.8831,83.3661,43773.3303,1808.0939,4.5794,16.2455,5.148,2.7116,5.008,1185.7604,832.5292,1502.8303,0.4556,0.2518,0.0467,2.1099,36.8773,98.24,100.24,101.44,98.24,85775.0,-17.909535452322782,7.030000000000001,0.4771774782323202,100.48690322228872,0.28279203432079075,-2.509477255574509,9.26448865992123,0.28849282473524845,-1.6214625822866575,-49853.084791282236,0.6428571428571429,-1.759027650469516e-06,0.12928036707609938,95.74216666666668,100.1066666666667,91.37766666666668
8/31/2007,89.15,8566720,25852.5587,8.6786,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,2.7182,10.2723,0.4,0.8831,83.3661,40274.6977,1808.0939,4.5794,14.4475,5.148,3.0491,5.6313,1185.7604,832.5292,1502.8303,0.4556,0.2803,0.0467,1.8764,32.7974,85.35,89.15,90.28,85.35,537635.0,-60.35205364626986,-4.809999999999988,0.4393044576218396,-50.64286380992029,0.31382601467981885,2.2659462883148933,-8.506409446133894,-0.16400195375732346,-5.254857378777387,45727.53610773937,0.2857142857142857,4.330926612606743e-06,-0.16824847749813002,91.91783333333339,96.83533333333335,87.00033333333337
9/28/2007,103.52,23103800,25852.5587,10.0772,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,2.7182,10.2723,0.4,0.8831,83.3661,45425.5639,1808.0939,4.5794,16.7757,5.148,2.6259,4.8498,1185.7604,832.5292,1502.8303,0.4556,0.2403,0.0467,2.1788,38.084,106.54,103.52,106.59,101.47,195830.0,-17.18502899314711,12.519999999999996,0.7782947570420967,120.41807405157878,0.43519694331104414,-2.839163198305912,6.149455861453936,0.2004288827306633,-0.8686912648323737,-42114.50447848186,0.6428571428571429,3.552683273328583e-06,0.158110847432561,94.70350000000003,99.10600000000002,90.30100000000002
10/31/2007,110.02,13654860,25852.5587,10.7104,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,2.7182,10.2723,0.4,0.8831,83.3661,47697.7332,1808.0939,4.5794,17.8299,5.148,2.4706,4.563,1185.7604,832.5292,1502.8303,0.4556,0.2261,0.0467,2.3157,40.4753,110.0,110.02,111.13,108.48,1318055.0,-15.812807881773438,8.420000000000002,0.6941897180795876,108.40359086061555,0.3707799255684301,-2.8980637524594504,9.010130916749867,0.20516263860686146,-3.760685238382128,319645.0243394373,0.5714285714285714,1.8782117561103849e-06,0.07631837462790393,103.09216666666671,109.30966666666674,96.87466666666671
