Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,353.11,55988838,334218.3797,8.8571,8.0228,8.0228,8.8918,71.0124,39.5126,1.4969,24.2292,10.9981,39.8674,2.4444,1.1083,75.7708,466447.3273,16290.5,1.2215,25.9607,4.5865,2.9497,3.2762,10787.0202,13172.1,274.8,0.8285,0.0803,0.1913,2.5759,32.1065,358.27,353.11,362.01,347.78,3272985.0,-23.88413190016397,35.120000000000005,0.7034038827870599,84.85858789134586,0.3962839520526864,-9.847361275401058,9.719920532693736,0.2896074847113721,-0.5462766456040139,-421443.60314172896,0.5714285714285714,7.045237044255458e-06,0.14378854941869798,336.4193333333332,347.57783333333344,325.26083333333355
2/28/2007,331.08,89401698,334218.3797,8.3045,8.0228,8.0228,8.8918,71.0124,39.5126,1.4969,24.2292,10.9981,39.8674,2.4444,1.1083,75.7708,438751.5577,16290.5,1.2215,24.3408,4.5865,3.1460000000000004,3.4942,10787.0202,13172.1,274.8,0.8285,0.0856,0.1913,2.4151,30.1034,340.0,331.08,346.33,314.44,9469260.0,-79.37275319201687,-56.11000000000002,0.19696442039537349,-174.87135842897774,0.3554055792273796,-0.6921950809651776,8.605036657211533,0.02276140266147681,-0.8262368871677982,165123.40337311313,0.2857142857142857,-1.0248697601065453e-05,0.03699414053303638,366.7486666666665,382.50316666666697,350.9941666666668
3/30/2007,360.02,92331482,458926.9388,6.6304,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,493710.7306,24976.1,1.3147,18.1214,5.0131,4.9495,4.7564,16680.1333,22401.4,566.5,0.7755,0.1436,0.2679,2.2243,20.204,361.11,360.02,365.53,355.56,4126365.0,-10.173559822747405,30.219999999999967,0.5873138583780487,111.50789109947027,0.2190204685204353,-2.8156723222937217,-3.755395496448197,0.04684777118066492,-0.6759531027841372,-312423.3269444184,0.7142857142857143,1.007205557237543e-06,0.03658437898489375,336.2374999999998,351.77650000000017,320.69850000000014
4/30/2007,377.42,67325697,458926.9388,6.9509,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,517718.0954,24976.1,1.3147,18.9972,5.0131,4.7213,4.5371,16680.1333,22401.4,566.5,0.7755,0.1364,0.2679,2.3318,21.1805,370.22,377.42,379.53,365.33,2602269.0,-15.28711846870143,26.06,0.4202331611491944,56.99062424609574,0.2273782201682285,-8.641450678572028,11.428842557025256,0.21094687068808696,-2.497152009027229,209715.87984307657,0.42857142857142855,2.1584255726554574e-06,0.14364695565937344,362.2065,372.8820000000002,351.5310000000003
5/31/2007,446.64,81619628,458926.9388,8.2257,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,608276.7264,24976.1,1.3147,22.4814,5.0131,3.9896,3.8339,16680.1333,22401.4,566.5,0.7755,0.1147,0.2679,2.7595,25.0651,444.44,446.64,457.78,436.41,9485595.0,-12.60180995475112,71.52999999999997,0.8608785876489685,203.4549070405673,0.3951338437686665,-14.760408902799046,10.067161158537019,0.4065830663741401,-0.4722863514573498,1448078.8199896156,0.7142857142857143,1.3036541137507935e-05,0.14371734898512964,388.0226666666665,401.814666666667,374.2306666666669
6/29/2007,488.44,104364779,458926.9388,8.9955,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,661590.8493,24976.1,1.3147,24.5854,5.0131,3.6482,3.5058,16680.1333,22401.4,566.5,0.7755,0.1048,0.2679,3.0177,27.4109,480.67,488.44,491.13,480.0,4217364.0,-3.4575835475578374,68.07,0.8489714060893777,113.39106830634995,0.554488505042565,-21.47774407378273,18.383514932172826,0.4511843489009436,5.00908628931414,318742.5469224057,0.7857142857142857,1.0627163943910236e-05,0.2170271764956608,446.2243333333332,459.9913333333336,432.45733333333374
7/31/2007,579.51,146047113,458926.9388,10.6727,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,779885.3799,24976.1,1.3147,29.1691,5.0131,3.0749,2.9549,16680.1333,22401.4,566.5,0.7755,0.0881,0.2679,3.5804,32.5217,546.89,579.51,584.67,544.67,10778351.0,-28.991898266844412,50.30999999999993,0.5999949839508936,80.32684559986649,0.34647121538921305,-24.307564183682192,23.166380070105127,0.354027692591844,-5.585721007490378,2706178.0310270805,0.5,1.179798434636552e-05,0.239179105908503,542.4934999999998,563.8690000000004,521.1180000000006
8/31/2007,573.96,124797290,458926.9388,10.5703,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,778951.1991,24976.1,1.3147,28.8895,5.0131,3.1046,2.9835,16680.1333,22401.4,566.5,0.7755,0.0882,0.2679,3.5461,32.2102,576.89,573.96,579.98,572.22,2885445.0,-12.110006933210087,34.25,0.6091108984130306,110.27129250418982,0.21675379343044784,-10.063559618508409,1.5654138220894198,0.137634417706907,-0.2143541897984708,-654594.0701102932,0.6428571428571429,1.3585696011921547e-05,0.017784010476190996,543.9761666666666,565.187666666667,522.7646666666675
9/28/2007,623.99,84836358,458926.9388,11.4918,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,843442.2325,24976.1,1.3147,31.4079,5.0131,2.8557,2.7443,16680.1333,22401.4,566.5,0.7755,0.0811,0.2679,3.8552,35.0178,612.33,623.99,637.78,612.33,3747375.0,-32.28676620985881,51.27999999999997,0.6205843159607572,75.7051381839974,0.3409371382229254,-20.611613907129712,11.838371401503252,0.3913621481724229,-0.8373357372863776,-874106.078592685,0.5714285714285714,1.5111296097328046e-05,0.1629839259805981,595.0220000000003,615.2840000000002,574.7600000000002
10/31/2007,942.94,181007312,458926.9388,17.3659,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,1255395.756,24976.1,1.3147,47.4622,5.0131,1.8897,1.8159999999999998,16680.1333,22401.4,566.5,0.7755,0.0536,0.2679,5.8258,52.9171,966.69,942.94,969.0,933.33,5544599.0,-14.453304268012845,168.70000000000005,0.8064145458503651,138.1970808878477,0.43332224963367627,-72.55645621125927,34.741871764431856,0.4652011532247269,-0.4111751124177509,-2201209.3709023097,0.5714285714285714,1.3963435611693652e-05,0.4894555943296863,757.2853333333331,815.2188333333337,699.3518333333342
