Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,14.49,6266522,24792.5557,8.9815,10.1306,10.1306,13.3249,147.0542,85.7568,1.5074,26.2559,0.5768,1.6128,0.1514,1.3153,73.7441,28342.3972,1776.481,1.3999,14.5444,6.5066,3.9818,5.0774,1072.1237,1028.808,234.889,0.8396,0.1651,0.4702,2.5442,25.1214,14.35,14.49,14.68,14.35,161504.0,-48.031496062992105,0.5299999999999994,0.6006413644245566,49.58158287074938,0.3314370327501572,-0.21520791035371367,5.2064625461734995,0.15363748865373272,-1.1924013615956632,-24132.181610131323,0.5,2.2527387496632915e-07,0.06302910325612276,14.323000000000016,14.951000000000004,13.695000000000007
2/28/2007,13.94,8886745,24792.5557,8.6427,10.1306,10.1306,13.3249,147.0542,85.7568,1.5074,26.2559,0.5768,1.6128,0.1514,1.3153,73.7441,27367.8133,1776.481,1.3999,13.9957,6.5066,4.1379,5.2765,1072.1237,1028.808,234.889,0.8396,0.1716,0.4702,2.4483,24.1678,13.83,13.94,14.62,13.31,301950.0,-50.955414012738885,-0.28000000000000114,0.28804140001006057,-50.980580580353276,0.23084898844905802,0.016843052504800227,-1.6659307630281288,-0.013777325409893518,-2.3780969135416137,-145938.20342723108,0.5,9.482379594377488e-08,-0.038985239227900766,14.136833333333351,14.849833333333335,13.423833333333334
3/30/2007,14.13,11807195,25203.6118,6.6393,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,0.7261,2.1283,0.1975,1.3454,72.7968,28948.6925,2296.996,1.5723,10.9724,7.9333,5.1389,6.5442,1306.365,1295.192,234.889,0.6908,0.1826,0.2013,1.6499,19.4601,13.89,14.13,14.22,13.83,35258.0,-63.49809885931557,0.5300000000000011,0.5970309462552288,46.93402188380396,0.27774940807504833,-0.004917380037349872,-2.0799387001070637,0.0010453527652495914,-2.0315774074754183,6190.919189016524,0.5,3.5303974010451798e-06,-0.010259429646187902,13.870333333333352,14.838833333333332,12.901833333333338
4/30/2007,14.49,2910692,25203.6118,6.8063,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,0.7261,2.1283,0.1975,1.3454,72.7968,29582.7591,2296.996,1.5723,11.2485,7.9333,5.0128,6.3836,1306.365,1295.192,234.889,0.6908,0.1781,0.2013,1.6914,19.9559,14.27,14.49,14.62,14.27,16592.0,-65.61679790026244,0.2599999999999998,0.5778133681144266,45.63410261033347,0.21120881095057367,-0.13350545426084892,3.753438323868744,0.09977418603627143,-10.421637776449847,-31122.927040675717,0.5714285714285714,6.1320344468002095e-06,0.048153331666930345,14.275833333333347,15.036833333333336,13.514833333333335
5/31/2007,16.33,23898906,25203.6118,7.6726,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,0.7261,2.1283,0.1975,1.3454,72.7968,32870.512,2296.996,1.5723,12.6802,7.9333,4.4468,5.6629,1306.365,1295.192,234.889,0.6908,0.158,0.2013,1.9067,22.49,16.97,16.33,16.97,16.17,387410.0,-59.512195121951244,2.0299999999999976,0.8250322660045709,53.0676652805058,0.5016862133352805,-0.5840322013325245,13.735669988412425,0.2767272003983709,-29.29738021036265,-28034.839338118683,0.42857142857142855,-1.214836066811691e-07,0.20143581660607326,15.477666666666687,16.764166666666664,14.191166666666675
6/29/2007,15.99,5021223,25203.6118,7.5148,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,0.7261,2.1283,0.1975,1.3454,72.7968,32271.6713,2296.996,1.5723,12.4194,7.9333,4.5402,5.7818,1306.365,1295.192,234.889,0.6908,0.1613,0.2013,1.8675,22.0218,15.86,15.99,16.18,15.34,109160.0,-23.61111111111101,0.2900000000000009,0.44461622555880737,-30.862707692630863,0.1746141593159308,-0.09687059283948507,3.9011982618582617,0.0636357290242067,-0.6010156043936482,21882.582916182848,0.42857142857142855,-3.3141962482952017e-07,-0.015607248585972375,15.983333333333352,16.624833333333335,15.341833333333339
7/31/2007,16.87,4073371,25203.6118,7.9263,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,0.7261,2.1283,0.1975,1.3454,72.7968,33833.3539,2296.996,1.5723,13.0994,7.9333,4.3045,5.4816,1306.365,1295.192,234.889,0.6908,0.153,0.2013,1.9697,23.2337,17.12,16.87,17.12,16.66,20048.0,-67.63005780346808,-0.2799999999999976,0.2895908510091287,-31.11695853379421,0.2481246902763889,-0.2088438047948316,8.677743921783781,0.16026901804568233,-1.105645144451937,-30069.563271947114,0.5,-9.187299689660721e-08,0.10654565998145753,17.100333333333353,17.85933333333333,16.341333333333345
8/31/2007,18.98,7946730,25203.6118,8.9194,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,0.7261,2.1283,0.1975,1.3454,72.7968,37602.5227,2296.996,1.5723,14.7407,7.9333,3.8252,4.8713,1306.365,1295.192,234.889,0.6908,0.1359,0.2013,2.2165,26.1397,18.77,18.98,19.16,17.99,4667640.0,-21.375464684014847,1.9699999999999989,0.7680151914935122,155.08988689565217,0.3225667869332917,-0.3553101585050697,2.3867402770795225,0.1948661449252618,-104.72149179660006,1011437.1087784164,0.42857142857142855,-2.1719929642343069e-07,0.06598876002308794,17.057833333333356,18.189833333333333,15.92583333333334
9/28/2007,21.83,3197657,25203.6118,10.2559,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,0.7261,2.1283,0.1975,1.3454,72.7968,42675.0347,2296.996,1.5723,16.9495,7.9333,3.3267,4.2365,1306.365,1295.192,234.889,0.6908,0.1182,0.2013,2.5487,30.0647,21.25,21.83,21.93,21.23,160694.0,-21.975308641975346,2.1199999999999966,0.8395259020389081,83.57034149163228,0.5773476697659127,-1.0295480274688025,23.11002599591424,0.4584798848857597,-7.405616685921777,41784.960407326726,0.5,3.6784667967209097e-07,0.2821920475456621,20.284333333333358,21.248833333333327,19.319833333333346
10/31/2007,18.97,2520239,25203.6118,8.9147,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,0.7261,2.1283,0.1975,1.3454,72.7968,37584.8921,2296.996,1.5723,14.733,7.9333,3.8272,4.8738,1306.365,1295.192,234.889,0.6908,0.136,0.2013,2.2154,26.1259,18.96,18.97,19.35,18.79,48995.0,-56.01265822784809,-0.6400000000000006,0.3740061457701605,-19.695373823114267,0.3526533466363799,0.2676710694234217,-7.755743022026433,-0.12360348493056895,1.2804413039870353,13576.347949232117,0.42857142857142855,-4.808272734362319e-07,-0.15448710330894422,19.269500000000026,20.5105,18.02850000000001
11/30/2007,19.24,2065480,25203.6118,9.04,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,0.7261,2.1283,0.1975,1.3454,72.7968,38162.7314,2296.996,1.5723,14.9401,7.9333,3.7742,4.8063,1306.365,1295.192,234.889,0.6908,0.1337,0.2013,2.2465,26.4977,18.65,19.24,19.73,18.62,91874.0,-65.45012165450126,1.099999999999998,0.6663064173975692,51.51839218095822,0.2355370358306617,0.05314704062192988,-2.21115581807898,-0.019488253364233345,-0.30475293007166865,17055.771985535186,0.7142857142857143,-1.1700245839628142e-06,0.00178316250340722,18.819833333333346,19.942833333333333,17.696833333333334
12/31/2007,22.75,12711958,25203.6118,10.6875,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,0.7261,2.1283,0.1975,1.3454,72.7968,44433.9452,2296.996,1.5723,17.6627,7.9333,3.1924,4.0654,1306.365,1295.192,234.889,0.6908,0.1131,0.2013,2.6559,31.3318,22.81,22.75,23.31,21.99,100860.0,-14.19939577039277,2.3099999999999987,0.6510487147595301,93.42730608745798,0.2031382479178495,-0.9207904572188924,18.160324388249727,0.30541460939732745,-0.4971622498707732,-56735.42421298162,0.7142857142857143,-4.371920103296855e-06,0.2756251248168945,20.892000000000017,22.6225,19.161500000000004
1/31/2008,17.85,19534750,25203.6118,8.3857,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,0.7261,2.1283,0.1975,1.3454,72.7968,35861.6178,2296.996,1.5723,13.8587,7.9333,4.0687,5.1813,1306.365,1295.192,234.889,0.6908,0.1433,0.2013,2.0839,24.5834,18.57,17.85,18.57,16.4,88741.0,-62.56239600665554,-3.43,0.2557095733972253,-77.67818838590686,0.4442916111388435,0.9287247758084084,-13.72270324143363,-0.24860010574361704,-1.6276564585769795,98147.12685636882,0.35714285714285715,-3.148863827856969e-06,-0.27424720710386885,19.667500000000032,21.69,17.645000000000007
