Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,59.75,1919988,26173.2575,7.2979,13.2988,13.2988,20.1032,7.7643,3.8787,1.8587,25.8714,2.4158,8.1873,0.625,1.5117,74.1286,30337.3163,1577.2,0.102,19.1236,5.9859,4.0432,4.3002,973.1439,1219.494,252.4,0.7506,0.0107,0.0934,3.2892,24.733,60.5,59.75,61.45,57.1,87558.0,-60.25179856115109,-1.7000000000000028,0.20297455659419825,-115.6665508938582,0.31326108147987736,0.028077551430165208,-0.5328969800191723,-0.003247250754493918,-2.6609997189620005,12622.367689628016,0.2857142857142857,-6.48362310093125e-06,-6.664754231290785e-05,61.61749999999997,64.22600000000001,59.00899999999997
2/28/2007,55.85,7314566,26173.2575,6.8215,13.2988,13.2988,20.1032,7.7643,3.8787,1.8587,25.8714,2.4158,8.1873,0.625,1.5117,74.1286,28368.5963,1577.2,0.102,17.8754,5.9859,4.3255,4.6005,973.1439,1219.494,252.4,0.7506,0.0114,0.0934,3.0745,23.1186,55.0,55.85,56.75,55.0,64838.0,-91.85043144774687,-2.5,0.26595673006833576,-137.65356010695118,0.2876760793269432,0.8890681117645798,-5.147108315071996,-0.16472167925556624,-1.0037617634883598,8266.210969895796,0.2857142857142857,-7.0794171865957714e-06,-0.06825510880582575,58.7638333333333,61.50483333333334,56.02283333333331
3/30/2007,56.55,4991052,28545.7611,5.9397,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,2.2137,9.5206,0.75,1.6445,66.1199,29345.3293,1815.62,0.4316,15.7227,6.1872,3.9146,5.2035,1138.8246,1117.47,252.4,0.6529,0.0405,0.1246,2.2871,25.5455,56.65,56.55,57.0,56.5,47026.0,-60.45751633986936,-2.5,0.7353743142178438,15.273819937420356,0.3290531718551459,0.33662424535563673,-3.2578025671264856,-0.06755092414380809,3.1492419988771148,-9319.051795812818,0.42857142857142855,2.330100181236245e-05,-0.016727943131349787,56.43716666666661,58.99016666666669,53.884166666666644
4/30/2007,57.33,1774774,28545.7611,6.0211,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,2.2137,9.5206,0.75,1.6445,66.1199,29736.5493,1815.62,0.4316,15.9382,6.1872,3.8616,5.1331,1138.8246,1117.47,252.4,0.6529,0.04,0.1246,2.3184,25.8978,56.5,57.33,58.25,56.0,26694.0,-76.6666666666667,-0.4500000000000029,0.346273278641804,-22.30272819137209,0.2958527262904208,-0.2979792251840792,3.631174468075725,0.06828408476925188,-1.9510672909475613,3185.6102848862056,0.5,-1.601040620992452e-05,0.047266580870518486,57.62349999999997,59.65649999999998,55.59050000000001
5/31/2007,61.63,3341490,28545.7611,6.4728,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,2.2137,9.5206,0.75,1.6445,66.1199,31907.1892,1815.62,0.4316,17.1337,6.1872,3.5922,4.7749,1138.8246,1117.47,252.4,0.6529,0.0372,0.1246,2.4923,27.8403,62.83,61.63,62.83,61.28,31930.0,-40.48780487804877,4.130000000000003,0.5366418612178745,58.12412160531599,0.14680122817936714,-1.2013074790238605,7.8411991101873575,0.2580888289186416,-0.9255121412515552,-7575.513965991883,0.5714285714285714,-4.642618804553508e-06,0.11203635975087978,59.87333333333329,62.70783333333333,57.03883333333331
6/29/2007,61.13,1576308,28545.7611,6.4203,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,2.2137,9.5206,0.75,1.6445,66.1199,31654.7892,1815.62,0.4316,16.9947,6.1872,3.6216,4.814,1138.8246,1117.47,252.4,0.6529,0.0375,0.1246,2.4721,27.6144,61.5,61.13,62.73,60.75,141490.0,-67.71428571428564,-0.07000000000000027,0.5146697036790904,11.140868319640825,0.2389586781302008,-0.35295021413705285,3.2304169011960786,0.08909199890622578,-2.709679638383642,-30887.43821035632,0.42857142857142855,1.3836335742707223e-06,0.010217127098162951,61.45449999999993,63.19,59.71899999999995
7/31/2007,69.75,7933544,28545.7611,7.3262,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,2.2137,9.5206,0.75,1.6445,66.1199,36008.6891,1815.62,0.4316,19.3927,6.1872,3.1737,4.2187,1138.8246,1117.47,252.4,0.6529,0.0328,0.1246,2.8209,31.5083,71.35,69.75,72.0,68.55,98334.0,-64.91909385113269,4.950000000000003,0.4220370730349857,4.3831321207668585,0.3969464509894488,-2.1917201237458954,18.628164973211547,0.21451031047710592,-1.2555483773487857,30557.12121486245,0.5714285714285714,-5.862428139397483e-06,0.25408325376122903,69.79783333333329,74.23233333333333,65.3633333333333
8/31/2007,74.55,3976620,28545.7611,7.8304,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,2.2137,9.5206,0.75,1.6445,66.1199,38431.7291,1815.62,0.4316,20.7273,6.1872,2.9694,3.9471,1138.8246,1117.47,252.4,0.6529,0.0307,0.1246,3.015,33.6766,75.5,74.55,76.5,73.1,152030.0,-23.38235294117651,7.269999999999996,0.6144978017344557,99.20905296838104,0.25957861071875793,-1.7317642651814251,4.582669122186016,0.16406742713644604,-0.5595094761847161,-34800.199414362585,0.5,1.648973320217854e-05,0.08213920381541195,70.02799999999999,74.0275,66.02849999999995
9/28/2007,80.33,3404486,28545.7611,8.4369,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,2.2137,9.5206,0.75,1.6445,66.1199,41346.949,1815.62,0.4316,22.3329,6.1872,2.7559,3.6633,1138.8246,1117.47,252.4,0.6529,0.0285,0.1246,3.2486,36.2877,77.75,80.33,83.13,77.43,927774.0,-13.572467280659225,9.67999999999999,0.7319670303349851,159.78136358821502,0.2912800983059037,-1.8478827472243609,7.609552717621819,0.20392459691256093,-1.726600582970467,19315.67547500429,0.5714285714285714,-5.40662021067396e-05,0.09836363474788302,74.33866666666663,78.51966666666667,70.15766666666663
10/31/2007,103.43,5210112,28545.7611,10.8633,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,2.2137,9.5206,0.75,1.6445,66.1199,53007.8287,1815.62,0.4316,28.7554,6.1872,2.1404,2.8451,1138.8246,1117.47,252.4,0.6529,0.0221,0.1246,4.1828,46.7227,101.45,103.43,107.0,96.75,323176.0,-9.916666666666648,27.28,0.8526651880922215,132.77574977313972,0.4770384622349586,-6.369592266964617,21.225770587009485,0.4587882701733256,-4.261987934001084,21673.269515917804,0.7857142857142857,-3.174323106785624e-05,0.350713025129463,83.9166666666666,89.9991666666667,77.83416666666669
11/30/2007,98.5,3882440,28545.7611,10.345999999999998,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,2.2137,9.5206,0.75,1.6445,66.1199,50521.6888,1815.62,0.4316,27.3861,6.1872,2.2474,2.9874,1138.8246,1117.47,252.4,0.6529,0.0233,0.1246,3.9836,44.4956,99.5,98.5,100.0,97.5,44374.0,-38.281250000000014,0.4200000000000017,0.5045758532046901,-18.30937202994434,0.16466977500354169,-2.2683716176901783,15.83324057638492,0.19275319267100646,-0.7310067578489986,44877.60941497628,0.42857142857142855,-1.542131999057345e-05,0.07780223250645929,99.1965,105.10400000000004,93.289
12/31/2007,97.3,3890564,28545.7611,10.2199,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,2.2137,9.5206,0.75,1.6445,66.1199,49915.9288,1815.62,0.4316,27.0525,6.1872,2.2751,3.0242,1138.8246,1117.47,252.4,0.6529,0.0235,0.1246,3.9351,43.9536,98.0,97.3,99.0,96.6,333024.0,-73.53652636671505,1.3199999999999932,0.7974971830071208,11.683130689444685,0.455680401284576,-0.2705558506177965,-3.326418494204791,0.02900473733344432,0.9071476634085042,-37194.87725317982,0.5,2.423508864796299e-05,-0.0273216740453257,97.3105,102.61750000000002,92.00349999999996
1/31/2008,88.98,3028810,28545.7611,9.3455,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,2.2137,9.5206,0.75,1.6445,66.1199,45713.4689,1815.62,0.4316,24.7379,6.1872,2.488,3.3072,1138.8246,1117.47,252.4,0.6529,0.0257,0.1246,3.5984,40.1951,88.9,88.98,95.0,85.0,55396.0,-33.38888888888888,-3.450000000000003,0.5177357521805562,0.9591051872471692,0.1949219561302788,1.7270986409773883,-10.424647785994717,-0.11359550477092413,-1.6641359117843322,1023.2038780038127,0.42857142857142855,-9.457380959844268e-05,-0.13419216761116648,89.58333333333334,97.04283333333339,82.1238333333333
2/29/2008,80.03,5459742,28545.7611,8.4054,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,2.2137,9.5206,0.75,1.6445,66.1199,41195.509,1815.62,0.4316,22.2495,6.1872,2.7662,3.677,1138.8246,1117.47,252.4,0.6529,0.0286,0.1246,3.2365,36.1521,80.63,80.03,83.9,78.08,57346.0,-73.52631578947367,-2.569999999999993,0.6492565699487931,-43.05894938799695,0.1994680107341732,2.468408159048068,-12.05081240650183,-0.17345947825914462,-0.5200669223646504,-3103.4480832068675,0.35714285714285715,-7.168603940056578e-05,-0.15983928898478428,83.1678333333333,89.93583333333339,76.39983333333325
3/31/2008,66.75,8224662,33783.6844,5.4765,10.0995,10.0995,14.5414,84.7548,57.0837,1.9401,25.6701,3.4087,12.1885,0.875,1.4398,74.3299,37281.9492,2458.92,1.4417,13.7396,6.5799,5.1066,5.9202,1674.555,1725.24,281.82,1.0237,0.1562,0.4021,1.9777,19.5822,68.45,66.75,71.2,65.78,76126.0,-75.14792899408283,-4.599999999999994,0.6276962149455626,-51.87193734673515,0.13805703844377212,3.9422079392846,-20.56703345284393,-0.2798809816681541,-1.4845814775420247,47589.925506091466,0.35714285714285715,-2.279607487243788e-05,-0.2610847964928644,71.60900000000002,77.3390000000001,65.87899999999993
4/30/2008,75.18,1951764,33783.6844,6.1677,10.0995,10.0995,14.5414,84.7548,57.0837,1.9401,25.6701,3.4087,12.1885,0.875,1.4398,74.3299,41534.8891,2458.92,1.4417,15.4737,6.5799,4.5343,5.2567,1674.555,1725.24,281.82,1.0237,0.1387,0.4021,2.2274,22.0553,77.5,75.18,77.5,74.13,32428.0,-21.860465116279006,6.950000000000002,0.5851390868167096,61.57470453948732,0.370505380362386,-1.0902653967188345,5.811782647950535,0.11331394476487912,-1.1767140681928354,-40958.7301477417,0.7142857142857143,1.1879173372876019e-05,0.17768875009236149,72.14716666666666,75.39916666666673,68.89516666666657
5/30/2008,72.83,1273186,33783.6844,5.9749,10.0995,10.0995,14.5414,84.7548,57.0837,1.9401,25.6701,3.4087,12.1885,0.875,1.4398,74.3299,40348.6091,2458.92,1.4417,14.99,6.5799,4.6806,5.4263,1674.555,1725.24,281.82,1.0237,0.1432,0.4021,2.1577,21.3659,74.0,72.83,74.75,71.5,39750.0,-67.69696969696972,2.1799999999999926,0.5676376546896615,-11.80271556151832,0.3127182730289379,-0.06976009011417261,2.734547437036152,0.010608995918305723,-0.8053135031615528,10817.645590272963,0.42857142857142855,4.131710262950463e-06,-0.013328739905797915,73.29833333333335,76.86283333333341,69.73383333333325
6/30/2008,64.93,960006,33783.6844,5.3267,10.0995,10.0995,14.5414,84.7548,57.0837,1.9401,25.6701,3.4087,12.1885,0.875,1.4398,74.3299,36360.6892,2458.92,1.4417,13.3639,6.5799,5.2501,6.0866,1674.555,1725.24,281.82,1.0237,0.1606,0.4021,1.9237,19.0483,72.0,64.93,72.0,63.5,42958.0,-86.6976744186046,-6.569999999999991,0.5245041600396536,-138.9800687276753,0.3321046351732202,1.3820597619115205,-4.393866438360207,-0.2207798301821053,1.8481794597980232,-8079.5808418761735,0.35714285714285715,-2.2067325665225172e-05,-0.07657431301814673,70.74516666666669,74.24316666666675,67.2471666666666
7/31/2008,69.03,1597550,33783.6844,5.6631,10.0995,10.0995,14.5414,84.7548,57.0837,1.9401,25.6701,3.4087,12.1885,0.875,1.4398,74.3299,38522.4917,2458.92,1.4417,14.2078,6.5799,4.9383,5.725,1674.555,1725.24,281.82,1.0237,0.1507,0.4021,2.0451,20.2511,73.0,69.03,74.5,69.0,38104.0,-59.135135135135116,1.5300000000000011,0.7328806323930935,108.92577259234044,0.2083938604482876,0.013733423830259994,-1.1012840853288075,-0.0035887465538979703,1.5841127095048078,-3983.242355629918,0.6428571428571429,3.5866435371327306e-05,0.02768055129730656,68.35316666666668,71.92966666666673,64.7766666666666
8/29/2008,69.48,889182,33783.6844,5.7,10.0995,10.0995,14.5414,84.7548,57.0837,1.9401,25.6701,3.4087,12.1885,0.875,1.4398,74.3299,38750.2522,2458.92,1.4417,14.3005,6.5799,4.9063,5.688,1674.555,1725.24,281.82,1.0237,0.1497,0.4021,2.0585,20.3831,69.98,69.48,70.48,69.08,17850.0,-89.03225806451603,-3.969999999999999,0.317958874041323,-74.54832311257262,0.2937475417059197,0.08225346229770025,3.6208787054689244,-0.011555098344842557,-0.5675954622665559,-3.1254537021050046,0.21428571428571427,-2.457637534144413e-05,0.008258196429568676,71.18583333333333,73.43133333333341,68.94033333333327
9/30/2008,65.08,1235524,33783.6844,5.339,10.0995,10.0995,14.5414,84.7548,57.0837,1.9401,25.6701,3.4087,12.1885,0.875,1.4398,74.3299,36523.2599,2458.92,1.4417,13.3948,6.5799,5.238,6.0726,1674.555,1725.24,281.82,1.0237,0.1598,0.4021,1.9281,19.0923,59.6,65.08,66.95,59.6,53392.0,-53.949579831932795,-4.469999999999999,0.14924731885091666,-180.00601372083142,0.4542317572207671,0.9849338138525354,-4.520499201961111,-0.1874105807532953,-1.2230414927853692,8964.460584482837,0.35714285714285715,-6.024772708721369e-05,-0.06750768265185991,68.41133333333336,71.30033333333344,65.52233333333328
10/31/2008,46.5,4552014,33783.6844,3.8151,10.0995,10.0995,14.5414,84.7548,57.0837,1.9401,25.6701,3.4087,12.1885,0.875,1.4398,74.3299,27121.7811,2458.92,1.4417,9.5714,6.5799,7.3304,8.4983,1674.555,1725.24,281.82,1.0237,0.2236,0.4021,1.3778,13.6416,45.5,46.5,46.88,45.05,3042236.0,-58.35667600373482,-5.979999999999998,0.2121205510634017,-69.69076568720405,0.6683252043625815,5.325080313592174,-31.48622264548386,-0.3998041551892919,-1323.52577093524,573843.3708831993,0.42857142857142855,4.4729782473650745e-05,-0.4630283040437933,52.989333333333356,57.448333333333395,48.53033333333325
11/28/2008,45.35,2000332,33783.6844,3.7207,10.0995,10.0995,14.5414,84.7548,57.0837,1.9401,25.6701,3.4087,12.1885,0.875,1.4398,74.3299,26539.72700000001,2458.92,1.4417,9.3347,6.5799,7.5163,8.7138,1674.555,1725.24,281.82,1.0237,0.2293,0.4021,1.3437,13.3042,43.18,45.35,45.75,43.18,11882.0,-45.62499999999999,-2.1299999999999955,0.22079906794382465,-59.66012991222127,0.3023415923148647,2.2828019980882743,-17.533225979138674,-0.22408882724960247,-1.4492389384107949,1713.6771872742356,0.42857142857142855,-8.611266760678133e-05,-0.12412056846234135,46.60716666666671,50.34816666666673,42.86616666666657
12/31/2008,54.05,1046668,33783.6844,4.4345,10.0995,10.0995,14.5414,84.7548,57.0837,1.9401,25.6701,3.4087,12.1885,0.875,1.4398,74.3299,30943.0928,2458.92,1.4417,11.1254,6.5799,6.3065,7.3112,1674.555,1725.24,281.82,1.0237,0.1924,0.4021,1.6015,15.8565,54.93,54.05,55.0,52.75,85170.0,-26.32978723404257,10.019999999999996,0.6206848614558562,78.02668537040752,0.37780365462468735,-1.859563012842166,15.537665709853822,0.2393885034109215,-0.5954413441181324,680.8117079176898,0.7142857142857143,2.672560767829729e-05,0.28019343727902984,48.94133333333339,51.89083333333339,45.991833333333254
1/30/2009,48.18,660682,33783.6844,3.9525,10.0995,10.0995,14.5414,84.7548,57.0837,1.9401,25.6701,3.4087,12.1885,0.875,1.4398,74.3299,27969.5556,2458.92,1.4417,9.9162,6.5799,7.0756,8.2028,1674.555,1725.24,281.82,1.0237,0.2159,0.4021,1.4274,14.1344,47.5,48.18,48.7,47.5,9544.0,-66.52631578947367,-6.07,0.3168001207624738,-82.01193980615129,0.3135086844207525,0.7637103563235144,1.4130140644963909,-0.11018578046129053,-1.1418324482840585,2591.540860775665,0.35714285714285715,-4.956965442428977e-05,-0.10771278249088856,51.297,53.854000000000035,48.739999999999924
