Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,191.0,17714166,21409.7575,2.1976,7.4505,7.4505,7.2570000000000014,121.7708,120.094,1.1171,18.8552,15.9107,86.9121,3,0.9740000000000001,81.1448,19059.4741,2666.98,2.5253,4.6211,9.4759,8.3302,15.7565,1275.2183,1026.657,684.154,0.3749,0.5541,0.0255,0.8944,12.0045,194.5,191.0,199.7,188.25,565624.0,-66.19385342789596,-4.050000000000011,0.4735486948449018,-22.033378735466773,0.2083758433335844,1.6225487748428122,-1.7895424065650165,-0.06412326371349278,-0.1156905006388511,-100030.16223887481,0.35714285714285715,-1.2202887634311826e-05,0.0100957239353303,194.42833333333343,203.1033333333333,185.75333333333333
2/28/2007,151.95,21281477,21409.7575,1.7483,7.4505,7.4505,7.2570000000000014,121.7708,120.094,1.1171,18.8552,15.9107,86.9121,3,0.9740000000000001,81.1448,17050.115,2666.98,2.5253,3.6763,9.4759,10.470999999999998,19.8058,1275.2183,1026.657,684.154,0.3749,0.662,0.0255,0.7115,9.5502,158.0,151.95,158.5,144.0,986975.0,-85.80357142857143,-42.15000000000001,0.2360886880020553,-111.67712746264291,0.3545146711182572,9.186976557379836,-14.324055123291489,-0.2724755720535701,-1.1779352625294075,104661.57358246477,0.2857142857142857,-4.7847410777391856e-05,-0.2570685959049727,180.2316666666668,192.68166666666679,167.7816666666666
3/30/2007,121.25,32451953,8231.0565,0.986,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,13785.0235,5755.93,0.9649,1.3916,41.755,36.0,61.0707,3187.1074,2883.417,689.055,0.7673,0.6966,0.059000000000000004,0.4246,2.7778,128.3,121.25,128.3,119.0,758892.0,-44.08060453400505,5.700000000000002,0.545158982317822,8.589585855003904,0.21648689522887424,9.86078765270004,-30.59432089142154,-0.3763040514001905,-1.8718815637064528,-193675.78080674825,0.6428571428571429,1.916237007965615e-06,-0.3099349791927393,121.95750000000004,130.08250000000012,113.83250000000004
4/30/2007,154.8,44665349,8231.0565,1.2588,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,16062.5654,5755.93,0.9649,1.7767,41.755,28.1977,47.8348,3187.1074,2883.417,689.055,0.7673,0.5456,0.059000000000000004,0.5421,3.5464,156.0,154.8,156.0,126.1,599991.0,-39.70588235294114,1.3500000000000227,0.4027578063312089,8.839037749021122,0.33981855624317336,-5.8748972316807055,24.850686431967684,0.22727028334254915,-1.2048323087353112,651.0315796843497,0.5,-6.63951326606647e-05,0.4278341754584249,143.68250000000006,154.64500000000012,132.72000000000008
5/31/2007,156.7,22788051,8231.0565,1.2743,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,16191.5469,5755.93,0.9649,1.7985,41.755,27.8558,47.2548,3187.1074,2883.417,689.055,0.7673,0.539,0.059000000000000004,0.5487,3.5899,159.0,156.7,161.95,155.7,1245649.0,-81.15384615384626,1.0,0.5240769955778714,-52.698172521983395,0.21212386988654444,-2.8706446621592363,15.047855435884507,0.15593192470905656,-7.756860538064692,-197959.23932408483,0.5,4.73376028941378e-06,0.08656845510929967,160.8825000000001,168.75000000000014,153.0150000000001
6/29/2007,171.4,22973863,8231.0565,1.3938,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,17189.4564,5755.93,0.9649,1.9672,41.755,25.4667,43.202,3187.1074,2883.417,689.055,0.7673,0.4928,0.059000000000000004,0.6002,3.9267,169.4,171.4,172.75,167.0,1608149.0,-3.233532934131723,5.099999999999994,0.4957013027068397,102.62933134319132,0.277525583794766,-1.7889687142367166,1.9144209410097333,0.11948642554821612,-5.233143435271222,346297.5341599647,0.5714285714285714,-6.481996656801061e-05,0.02353147983257341,163.80166666666668,170.91666666666686,156.68666666666667
7/31/2007,144.3,17407046,8231.0565,1.1734,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,15349.7728,5755.93,0.9649,1.6562,41.755,30.2495,51.3155,3187.1074,2883.417,689.055,0.7673,0.5853,0.059000000000000004,0.5053,3.3058,142.2,144.3,144.95,142.2,271291.0,-86.91358024691355,-28.5,0.0985363553348994,-102.37089689129644,0.6276908719542086,6.29531849953662,-7.652050832257083,-0.2983989959006863,-2.664126795705649,118899.63141736045,0.2857142857142857,-2.7252437985019515e-05,-0.17731059314805114,163.83583333333343,171.77583333333348,155.89583333333337
8/31/2007,133.65,7749339,8231.0565,1.0868,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,14626.7976,5755.93,0.9649,1.5339,41.755,32.6599,55.4046,3187.1074,2883.417,689.055,0.7673,0.632,0.059000000000000004,0.46799999999999997,3.0619,131.0,133.65,135.3,131.0,283382.0,-35.474860335195494,-2.7999999999999825,0.6148307062031927,3.8059423692629832,0.3452768384503096,5.4431316782080055,-19.915596619358546,-0.2961600258954529,-2.5589376655800504,25692.58653885853,0.5,-1.0264136999986386e-06,-0.1838618777141981,132.9991666666667,138.93916666666686,127.0591666666667
9/28/2007,145.25,17095266,8231.0565,1.1811,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,15414.2636,5755.93,0.9649,1.6671,41.755,30.0516,50.9799,3187.1074,2883.417,689.055,0.7673,0.5815,0.059000000000000004,0.5086,3.3276,145.9,145.25,146.95,143.5,810116.0,-57.94117647058821,2.6999999999999886,0.575894523269875,14.686791467625735,0.2658252578412583,-1.5286498871520564,8.739999556150629,0.09833992205736032,-1.139799808983342,-28343.17361547187,0.5,-5.381969988684781e-06,0.13616329308641972,144.52750000000003,150.7875000000002,138.2675
10/31/2007,139.75,18896368,8231.0565,1.1364,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,15040.8961,5755.93,0.9649,1.6039,41.755,31.2343,52.9862,3187.1074,2883.417,689.055,0.7673,0.6044,0.059000000000000004,0.4894,3.2016,139.4,139.75,144.0,138.0,1463884.0,-24.547283702213264,-2.050000000000012,0.6003273069825912,46.112962275523074,0.18581208802516488,1.9980529491483885,-7.827216035975892,-0.11017564459626762,0.4667581860033831,-58925.65169051674,0.5714285714285714,-1.8196285000453027e-05,-0.11868874998034736,136.80916666666673,144.31666666666686,129.30166666666668
