Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,47.94,280855420,35359.8722,20.6203,5.6212,5.6212,9.4482,113.8666,106.3365,1.2197,17.1103,0.9205,2.3248,0.15,1.6808,82.8897,45473.7986,1581.57,1.5905,25.6279,4.1321,1.9202,3.4074,1203.8261,809.3480000000003,822.763,0.2048,0.0633,0.0338,2.8151,52.0804,47.64,47.94,48.34,47.31,15129080.0,-7.794117647058842,5.079999999999998,0.5084384759674732,131.34441134324595,0.18855094900245592,-1.82612117842897,18.75140011371,0.33146521428599396,-1.7123139514566537,683130.5844241455,0.7142857142857143,1.7602437994817447e-08,0.2289785962663213,45.107000000000035,47.10249999999999,43.11149999999999
2/28/2007,41.37,201688520,35359.8722,17.7953,5.6212,5.6212,9.4482,113.8666,106.3365,1.2197,17.1103,0.9205,2.3248,0.15,1.6808,82.8897,39643.2639,1581.57,1.5905,22.1169,4.1321,2.225,3.9483,1203.8261,809.3480000000003,822.763,0.2048,0.0733,0.0338,2.4294,44.94300000000001,41.75,41.37,44.42,39.85,8758320.0,-88.16199376947044,-10.660000000000004,0.12658957652180874,-159.1266760043623,0.4908432165206402,0.5056244495268629,5.144890901246706,-0.06024692110144252,-0.13463359911482362,-793631.3660725346,0.21428571428571427,-2.5822442345274684e-07,-0.039531830368838256,48.15366666666668,50.86816666666665,45.43916666666665
3/30/2007,42.14,196292860,37411.3096,11.0976,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,39556.4801,2045.349,1.0488,18.1931,5.1707,2.6717,4.7976,1278.876,998.605,443.893,0.1747,0.0662,0.0444,1.7799,37.4312,41.54,42.14,42.55,41.54,4403960.0,-17.058823529411722,1.6099999999999994,0.4263890117907698,55.454434612117254,0.32312158317142403,0.7197561397805785,-11.85089838025745,-0.10651853181340068,-1.208536351771677,712578.8267343935,0.6428571428571429,-3.929067257093224e-08,-0.08742756118647779,41.17166666666669,43.36016666666666,38.983166666666655
4/30/2007,49.62,202461500,37411.3096,13.0681,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,46199.3391,2045.349,1.0488,21.4235,5.1707,2.2688,4.0742,1278.876,998.605,443.893,0.1747,0.0562,0.0444,2.0959,44.0753,48.39,49.62,50.0,47.4,4348680.0,-39.04320987654325,3.4600000000000013,0.5078807354075241,41.54924509876891,0.2662669150854994,-1.4835450644186352,19.724272734439744,0.21435580483308472,0.4962363794428358,1343812.8702218959,0.5714285714285714,-5.906885634613908e-10,0.2761775501900137,47.232000000000006,49.34549999999999,45.11849999999998
5/31/2007,56.25,126585720,37411.3096,14.8129,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,52080.9215,2045.349,1.0488,24.2837,5.1707,2.0016,3.5943,1278.876,998.605,443.893,0.1747,0.0496,0.0444,2.3758,49.9645,54.97,56.25,56.99,54.61,6447880.0,-10.026737967914443,6.359999999999999,0.6827098003915695,83.21619549412567,0.32694906706974364,-1.8998166465139328,18.413125874993973,0.32583291840820405,-8.928469894279734,652726.3148315389,0.7857142857142857,1.7010055837947881e-07,0.2117239002787789,52.6426666666667,54.68116666666666,50.60416666666664
6/29/2007,67.08,194235840,37411.3096,17.6656,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,61697.8636,2045.349,1.0488,28.9605,5.1707,1.6784,3.0139,1278.876,998.605,443.893,0.1747,0.0416,0.0444,2.8333,59.5843,67.0,67.08,67.88,66.45,7480960.0,-6.25000000000001,16.479999999999997,0.8953427997391632,131.6348789077387,0.573141324612815,-3.4176180684106754,16.566727003723393,0.368742664862889,-2.472061842990826,-29599.012734730728,0.7857142857142857,2.614726177582149e-07,0.24678612484116666,57.412500000000016,60.18249999999999,54.64249999999997
7/31/2007,57.64,177006560,37411.3096,15.1789,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,53314.9441,2045.349,1.0488,24.8839,5.1707,1.9533,3.5077,1278.876,998.605,443.893,0.1747,0.0484,0.0444,2.4345,51.1991,56.0,57.64,62.65,53.9,13432280.0,-71.23076923076924,-6.450000000000002,0.452550898154433,-109.13856304531305,0.3572609980682433,0.7580922788709401,4.8215180823540935,-0.08388537614117796,-0.3825851023780056,-55251.76628424367,0.35714285714285715,-1.5040944733656914e-07,-0.07131556316231702,62.97566666666671,66.13916666666668,59.81216666666661
8/31/2007,62.08,144426120,37411.3096,16.3495,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,57261.153,2045.349,1.0488,26.8029,5.1707,1.8135,3.2565,1278.876,998.605,443.893,0.1747,0.045,0.0444,2.6222,55.143,61.42,62.08,63.25,60.61,4235180.0,-9.750000000000012,5.489999999999995,0.675893710816501,130.30694340626758,0.3059719837131709,-0.13953752182094092,-7.791531332253243,0.008927677010743523,-0.4682656958298214,356167.31696609146,0.5714285714285714,2.177423451103168e-07,-0.01340272427319548,57.2806666666667,60.60616666666661,53.95516666666664
9/28/2007,73.45,114477480,37411.3096,19.3418,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,67348.179,2045.349,1.0488,31.7084,5.1707,1.5329,2.7527,1278.876,998.605,443.893,0.1747,0.038,0.0444,3.1021,65.2425,73.05,73.45,75.4,73.05,4850680.0,-46.7720685111989,2.9399999999999977,0.6507120637535909,54.9012311567356,0.3606449230483151,-3.2117428183904764,28.525489663938913,0.4057919779848041,0.23372180941684675,-1244708.11666084,0.5,1.0541582860644307e-08,0.3506862368008837,70.7863333333334,73.6988333333333,67.8738333333333
10/31/2007,86.19,73626760,37411.3096,22.6969,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,78658.4962,2045.349,1.0488,37.2087,5.1707,1.3063,2.3458,1278.876,998.605,443.893,0.1747,0.0324,0.0444,3.6402,76.5589,86.25,86.19,88.01,85.33,1697400.0,-18.45515811301193,10.299999999999997,0.7690068271028935,108.46435623557244,0.31517362477326083,-3.926120472673148,17.26217910373351,0.33393101603607656,-0.3585466992306894,-413620.83893322776,0.5,3.0387309122418804e-07,0.23167597587106306,78.6841666666667,83.33516666666667,74.03316666666662
