Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,279.66,3053100,10942.251,38.9159,1.8313,#N/A N/A,9.0688,12.8641,12.8641,16.5779,17.2675,-23.6985,2.6338,8.7326,8.7326,7.1863,7.1863,30.8376,0.5,0.5,7.1863,1.2887,91.2674,25687.5683,879.624,-0.7574,879.624,23.1614,8.5019,2.5696,3.9694,552.3191,523.522,#N/A N/A,#N/A N/A,177.764,1.6263,0.0185,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,25.756,43.605,56.843,#N/A N/A,#N/A N/A,0.7864,5.0062,273
2/28/2007,256.51,2885400,10942.251,35.6945,1.8169,#N/A N/A,8.3181,12.8641,12.8641,16.5779,17.2675,-23.6985,2.6338,8.7326,8.7326,7.1863,7.1863,30.8376,0.5,0.5,7.1863,1.2887,91.2674,23511.8386,879.624,-0.7574,879.624,21.2441,8.5019,2.8016,4.3277,552.3191,523.522,#N/A N/A,#N/A N/A,177.764,1.6263,0.0201,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,41.782,43.977,53.138,#N/A N/A,75.7473,0.7864,4.5918,285.6
3/30/2007,240.13,1977520,22568.3626,22.9948,1.2253,#N/A N/A,4.589,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,7.1103,10.4428,10.4428,52.3269,0.7,0.7,10.4428,0.9183,92.8897,20901.3336,1271.758,-1.3752,1271.758,17.0543,6.0846,4.3488,5.4853,873.6895,943.21,#N/A N/A,#N/A N/A,187.968,1.7876,0.0073,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,37.356,34.891,42.09,#N/A N/A,71.3857,1.0256,4.1468,256
4/30/2007,257.35,941970,22568.3626,24.6438,1.2367,#N/A N/A,4.9181,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,7.1103,10.4428,10.4428,52.3269,0.7,0.7,10.4428,0.9183,92.8897,22519.7381,1271.758,-1.3752,1271.758,18.2773,6.0846,4.0578,5.1182,873.6895,943.21,#N/A N/A,#N/A N/A,187.968,1.7876,0.0068,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.231,36.04,34.68,#N/A N/A,73.1369,1.0256,4.4442,236.01
5/31/2007,306.29,8751835,22568.3626,29.3303,1.4039,#N/A N/A,5.8534,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,7.1103,10.4428,10.4428,52.3269,0.7,0.7,10.4428,0.9183,92.8897,27119.3153,1271.758,-1.3752,1271.758,21.7531,6.0846,3.4094,4.3004,873.6895,943.21,#N/A N/A,#N/A N/A,187.968,1.7876,0.0057,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,47.476,35.445,37.961,#N/A N/A,77.3749,1.0256,5.2893,269.6
6/29/2007,351.77,18225885,22568.3626,33.6854,1.802,#N/A N/A,6.7225,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,7.1103,10.4428,10.4428,52.3269,0.7,0.7,10.4428,0.9183,92.8897,31393.7077,1271.758,-1.3752,1271.758,24.9831,6.0846,2.9686,3.7444,873.6895,943.21,#N/A N/A,#N/A N/A,187.968,1.7876,0.005,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,54.819,44.128,42.162,#N/A N/A,80.46,1.0256,6.0747,300.72
7/31/2007,306.94,8867780,22568.3626,29.3925,1.4771,#N/A N/A,5.8658,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,7.1103,10.4428,10.4428,52.3269,0.7,0.7,10.4428,0.9183,92.8897,27180.4049,1271.758,-1.3752,1271.758,21.7992,6.0846,3.4022,4.2913,873.6895,943.21,#N/A N/A,#N/A N/A,187.968,1.7876,0.0057,#N/A N/A,198.548,#N/A N/A,#N/A N/A,20.219,43.488,38.902,#N/A N/A,70.2862,1.0256,5.3005,359
8/31/2007,284.63,5064545,22568.3626,27.2561,1.3885,#N/A N/A,5.4395,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,7.1103,10.4428,10.4428,52.3269,0.7,0.7,10.4428,0.9183,92.8897,25083.6217,1271.758,-1.3752,1271.758,20.2147,6.0846,3.6689,4.6277,873.6895,943.21,#N/A N/A,#N/A N/A,187.968,1.7876,0.0062,#N/A N/A,207.3875,#N/A N/A,#N/A N/A,42.473,42.038,43.232,#N/A N/A,65.8254,1.0256,4.9153,301.2
9/28/2007,268.37,2961905,22568.3626,25.6991,1.241,#N/A N/A,5.1287,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,7.1103,10.4428,10.4428,52.3269,0.7,0.7,10.4428,0.9183,92.8897,23555.7106,1271.758,-1.3752,1271.758,19.0599,6.0846,3.8912,4.9081,873.6895,943.21,#N/A N/A,#N/A N/A,187.968,1.7876,0.0065,#N/A N/A,214.5945,#N/A N/A,#N/A N/A,20.549,33.532,39.77,#N/A N/A,62.702,1.0256,4.6345,286
10/31/2007,295.8,10683215,22568.3626,28.3258,1.2022,#N/A N/A,5.6529,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,7.1103,10.4428,10.4428,52.3269,0.7,0.7,10.4428,0.9183,92.8897,26133.7193,1271.758,-1.3752,1271.758,21.008,6.0846,3.5304,4.4529,873.6895,943.21,#N/A N/A,#N/A N/A,187.968,1.7876,0.0059,#N/A N/A,223.566,#N/A N/A,#N/A N/A,74.223,50.122,46.408,#N/A N/A,65.662,1.0256,5.1081,270
11/30/2007,309.57,3843205,22568.3626,29.6444,1.2675,#N/A N/A,5.9161,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,7.1103,10.4428,10.4428,52.3269,0.7,0.7,10.4428,0.9183,92.8897,27427.8928,1271.758,-1.3752,1271.758,21.986,6.0846,3.3733,4.2549,873.6895,943.21,#N/A N/A,#N/A N/A,187.968,1.7876,0.0057,#N/A N/A,232.889,#N/A N/A,#N/A N/A,45.163,51.427,48.621,#N/A N/A,67.0747,1.0256,5.3459,300.03
12/31/2007,335,2531420,22568.3626,32.0796,1.4535,#N/A N/A,6.4021,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,7.1103,10.4428,10.4428,52.3269,0.7,0.7,10.4428,0.9183,92.8897,29817.9314,1271.758,-1.3752,1271.758,23.7921,6.0846,3.1173,3.9319,873.6895,943.21,#N/A N/A,#N/A N/A,187.968,1.7876,0.0052,#N/A N/A,242.741,#N/A N/A,#N/A N/A,47.864,55.852,48.561,#N/A N/A,69.5649,1.0256,5.7851,314
1/31/2008,293.69,2173885,22568.3626,28.1237,1.4661,#N/A N/A,5.6126,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,7.1103,10.4428,10.4428,52.3269,0.7,0.7,10.4428,0.9183,92.8897,25935.4109,1271.758,-1.3752,1271.758,20.8582,6.0846,3.5557,4.4849,873.6895,943.21,#N/A N/A,#N/A N/A,187.968,1.7876,0.006,#N/A N/A,251.9475,#N/A N/A,#N/A N/A,61.072,50.65,54.376,#N/A N/A,61.4362,1.0256,5.0717,338
2/29/2008,344.36,1392035,22568.3626,32.9759,1.7209,#N/A N/A,6.5809,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,7.1103,10.4428,10.4428,52.3269,0.7,0.7,10.4428,0.9183,92.8897,30697.6311,1271.758,-1.3752,1271.758,24.4568,6.0846,3.0325,3.825,873.6895,943.21,#N/A N/A,#N/A N/A,187.968,1.7876,0.0051,#N/A N/A,262.6235,#N/A N/A,#N/A N/A,32.08,46.052,47.041,#N/A N/A,66.5927,1.0256,5.9467,294
