Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,29.55,19851795,2667.5218,21.1676,0.9961,#N/A N/A,2.5076,6.0855,6.0855,7.3348,8.0614,-2.1337,1.7117,11.9383,11.9383,1.396,1.396,11.784,0.1667,0.1667,1.396,1.2053,88.0617,5004.5618,523.4555,-0.082,523.4555,9.6427,19.9444,4.7242,7.4581,246.9728,238.4657,#N/A N/A,#N/A N/A,113.875,0.7968,0.0321,9.9794,17.3828,9.5971,13.7916,41.684,35.834,34.519,79.2862,79.4199,0.154,1.2881,26.6
2/28/2007,24.41,5783265,2667.5218,17.4833,0.8899,#N/A N/A,2.0712,6.0855,6.0855,7.3348,8.0614,-2.1337,1.7117,11.9383,11.9383,1.396,1.396,11.784,0.1667,0.1667,1.396,1.2053,88.0617,4126.0162,523.4555,-0.082,523.4555,7.9643,19.9444,5.7197,9.0297,246.9728,238.4657,#N/A N/A,#N/A N/A,113.875,0.7968,0.0389,10.3829,18.1207,9.7093,14.4371,41.444,40.03,37.705,70.5147,67.8624,0.154,1.0639,28.87
3/30/2007,22.69,5137365,3876.3049,16.489,0.8786,#N/A N/A,1.5908,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,8.4722,1.3763,1.3763,14.2651,0.2333,0.2333,1.3763,1.3263,91.5278,4697.4926,830.8153,0.9884,830.8153,9.3366,17.6864,6.0646,8.5186,468.2568,470.4346,#N/A N/A,#N/A N/A,113.875,0.7835,0.2773,10.7543,18.772,9.8005,15.014,42.961,42.255,38.974,67.9251,64.4954,0.116,1.3019,24.66
4/30/2007,24.66,3398175,3876.3049,17.9204,0.8993,#N/A N/A,1.7289,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,8.4722,1.3763,1.3763,14.2651,0.2333,0.2333,1.3763,1.3263,91.5278,5033.9932,830.8153,0.9884,830.8153,10.1471,17.6864,5.5802,7.8382,468.2568,470.4346,#N/A N/A,#N/A N/A,113.875,0.7835,0.2551,11.1736,19.4862,9.9149,15.5956,39.503,40.818,40.654,69.2675,66.5504,0.116,1.415,21.6
5/31/2007,26.33,5162820,3876.3049,19.1314,0.9157,#N/A N/A,1.8458,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,8.4722,1.3763,1.3763,14.2651,0.2333,0.2333,1.3763,1.3263,91.5278,5318.6807,830.8153,0.9884,830.8153,10.8328,17.6864,5.227,7.342,468.2568,470.4346,#N/A N/A,#N/A N/A,113.875,0.7835,0.239,11.6362,20.2845,10.0146,16.2297,29.617,36.589,40.48,70.3535,68.226,0.116,1.5106,25.33
6/29/2007,34.99,15125070,3876.3049,25.4238,1.36,#N/A N/A,2.4528,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,8.4722,1.3763,1.3763,14.2651,0.2333,0.2333,1.3763,1.3263,91.5278,6797.917,830.8153,0.9884,830.8153,14.3958,17.6864,3.9333,5.5249,468.2568,470.4346,#N/A N/A,#N/A N/A,113.875,0.7835,0.1798,12.2614,21.5585,10.1702,17.154,38.987,37.09,39.33,75.0856,75.1825,0.116,2.0074,26.33
7/31/2007,39.96,13771605,3876.3049,29.035,1.4592,#N/A N/A,2.8012,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,8.4722,1.3763,1.3763,14.2651,0.2333,0.2333,1.3763,1.3263,91.5278,7646.8551,830.8153,0.9884,830.8153,16.4406,17.6864,3.4441,4.8377,468.2568,470.4346,#N/A N/A,#N/A N/A,113.875,0.7835,0.1575,12.966,23.0358,10.3792,18.2718,34.655,35.402,36.081,77.2422,78.1404,0.116,2.2926,35.43
8/31/2007,39.75,6527835,3876.3049,28.8848,1.4715,#N/A N/A,2.7868,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,8.4722,1.3763,1.3763,14.2651,0.2333,0.2333,1.3763,1.3263,91.5278,7611.5538,830.8153,0.9884,830.8153,16.3555,17.6864,3.462,4.8629,468.2568,470.4346,#N/A N/A,#N/A N/A,113.875,0.7835,0.1583,13.6656,24.3753,10.6139,19.3793,35.924,37.987,36.326,76.9556,77.7256,0.116,2.2807,39.2
9/28/2007,45.3,12153708,3876.3049,32.9151,1.5895,#N/A N/A,3.1756,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,8.4722,1.3763,1.3763,14.2651,0.2333,0.2333,1.3763,1.3263,91.5278,8559.0619,830.8153,0.9884,830.8153,18.6376,17.6864,3.0381,4.2675,468.2568,470.4346,#N/A N/A,#N/A N/A,113.875,0.7835,0.1389,14.4829,25.8578,10.8667,20.6857,50.858,41.459,39.839,79.1075,80.6888,0.116,2.5989,39.93
10/31/2007,52.47,15044679,3876.3049,38.1224,1.618,#N/A N/A,3.678,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,8.4722,1.3763,1.3763,14.2651,0.2333,0.2333,1.3763,1.3263,91.5278,9783.2289,830.8153,0.9884,830.8153,21.5861,17.6864,2.6231,3.6845,468.2568,470.4346,#N/A N/A,#N/A N/A,113.875,0.7835,0.1199,15.4387,27.6765,11.2024,22.196,58.938,48.48,44.986,81.4258,83.7052,0.116,3.0101,45.37
