Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,228.98,3105564,25643.3794,48.1892,2.2677,49.2319,3.7492,5.9347,5.9347,4.4781,44.5788,17.9586,2.0044,49.8535,49.8535,4.6509,4.7516,61.0726,2.25,2.25,4.7516,0.7546,50.1465,24801.1221,1209.074,0.9834,1209.074,18.2034,4.4332,2.0752,3.7745,525.4479,456.7262,#N/A N/A,8.5027,505.9862,1.0962,0.1274,147.5015,222.8863,106.6795,194.7892,23.3,39.198,39.828,64.9352,51.9668,0.7248,2.8599,217.5
2/28/2007,248.63,4194180,25643.3794,52.3246,2.6633,53.4569,4.071,5.9347,5.9347,4.4781,44.5788,17.9586,2.0044,49.8535,49.8535,4.6509,4.7516,61.0726,2.25,2.25,4.7516,0.7546,50.1465,27306.7875,1209.074,0.9834,1209.074,19.7656,4.4332,1.9111,3.4762,525.4479,456.7262,#N/A N/A,8.5027,505.9862,1.0962,0.1149,151.4185,226.4988,109.0443,199.1833,39.299,31.641,38.974,66.6409,56.5196,0.7248,3.1053,229.25
3/30/2007,249.43,7274576,25759.9077,26.6637,1.4208,40.1346,3.416,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,40.1051,9.2052,9.3545,73.0156,2.5,2.5,9.3545,0.7127,72.9238,27944.1192,1569.7509,1.1737,1569.7509,16.1974,5.6175,3.7504,4.571,873.1404,953.5789,#N/A N/A,8.4945,516.3858,1.2395,0.1495,155.399,229.4938,111.4048,203.9242,16.487,27.262,29.283,66.7092,56.6995,0.8037,2.6779,252
4/30/2007,251,770516,25759.9077,26.832,1.3465,40.388,3.4376,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,40.1051,9.2052,9.3545,73.0156,2.5,2.5,9.3545,0.7127,72.9238,28106.7808,1569.7509,1.1737,1569.7509,16.2997,5.6175,3.7269,4.5423,873.1404,953.5789,#N/A N/A,8.4945,516.3858,1.2395,0.1485,159.294,232.6438,113.7873,208.6925,28.15,28.769,26.669,66.8472,57.0762,0.8037,2.6949,249.98
5/31/2007,251.32,860424,25759.9077,26.8668,1.286,40.4403,3.4421,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,40.1051,9.2052,9.3545,73.0156,2.5,2.5,9.3545,0.7127,72.9238,28140.3458,1569.7509,1.1737,1569.7509,16.3208,5.6175,3.7221,4.5364,873.1404,953.5789,#N/A N/A,8.4945,516.3858,1.2395,0.1483,163.3955,233.75,116.1773,212.6433,28.714,24.089,28.583,66.8765,57.159,0.8037,2.6983,250
6/29/2007,259.9,1274406,25759.9077,27.7834,1.4862,41.8201,3.5595,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,40.1051,9.2052,9.3545,73.0156,2.5,2.5,9.3545,0.7127,72.9238,29025.9478,1569.7509,1.1737,1569.7509,16.8776,5.6175,3.5993,4.3868,873.1404,953.5789,#N/A N/A,8.4945,516.3858,1.2395,0.1434,167.631,235.9875,118.6613,217.0233,20.249,25.201,23.339,67.6573,59.3853,0.8037,2.7904,254.7
7/31/2007,242.13,1304176,25759.9077,25.8833,1.3008,38.96,3.3161,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,40.1051,9.2052,9.3545,73.0156,2.5,2.5,9.3545,0.7127,72.9238,27190.1956,1569.7509,1.1737,1569.7509,15.7234,5.6175,3.8635,4.7088,873.1404,953.5789,#N/A N/A,8.4945,516.3858,1.2395,0.154,171.286,237.0425,120.902,220.7858,16.413,21.135,22.445,64.4022,53.2122,0.8037,2.5996,255.5
8/31/2007,242.25,3642336,25759.9077,25.8966,1.3192,38.9801,3.3178,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,40.1051,9.2052,9.3545,73.0156,2.5,2.5,9.3545,0.7127,72.9238,27203.1053,1569.7509,1.1737,1569.7509,15.7315,5.6175,3.8615,4.7064,873.1404,953.5789,#N/A N/A,8.4945,516.3858,1.2395,0.1539,174.9035,236.6913,123.1833,223.7267,21.518,22.347,22.727,64.4146,53.249,0.8037,2.6009,248.85
9/28/2007,242.68,2144368,25759.9077,25.9421,1.2528,39.0485,3.3236,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,40.1051,9.2052,9.3545,73.0156,2.5,2.5,9.3545,0.7127,72.9238,27247.1925,1569.7509,1.1737,1569.7509,15.7591,5.6175,3.8547,4.6981,873.1404,953.5789,#N/A N/A,8.4945,516.3858,1.2395,0.1536,178.316,235.2913,125.4585,225.9492,21.43,22.669,23.183,64.4583,53.3833,0.8037,2.6055,247.5
10/31/2007,242.3,3374004,25759.9077,25.902,1.0993,38.9881,3.3185,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,40.1051,9.2052,9.3545,73.0156,2.5,2.5,9.3545,0.7127,72.9238,27208.4632,1569.7509,1.1737,1569.7509,15.7347,5.6175,3.8607,4.7054,873.1404,953.5789,#N/A N/A,8.4945,516.3858,1.2395,0.1539,181.67,234.0913,127.5878,228.35,34.502,26.077,24.617,64.3861,53.238,0.8037,2.6015,243.48
11/30/2007,241.78,1670786,25759.9077,25.8459,1.1051,38.9036,3.3113,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,40.1051,9.2052,9.3545,73.0156,2.5,2.5,9.3545,0.7127,72.9238,27154.2423,1569.7509,1.1737,1569.7509,15.7006,5.6175,3.8691,4.7156,873.1404,953.5789,#N/A N/A,8.4945,516.3858,1.2395,0.1542,184.9295,233.51,129.647,230.9708,25.172,27.239,26.752,64.2818,53.0204,0.8037,2.5958,250
