Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,33.67,16980200,11154.4348,14.5136,0.683,#N/A N/A,2.0361,3.3875,3.3875,4.9422,128.7859,96.5031,1.0462,19.3951,19.3951,2.3199,2.3199,16.5369,0.45,0.45,2.3199,1.4589,80.6049,21741.9219,2383.3,2.5671,2383.3,5.4162,13.7981,6.8901,12.8087,1224.7909,889.4,#N/A N/A,4.9121,383.4,0.3932,0.5226,24.0543,29.2083,16.6219,27.8148,28.449,29.085,34.8,62.3283,60.1257,0.2119,0.4917,35.1
2/28/2007,30.56,5696960,11154.4348,13.173,0.6705,#N/A N/A,1.848,3.3875,3.3875,4.9422,128.7859,96.5031,1.0462,19.3951,19.3951,2.3199,2.3199,16.5369,0.45,0.45,2.3199,1.4589,80.6049,20298.8042,2383.3,2.5671,2383.3,4.9159,13.7981,7.5913,14.1122,1224.7909,889.4,#N/A N/A,4.9121,383.4,0.3932,0.5758,24.3971,29.554,16.8644,28.132,28.093,27.424,29.339,59.2135,53.9824,0.2119,0.4462,34.2
3/30/2007,27.99,11589560,12985.7332,9.9889,0.5323,10.0125,1.3891,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,17.8373,2.795,2.8016,20.1455,0.45,0.45,2.8016,1.8214,82.1627,20619.8197,4055.61,1.8824,4055.61,2.8833,19.6685,10.0111,24.657,1719.0043,1170.64,#N/A N/A,5.184,464.09,0.437,0.7247,24.7062,29.7388,17.0827,28.344,42.112,33.224,33.075,56.7829,49.4749,0.1424,0.272,29.76
4/30/2007,31.59,13398930,12985.7332,11.2757,0.5658,11.3023,1.5681,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,17.8373,2.795,2.8016,20.1455,0.45,0.45,2.8016,1.8214,82.1627,22292.6298,4055.61,1.8824,4055.61,3.2547,19.6685,8.8686,21.8431,1719.0043,1170.64,#N/A N/A,5.184,464.09,0.437,0.642,25.096,29.8763,17.334,28.6937,27.796,34.328,31.385,59.2079,55.1243,0.1424,0.307,27.1
5/31/2007,35.9,30568480,12985.7332,12.8123,0.6133,12.8426,1.7818,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,17.8373,2.795,2.8016,20.1455,0.45,0.45,2.8016,1.8214,82.1627,24290.2574,4055.61,1.8824,4055.61,3.6982,19.6685,7.805,19.2234,1719.0043,1170.64,#N/A N/A,5.184,464.09,0.437,0.565,25.5673,30.2065,17.6327,29.1195,35.075,29.65,34.334,61.8523,60.766,0.1424,0.3489,35
6/29/2007,31.93,27378430,12985.7332,11.3953,0.6096,11.4222,1.5847,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,17.8373,2.795,2.8016,20.1455,0.45,0.45,2.8016,1.8214,82.1627,22448.0782,4055.61,1.8824,4055.61,3.2892,19.6685,8.7756,21.6139,1719.0043,1170.64,#N/A N/A,5.184,464.09,0.437,0.6352,25.9697,30.52,17.9012,29.3978,22.492,29.674,32.239,58.25,54.0213,0.1424,0.3103,36.3
7/31/2007,37.92,28084320,12985.7332,13.5351,0.6802,13.5671,1.8823,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,17.8373,2.795,2.8016,20.1455,0.45,0.45,2.8016,1.8214,82.1627,25229.9081,4055.61,1.8824,4055.61,3.9069,19.6685,7.3882,18.1969,1719.0043,1170.64,#N/A N/A,5.184,464.09,0.437,0.5348,26.4086,31.0305,18.2288,29.781,39.274,36.221,33.777,61.7316,61.0516,0.1424,0.3686,32
8/31/2007,40.55,24555594,12985.7332,14.4739,0.7373,14.508,2.0129,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,17.8373,2.795,2.8016,20.1455,0.45,0.45,2.8016,1.8214,82.1627,26450.2861,4055.61,1.8824,4055.61,4.1778,19.6685,6.909,17.0166,1719.0043,1170.64,#N/A N/A,5.184,464.09,0.437,0.5001,26.8461,31.661,18.5942,30.1388,50.049,41.555,37.956,63.1271,63.6757,0.1424,0.3941,37.48
9/28/2007,39.2,24032573,12985.7332,13.992,0.6757,14.025,1.9458,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,17.8373,2.795,2.8016,20.1455,0.45,0.45,2.8016,1.8214,82.1627,25823.8598,4055.61,1.8824,4055.61,4.0388,19.6685,7.1469,17.6027,1719.0043,1170.64,#N/A N/A,5.184,464.09,0.437,0.5173,27.3167,32.071,18.9378,30.4872,28.665,39.559,36.769,61.928,61.3894,0.1424,0.381,40.75
10/31/2007,38.95,31315790,12985.7332,13.9028,0.5901,13.9356,1.9334,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,17.8373,2.795,2.8016,20.1455,0.45,0.45,2.8016,1.8214,82.1627,25707.8535,4055.61,1.8824,4055.61,4.013,19.6685,7.1928,17.7157,1719.0043,1170.64,#N/A N/A,5.184,464.09,0.437,0.5207,27.7192,32.5215,19.2622,30.888,37.526,38.73,39.654,61.7034,60.9529,0.1424,0.3786,39.1
