Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
31/01/2007,79.59,3947780,61968.9732,35.9855,1.6934,35.9855,11.8131,7.0224,7.0224,13.1366,54.373,33.4068,1.4526,45.2137,45.2137,2.2117,2.2117,6.7374,1,1,2.2117,1.8707,54.7863,79302.3287,3965.22,0.595,3965.22,19.253,6.107,2.7789,4.3004,2013.5732,2121.48,#N/A N/A,3.8441,959.2,0.6427,0.0503,41.9702,60.0835,29.4689,51.4551,38.463,26.572,23.31,78.3406,78.0031,0.192,2.527,74.4
28/02/2007,73.71,7381940,61968.9732,33.3247,1.6962,33.3247,10.9397,7.0224,7.0224,13.1366,54.373,33.4068,1.4526,45.2137,45.2137,2.2117,2.2117,6.7374,1,1,2.2117,1.8707,54.7863,73657.4484,3965.22,0.595,3965.22,17.8294,6.107,3.0008,4.6438,2013.5732,2121.48,#N/A N/A,3.8441,959.2,0.6427,0.0543,43.0106,61.7138,30.0781,52.8559,25.708,28.093,25.913,73.0509,68.9593,0.192,2.3402,78.5
30/03/2007,76.26,9884720,73148.4235,25.3296,1.3497,25.3296,9.4046,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,43.1794,2.9298,2.9298,8.1088,1.3,1.3,3.0107,1.9677,56.8206,76162.4893,4906.9,0.4918,4906.9,14.9073,6.4427,3.9479,5.8723,2885.0099,2810.3,#N/A N/A,4.0922,959.2,0.5703,0.063,44.1012,63.249,30.713,54.3194,41.5,35.979,31.509,73.8441,70.5554,0.1956,1.9932,75.1
30/04/2007,79.09,3691310,73148.4235,26.2696,1.3183,26.2696,9.7536,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,43.1794,2.9298,2.9298,8.1088,1.3,1.3,3.0107,1.9677,56.8206,78877.0197,4906.9,0.4918,4906.9,15.4605,6.4427,3.8067,5.6622,2885.0099,2810.3,#N/A N/A,4.0922,959.2,0.5703,0.0608,45.2595,64.7805,31.382,55.9712,23.416,32.309,31.982,74.6974,72.2571,0.1956,2.0671,75
31/05/2007,83.02,8652000,73148.4235,27.5733,1.3198,27.5733,10.2377,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,43.1794,2.9298,2.9298,8.1088,1.3,1.3,3.0107,1.9677,56.8206,82641.8718,4906.9,0.4918,4906.9,16.2277,6.4427,3.6267,5.3945,2885.0099,2810.3,#N/A N/A,4.0922,959.2,0.5703,0.0579,46.4797,66.4077,32.0995,57.7364,19.66,25.791,28.284,75.8288,74.4616,0.1956,2.1697,79.4
29/06/2007,81.02,6785290,73148.4235,26.909,1.4395,26.909,9.991,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,43.1794,2.9298,2.9298,8.1088,1.3,1.3,3.0107,1.9677,56.8206,80723.4758,4906.9,0.4918,4906.9,15.8368,6.4427,3.7162,5.5276,2885.0099,2810.3,#N/A N/A,4.0922,959.2,0.5703,0.0593,47.6584,68.0388,32.8058,59.37,22.665,23.214,28.904,74.0826,71.3504,0.1956,2.1174,84
31/07/2007,88.59,7239890,73148.4235,29.425,1.4788,29.425,10.9252,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,43.1794,2.9298,2.9298,8.1088,1.3,1.3,3.0107,1.9677,56.8206,87989.4006,4906.9,0.4918,4906.9,17.3175,6.4427,3.3985,5.055,2885.0099,2810.3,#N/A N/A,4.0922,959.2,0.5703,0.0542,48.9267,69.842,33.5867,61.1235,21.445,22.417,23.322,76.2275,75.522,0.1956,2.3154,82.87
31/08/2007,94.3,3544360,73148.4235,31.3216,1.5956,31.3216,11.6294,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,43.1794,2.9298,2.9298,8.1088,1.3,1.3,3.0107,1.9677,56.8206,93466.4212,4906.9,0.4918,4906.9,18.4337,6.4427,3.1927,4.7489,2885.0099,2810.3,#N/A N/A,4.0922,959.2,0.5703,0.051,50.3065,71.6632,34.4407,63.082,29.947,25.574,24.548,77.6687,78.1095,0.1956,2.4647,86.3
28/09/2007,98.84,13610800,73148.4235,32.8279,1.5853,32.8279,12.1886,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,43.1794,2.9298,2.9298,8.1088,1.3,1.3,3.0107,1.9677,56.8206,97816.5802,4906.9,0.4918,4906.9,19.3202,6.4427,3.0462,4.531,2885.0099,2810.3,#N/A N/A,4.0922,959.2,0.5703,0.0486,51.7519,73.5333,35.3267,65.07,26.168,26.036,25.431,78.7282,79.9246,0.1956,2.5832,94.5
31/10/2007,103.23,17709560,73148.4235,34.2877,1.4553,34.2877,12.7307,7.6575,7.6575,15.0675,55.0143,28.8029,1.2519,43.1794,43.1794,2.9298,2.9298,8.1088,1.3,1.3,3.0107,1.9677,56.8206,102032.2641,4906.9,0.4918,4906.9,20.1793,6.4427,2.9165,4.3381,2885.0099,2810.3,#N/A N/A,4.0922,959.2,0.5703,0.0466,53.2015,75.347,36.2279,67.2708,59.431,40.287,35.288,79.694,81.5235,0.1956,2.6981,96.01
