Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,52.39,2286100,17271.9238,14.1747,0.667,#N/A N/A,3.5221,11.1451,11.1451,#N/A N/A,103.2569,75.6977,2.6772,27.5904,27.5904,3.6476,3.6957,14.8731,1,1,3.6957,#N/A N/A,72.4096,12303.3849,1411.6551,1.5418,1411.6551,6.9386,7.2585,7.0548,11.6208,736.7415,691.0138,#N/A N/A,#N/A N/A,193.3172,1.0225,0.2932,37.3884,74.939,19.2156,57.3721,20.705,43.852,38.323,60.7187,21.6336,0.5102,1.5798,56.08
2/28/2007,50.05,2497370,17271.9238,13.5415,0.6893,#N/A N/A,3.3648,11.1451,11.1451,#N/A N/A,103.2569,75.6977,2.6772,27.5904,27.5904,3.6476,3.6957,14.8731,1,1,3.6957,#N/A N/A,72.4096,11851.0231,1411.6551,1.5418,1411.6551,6.6286,7.2585,7.3847,12.1642,736.7415,691.0138,#N/A N/A,#N/A N/A,193.3172,1.0225,0.3069,38.3566,75.0969,19.7048,58.6265,43.533,38.32,41.329,59.9481,21.0711,0.5102,1.5092,52.5
3/30/2007,45.45,667790,8786.266,10.573,0.5634,10.9726,2.5286,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,24.4261,4.1421,4.2987,17.9745,1.05,1.05,4.2987,1.023,75.5739,12816.2787,1780.7486,2.2631,1780.7486,4.934,13.8944,9.4581,16.1694,914.6539,831.0096,#N/A N/A,#N/A N/A,193.3172,0.4816,0.4646,39.2308,73.9177,20.1502,59.7193,39.71,35.056,43.08,58.4413,19.9728,0.0145,1.0011,49.31
4/30/2007,49.7,1356460,8786.266,11.5617,0.5802,11.9986,2.765,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,24.4261,4.1421,4.2987,17.9745,1.05,1.05,4.2987,1.023,75.5739,13637.876,1780.7486,2.2631,1780.7486,5.3954,13.8944,8.6493,14.7867,914.6539,831.0096,#N/A N/A,#N/A N/A,193.3172,0.4816,0.4249,40.1915,71.8955,20.6374,60.8699,56.835,46.999,40.031,59.4173,23.9226,0.0145,1.0947,44.5
5/31/2007,48.65,2001190,8786.266,11.3174,0.5417,11.7451,2.7066,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,24.4261,4.1421,4.2987,17.9745,1.05,1.05,4.2987,1.023,75.5739,13434.8931,1780.7486,2.2631,1780.7486,5.2814,13.8944,8.8359,15.1059,914.6539,831.0096,#N/A N/A,#N/A N/A,193.3172,0.4816,0.4341,41.1345,69.39,21.1151,61.8672,37.752,44.659,42.522,59.0628,23.6126,0.0145,1.0716,50.7
6/29/2007,60.98,6555110,8786.266,14.1857,0.7589,14.7218,3.3926,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,24.4261,4.1421,4.2987,17.9745,1.05,1.05,4.2987,1.023,75.5739,15818.4916,1780.7486,2.2631,1780.7486,6.62,13.8944,7.0493,12.0515,914.6539,831.0096,#N/A N/A,#N/A N/A,193.3172,0.4816,0.3463,42.3205,67.263,21.716,63.2598,39.771,44.549,42.587,61.8292,34.3703,0.0145,1.3432,49
7/31/2007,62.71,4792870,8786.266,14.5882,0.7331,15.1395,3.4888,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,24.4261,4.1421,4.2987,17.9745,1.05,1.05,4.2987,1.023,75.5739,16152.93,1780.7486,2.2631,1780.7486,6.8078,13.8944,6.8549,11.719,914.6539,831.0096,#N/A N/A,#N/A N/A,193.3172,0.4816,0.3368,43.5327,65.1018,22.3341,64.6315,45.821,42.051,45.299,62.2,35.7378,0.0145,1.3813,63.49
8/31/2007,59.11,1795870,8786.266,13.7496,0.7004,14.2692,3.2883,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,24.4261,4.1421,4.2987,17.9745,1.05,1.05,4.2987,1.023,75.5739,15456.0223,1780.7486,2.2631,1780.7486,6.4164,13.8944,7.273,12.4338,914.6539,831.0096,#N/A N/A,#N/A N/A,193.3172,0.4816,0.3573,44.6346,62.8065,22.9172,65.7232,29.771,38.098,39.198,60.9243,34.1414,0.0145,1.3019,60.3
9/28/2007,58.59,746720,8786.266,13.6286,0.6581,14.1436,3.2593,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,24.4261,4.1421,4.2987,17.9745,1.05,1.05,4.2987,1.023,75.5739,15355.674,1780.7486,2.2631,1780.7486,6.36,13.8944,7.3375,12.5442,914.6539,831.0096,#N/A N/A,#N/A N/A,193.3172,0.4816,0.3605,45.7064,60.1858,23.4922,66.7846,33.395,36.067,37.572,60.7384,33.9061,0.0145,1.2904,59
10/31/2007,60.02,2781350,8786.266,13.9612,0.5925,14.4889,3.3389,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,24.4261,4.1421,4.2987,17.9745,1.05,1.05,4.2987,1.023,75.5739,15632.1216,1780.7486,2.2631,1780.7486,6.5152,13.8944,7.1627,12.2453,914.6539,831.0096,#N/A N/A,#N/A N/A,193.3172,0.4816,0.3519,46.8254,58.1915,24.0793,67.7518,24.97,28.879,34.788,61.0763,35.228,0.0145,1.3219,58.6
11/30/2007,65.77,7864310,8786.266,15.2989,0.6541,15.877,3.6588,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,24.4261,4.1421,4.2987,17.9745,1.05,1.05,4.2987,1.023,75.5739,16743.7117,1780.7486,2.2631,1780.7486,7.1394,13.8944,6.5364,11.1746,914.6539,831.0096,#N/A N/A,#N/A N/A,193.3172,0.4816,0.3211,48.024,57.0125,24.7227,68.6595,28.024,27.213,29.153,62.4213,40.3907,0.0145,1.4486,62.5
12/31/2007,74.41,1197500,8786.266,17.3088,0.7842,17.9629,4.1395,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,24.4261,4.1421,4.2987,17.9745,1.05,1.05,4.2987,1.023,75.5739,18413.9965,1780.7486,2.2631,1780.7486,8.0774,13.8944,5.7774,9.877,914.6539,831.0096,#N/A N/A,#N/A N/A,193.3172,0.4816,0.2838,49.3295,56.7088,25.4504,69.5768,31.403,28.671,29.174,64.337,47.2006,0.0145,1.6389,65.5
1/31/2008,79.5,4300090,8786.266,18.494,0.9641,19.1929,4.4229,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,24.4261,4.1421,4.2987,17.9745,1.05,1.05,4.2987,1.023,75.5739,19398.962,1780.7486,2.2631,1780.7486,8.6305,13.8944,5.4072,9.244,914.6539,831.0096,#N/A N/A,#N/A N/A,193.3172,0.4816,0.2656,50.7226,57.4193,26.2319,69.9257,113.391,66.776,56.89,65.4126,50.7722,0.0145,1.7511,71.86
2/29/2008,68.96,1347030,8786.266,16.0421,0.8372,16.6484,3.8365,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,24.4261,4.1421,4.2987,17.9745,1.05,1.05,4.2987,1.023,75.5739,17361.3691,1780.7486,2.2631,1780.7486,7.4863,13.8944,6.2336,10.6569,914.6539,831.0096,#N/A N/A,#N/A N/A,193.3172,0.4816,0.3062,51.8671,57.9688,26.9076,69.2195,51.599,72.208,60.817,61.4466,44.1229,0.0145,1.5189,83
3/31/2008,54.15,2829770,10468.1255,9.369,0.5641,9.9893,2.5086,9.8556,9.8556,9.8199,132.8903,130.657,1.0022,18.1671,18.6644,5.5692,5.7797,21.586,1.05,1.05,5.7797,0.9964,81.8329,15920.7336,2267.3181,2.4048,2267.3181,4.617,14.2414,10.6735,17.3068,1171.4821,1117.3118,#N/A N/A,#N/A N/A,193.3172,0.3024,0.5297,52.7261,58.379,27.4378,67.7325,72.62,80.292,67.524,56.4699,36.8251,0.013,0.9234,68
4/30/2008,62.04,160020,10468.1255,10.7333,0.5849,11.4439,2.8738,9.8556,9.8556,9.8199,132.8903,130.657,1.0022,18.1671,18.6644,5.5692,5.7797,21.586,1.05,1.05,5.7797,0.9964,81.8329,17445.0618,2267.3181,2.4048,2267.3181,5.2893,14.2414,9.3168,15.107,1171.4821,1117.3118,#N/A N/A,#N/A N/A,193.3172,0.3024,0.4624,53.6872,58.878,28.0458,66.3497,49.688,57.53,71.057,58.3288,42.2973,0.013,1.0578,56
5/30/2008,63.66,247120,10468.1255,11.0136,0.6325,11.7427,2.9489,9.8556,9.8556,9.8199,132.8903,130.657,1.0022,18.1671,18.6644,5.5692,5.7797,21.586,1.05,1.05,5.7797,0.9964,81.8329,17758.2403,2267.3181,2.4048,2267.3181,5.4274,14.2414,9.0797,14.7226,1171.4821,1117.3118,#N/A N/A,#N/A N/A,193.3172,0.3024,0.4506,54.6849,59.304,28.6698,64.9403,27.105,52.889,67.928,58.7036,43.3823,0.013,1.0854,61.61
6/30/2008,49.6,114280,10468.1255,8.5818,0.6001,9.1499,2.2978,9.8556,9.8556,9.8199,132.8903,130.657,1.0022,18.1671,18.6644,5.5692,5.7797,21.586,1.05,1.05,5.7797,0.9964,81.8329,15041.1276,2267.3181,2.4048,2267.3181,4.229,14.2414,11.6526,18.8944,1171.4821,1117.3118,#N/A N/A,#N/A N/A,193.3172,0.3024,0.5783,55.3933,58.7653,29.1557,63.0933,75.79,53.176,56.413,54.3187,36.8992,0.013,0.8458,64.3
7/31/2008,41.86,228210,10468.1255,7.2426,0.4689,7.7221,1.9392,9.8556,9.8556,9.8199,132.8903,130.657,1.0022,18.1671,18.6644,5.5692,5.7797,21.586,1.05,1.05,5.7797,0.9964,81.8329,13544.8307,2267.3181,2.4048,2267.3181,3.5691,14.2414,13.8072,22.3881,1171.4821,1117.3118,#N/A N/A,#N/A N/A,193.3172,0.3024,0.6853,55.9936,58.0855,29.5641,60.7887,63.16,60.582,57.912,52.1016,33.8952,0.013,0.7138,46.7
8/29/2008,43.3,5431770,10468.1255,7.4918,0.481,7.9877,2.0059,9.8556,9.8556,9.8199,132.8903,130.657,1.0022,18.1671,18.6644,5.5692,5.7797,21.586,1.05,1.05,5.7797,0.9964,81.8329,13823.2115,2267.3181,2.4048,2267.3181,3.6919,14.2414,13.348,21.6435,1171.4821,1117.3118,#N/A N/A,#N/A N/A,193.3172,0.3024,0.6625,56.633,57.5428,29.9878,58.902,36.049,59.742,52.841,52.475,34.9562,0.013,0.7384,41.89
9/30/2008,33.84,4347100,10468.1255,5.8541,0.4229,6.2417,1.5674,9.8556,9.8556,9.8199,132.8903,130.657,1.0022,18.1671,18.6644,5.5692,5.7797,21.586,1.05,1.05,5.7797,0.9964,81.8329,11993.4376,2267.3181,2.4048,2267.3181,2.8849,14.2414,17.082,27.6981,1171.4821,1117.3118,#N/A N/A,#N/A N/A,193.3172,0.3024,0.8478,57.0694,56.6153,30.3162,57.0517,52.681,49.44,57.433,49.8339,31.39,0.013,0.577,43.3
10/31/2008,16,4582600,10468.1255,2.7683,0.2628,2.9516,0.7412,9.8556,9.8556,9.8199,132.8903,130.657,1.0022,18.1671,18.6644,5.5692,5.7797,21.586,1.05,1.05,5.7797,0.9964,81.8329,8545.5753,2267.3181,2.4048,2267.3181,1.3642,14.2414,36.123,58.5727,1171.4821,1117.3118,#N/A N/A,#N/A N/A,193.3172,0.3024,1.7929,57.1411,54.913,30.4652,54.9023,96.735,70.795,67.119,45.3815,26.0062,0.013,0.2728,31.21
11/28/2008,13.85,217800,10468.1255,2.3955,0.2451,2.554,0.6414,9.8556,9.8556,9.8199,132.8903,130.657,1.0022,18.1671,18.6644,5.5692,5.7797,21.586,1.05,1.05,5.7797,0.9964,81.8329,8128.9707,2267.3181,2.4048,2267.3181,1.1805,14.2414,41.7456,67.6897,1171.4821,1117.3118,#N/A N/A,#N/A N/A,193.3172,0.3024,2.0719,57.1647,53.3328,30.5935,53.1875,102.603,87.414,76.086,44.8803,25.4385,0.013,0.2361,18
12/31/2008,17.6,147320,10468.1255,3.0443,0.2663,3.2458,0.8151,9.8556,9.8556,9.8199,132.8903,130.657,1.0022,18.1671,18.6644,5.5692,5.7797,21.586,1.05,1.05,5.7797,0.9964,81.8329,8853.9207,2267.3181,2.4048,2267.3181,1.5002,14.2414,32.8484,53.2631,1171.4821,1117.3118,#N/A N/A,#N/A N/A,193.3172,0.3024,1.6303,57.213,51.7275,30.7595,51.8417,88.303,99.041,85.539,45.9548,28.369,0.013,0.3,13.6
1/30/2009,15.1,132980,10468.1255,2.6126,0.2303,2.7856,0.6995,9.8556,9.8556,9.8199,132.8903,130.657,1.0022,18.1671,18.6644,5.5692,5.7797,21.586,1.05,1.05,5.7797,0.9964,81.8329,8371.5873,2267.3181,2.4048,2267.3181,1.2875,14.2414,38.276,62.0638,1171.4821,1117.3118,#N/A N/A,#N/A N/A,193.3172,0.3024,1.8997,57.1403,50.05,30.9009,50.8135,94.265,93.572,93.88,45.3464,27.592,0.013,0.2575,17.1
2/27/2009,13.7,117330,10468.1255,2.3695,0.2219,2.5264,0.6344,9.8556,9.8556,9.8199,132.8903,130.657,1.0022,18.1671,18.6644,5.5692,5.7797,21.586,1.05,1.05,5.7797,0.9964,81.8329,8099.9727,2267.3181,2.4048,2267.3181,1.1677,14.2414,42.2029,68.4311,1171.4821,1117.3118,#N/A N/A,#N/A N/A,193.3172,0.3024,2.0946,57.0302,47.6858,31.0282,49.5348,70.194,83.462,91.542,44.9994,27.1411,0.013,0.2335,14.6
