Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,283.7,5765339,10443.4687,19.7085,0.9274,19.7085,3.381,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,16.6726,14.3948,14.3948,83.9091,2.4,2.4,14.3948,1.1619,83.3274,12023.794,1087.385,0.7523,1087.385,10.3053,9.6558,5.074,7.7527,566.4592,568.578,#N/A N/A,0.776,394.987,0.7715,0.0965,191.1474,207.325,154.9681,212.895,67.278,70.749,70.436,59.2261,57.252,0.0844,1.5396,266.8
2/28/2007,241.75,1395854,10443.4687,16.7942,0.8548,16.7942,2.8811,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,16.6726,14.3948,14.3948,83.9091,2.4,2.4,14.3948,1.1619,83.3274,10366.8235,1087.385,0.7523,1087.385,8.7815,9.6558,5.9544,9.098,566.4592,568.578,#N/A N/A,0.776,394.987,0.7715,0.1133,193.7251,209.9075,155.9666,214.7683,54.55,67.789,71.608,56.0465,49.6353,0.0844,1.3119,285.45
3/30/2007,213.3,1129857,10443.4687,14.8178,0.7896,14.8178,2.542,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,16.6726,14.3948,14.3948,83.9091,2.4,2.4,14.3948,1.1619,83.3274,9243.0855,1087.385,0.7523,1087.385,7.748,9.6558,6.7486,10.3114,566.4592,568.578,#N/A N/A,0.776,394.987,0.7715,0.1284,195.6112,210.2375,156.4496,215.4483,54.997,58.149,62.396,54.0122,45.2396,0.0844,1.1575,242.55
4/30/2007,235.6,1141074,10443.4687,16.367,0.8213,16.367,2.8078,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,16.6726,14.3948,14.3948,83.9091,2.4,2.4,14.3948,1.1619,83.3274,10123.9065,1087.385,0.7523,1087.385,8.5581,9.6558,6.1099,9.3354,566.4592,568.578,#N/A N/A,0.776,394.987,0.7715,0.1162,198.1332,210.2075,156.8056,216.7267,47.486,53.208,56.589,55.327,49.0485,0.0844,1.2786,203.4
5/31/2007,262.65,1364946,10443.4687,18.2461,0.8734,18.2461,3.1302,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,16.6726,14.3948,14.3948,83.9091,2.4,2.4,14.3948,1.1619,83.3274,11192.3463,1087.385,0.7523,1087.385,9.5406,9.6558,5.4806,8.374,566.4592,568.578,#N/A N/A,0.776,394.987,0.7715,0.1042,201.5862,208.6175,156.9486,216.5467,66.655,56.028,56.081,56.8742,53.2925,0.0844,1.4254,238.15
6/29/2007,291.9,2012797,10443.4687,20.2781,1.0848,20.2781,3.4788,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,16.6726,14.3948,14.3948,83.9091,2.4,2.4,14.3948,1.1619,83.3274,12347.6833,1087.385,0.7523,1087.385,10.6031,9.6558,4.9314,7.5349,566.4592,568.578,#N/A N/A,0.776,394.987,0.7715,0.0938,205.6721,212.385,157.5808,217.6067,58.534,57.913,57.73,58.4826,57.4224,0.0844,1.5841,266.6
7/31/2007,250.8,1136556,10443.4687,17.4229,0.8756,17.4229,2.9889,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,16.6726,14.3948,14.3948,83.9091,2.4,2.4,14.3948,1.1619,83.3274,10724.2868,1087.385,0.7523,1087.385,9.1102,9.6558,5.7396,8.7697,566.4592,568.578,#N/A N/A,0.776,394.987,0.7715,0.1092,208.4881,212.875,157.3063,217.2783,34.511,55.177,53.189,55.4751,50.646,0.0844,1.361,297.4
8/31/2007,244.05,416994,10443.4687,16.954,0.8637,16.954,2.9085,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,16.6726,14.3948,14.3948,83.9091,2.4,2.4,14.3948,1.1619,83.3274,10457.6705,1087.385,0.7523,1087.385,8.865,9.6558,5.8983,9.0122,566.4592,568.578,#N/A N/A,0.776,394.987,0.7715,0.1122,211.0891,213.0225,157.7468,217.2233,38.987,42.993,50.772,54.9946,49.6105,0.0844,1.3244,243.2
9/28/2007,290.2,2343732,10443.4687,20.16,0.9735,20.16,3.4585,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,16.6726,14.3948,14.3948,83.9091,2.4,2.4,14.3948,1.1619,83.3274,12280.623,1087.385,0.7523,1087.385,10.5414,9.6558,4.9603,7.579,566.4592,568.578,#N/A N/A,0.776,394.987,0.7715,0.0943,214.3891,216.6925,158.7188,220.0033,81.15,55.985,56.426,57.5925,56.2035,0.0844,1.5749,248
10/31/2007,314.5,1668521,10443.4687,21.8481,0.9273,21.8481,3.7481,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,16.6726,14.3948,14.3948,83.9091,2.4,2.4,14.3948,1.1619,83.3274,13240.4487,1087.385,0.7523,1087.385,11.4241,9.6558,4.5771,6.9934,566.4592,568.578,#N/A N/A,0.776,394.987,0.7715,0.0871,217.8091,222.495,160.1638,223.925,49.386,58.315,53.006,58.8853,59.2285,0.0844,1.7067,293.15
