Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,41.77,82500330,105932,18.4272,0.8671,18.4272,5.2161,16.3746,16.3746,12.271,0.4379,-87.2498,1.4993,19.5159,19.5159,2.267,2.267,8.0088,0.4424,0.4424,2.267,0.7494,80.4841,91838.737,9007.696,-2.0496,9007.696,12.2433,10.2961,5.4268,7.3561,5553.8538,5984.851,#N/A N/A,#N/A N/A,800,0.9107,0.0008,21.3902,31.9432,11.9177,27.7416,30.915,36.754,32.812,70.665,70.6918,0.584,3.0174,40.7
2/28/2007,46.12,222099108,105932,20.3454,1.0356,20.3454,5.759,16.3746,16.3746,12.271,0.4379,-87.2498,1.4993,19.5159,19.5159,2.267,2.267,8.0088,0.4424,0.4424,2.267,0.7494,80.4841,103318.737,9007.696,-2.0496,9007.696,13.5178,10.2961,4.9151,6.6626,5553.8538,5984.851,#N/A N/A,#N/A N/A,800,0.9107,0.0008,22.2068,33.1998,12.3705,28.7825,63.466,49.085,41.892,72.4923,74.3292,0.584,3.3315,41.76
3/30/2007,45.58,71077611,120320,16.4472,0.8764,16.4472,4.5066,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,19.6842,2.771,2.771,10.1131,0.5455,0.5455,2.771,0.7168,80.3158,99456.966,9731.424,-2.1462,9731.424,12.3641,9.7846,6.0801,7.3119,6817.5617,7315.519,#N/A N/A,#N/A N/A,800,1.1545,0.0002,22.9967,34.3721,12.8199,29.7551,42.4,46.894,46.097,71.9094,73.1002,0.6363,2.972,46.39
4/30/2007,52.07,142417473,120320,18.7907,0.943,18.7907,5.1488,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,19.6842,2.771,2.771,10.1131,0.5455,0.5455,2.771,0.7168,80.3158,116600.966,9731.424,-2.1462,9731.424,14.1258,9.7846,5.3218,6.4,6817.5617,7315.519,#N/A N/A,#N/A N/A,800,1.1545,0.0002,23.9168,35.892,13.3338,30.9325,45.845,51.191,45.89,74.434,77.7945,0.6363,3.3954,44.55
5/31/2007,54.77,97044519,120320,19.7646,0.946,19.7646,5.4156,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,19.6842,2.771,2.771,10.1131,0.5455,0.5455,2.771,0.7168,80.3158,123724.966,9731.424,-2.1462,9731.424,14.8578,9.7846,5.0596,6.0846,6817.5617,7315.519,#N/A N/A,#N/A N/A,800,1.1545,0.0002,24.9031,37.3398,13.8757,32.1395,23.932,38.294,44.45,75.385,79.4029,0.6363,3.5714,52.12
6/29/2007,55.49,108840567,120320,20.0243,1.0712,20.0243,5.4868,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,19.6842,2.771,2.771,10.1131,0.5455,0.5455,2.771,0.7168,80.3158,125624.966,9731.424,-2.1462,9731.424,15.0531,9.7846,4.9939,6.0057,6817.5617,7315.519,#N/A N/A,#N/A N/A,800,1.1545,0.0002,25.8637,39.0126,14.4211,33.3251,19.3,31.492,36.939,75.6351,79.8227,0.6363,3.6183,55.52
7/31/2007,53.57,98645250,120320,19.3326,0.9716,19.3326,5.2972,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,19.6842,2.771,2.771,10.1131,0.5455,0.5455,2.771,0.7168,80.3158,120564.966,9731.424,-2.1462,9731.424,14.5331,9.7846,5.1726,6.2206,6817.5617,7315.519,#N/A N/A,#N/A N/A,800,1.1545,0.0002,26.7611,40.2863,14.948,34.4967,25.359,26.263,31.949,73.5759,75.4145,0.6363,3.4933,56.03
8/31/2007,51.46,58610277,120320,18.5709,0.9461,18.5709,5.0885,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,19.6842,2.771,2.771,10.1131,0.5455,0.5455,2.771,0.7168,80.3158,114992.966,9731.424,-2.1462,9731.424,13.9605,9.7846,5.3848,6.4757,6817.5617,7315.519,#N/A N/A,#N/A N/A,800,1.1545,0.0002,27.5828,41.3545,15.4565,35.4895,27.02,29.846,29.065,71.3628,70.7791,0.6363,3.3557,52.12
9/28/2007,55.81,51879531,120320,20.1391,0.9725,20.1391,5.5182,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,19.6842,2.771,2.771,10.1131,0.5455,0.5455,2.771,0.7168,80.3158,126464.966,9731.424,-2.1462,9731.424,15.1394,9.7846,4.9655,5.9715,6817.5617,7315.519,#N/A N/A,#N/A N/A,800,1.1545,0.0002,28.4823,42.4655,16.0088,36.6748,19.371,29.84,29.669,73.087,74.2838,0.6363,3.6391,51.51
10/31/2007,55.41,98304525,120320,19.9958,0.8487,19.9958,5.479,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,19.6842,2.771,2.771,10.1131,0.5455,0.5455,2.771,0.7168,80.3158,125416.966,9731.424,-2.1462,9731.424,15.0317,9.7846,5.001,6.0143,6817.5617,7315.519,#N/A N/A,#N/A N/A,800,1.1545,0.0002,29.3438,43.5692,16.5548,37.7713,48.591,34.965,34.82,72.6735,73.4175,0.6363,3.6132,55.3
