Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
31/01/2007,60.07,65543358,153763.8653,24.2508,1.1412,24.2508,1.3136,0.6931,0.6931,1.8525,87.888,53.4639,1.0717,26.4578,26.4578,2.4769,2.4769,45.7257,0.4167,0.4167,2.4769,2.6727,73.5422,192938.9667,17141.09,3.2892,17141.09,7.6016,7.9207,4.1236,5.8966,6201.6542,5372.97,#N/A N/A,4.0897,3615.42,0.3087,0.7113,60.4657,63.8996,44.0073,63.9596,34.218,31.444,31,50.8239,39.3265,0.2225,0.1681,56.33
28/02/2007,51.88,42234996,153763.8653,20.9436,1.066,20.9436,1.1345,0.6931,0.6931,1.8525,87.888,53.4639,1.0717,26.4578,26.4578,2.4769,2.4769,45.7257,0.4167,0.4167,2.4769,2.6727,73.5422,175169.8947,17141.09,3.2892,17141.09,6.5649,7.9207,4.7747,6.8277,6201.6542,5372.97,#N/A N/A,4.0897,3615.42,0.3087,0.8237,60.781,63.4325,44.2999,63.7375,27.835,28.717,30.53,47.9218,34.3836,0.2225,0.1452,59.17
30/03/2007,50.46,62512680,109456.878,5.1024,0.2719,5.1024,0.9626,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,30.1412,9.8892,9.8892,52.4187,2.6667,2.6667,9.8892,2.8521,69.8588,148455.7718,46968.53,0.6692,46968.53,2.3304,31.6371,19.5987,32.8421,25133.6712,21451.95,#N/A N/A,5.0304,3615.42,0.4851,1.0385,61.1502,62.9004,44.589,63.468,41.229,35.153,32.278,47.4372,33.5972,0.4047,0.1112,52.47
30/04/2007,55.54,35324784,109456.878,5.6164,0.2818,5.6164,1.0596,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,30.1412,9.8892,9.8892,52.4187,2.6667,2.6667,9.8892,2.8521,69.8588,159482.3576,46968.53,0.6692,46968.53,2.5652,31.6371,17.8049,29.8363,25133.6712,21451.95,#N/A N/A,5.0304,3615.42,0.4851,0.9435,61.515,62.6808,44.936,63.396,36.841,37.015,34.952,49.3388,38.9897,0.4047,0.1224,50.42
31/05/2007,60.2,66268902,109456.878,6.0875,0.2914,6.0875,1.1484,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,30.1412,9.8892,9.8892,52.4187,2.6667,2.6667,9.8892,2.8521,69.8588,169587.0486,46968.53,0.6692,46968.53,2.7803,31.6371,16.4272,27.5276,25133.6712,21451.95,#N/A N/A,5.0304,3615.42,0.4851,0.8704,61.9791,62.3167,45.3523,63.2201,38.016,38.99,36.58,51.0188,43.5165,0.4047,0.1327,55.83
29/06/2007,56.74,49297656,109456.878,5.7378,0.3069,5.7378,1.0825,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,30.1412,9.8892,9.8892,52.4187,2.6667,2.6667,9.8892,2.8521,69.8588,162085.355,46968.53,0.6692,46968.53,2.6206,31.6371,17.4284,29.2053,25133.6712,21451.95,#N/A N/A,5.0304,3615.42,0.4851,0.9235,62.3438,62.0904,45.747,62.5603,35.367,37.692,37.873,49.7518,41.0796,0.4047,0.1251,60.33
31/07/2007,53.55,46084146,109456.878,5.415,0.2721,5.415,1.0216,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,30.1412,9.8892,9.8892,52.4187,2.6667,2.6667,9.8892,2.8521,69.8588,155162.1052,46968.53,0.6692,46968.53,2.4732,31.6371,18.4671,30.946,25133.6712,21451.95,#N/A N/A,5.0304,3615.42,0.4851,0.9785,62.5235,61.1096,46.1075,61.985,29.376,31.932,35.793,48.5995,38.9138,0.4047,0.118,56.83
31/08/2007,51.88,40645500,109456.878,5.2456,0.2672,5.2456,0.9896,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,30.1412,9.8892,9.8892,52.4187,2.6667,2.6667,9.8892,2.8521,69.8588,151528.7547,46968.53,0.6692,46968.53,2.3958,31.6371,19.0634,31.9452,25133.6712,21451.95,#N/A N/A,5.0304,3615.42,0.4851,1.0101,62.6135,60.0771,46.4768,61.3353,27.642,29.742,32.97,47.996,37.7878,0.4047,0.1143,53.33
28/09/2007,59.57,64960764,109456.878,6.0234,0.2909,6.0234,1.1364,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,30.1412,9.8892,9.8892,52.4187,2.6667,2.6667,9.8892,2.8521,69.8588,168213.1027,46968.53,0.6692,46968.53,2.7511,31.6371,16.6018,27.8202,25133.6712,21451.95,#N/A N/A,5.0304,3615.42,0.4851,0.8797,62.9252,59.6033,46.8531,61.3569,39.665,33.591,32.308,50.8928,45.5755,0.4047,0.1313,51.68
31/10/2007,57.2,51373758,109456.878,5.7841,0.2455,5.7841,1.0912,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,30.1412,9.8892,9.8892,52.4187,2.6667,2.6667,9.8892,2.8521,69.8588,163079.4192,46968.53,0.6692,46968.53,2.6418,31.6371,17.2887,28.9713,25133.6712,21451.95,#N/A N/A,5.0304,3615.42,0.4851,0.9161,62.9579,58.8342,47.1979,61.3378,50.832,41.388,37.601,50.0061,43.7604,0.4047,0.1261,60.17
30/11/2007,64.39,123109158,109456.878,6.5113,0.2784,6.5113,1.2284,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,30.1412,9.8892,9.8892,52.4187,2.6667,2.6667,9.8892,2.8521,69.8588,178679.3096,46968.53,0.6692,46968.53,2.9739,31.6371,15.3578,25.7356,25133.6712,21451.95,#N/A N/A,5.0304,3615.42,0.4851,0.8138,63.0209,58.5096,47.6128,61.3131,75.883,57.126,49.944,52.6019,50.2452,0.4047,0.1419,57.93
31/12/2007,87.27,115351512,109456.878,8.8253,0.3999,8.8253,1.665,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,30.1412,9.8892,9.8892,52.4187,2.6667,2.6667,9.8892,2.8521,69.8588,228316.9678,46968.53,0.6692,46968.53,4.0308,31.6371,11.331,18.9878,25133.6712,21451.95,#N/A N/A,5.0304,3615.42,0.4851,0.6004,63.6211,59.2229,48.2578,62.1817,55.213,60.991,53.675,59.5203,64.3365,0.4047,0.1924,65.65
31/01/2008,60.26,110442042,109456.878,6.0934,0.3177,6.0934,1.1496,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,30.1412,9.8892,9.8892,52.4187,2.6667,2.6667,9.8892,2.8521,69.8588,169713.4398,46968.53,0.6692,46968.53,2.783,31.6371,16.4113,27.5009,25133.6712,21451.95,#N/A N/A,5.0304,3615.42,0.4851,0.8696,63.6325,58.9337,48.6249,62.1536,61.405,67.743,61.1,50.515,47.303,0.4047,0.1328,88.28
29/02/2008,77.47,69877476,109456.878,7.8335,0.4088,7.8335,1.4778,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,30.1412,9.8892,9.8892,52.4187,2.6667,2.6667,9.8892,2.8521,69.8588,207041.1033,46968.53,0.6692,46968.53,3.5778,31.6371,12.7657,21.3919,25133.6712,21451.95,#N/A N/A,5.0304,3615.42,0.4851,0.6764,63.6805,60.0196,49.156,62.7381,56.437,65.993,65.089,55.0011,55.4024,0.4047,0.1707,61.65
31/03/2008,68.09,61743126,147708.0348,8.3472,0.5026,8.3472,1.1444,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,11.3611,8.1575,8.1575,59.4994,0.6667,0.6667,8.1575,2.6149,88.6389,215390.9691,36849.43,1.6034,36849.43,4.0084,17.1077,11.9801,16.1999,15022.7887,17695.52,#N/A N/A,5.444,3615.42,0.4182,1.0877,63.494,60.8204,49.5238,62.7583,60.858,66.619,63.267,52.3276,50.8198,0.3593,0.1328,75.22
30/04/2008,68.23,43473198,147708.0348,8.3645,0.4558,8.3645,1.1468,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,11.3611,8.1575,8.1575,59.4994,0.6667,0.6667,8.1575,2.6149,88.6389,215701.5405,36849.43,1.6034,36849.43,4.0167,17.1077,11.9553,16.1662,15022.7887,17695.52,#N/A N/A,5.444,3615.42,0.4182,1.0854,63.325,61.2192,49.8889,62.9906,31.007,57.41,60.642,52.3638,50.8859,0.3593,0.1331,68.07
30/05/2008,59.48,61468602,147708.0348,7.2919,0.4187,7.2919,0.9997,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,11.3611,8.1575,8.1575,59.4994,0.6667,0.6667,8.1575,2.6149,88.6389,196720.9528,36849.43,1.6034,36849.43,3.5016,17.1077,13.7139,18.5443,15022.7887,17695.52,#N/A N/A,5.444,3615.42,0.4182,1.2451,62.9173,61.1408,50.1656,62.5344,43.666,46.092,54.929,49.941,46.7094,0.3593,0.116,66.76
30/06/2008,37.3,114381702,147708.0348,4.5725,0.3197,4.5725,0.6269,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,11.3611,8.1575,8.1575,59.4994,0.6667,0.6667,8.1575,2.6149,88.6389,148600.6438,36849.43,1.6034,36849.43,2.1958,17.1077,21.8699,29.5731,15022.7887,17695.52,#N/A N/A,5.444,3615.42,0.4182,1.9856,62.0949,59.665,50.3104,61.3603,66.601,50.203,52.593,44.5366,38.1585,0.3593,0.0727,60.4
31/07/2008,54.65,60125886,147708.0348,6.6994,0.4338,6.6994,0.9185,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,11.3611,8.1575,8.1575,59.4994,0.6667,0.6667,8.1575,2.6149,88.6389,186236.4377,36849.43,1.6034,36849.43,3.2171,17.1077,14.9268,20.1844,15022.7887,17695.52,#N/A N/A,5.444,3615.42,0.4182,1.3552,62.1987,59.5283,50.64,60.8806,72.436,67.106,58.966,49.0018,46.4201,0.3593,0.1066,38.67
29/08/2008,50.46,73904436,147708.0348,6.1855,0.3971,6.1855,0.848,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,11.3611,8.1575,8.1575,59.4994,0.6667,0.6667,8.1575,2.6149,88.6389,177143.8324,36849.43,1.6034,36849.43,2.9704,17.1077,16.1668,21.8611,15022.7887,17695.52,#N/A N/A,5.444,3615.42,0.4182,1.4678,62.0233,59.2342,50.9986,60.1431,46.303,64.037,59.46,48.0353,44.8608,0.3593,0.0984,54.17
30/09/2008,60.04,134237280,147708.0348,7.3603,0.5318,7.3603,1.0091,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,11.3611,8.1575,8.1575,59.4994,0.6667,0.6667,8.1575,2.6149,88.6389,197932.0951,36849.43,1.6034,36849.43,3.5345,17.1077,13.5864,18.3719,15022.7887,17695.52,#N/A N/A,5.444,3615.42,0.4182,1.2335,62.0689,59.2329,51.4281,59.7817,57.44,60.218,62.215,50.3513,49.0728,0.3593,0.1171,50
31/10/2008,47.85,103814034,147708.0348,5.8658,0.5568,5.8658,0.8042,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,11.3611,8.1575,8.1575,59.4994,0.6667,0.6667,8.1575,2.6149,88.6389,171485.8096,36849.43,1.6034,36849.43,2.8168,17.1077,17.048,23.0528,15022.7887,17695.52,#N/A N/A,5.444,3615.42,0.4182,1.5478,61.8552,59.0317,51.7465,58.9431,74.206,60.557,65.985,47.5616,44.4237,0.3593,0.0933,59.67
