Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,44.93,5121088,12042.234,11.966,0.5631,11.966,2.4775,7.8372,7.8372,7.3485,92.7097,87.0887,1.2086,22.6402,22.6402,3.7544,3.7544,18.133,0.85,0.85,3.7544,0.9376,77.3598,15425.441,1556.898,2.5769,1556.898,7.3309,9.6977,8.357,10.3851,902.0853,953.821,#N/A N/A,#N/A N/A,254.056,0.1615,0.3742,21.2056,34.5003,13.4625,28.8917,39.756,30.979,32.472,70.1443,63.8435,0.0323,0.9378,41.5
2/28/2007,38.88,2929560,12042.234,10.3546,0.5271,10.3546,2.1439,7.8372,7.8372,7.3485,92.7097,87.0887,1.2086,22.6402,22.6402,3.7544,3.7544,18.133,0.85,0.85,3.7544,0.9376,77.3598,13888.4046,1556.898,2.5769,1556.898,6.3436,9.6977,9.6576,12.0013,902.0853,953.821,#N/A N/A,#N/A N/A,254.056,0.1615,0.4324,21.8549,35.4833,13.8133,29.7415,39.498,36.286,32.872,65.1783,56.9919,0.0323,0.8115,45.1
3/30/2007,32.63,3215540,8288.563,7.1013,0.3784,7.1479,1.504,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,21.9092,4.5643,4.5942,21.6924,1,1,4.5942,0.8313,78.0908,12919.196,2075.57,2.231,2075.57,3.9934,16.0658,14.0818,20.2246,1204.841,1167.182,#N/A N/A,#N/A N/A,254.056,0.3713,0.7632,22.3853,35.9612,14.107,30.3257,47.318,43.185,38.436,60.5939,50.9131,0.1922,0.6057,39.45
4/30/2007,36.7,4911234,8288.563,7.9883,0.4009,8.0407,1.6918,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,21.9092,4.5643,4.5942,21.6924,1,1,4.5942,0.8313,78.0908,13954.4726,2075.57,2.231,2075.57,4.4922,16.0658,12.5183,17.979,1204.841,1167.182,#N/A N/A,#N/A N/A,254.056,0.3713,0.6785,22.9893,36.528,14.4341,31.0795,32.322,41.649,39.951,62.3787,54.3332,0.1922,0.6814,32.6
5/31/2007,37.13,1401718,8288.563,8.0808,0.3868,8.1338,1.7114,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,21.9092,4.5643,4.5942,21.6924,1,1,4.5942,0.8313,78.0908,14062.4463,2075.57,2.231,2075.57,4.5442,16.0658,12.3749,17.7731,1204.841,1167.182,#N/A N/A,#N/A N/A,254.056,0.3713,0.6707,23.6067,37.1992,14.7543,31.7907,25.81,35.61,37.327,62.5616,54.6878,0.1922,0.6893,36
6/29/2007,39.38,1938360,8288.563,8.5706,0.4585,8.6267,1.8152,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,21.9092,4.5643,4.5942,21.6924,1,1,4.5942,0.8313,78.0908,14634.0714,2075.57,2.231,2075.57,4.8196,16.0658,11.6678,16.7575,1204.841,1167.182,#N/A N/A,#N/A N/A,254.056,0.3713,0.6324,24.2666,37.8733,15.1001,32.5403,27.906,28.054,35.4,63.5328,56.6087,0.1922,0.7311,37.5
7/31/2007,43.1,4354914,8288.563,9.3814,0.4715,9.4428,1.9869,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,21.9092,4.5643,4.5942,21.6924,1,1,4.5942,0.8313,78.0908,15652.147,2075.57,2.231,2075.57,5.2756,16.0658,10.6594,15.3092,1204.841,1167.182,#N/A N/A,#N/A N/A,254.056,0.3713,0.574,24.9708,38.5323,15.4891,33.3797,34.69,29.672,29.681,65.0841,59.6579,0.1922,0.8002,39.9
8/31/2007,46.6,5166374,8288.563,10.1432,0.5167,10.2097,2.1482,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,21.9092,4.5643,4.5942,21.6924,1,1,4.5942,0.8313,78.0908,16547.1656,2075.57,2.231,2075.57,5.704,16.0658,9.8588,14.1594,1204.841,1167.182,#N/A N/A,#N/A N/A,254.056,0.3713,0.5309,25.7583,39.0813,15.9021,34.2493,68.288,46.484,40.649,66.4704,62.336,0.1922,0.8652,42.45
9/28/2007,60.48,8527686,8288.563,13.1633,0.6357,13.2496,2.7878,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,21.9092,4.5643,4.5942,21.6924,1,1,4.5942,0.8313,78.0908,20095.2991,2075.57,2.231,2075.57,7.4023,16.0658,7.5969,10.9108,1204.841,1167.182,#N/A N/A,#N/A N/A,254.056,0.3713,0.4091,26.8296,40.3788,16.4548,35.5718,68.639,58.269,50.043,71.1656,70.6534,0.1922,1.1228,47.5
10/31/2007,52.93,4459180,8288.563,11.52,0.4889,11.5954,2.4398,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,21.9092,4.5643,4.5942,21.6924,1,1,4.5942,0.8313,78.0908,18164.6131,2075.57,2.231,2075.57,6.4782,16.0658,8.6806,12.4672,1204.841,1167.182,#N/A N/A,#N/A N/A,254.056,0.3713,0.4674,27.7431,40.9988,16.9361,36.6423,72.378,72.494,62.404,65.9659,62.558,0.1922,0.9826,61.5
