Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,295.68,991240,14825.2456,31.9228,1.5022,#N/A N/A,10.3037,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,16.4952,8.7783,9.2622,28.6959,1.5,1.5,9.2622,1.3394,83.5048,19589.0108,810.9844,-0.4748,810.9844,24.1811,5.6161,3.1326,3.7349,560.8734,614.3099,#N/A N/A,#N/A N/A,67.5544,1.212,0,93.9166,165.4473,62.4851,130.4212,55.345,38.033,41.29,83.5734,77.483,0.4435,6.8252,230
2/28/2007,277.9,584010,14825.2456,30.0037,1.5272,#N/A N/A,9.6843,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,16.4952,8.7783,9.2622,28.6959,1.5,1.5,9.2622,1.3394,83.5048,18388.2384,810.9844,-0.4748,810.9844,22.7274,5.6161,3.3329,3.9738,560.8734,614.3099,#N/A N/A,#N/A N/A,67.5544,1.212,0,98.9041,174.1568,64.804,138.3378,38.081,43.061,38.229,79.7032,72.1245,0.4435,6.4149,301.5
3/30/2007,267.47,1208000,14825.2456,28.8776,1.5388,#N/A N/A,9.3209,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,16.4952,8.7783,9.2622,28.6959,1.5,1.5,9.2622,1.3394,83.5048,17683.6502,810.9844,-0.4748,810.9844,21.8744,5.6161,3.4629,4.1288,560.8734,614.3099,#N/A N/A,#N/A N/A,67.5544,1.212,0,103.7095,182.266,67.0688,145.8172,61.472,53.043,45.854,77.524,69.1045,0.4435,6.1741,284.9
4/30/2007,305.32,1749560,14825.2456,32.9647,1.6543,#N/A N/A,10.64,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,16.4952,8.7783,9.2622,28.6959,1.5,1.5,9.2622,1.3394,83.5048,20240.9069,810.9844,-0.4748,810.9844,24.9703,5.6161,3.0335,3.6169,560.8734,614.3099,#N/A N/A,#N/A N/A,67.5544,1.212,0,109.292,192.2763,69.6992,154.4947,34.751,46.966,48.463,79.6165,73.4497,0.4435,7.0479,261.1
5/31/2007,320.11,996700,14825.2456,34.5604,1.6542,#N/A N/A,11.1551,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,16.4952,8.7783,9.2622,28.6959,1.5,1.5,9.2622,1.3394,83.5048,22686.5491,810.9844,-0.4748,810.9844,26.1791,5.6161,2.8935,3.4499,560.8734,614.3099,#N/A N/A,#N/A N/A,67.5544,1.212,0,115.1939,202.079,72.486,163.3315,25.354,42.634,48.311,80.3552,74.9322,0.4435,7.3891,314.4
6/29/2007,388.99,970880,14825.2456,41.9977,2.2466,#N/A N/A,13.5556,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,16.4952,8.7783,9.2622,28.6959,1.5,1.5,9.2622,1.3394,83.5048,27651.4355,810.9844,-0.4748,810.9844,31.8127,5.6161,2.3811,2.8389,560.8734,614.3099,#N/A N/A,#N/A N/A,67.5544,1.212,0,122.4437,214.852,75.882,174.3608,36.895,30.818,42.904,83.2772,80.4195,0.4435,8.9792,319
7/31/2007,385.91,906800,14825.2456,41.6646,2.0939,#N/A N/A,13.4481,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,16.4952,8.7783,9.2622,28.6959,1.5,1.5,9.2622,1.3394,83.5048,27429.0841,810.9844,-0.4748,810.9844,31.5604,5.6161,2.4001,2.8616,560.8734,614.3099,#N/A N/A,#N/A N/A,67.5544,1.212,0,129.5878,226.4445,79.259,185.3882,28.582,29.607,34.004,82.7072,79.5794,0.4435,8.908,396.9
8/31/2007,367.43,856530,14825.2456,39.6699,2.0209,#N/A N/A,12.8043,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,16.4952,8.7783,9.2622,28.6959,1.5,1.5,9.2622,1.3394,83.5048,26097.4985,810.9844,-0.4748,810.9844,30.0494,5.6161,2.5208,3.0055,560.8734,614.3099,#N/A N/A,#N/A N/A,67.5544,1.212,0,136.2829,237.1572,82.4833,195.4192,27.452,32.902,29.633,79.3432,74.556,0.4435,8.4815,393.5
9/28/2007,363.87,545550,14825.2456,39.285,1.8971,#N/A N/A,12.68,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,16.4952,8.7783,9.2622,28.6959,1.5,1.5,9.2622,1.3394,83.5048,25842.3712,810.9844,-0.4748,810.9844,29.7579,5.6161,2.5455,3.035,560.8734,614.3099,#N/A N/A,#N/A N/A,67.5544,1.212,0,142.8358,247.7027,85.607,205.2552,25.14,27.095,29.784,78.7042,73.5906,0.4435,8.3992,372.7
10/31/2007,327.56,724310,14825.2456,35.3653,1.501,#N/A N/A,11.4149,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,16.4952,8.7783,9.2622,28.6959,1.5,1.5,9.2622,1.3394,83.5048,23281.191,810.9844,-0.4748,810.9844,26.7888,5.6161,2.8276,3.3714,560.8734,614.3099,#N/A N/A,#N/A N/A,67.5544,1.212,0,148.6168,255.829,88.3715,213.484,46.419,33.724,31.555,72.5488,64.4402,0.4435,7.5612,357
