Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,194.79,12912602,47133.9,29.4023,1.3836,29.4023,6.3328,10.3456,10.3456,14.5452,10.8193,-3.6177,2.1511,43.1277,43.1277,6.6248,6.6248,30.7584,2.8571,2.8571,6.6248,1.4059,56.8723,53686.148,2862.568,-0.1078,2862.568,18.8623,6.1133,3.4011,4.5612,1651.6637,1836.408,#N/A N/A,#N/A N/A,396,1.1943,0.0171,98.7721,143.1304,74.5629,123.9452,27.563,32.712,35.94,74.5905,73.1282,0.2782,3.0419,199.93
2/28/2007,178.86,29724549,47133.9,26.9979,1.3742,26.9979,5.8149,10.3456,10.3456,14.5452,10.8193,-3.6177,2.1511,43.1277,43.1277,6.6248,6.6248,30.7584,2.8571,2.8571,6.6248,1.4059,56.8723,49270.748,2862.568,-0.1078,2862.568,17.3198,6.1133,3.704,4.9674,1651.6637,1836.408,#N/A N/A,#N/A N/A,396,1.1943,0.0186,101.6557,147.3893,75.9341,127.4107,50.945,40.348,39.589,70.0649,66.2792,0.2782,2.7931,194.36
3/30/2007,189.14,7730615,52430.4,19.566,1.0426,19.566,5.1369,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,29.5558,9.6669,9.6669,36.8208,2.8571,2.8571,9.6669,1.4836,70.4442,51357.985,3649.332,-0.2939,3649.332,14.3671,7.1057,5.1109,6.215,2216.7241,2679.674,#N/A N/A,#N/A N/A,396,1.2449,0.0184,104.6957,151.9286,77.4349,130.7369,41.774,40.6,39.376,71.2309,68.3411,0.3899,2.4699,179.79
4/30/2007,216.82,9018544,52430.4,22.4292,1.1256,22.4292,5.8886,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,29.5558,9.6669,9.6669,36.8208,2.8571,2.8571,9.6669,1.4836,70.4442,59030.485,3649.332,-0.2939,3649.332,16.4696,7.1057,4.4585,5.4216,2216.7241,2679.674,#N/A N/A,#N/A N/A,396,1.2449,0.016,108.1986,157.4304,79.1639,135.05,40.983,45.254,39.834,74.0452,73.1068,0.3899,2.8313,185.71
5/31/2007,218,12775223,52430.4,22.5511,1.0794,22.5511,5.9206,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,29.5558,9.6669,9.6669,36.8208,2.8571,2.8571,9.6669,1.4836,70.4442,59357.185,3649.332,-0.2939,3649.332,16.5591,7.1057,4.4344,5.3923,2216.7241,2679.674,#N/A N/A,#N/A N/A,396,1.2449,0.0159,111.8193,163,80.8514,139.3381,29.22,36.906,40.243,74.1566,73.2912,0.3899,2.8467,220.71
6/29/2007,242.82,16562802,52430.4,25.1188,1.3437,25.1188,6.5947,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,29.5558,9.6669,9.6669,36.8208,2.8571,2.8571,9.6669,1.4836,70.4442,66237.685,3649.332,-0.2939,3649.332,18.4445,7.1057,3.9811,4.8411,2216.7241,2679.674,#N/A N/A,#N/A N/A,396,1.2449,0.0143,115.8471,170.0661,82.7867,144.5179,36.625,37.092,38.209,76.3658,76.8852,0.3899,3.1708,220
7/31/2007,281.39,12812219,52430.4,29.1088,1.4629,29.1088,7.6422,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,29.5558,9.6669,9.6669,36.8208,2.8571,2.8571,9.6669,1.4836,70.4442,76929.685,3649.332,-0.2939,3649.332,21.3744,7.1057,3.4354,4.1775,2216.7241,2679.674,#N/A N/A,#N/A N/A,396,1.2449,0.0123,120.4443,178.2357,85.0946,150.8667,41.536,34.753,37.416,79.2213,81.1337,0.3899,3.6745,246.36
8/31/2007,267,12051605,52430.4,27.6199,1.407,27.6199,7.2513,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,29.5558,9.6669,9.6669,36.8208,2.8571,2.8571,9.6669,1.4836,70.4442,72939.985,3649.332,-0.2939,3649.332,20.2811,7.1057,3.6206,4.4027,2216.7241,2679.674,#N/A N/A,#N/A N/A,396,1.2449,0.013,124.81,185.9286,87.3242,156.8202,40.086,39.858,38.688,75.6912,75.5533,0.3899,3.4865,285.64
9/28/2007,310.54,10643930,52430.4,32.1235,1.5513,32.1235,8.4337,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,29.5558,9.6669,9.6669,36.8208,2.8571,2.8571,9.6669,1.4836,70.4442,85008.085,3649.332,-0.2939,3649.332,23.588,7.1057,3.113,3.7854,2216.7241,2679.674,#N/A N/A,#N/A N/A,396,1.2449,0.0112,129.9343,195.1161,89.8924,164.5095,31.654,39.444,37.415,78.6659,80.028,0.3899,4.055,268.82
10/31/2007,284.96,16917436,52430.4,29.4783,1.2511,29.4783,7.7392,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,29.5558,9.6669,9.6669,36.8208,2.8571,2.8571,9.6669,1.4836,70.4442,77919.685,3649.332,-0.2939,3649.332,21.6456,7.1057,3.3923,4.1251,2216.7241,2679.674,#N/A N/A,#N/A N/A,396,1.2449,0.0122,134.5129,201.3054,92.1437,171.3083,51.917,41.417,41.195,73.2215,71.7237,0.3899,3.7211,309.29
