Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,49.45,103844824,71089.5452,37.5231,1.7657,37.8096,17.1106,11.2582,11.2582,21.358,34.6329,18.0545,0.9717,44.2901,44.2901,1.2343,1.2438,2.89,0.8333,0.8333,1.3179,1.8971,55.7099,86128.3015,2925.449,0.3101,2925.449,29.0645,4.0602,2.665,3.124,2360.0404,2138.577,#N/A N/A,3.8841,573.303,0.3043,0.0204,23.1018,39.3808,17.1371,31.675,52.795,33.783,30.673,76.4863,69.4251,0.1608,4.4761,49.17
2/28/2007,48.85,42043126,71089.5452,37.0678,1.8868,37.3508,16.903,11.2582,11.2582,21.358,34.6329,18.0545,0.9717,44.2901,44.2901,1.2343,1.2438,2.89,0.8333,0.8333,1.3179,1.8971,55.7099,85094.9374,2925.449,0.3101,2925.449,28.7118,4.0602,2.6978,3.1623,2360.0404,2138.577,#N/A N/A,3.8841,573.303,0.3043,0.0207,23.9327,40.7288,17.5715,32.9206,38.664,37.78,34,75.8317,68.5853,0.1608,4.4218,49.55
3/30/2007,47.5,49393198,81973.9618,29.0303,1.5469,29.322,17.0933,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,43.3501,1.6199,1.6362,2.7789,0.875,0.875,1.6362,2.0477,56.6499,82863.0663,3538.409,0.2855,3538.409,23.1132,4.2617,3.4447,3.9072,2839.4356,2817.191,#N/A N/A,4.1905,862.884,0.4694,0.0295,24.7318,41.8921,17.9876,34.0989,42.462,43.753,37.354,74.3507,66.6321,0.2333,3.6613,49.5
4/30/2007,47.6,44387044,81973.9618,29.0915,1.4599,29.3838,17.1293,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,43.3501,1.6199,1.6362,2.7789,0.875,0.875,1.6362,2.0477,56.6499,83201.6147,3538.409,0.2855,3538.409,23.1619,4.2617,3.4374,3.899,2839.4356,2817.191,#N/A N/A,4.1905,862.884,0.4694,0.0294,25.5377,42.9929,18.3926,35.2383,29.787,36.405,38.501,74.389,66.7077,0.2333,3.669,47
5/31/2007,49.95,62209546,81973.9618,30.5277,1.4612,30.8344,17.975,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,43.3501,1.6199,1.6362,2.7789,0.875,0.875,1.6362,2.0477,56.6499,87257.1685,3538.409,0.2855,3538.409,24.3054,4.2617,3.2757,3.7156,2839.4356,2817.191,#N/A N/A,4.1905,862.884,0.4694,0.028,26.417,44.1304,18.796,36.4169,28.045,31.277,39.439,75.2868,68.5139,0.2333,3.8502,48
6/29/2007,51.43,47995820,81973.9618,31.4292,1.6813,31.745,18.5058,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,43.3501,1.6199,1.6362,2.7789,0.875,0.875,1.6362,2.0477,56.6499,89907.0574,3538.409,0.2855,3538.409,25.0231,4.2617,3.1818,3.609,2839.4356,2817.191,#N/A N/A,4.1905,862.884,0.4694,0.0272,27.3223,45.3088,19.2082,37.6147,25.224,27.503,32.42,75.8368,69.6276,0.2333,3.9639,49.95
7/31/2007,52.33,59114280,81973.9618,31.9792,1.6071,32.3005,18.8296,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,43.3501,1.6199,1.6362,2.7789,0.875,0.875,1.6362,2.0477,56.6499,91462.075,3538.409,0.2855,3538.409,25.461,4.2617,3.127,3.547,2839.4356,2817.191,#N/A N/A,4.1905,862.884,0.4694,0.0267,28.2195,46.4775,19.6228,38.7958,35.36,29.175,29.706,76.1715,70.3176,0.2333,4.0333,51.5
8/31/2007,50.5,30707944,81973.9618,30.8638,1.5723,31.174,18.1729,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,43.3501,1.6199,1.6362,2.7789,0.875,0.875,1.6362,2.0477,56.6499,88308.8448,3538.409,0.2855,3538.409,24.573,4.2617,3.24,3.6751,2839.4356,2817.191,#N/A N/A,4.1905,862.884,0.4694,0.0277,29.0703,47.245,20.0263,39.8364,24.383,29.157,28.224,74.0206,66.9942,0.2333,3.8926,52.45
9/28/2007,52.93,49420202,81973.9618,32.3459,1.562,32.6709,19.0456,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,43.3501,1.6199,1.6362,2.7789,0.875,0.875,1.6362,2.0477,56.6499,92510.221,3538.409,0.2855,3538.409,25.753,4.2617,3.0916,3.5067,2839.4356,2817.191,#N/A N/A,4.1905,862.884,0.4694,0.0264,29.9397,47.9204,20.4553,40.9836,28.081,30.069,28.3,74.9913,69.085,0.2333,4.0795,50.25
10/31/2007,53.33,132047072,81973.9618,32.5904,1.3832,32.9179,19.1895,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,43.3501,1.6199,1.6362,2.7789,0.875,0.875,1.6362,2.0477,56.6499,93201.4266,3538.409,0.2855,3538.409,25.9476,4.2617,3.0684,3.4804,2839.4356,2817.191,#N/A N/A,4.1905,862.884,0.4694,0.0262,30.7903,48.7467,20.8905,42.1153,32.91,27.838,29.383,75.1497,69.429,0.2333,4.1103,46.88
