Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
31/01/2007,743.05,10862660,109013.6618,77.5275,3.6482,77.9186,5.5091,6.2529,6.2529,3.2128,150.6568,103.2942,2.0634,26.1346,26.1346,9.5362,9.5843,134.8778,2.5,2.5,9.5843,0.5138,73.8654,145997.7228,3453.383,6.1882,3453.383,32.9404,2.6486,1.2899,1.4975,1254.3637,1467.298,#N/A N/A,1.7532,383.473,1.1546,0.2501,521.555,606.5863,432.0435,527.9233,29.121,28.153,26.265,67.3434,74.3812,0.7592,4.8477,813.9
28/02/2007,676.9,10446617,109013.6618,70.6256,3.5949,70.9819,5.0186,6.2529,6.2529,3.2128,150.6568,103.2942,2.0634,26.1346,26.1346,9.5362,9.5843,134.8778,2.5,2.5,9.5843,0.5138,73.8654,134902.7732,3453.383,6.1882,3453.383,30.0079,2.6486,1.4159,1.6438,1254.3637,1467.298,#N/A N/A,1.7532,383.473,1.1546,0.2745,526.108,621.5975,437.6901,538.7392,23.421,25.924,26.856,63.2107,66.3284,0.7592,4.4162,745
30/03/2007,728.25,14392557,122282.0451,11.9544,0.637,12.0333,3.0591,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,6.5191,60.5196,60.9191,238.0566,3.75,3.75,60.9191,0.9161,93.4809,128432.1907,16720.39,0.3723,16720.39,6.9057,13.0102,8.3651,11.1975,10068.2584,9658.878,#N/A N/A,4.0544,839.561,1.8299,0.2033,531.636,637.0788,443.9406,550.7275,39.833,31.632,29.679,64.9385,69.123,1.289,1.7944,670
30/04/2007,708.45,11003810,122282.0451,11.6294,0.5836,11.7061,2.976,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,6.5191,60.5196,60.9191,238.0566,3.75,3.75,60.9191,0.9161,93.4809,125118.2078,16720.39,0.3723,16720.39,6.7179,13.0102,8.5989,11.5104,10068.2584,9658.878,#N/A N/A,4.0544,839.561,1.8299,0.2089,537.0415,652.4963,449.8057,561.8217,23.072,30.314,28.252,63.7443,66.8201,1.289,1.7457,720
31/05/2007,647.15,18473157,122282.0451,10.6231,0.5085,10.6932,2.7185,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,6.5191,60.5196,60.9191,238.0566,3.75,3.75,60.9191,0.9161,93.4809,114831.657,16720.39,0.3723,16720.39,6.1367,13.0102,9.4134,12.6008,10068.2584,9658.878,#N/A N/A,4.0544,839.561,1.8299,0.2287,540.8215,663.5612,454.9197,570.1375,24.755,26.991,28.689,60.1988,60.14,1.289,1.5946,710.5
29/06/2007,657.25,9625129,122282.0451,10.7889,0.5771,10.8601,2.7609,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,6.5191,60.5196,60.9191,238.0566,3.75,3.75,60.9191,0.9161,93.4809,116526.5047,16720.39,0.3723,16720.39,6.2324,13.0102,9.2688,12.4071,10068.2584,9658.878,#N/A N/A,4.0544,839.561,1.8299,0.2252,545.2395,676.2262,459.9476,577.6233,20.137,20.861,28.287,60.5726,60.8347,1.289,1.6195,651
31/07/2007,634.05,7421294,122282.0451,10.4081,0.5231,10.4768,2.6634,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,6.5191,60.5196,60.9191,238.0566,3.75,3.75,60.9191,0.9161,93.4809,112720.6949,16720.39,0.3723,16720.39,6.0124,13.0102,9.6079,12.8611,10068.2584,9658.878,#N/A N/A,4.0544,839.561,1.8299,0.2333,549.008,685.0825,464.1229,586.4842,21.703,21.513,22.586,59.2503,58.3202,1.289,1.5623,655.1
31/08/2007,640.65,6313814,122282.0451,10.5164,0.5357,10.5858,2.6912,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,6.5191,60.5196,60.9191,238.0566,3.75,3.75,60.9191,0.9161,93.4809,113859.6276,16720.39,0.3723,16720.39,6.075,13.0102,9.509,12.7286,10068.2584,9658.878,#N/A N/A,4.0544,839.561,1.8299,0.2308,550.886,692.6612,468.3294,595.8342,13.426,18.606,19.987,59.5104,58.8414,1.289,1.5786,635
28/09/2007,650.05,5265444,122282.0451,10.6707,0.5153,10.7412,2.7307,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,6.5191,60.5196,60.9191,238.0566,3.75,3.75,60.9191,0.9161,93.4809,115438.7525,16720.39,0.3723,16720.39,6.1642,13.0102,9.3715,12.5445,10068.2584,9658.878,#N/A N/A,4.0544,839.561,1.8299,0.2274,552.403,697.1325,472.7349,605.1833,10.869,18.619,18.225,59.8877,59.616,1.289,1.6018,641
31/10/2007,621.6,12227814,122282.0451,10.2037,0.4331,10.2711,2.6111,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,6.5191,60.5196,60.9191,238.0566,3.75,3.75,60.9191,0.9161,93.4809,110659.3799,16720.39,0.3723,16720.39,5.8944,13.0102,9.8004,13.1187,10068.2584,9658.878,#N/A N/A,4.0544,839.561,1.8299,0.2379,553.3165,695.56,476.8592,615.2825,25.892,19.693,19.776,58.1902,56.1705,1.289,1.5317,600
30/11/2007,629.85,5609823,122282.0451,10.3391,0.4421,10.4074,2.6458,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,6.5191,60.5196,60.9191,238.0566,3.75,3.75,60.9191,0.9161,93.4809,112067.3514,16720.39,0.3723,16720.39,5.9726,13.0102,9.672,12.9469,10068.2584,9658.878,#N/A N/A,4.0544,839.561,1.8299,0.2347,555.3345,691.5175,480.8979,624.1975,25.34,21.876,21.883,58.5427,56.9476,1.289,1.552,612
31/12/2007,732.3,8674410,122282.0451,12.0209,0.5446,12.1002,3.0762,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,6.5191,60.5196,60.9191,238.0566,3.75,3.75,60.9191,0.9161,93.4809,129297.0252,16720.39,0.3723,16720.39,6.9441,13.0102,8.3189,11.1356,10068.2584,9658.878,#N/A N/A,4.0544,839.561,1.8299,0.2018,558.027,692.325,485.1016,636.0517,27.758,26.84,23.74,62.5941,65.1986,1.289,1.8044,633
31/01/2008,529.25,8871078,122282.0451,8.6877,0.4529,8.7451,2.2232,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,6.5191,60.5196,60.9191,238.0566,3.75,3.75,60.9191,0.9161,93.4809,95176.539,16720.39,0.3723,16720.39,5.0187,13.0102,11.5105,15.4078,10068.2584,9658.878,#N/A N/A,4.0544,839.561,1.8299,0.2793,555.905,684.86,486.7162,639.7392,55.105,42.216,36.809,52.146,46.271,1.289,1.3041,720
29/02/2008,583.7,4789491,122282.0451,9.5816,0.5,9.6448,2.4519,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,6.5191,60.5196,60.9191,238.0566,3.75,3.75,60.9191,0.9161,93.4809,104326.9157,16720.39,0.3723,16720.39,5.535,13.0102,10.4367,13.9705,10068.2584,9658.878,#N/A N/A,4.0544,839.561,1.8299,0.2532,553.288,682.3462,489.9065,645.8592,38.337,45.162,39.176,54.2638,50.427,1.289,1.4383,530
31/03/2008,591.25,6245768,99432.1361,22.6793,1.3656,22.7904,2.2111,8.915,8.915,5.6785,43.6323,19.2711,2.7721,14.4031,14.3793,25.9,26.07,267.3977,3.75,3.75,26.07,0.637,85.5969,108048.3262,8988,0.9642,8988,11.0564,8.3147,4.4093,4.7658,3994.0969,4381,#N/A N/A,1.9506,841,1.4315,0.1974,551.1305,676.96,493.0075,651.3725,35.755,45.183,41.218,54.5523,50.9931,0.8973,2.0222,572.65
30/04/2008,623,4499784,99432.1361,23.8972,1.3022,24.0143,2.3299,8.915,8.915,5.6785,43.6323,19.2711,2.7721,14.4031,14.3793,25.9,26.07,267.3977,3.75,3.75,26.07,0.637,85.5969,113385.4498,8988,0.9642,8988,11.6501,8.3147,4.1846,4.5229,3994.0969,4381,#N/A N/A,1.9506,841,1.4315,0.1874,551.182,671.9925,495.7462,658.6742,28.49,33.241,40.944,55.7661,53.4028,0.8973,2.1308,595
30/05/2008,714.15,7868192,99432.1361,27.3936,1.5731,27.5277,2.6707,8.915,8.915,5.6785,43.6323,19.2711,2.7721,14.4031,14.3793,25.9,26.07,267.3977,3.75,3.75,26.07,0.637,85.5969,128714.1835,8988,0.9642,8988,13.3546,8.3147,3.6505,3.9456,3994.0969,4381,#N/A N/A,1.9506,841,1.4315,0.1634,555.7215,671.13,499.4707,667.2483,47.388,36.987,44.342,59.0169,59.5518,0.8973,2.4425,630
30/06/2008,669.8,10886699,99432.1361,25.6924,1.7965,25.8182,2.5049,8.915,8.915,5.6785,43.6323,19.2711,2.7721,14.4031,14.3793,25.9,26.07,267.3977,3.75,3.75,26.07,0.637,85.5969,121258.9753,8988,0.9642,8988,12.5253,8.3147,3.8922,4.2069,3994.0969,4381,#N/A N/A,1.9506,841,1.4315,0.1743,560.425,667.1325,502.2936,673.2725,36.004,38.107,36.569,56.9117,55.7003,0.8973,2.2909,720
31/07/2008,569.15,10962687,99432.1361,21.8316,1.4135,21.9386,2.1285,8.915,8.915,5.6785,43.6323,19.2711,2.7721,14.4031,14.3793,25.9,26.07,267.3977,3.75,3.75,26.07,0.637,85.5969,104351.4431,8988,0.9642,8988,10.6431,8.3147,4.5805,4.9508,3994.0969,4381,#N/A N/A,1.9506,841,1.4315,0.2051,563.8375,658.0525,503.9042,673.5567,44.111,42.504,37.893,52.5139,48.0978,0.8973,1.9466,667
29/08/2008,579.15,8677103,99432.1361,22.2152,1.4263,22.324,2.1659,8.915,8.915,5.6785,43.6323,19.2711,2.7721,14.4031,14.3793,25.9,26.07,267.3977,3.75,3.75,26.07,0.637,85.5969,106095.8806,8988,0.9642,8988,10.8301,8.3147,4.5014,4.8654,3994.0969,4381,#N/A N/A,1.9506,841,1.4315,0.2014,568.073,646.45,506.4675,671.0933,35.439,36.024,39.036,52.8881,48.8449,0.8973,1.9808,550.55
30/09/2008,509.95,7088250,99432.1361,19.5608,1.4132,19.6566,1.9071,8.915,8.915,5.6785,43.6323,19.2711,2.7721,14.4031,14.3793,25.9,26.07,267.3977,3.75,3.75,26.07,0.637,85.5969,94454.4272,8988,0.9642,8988,9.5361,8.3147,5.1123,5.5256,3994.0969,4381,#N/A N/A,1.9506,841,1.4315,0.2287,570.672,634.795,508.0834,664.4017,27.301,36.47,36.005,50.0641,44.113,0.8973,1.7441,573
31/10/2008,429.9,10835243,99432.1361,16.4902,1.5653,16.571,1.6077,8.915,8.915,5.6785,43.6323,19.2711,2.7721,14.4031,14.3793,25.9,26.07,267.3977,3.75,3.75,26.07,0.637,85.5969,81025.2624,8988,0.9642,8988,8.0391,8.3147,6.0642,6.5545,3994.0969,4381,#N/A N/A,1.9506,841,1.4315,0.2712,572.2215,622.445,509.1177,654.86,85.832,55.686,50.179,47.0572,39.3626,0.8973,1.4703,564
