Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,84.35,631905,10609.5253,31.4047,1.4778,#N/A N/A,4.6217,16.3249,16.3249,12.6309,9.6074,-15.8772,4.0067,24.8209,24.8209,2.6859,2.6859,18.2508,0.6667,0.6667,2.6859,0.7737,75.1791,14942.4219,546.899,-0.972,546.899,28.2941,5.4267,3.1842,3.1016,470.9571,492.729,#N/A N/A,#N/A N/A,122.3,2.4589,0.0208,35.3271,63.9292,#N/A N/A,50.3317,40.973,42.796,42.326,74.5627,73.2263,1.7115,5.1268,91.67
2/28/2007,71.33,358251,10609.5253,26.5584,1.3518,#N/A N/A,3.9085,16.3249,16.3249,12.6309,9.6074,-15.8772,4.0067,24.8209,24.8209,2.6859,2.6859,18.2508,0.6667,0.6667,2.6859,0.7737,75.1791,12554.5143,546.899,-0.972,546.899,23.9278,5.4267,3.7653,3.6675,470.9571,492.729,#N/A N/A,#N/A N/A,122.3,2.4589,0.0246,36.5381,66.2817,#N/A N/A,52.2428,26.219,39.485,38.488,68.1818,63.9426,1.7115,4.3356,84.68
3/30/2007,65.13,2239875,11948.71,18.3414,0.9773,18.3414,5.2096,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,37.5463,3.5512,3.5512,12.5025,1,1,3.5512,1.3981,62.4537,11466.7203,671.698,-0.7176,671.698,18.0783,5.8578,5.4521,5.1469,553.4164,662.062,#N/A N/A,5.7039,124.29,1.7439,0.0318,37.6575,68.23,#N/A N/A,53.9394,49.389,39.156,42.494,65.4231,60.0381,1.1424,2.3431,72.33
4/30/2007,66.87,334851,11948.71,18.8295,0.9449,18.8295,5.3482,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,37.5463,3.5512,3.5512,12.5025,1,1,3.5512,1.3981,62.4537,11784.7003,671.698,-0.7176,671.698,18.5594,5.8578,5.3108,5.0135,553.4164,662.062,#N/A N/A,5.7039,124.29,1.7439,0.031,38.8215,69.69,#N/A N/A,55.6767,24.459,34.952,35.97,65.8231,60.7595,1.1424,2.4054,63.33
5/31/2007,73.07,568494,11948.71,20.5754,0.9848,20.5754,5.8441,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,37.5463,3.5512,3.5512,12.5025,1,1,3.5512,1.3981,62.4537,12922.0903,671.698,-0.7176,671.698,20.2803,5.8578,4.8602,4.5881,553.4164,662.062,#N/A N/A,5.7039,124.29,1.7439,0.0283,40.1096,71.4875,#N/A N/A,57.3456,32.685,34.318,35.883,67.2258,63.3109,1.1424,2.6285,67
6/29/2007,68.27,2333421,11948.71,19.2238,1.0284,19.2238,5.4602,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,37.5463,3.5512,3.5512,12.5025,1,1,3.5512,1.3981,62.4537,12041.5303,671.698,-0.7176,671.698,18.948,5.8578,5.2019,4.9107,553.4164,662.062,#N/A N/A,5.7039,124.29,1.7439,0.0303,41.2569,73.0467,#N/A N/A,58.5361,35.782,31.018,35.372,65.0863,60.0554,1.1424,2.4558,73.33
7/31/2007,74.82,1456332,11948.71,21.0682,1.0588,21.0682,5.9841,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,37.5463,3.5512,3.5512,12.5025,1,1,3.5512,1.3981,62.4537,13243.1278,671.698,-0.7176,671.698,20.766,5.8578,4.7465,4.4807,553.4164,662.062,#N/A N/A,5.7039,124.29,1.7439,0.0277,42.5866,74.8125,#N/A N/A,60.1094,33.334,33.372,29.816,66.5874,62.8617,1.1424,2.6914,72
8/31/2007,75.63,4075542,11948.71,21.2982,1.085,21.2982,6.0494,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,37.5463,3.5512,3.5512,12.5025,1,1,3.5512,1.3981,62.4537,13392.9453,671.698,-0.7176,671.698,20.9927,5.8578,4.6952,4.4324,553.4164,662.062,#N/A N/A,5.7039,124.29,1.7439,0.0274,43.9015,76.4733,#N/A N/A,61.69,58.913,43.557,39.752,66.7716,63.2088,1.1424,2.7208,71.08
9/28/2007,73.12,2667351,11948.71,20.5895,0.9943,20.5895,5.8481,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,37.5463,3.5512,3.5512,12.5025,1,1,3.5512,1.3981,62.4537,12931.2628,671.698,-0.7176,671.698,20.2942,5.8578,4.8568,4.5849,553.4164,662.062,#N/A N/A,5.7039,124.29,1.7439,0.0283,45.1838,77.6417,#N/A N/A,63.2628,18.35,41.1,37.622,65.6181,61.3074,1.1424,2.6303,76.67
10/31/2007,91.4,5387745,11948.71,25.7381,1.0924,25.7381,7.3105,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,37.5463,3.5512,3.5512,12.5025,1,1,3.5512,1.3981,62.4537,16558.1691,671.698,-0.7176,671.698,25.3689,5.8578,3.8853,3.6678,553.4164,662.062,#N/A N/A,5.7039,124.29,1.7439,0.0223,46.8031,79.0533,#N/A N/A,65.48,75.533,54.02,49.467,69.5692,68.6788,1.1424,3.288,77.32
