Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,45.84,8264052,48229.6665,21.6272,1.0177,21.6272,3.1697,17.7201,17.7201,8.7893,0,-78.6933,2.1732,31.4549,31.4549,2.1194,2.1194,14.4612,0.6667,0.6667,2.1194,0.496,68.5451,23220.0055,1560.094,-4.9155,1560.094,19.7992,3.8463,4.6238,4.7404,1137.8495,1428.234,#N/A N/A,#N/A N/A,561.562,1.5943,0,34.9373,48.5538,25.5013,41.4682,40.014,31.024,29.84,60.8825,44.0582,1.2253,3.8324,41.08
2/28/2007,40.59,1517124,48229.6665,19.1501,0.9747,19.1501,2.8067,17.7201,17.7201,8.7893,0,-78.6933,2.1732,31.4549,31.4549,2.1194,2.1194,14.4612,0.6667,0.6667,2.1194,0.496,68.5451,19682.1711,1560.094,-4.9155,1560.094,17.5315,3.8463,5.2219,5.3536,1137.8495,1428.234,#N/A N/A,#N/A N/A,561.562,1.5943,0,35.2775,49.0481,25.7302,42.129,28.92,32.564,29.1,58.282,41.0121,1.2253,3.3934,45.92
3/30/2007,37.6,1410396,25340.4407,17.4605,0.9304,17.4605,2.3962,24.9017,24.9017,8.7274,0,-90.7828,2.1937,36.7601,36.7601,2.1537,2.1537,15.6931,0.7917,0.7917,2.1537,0.3505,63.2399,15739.9896,1143.253,-8.3975,1143.253,22.1652,7.2634,5.7272,4.1815,668.0972,1451.303,#N/A N/A,#N/A N/A,561.562,1.7242,0,35.5753,49.291,25.923,42.5838,36.775,35.25,32.888,56.8544,39.3473,1.4373,4.348,45.46
4/30/2007,41.58,1392060,25340.4407,19.3062,0.9688,19.3062,2.6495,24.9017,24.9017,8.7274,0,-90.7828,2.1937,36.7601,36.7601,2.1537,2.1537,15.6931,0.7917,0.7917,2.1537,0.3505,63.2399,18418.6356,1143.253,-8.3975,1143.253,24.5082,7.2634,5.1797,3.7818,668.0972,1451.303,#N/A N/A,#N/A N/A,561.562,1.7242,0,35.9708,49.5219,26.1822,43.1833,24.182,30.701,31.76,58.2635,42.6857,1.4373,4.8076,37.25
5/31/2007,39.64,2048928,25340.4407,18.4065,0.881,18.4065,2.5261,24.9017,24.9017,8.7274,0,-90.7828,2.1937,36.7601,36.7601,2.1537,2.1537,15.6931,0.7917,0.7917,2.1537,0.3505,63.2399,17113.0062,1143.253,-8.3975,1143.253,23.3662,7.2634,5.4329,3.9666,668.0972,1451.303,#N/A N/A,#N/A N/A,561.562,1.7242,0,36.3553,49.2477,26.4202,43.5706,17.898,22.759,27.761,57.3195,41.487,1.4373,4.5835,42.5
6/29/2007,42.53,3866076,25340.4407,19.7492,1.0565,19.7492,2.7103,24.9017,24.9017,8.7274,0,-90.7828,2.1937,36.7601,36.7601,2.1537,2.1537,15.6931,0.7917,0.7917,2.1537,0.3505,63.2399,19061.623,1143.253,-8.3975,1143.253,25.0706,7.2634,5.0635,3.6969,668.0972,1451.303,#N/A N/A,#N/A N/A,561.562,1.7242,0,36.7893,48.83,26.737,44.0731,20.968,21.972,26.862,58.3611,44.0139,1.4373,4.9179,39.92
7/31/2007,39.9,5069352,25340.4407,18.5245,0.931,18.5245,2.5422,24.9017,24.9017,8.7274,0,-90.7828,2.1937,36.7601,36.7601,2.1537,2.1537,15.6931,0.7917,0.7917,2.1537,0.3505,63.2399,17284.2824,1143.253,-8.3975,1143.253,23.516,7.2634,5.3982,3.9413,668.0972,1451.303,#N/A N/A,#N/A N/A,561.562,1.7242,0,37.1009,48.0806,27.0092,44.4849,32.842,24.836,24.66,57.0475,42.2228,1.4373,4.6129,42.25
8/31/2007,37.53,3892200,25340.4407,17.4257,0.8877,17.4257,2.3914,24.9017,24.9017,8.7274,0,-90.7828,2.1937,36.7601,36.7601,2.1537,2.1537,15.6931,0.7917,0.7917,2.1537,0.3505,63.2399,15689.4491,1143.253,-8.3975,1143.253,22.121,7.2634,5.7387,4.1899,668.0972,1451.303,#N/A N/A,#N/A N/A,561.562,1.7242,0,37.3046,47.1673,27.2734,44.7739,15.23,25.166,24.344,55.8801,40.6253,1.4373,4.3393,39.5
9/28/2007,50.88,37732380,25340.4407,23.6244,1.1408,23.6244,3.2421,24.9017,24.9017,8.7274,0,-90.7828,2.1937,36.7601,36.7601,2.1537,2.1537,15.6931,0.7917,0.7917,2.1537,0.3505,63.2399,24685.5936,1143.253,-8.3975,1143.253,29.99,7.2634,4.2329,3.0905,668.0972,1451.303,#N/A N/A,#N/A N/A,561.562,1.7242,0,37.8296,46.2223,27.6803,45.5615,80.801,51.266,43.56,60.5868,51.7216,1.4373,5.8829,37.92
10/31/2007,69.06,30530412,25340.4407,32.0673,1.361,32.0673,4.4008,24.9017,24.9017,8.7274,0,-90.7828,2.1937,36.7601,36.7601,2.1537,2.1537,15.6931,0.7917,0.7917,2.1537,0.3505,63.2399,36938.8324,1143.253,-8.3975,1143.253,40.7078,7.2634,3.1184,2.2768,668.0972,1451.303,#N/A N/A,#N/A N/A,561.562,1.7242,0,38.7093,46.3981,28.2695,46.7857,96.127,72.688,62.46,65.737,62.1086,1.4373,7.9853,51.25
