Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,43.49,34671857,19796.25,47.9574,2.2568,47.9574,6.2605,4.7758,4.7758,6.1347,57.5651,54.3286,1.0501,31.8654,31.8654,0.9069,0.9069,6.9472,0.289,0.289,0.9069,1.2845,68.1346,36896.0225,2300.9655,1.2916,2300.9655,14.7166,10.0788,2.0852,5.1298,1010.1582,706.0948,#N/A N/A,#N/A N/A,750,0.4225,0.093,17.5132,27.1846,11.7222,23.07,45.286,34.927,35.19,77.1491,78.175,0.0376,2.2903,36.12
2/28/2007,44.84,42101522,19796.25,49.4445,2.5167,49.4445,6.4546,4.7758,4.7758,6.1347,57.5651,54.3286,1.0501,31.8654,31.8654,0.9069,0.9069,6.9472,0.289,0.289,0.9069,1.2845,68.1346,37946.0225,2300.9655,1.2916,2300.9655,15.173,10.0788,2.0225,4.9755,1010.1582,706.0948,#N/A N/A,#N/A N/A,750,0.4225,0.0902,18.3236,28.6112,12.0999,24.0842,51.431,40.115,40.803,77.6947,78.9444,0.0376,2.3614,44.31
3/30/2007,40.94,14601884,31875,46.5051,2.478,46.5051,5.5833,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,44.8054,0.8803,0.8803,7.3326,0.3372,0.3372,0.8803,1.528,55.1946,35778.9667,3203.3417,1.1962,3203.3417,9.9505,8.9531,2.1503,8.2973,1204.911,685.409,#N/A N/A,#N/A N/A,750,0.3463,0.121,19.0562,29.7243,12.4429,24.9499,21.326,41.844,37.167,72.5135,71.1322,0.0048,1.6092,44.74
4/30/2007,41.95,13924115,31875,47.654,2.3914,47.654,5.7212,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,44.8054,0.8803,0.8803,7.3326,0.3372,0.3372,0.8803,1.528,55.1946,36566.4667,3203.3417,1.1962,3203.3417,10.1964,8.9531,2.0985,8.0973,1204.911,685.409,#N/A N/A,#N/A N/A,750,0.3463,0.1181,19.8151,30.8894,12.7943,25.8772,47.103,42.9,42.867,72.9965,71.9083,0.0048,1.6489,40.51
5/31/2007,44.46,10333936,31875,50.499,2.4171,50.499,6.0628,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,44.8054,0.8803,0.8803,7.3326,0.3372,0.3372,0.8803,1.528,55.1946,38516.4667,3203.3417,1.1962,3203.3417,10.8051,8.9531,1.9802,7.6411,1204.911,685.409,#N/A N/A,#N/A N/A,750,0.3463,0.1114,20.6329,32.0964,13.1401,26.858,27.829,37.483,42.231,74.1596,73.7877,0.0048,1.7474,42.67
6/29/2007,46.53,10649539,31875,52.8516,2.8272,52.8516,6.3452,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,44.8054,0.8803,0.8803,7.3326,0.3372,0.3372,0.8803,1.528,55.1946,40128.9667,3203.3417,1.1962,3203.3417,11.3085,8.9531,1.8921,7.301,1204.911,685.409,#N/A N/A,#N/A N/A,750,0.3463,0.1065,21.4669,33.4081,13.5055,27.88,29.611,32.979,36.081,75.0778,75.2615,0.0048,1.8288,45.52
7/31/2007,53.56,50239346,31875,60.8396,3.0575,60.8396,7.3043,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,44.8054,0.8803,0.8803,7.3326,0.3372,0.3372,0.8803,1.528,55.1946,45603.9667,3203.3417,1.1962,3203.3417,13.0177,8.9531,1.6437,6.3424,1204.911,685.409,#N/A N/A,#N/A N/A,750,0.3463,0.0925,22.4127,35.0313,13.9432,29.1799,61.067,41.959,43.234,77.8433,79.4803,0.0048,2.1052,47.2
8/31/2007,60.98,28051857,31875,69.2652,3.5286,69.2652,8.3158,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,44.8054,0.8803,0.8803,7.3326,0.3372,0.3372,0.8803,1.528,55.1946,51378.9667,3203.3417,1.1962,3203.3417,14.8205,8.9531,1.4437,5.5709,1204.911,685.409,#N/A N/A,#N/A N/A,750,0.3463,0.0812,23.4978,36.811,14.4533,30.6876,41.903,48.303,43.466,80.2363,82.8103,0.0048,2.3967,53.56
9/28/2007,60.78,11375476,31875,69.0463,3.3343,69.0463,8.2895,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,44.8054,0.8803,0.8803,7.3326,0.3372,0.3372,0.8803,1.528,55.1946,51228.9667,3203.3417,1.1962,3203.3417,14.7736,8.9531,1.4483,5.5885,1204.911,685.409,#N/A N/A,#N/A N/A,750,0.3463,0.0815,24.5406,38.6846,14.9664,32.2513,32.91,49.103,43.183,80.0041,82.4361,0.0048,2.3892,61.51
10/31/2007,72.82,24495160,31875,82.7243,3.511,82.7243,9.9317,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,44.8054,0.8803,0.8803,7.3326,0.3372,0.3372,0.8803,1.528,55.1946,60603.9667,3203.3417,1.1962,3203.3417,17.7003,8.9531,1.2088,4.6645,1204.911,685.409,#N/A N/A,#N/A N/A,750,0.3463,0.068,25.8386,41.1636,15.5993,34.2262,66.115,48.053,51.065,83.1555,86.5323,0.0048,2.8624,61.17
