Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
31/01/2007,105.47,44349147,269340.0346,9.7513,0.4589,9.7513,2.3169,16.9186,16.9186,14.5915,20.4165,-24.0918,1.9384,34.6713,34.6713,10.8159,10.8159,45.5225,3.75,3.75,10.8159,0.8625,65.3287,213107.8157,38064.5,-0.6497,38064.5,6.2483,15.5614,10.255,13.4696,22553.9277,24390.5,#N/A N/A,1.2463,8456.5,1.4024,0.0881,77.2603,97.7787,50.5501,91.702,28.207,29.053,27.515,58.416,52.5829,1.1972,1.6498,99.26
28/02/2007,106.09,40403961,269340.0346,9.8085,0.4993,9.8085,2.3304,16.9186,16.9186,14.5915,20.4165,-24.0918,1.9384,34.6713,34.6713,10.8159,10.8159,45.5225,3.75,3.75,10.8159,0.8625,65.3287,214503.1408,38064.5,-0.6497,38064.5,6.285,15.5614,10.1952,13.391,22553.9277,24390.5,#N/A N/A,1.2463,8456.5,1.4024,0.0876,78.8551,98.8156,51.3374,92.9287,32.148,30.844,28.433,58.5557,52.8864,1.1972,1.6595,103.13
30/03/2007,99.21,24220763,223717.1308,8.911,0.4748,8.911,1.8922,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,25.2627,11.1331,11.1331,52.4287,2.8125,2.8125,11.1331,0.8126,74.7373,232973.0338,32440.3,0.2853,32440.3,6.8963,13.9245,11.2221,11.7229,21558.8087,25105.8,#N/A N/A,3.4559,8456.5,0.7231,0.1638,80.3137,99.5384,52.0478,93.8516,50.331,37.124,35.452,56.3767,49.121,0.5553,1.4032,106.5
30/04/2007,111.15,35635902,223717.1308,9.9838,0.501,9.9838,2.12,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,25.2627,11.1331,11.1331,52.4287,2.8125,2.8125,11.1331,0.8126,74.7373,259907.0376,32440.3,0.2853,32440.3,7.7265,13.9245,10.0162,10.4632,21558.8087,25105.8,#N/A N/A,3.4559,8456.5,0.7231,0.1462,81.9407,100.7253,52.8261,95.1176,37.101,39.67,36.891,59.1089,55.0969,0.5553,1.5722,99.34
31/05/2007,114.51,41580528,223717.1308,10.2853,0.4923,10.2853,2.184,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,25.2627,11.1331,11.1331,52.4287,2.8125,2.8125,11.1331,0.8126,74.7373,267475.6195,32440.3,0.2853,32440.3,7.9598,13.9245,9.7227,10.1565,21558.8087,25105.8,#N/A N/A,3.4559,8456.5,0.7231,0.1419,83.6689,101.51,53.7054,96.2092,32.529,36.417,36.778,59.8401,56.6381,0.5553,1.6196,112.13
29/06/2007,116.36,35549814,223717.1308,10.452,0.5591,10.452,2.2195,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,25.2627,11.1331,11.1331,52.4287,2.8125,2.8125,11.1331,0.8126,74.7373,271661.595,32440.3,0.2853,32440.3,8.0889,13.9245,9.5676,9.9945,21558.8087,25105.8,#N/A N/A,3.4559,8456.5,0.7231,0.1396,85.4002,102.9312,54.6404,97.2003,39.728,37.419,41.012,60.2468,57.5068,0.5553,1.6459,114.75
31/07/2007,126.84,29353330,223717.1308,11.3934,0.5726,11.3934,2.4194,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,25.2627,11.1331,11.1331,52.4287,2.8125,2.8125,11.1331,0.8126,74.7373,295297.5575,32440.3,0.2853,32440.3,8.8175,13.9245,8.777,9.1687,21558.8087,25105.8,#N/A N/A,3.4559,8456.5,0.7231,0.1281,87.1663,104.2672,55.6704,98.5465,31.844,33.619,35.112,62.467,62.1214,0.5553,1.7941,117
31/08/2007,116.21,28197426,223717.1308,10.4385,0.5318,10.4385,2.2166,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,25.2627,11.1331,11.1331,52.4287,2.8125,2.8125,11.1331,0.8126,74.7373,271323.3344,32440.3,0.2853,32440.3,8.0785,13.9245,9.5799,10.0074,21558.8087,25105.8,#N/A N/A,3.4559,8456.5,0.7231,0.1398,88.6623,105.0903,56.5978,99.4034,46.461,38.872,39.003,59.0089,55.5339,0.5553,1.6438,127.41
28/09/2007,142.13,54440506,223717.1308,12.7661,0.6165,12.7661,2.7108,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,25.2627,11.1331,11.1331,52.4287,2.8125,2.8125,11.1331,0.8126,74.7373,329757.9995,32440.3,0.2853,32440.3,9.8797,13.9245,7.8333,8.1829,21558.8087,25105.8,#N/A N/A,3.4559,8456.5,0.7231,0.1143,90.6001,106.7131,57.7437,101.4884,41.607,41.095,39.747,64.0297,65.216,0.5553,2.0103,116.76
31/10/2007,154.46,87980067,223717.1308,13.8742,0.5889,13.8742,2.9462,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,25.2627,11.1331,11.1331,52.4287,2.8125,2.8125,11.1331,0.8126,74.7373,357579.9495,32440.3,0.2853,32440.3,10.7374,13.9245,7.2076,7.5293,21558.8087,25105.8,#N/A N/A,3.4559,8456.5,0.7231,0.1052,92.6879,109.3212,59.0462,104.0884,57.047,49.265,44.001,66.0763,68.7094,0.5553,2.1848,145.05
