Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,599.95,916403,23847.5928,19.8776,0.9354,19.8776,4.649,11.4155,11.4155,17.3772,0,-49.0921,2.4811,33.1324,33.1324,30.1822,30.1822,129.0482,10,10,30.1822,1.5222,66.8676,22566.8772,2203.57,-1.2091,2203.57,11.4502,10.4024,5.0308,7.0408,1184.4815,1269.33,#N/A N/A,1.9957,420.56,1.4122,0,383.449,538.9625,416.008,462.9117,22.675,26.546,29.279,74.6279,58.9266,1.2775,2.2691,560
2/28/2007,558,288440,23847.5928,18.4877,0.941,18.4877,4.324,11.4155,11.4155,17.3772,0,-49.0921,2.4811,33.1324,33.1324,30.1822,30.1822,129.0482,10,10,30.1822,1.5222,66.8676,20802.649,2203.57,-1.2091,2203.57,10.6495,10.4024,5.409,7.5701,1184.4815,1269.33,#N/A N/A,1.9957,420.56,1.4122,0,389.384,547.7625,416.688,473.3433,24.024,25.501,29.551,70.541,53.1246,1.2775,2.1105,572.05
3/30/2007,538.95,293248,23847.5928,17.8565,0.9515,17.8565,4.1763,11.4155,11.4155,17.3772,0,-49.0921,2.4811,33.1324,33.1324,30.1822,30.1822,129.0482,10,10,30.1822,1.5222,66.8676,20001.4917,2203.57,-1.2091,2203.57,10.286,10.4024,5.6002,7.8377,1184.4815,1269.33,#N/A N/A,1.9957,420.56,1.4122,0,394.98,553.6,417.0725,482.4033,31.468,26.592,26.737,68.7718,50.6841,1.2775,2.0384,560
4/30/2007,532,967381,23847.5928,17.6263,0.8845,17.6263,4.1225,11.4155,11.4155,17.3772,0,-49.0921,2.4811,33.1324,33.1324,30.1822,30.1822,129.0482,10,10,30.1822,1.5222,66.8676,19709.206,2203.57,-1.2091,2203.57,10.1533,10.4024,5.6734,7.9401,1184.4815,1269.33,#N/A N/A,1.9957,420.56,1.4122,0,400.91,558.1925,417.1375,491.4483,21.745,25.327,25.559,68.1269,49.7855,1.2775,2.0121,525
5/31/2007,550,1176956,23847.5928,18.2226,0.8722,18.2226,4.262,11.4155,11.4155,17.3772,0,-49.0921,2.4811,33.1324,33.1324,30.1822,30.1822,129.0482,10,10,30.1822,1.5222,66.8676,20466.205,2203.57,-1.2091,2203.57,10.4969,10.4024,5.4877,7.6802,1184.4815,1269.33,#N/A N/A,1.9957,420.56,1.4122,0,407.627,560.535,415.7175,500.4417,29.546,27.148,26.082,68.9081,52.1516,1.2775,2.0802,535
6/29/2007,577.75,522703,23847.5928,19.1421,1.024,19.1421,4.477,11.4155,11.4155,17.3772,0,-49.0921,2.4811,33.1324,33.1324,30.1822,30.1822,129.0482,10,10,30.1822,1.5222,66.8676,21633.2451,2203.57,-1.2091,2203.57,11.0265,10.4024,5.2241,7.3113,1184.4815,1269.33,#N/A N/A,1.9957,420.56,1.4122,0,414.745,564.6225,414.7525,508.76,22.76,24.291,25.747,70.0776,55.6232,1.2775,2.1852,546.2
7/31/2007,600.25,552444,23847.5928,19.8875,0.9995,19.8875,4.6514,11.4155,11.4155,17.3772,0,-49.0921,2.4811,33.1324,33.1324,30.1822,30.1822,129.0482,10,10,30.1822,1.5222,66.8676,22579.4939,2203.57,-1.2091,2203.57,11.4559,10.4024,5.0283,7.0373,1184.4815,1269.33,#N/A N/A,1.9957,420.56,1.4122,0,421.916,568.33,413.975,517.7517,20.155,23.101,23.419,70.9928,58.2672,1.2775,2.2703,571.25
8/31/2007,619.05,561174,23847.5928,20.5104,1.0449,20.5104,4.797,11.4155,11.4155,17.3772,0,-49.0921,2.4811,33.1324,33.1324,30.1822,30.1822,129.0482,10,10,30.1822,1.5222,66.8676,23370.1373,2203.57,-1.2091,2203.57,11.8147,10.4024,4.8756,6.8236,1184.4815,1269.33,#N/A N/A,1.9957,420.56,1.4122,0,429.069,571.355,414.3155,527.215,24.096,22.675,24.049,71.7399,60.3907,1.2775,2.3414,579
9/28/2007,658.2,196203,23847.5928,21.8075,1.0531,21.8075,5.1004,11.4155,11.4155,17.3772,0,-49.0921,2.4811,33.1324,33.1324,30.1822,30.1822,129.0482,10,10,30.1822,1.5222,66.8676,25016.939,2203.57,-1.2091,2203.57,12.5619,10.4024,4.5856,6.4177,1184.4815,1269.33,#N/A N/A,1.9957,420.56,1.4122,0,436.647,573.865,414.7175,537.61,31.709,25.149,25.523,73.2255,64.4477,1.2775,2.4894,611.5
10/31/2007,661.75,413958,23847.5928,21.9252,0.9306,21.9252,5.1279,11.4155,11.4155,17.3772,0,-49.0921,2.4811,33.1324,33.1324,30.1822,30.1822,129.0482,10,10,30.1822,1.5222,66.8676,25166.2378,2203.57,-1.2091,2203.57,12.6296,10.4024,4.561,6.3833,1184.4815,1269.33,#N/A N/A,1.9957,420.56,1.4122,0,444.3,575.0525,415.482,548.34,51.048,36.727,32.522,73.3568,64.7997,1.2775,2.5029,620
