Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,309.13,27468788,37402.9754,84.7409,3.9877,96.2666,19.6723,11.6126,11.6126,7.7562,187.1003,161.3229,2.3498,9.5997,9.5997,3.2111,3.6479,15.7137,0.35,0.35,3.6479,0.6679,90.4003,80543.3122,1459.109,4.3463,1459.109,50.2809,3.3203,1.1801,1.6721,988.6403,879.76,#N/A N/A,2.7567,437.486,1.5304,0.0994,101.9329,177.9537,#N/A N/A,154.0892,39.24,53.84,62.226,80.269,85.5385,0.3211,9.684,304
2/28/2007,267.63,10980926,37402.9754,73.3644,3.7343,83.3429,17.0313,11.6126,11.6126,7.7562,187.1003,161.3229,2.3498,9.5997,9.5997,3.2111,3.6479,15.7137,0.35,0.35,3.6479,0.6679,90.4003,70798.3037,1459.109,4.3463,1459.109,43.5307,3.3203,1.3631,1.9314,988.6403,879.76,#N/A N/A,2.7567,437.486,1.5304,0.1145,107.0467,184.6225,#N/A N/A,161.4854,67.359,57.936,57.174,73.2081,71.1743,0.3211,8.384,310
3/30/2007,305.63,23723440,73385.5185,23.5311,1.2539,26.4406,10.6919,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,3.0962,11.5589,12.9881,28.5847,0.4,0.4,12.9881,0.7596,96.9038,81727.7793,4283.076,1.9477,4283.076,16.9911,5.2407,4.2497,5.3047,3339.0333,3100.6,#N/A N/A,2.1415,240.116,0.9407,0.1276,112.9293,192.1787,#N/A N/A,169.0121,66.028,59.602,57.761,75.2688,75.2695,0.1431,5.8148,273.43
4/30/2007,329.77,24175040,73385.5185,25.3905,1.2742,28.5299,11.5368,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,3.0962,11.5589,12.9881,28.5847,0.4,0.4,12.9881,0.7596,96.9038,87559.9625,4283.076,1.9477,4283.076,18.3337,5.2407,3.9385,4.9163,3339.0333,3100.6,#N/A N/A,2.1415,240.116,0.9407,0.1182,119.2947,201.7013,#N/A N/A,177.4812,33.949,59.26,54.163,76.4592,77.461,0.1431,6.2743,297.5
5/31/2007,351.8,21543988,73385.5185,27.0862,1.2965,30.4353,12.3073,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,3.0962,11.5589,12.9881,28.5847,0.4,0.4,12.9881,0.7596,96.9038,93201.7027,4283.076,1.9477,4283.076,19.5582,5.2407,3.6919,4.6085,3339.0333,3100.6,#N/A N/A,2.1415,240.116,0.9407,0.1104,126.1194,211.365,#N/A N/A,186.3383,39.791,44.586,53.98,77.4818,79.2656,0.1431,6.6933,334.98
6/29/2007,328.55,15293638,73385.5185,25.2962,1.3532,28.4239,11.4939,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,3.0962,11.5589,12.9881,28.5847,0.4,0.4,12.9881,0.7596,96.9038,87886.6554,4283.076,1.9477,4283.076,18.2656,5.2407,3.9532,4.9346,3339.0333,3100.6,#N/A N/A,2.1415,240.116,0.9407,0.1178,132.4604,220.8188,#N/A N/A,193.2533,23.882,32.249,48.564,73.9728,72.6527,0.1431,6.251,356.7
7/31/2007,343.75,11043800,73385.5185,26.4665,1.3301,29.7389,12.0257,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,3.0962,11.5589,12.9881,28.5847,0.4,0.4,12.9881,0.7596,96.9038,91570.538,4283.076,1.9477,4283.076,19.1107,5.2407,3.7784,4.7164,3339.0333,3100.6,#N/A N/A,2.1415,240.116,0.9407,0.1125,139.0816,230.42,#N/A N/A,200.5187,26.657,30.101,33.028,74.7463,74.1699,0.1431,6.5402,332.2
8/31/2007,343.88,8573566,73385.5185,26.4761,1.3488,29.7497,12.03,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,3.0962,11.5589,12.9881,28.5847,0.4,0.4,12.9881,0.7596,96.9038,92198.6592,4283.076,1.9477,4283.076,19.1176,5.2407,3.777,4.7147,3339.0333,3100.6,#N/A N/A,2.1415,240.116,0.9407,0.1117,145.6613,239.775,#N/A N/A,207.555,38.057,30.272,33.371,74.7527,74.1826,0.1431,6.5425,342.25
9/28/2007,422.45,11688080,73385.5185,32.5258,1.5707,36.5475,14.7789,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,3.0962,11.5589,12.9881,28.5847,0.4,0.4,12.9881,0.7596,96.9038,111377.8194,4283.076,1.9477,4283.076,23.4859,5.2407,3.0745,3.8378,3339.0333,3100.6,#N/A N/A,2.1415,240.116,0.9407,0.0909,153.7993,253.2925,#N/A N/A,216.9175,37.667,34.661,33.449,78.3166,80.6241,0.1431,8.0375,345.5
10/31/2007,491.7,20317667,73385.5185,37.8576,1.6068,42.5385,17.2015,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,3.0962,11.5589,12.9881,28.5847,0.4,0.4,12.9881,0.7596,96.9038,128352.9601,4283.076,1.9477,4283.076,27.3359,5.2407,2.6415,3.2973,3339.0333,3100.6,#N/A N/A,2.1415,240.116,0.9407,0.0781,163.267,270.105,#N/A N/A,228.945,54.681,43.173,38.845,80.789,84.3339,0.1431,9.3551,416
