Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,76.36,7351319,41241.9513,28.7997,1.3552,28.7997,44.3738,17.3361,17.3361,#N/A N/A,87.3363,52.5868,0.6716,65.1254,65.1254,2.6514,2.6514,1.7208,1.7287,1.7287,2.6514,#N/A N/A,34.8746,35417.9852,1481.438,0.2793,1481.438,23.5821,3.5564,3.4723,3.9122,1255.2161,1213.044,#N/A N/A,#N/A N/A,225.844,0.2246,0.0196,42.6784,72.0641,#N/A N/A,59.1467,20.45,23.175,29.487,69.3877,60.1728,0.1065,4.9928,75.08
2/28/2007,74.41,3473401,41241.9513,28.0639,1.4285,28.0639,43.2401,17.3361,17.3361,#N/A N/A,87.3363,52.5868,0.6716,65.1254,65.1254,2.6514,2.6514,1.7208,1.7287,1.7287,2.6514,#N/A N/A,34.8746,34523.6345,1481.438,0.2793,1481.438,22.9795,3.5564,3.5633,4.0148,1255.2161,1213.044,#N/A N/A,#N/A N/A,225.844,0.2246,0.0201,43.9339,73.7774,#N/A N/A,60.738,23.232,24.65,28.249,68.3565,58.5637,0.1065,4.8652,75.82
3/30/2007,72.53,7673135,33165.2026,23.8656,1.2717,23.8656,27.1848,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,60.9438,3.15,3.15,2.6681,1.8522,1.8522,3.0392,2.1,39.0562,34510.6125,1848.703,0.6822,1848.703,17.9397,5.37,4.1901,5.1459,1496.2926,1440.313,#N/A N/A,4.1806,225.844,0.3539,0.0522,45.14,74.8878,#N/A N/A,62.2461,38.889,28.35,27.865,67.3603,56.985,0.1754,3.4792,72.66
4/30/2007,68.98,9684047,33165.2026,22.6955,1.1389,22.6955,25.8519,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,60.9438,3.15,3.15,2.6681,1.8522,1.8522,3.0392,2.1,39.0562,32880.4037,1848.703,0.6822,1848.703,17.0601,5.37,4.4062,5.4112,1496.2926,1440.313,#N/A N/A,4.1806,225.844,0.3539,0.0549,46.2491,75.4889,#N/A N/A,63.6303,65.84,45.149,39.349,65.4896,54.014,0.1754,3.3087,71.62
5/31/2007,71,3672738,33165.2026,23.3618,1.1182,23.3618,26.6109,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,60.9438,3.15,3.15,2.6681,1.8522,1.8522,3.0392,2.1,39.0562,33808.717,1848.703,0.6822,1848.703,17.561,5.37,4.2805,5.2569,1496.2926,1440.313,#N/A N/A,4.1806,225.844,0.3539,0.0533,47.4114,76.239,#N/A N/A,64.9783,21.608,41.84,38.982,66.0451,55.4387,0.1754,3.4058,69.4
6/29/2007,71.27,5092636,33165.2026,23.4512,1.2545,23.4512,26.7127,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,60.9438,3.15,3.15,2.6681,1.8522,1.8522,3.0392,2.1,39.0562,33933.2469,1848.703,0.6822,1848.703,17.6282,5.37,4.2642,5.2369,1496.2926,1440.313,#N/A N/A,4.1806,225.844,0.3539,0.0531,48.585,77.0098,#N/A N/A,66.1217,31.63,42.544,40.434,66.1208,55.6373,0.1754,3.4188,71.12
7/31/2007,69.52,4784223,33165.2026,22.8742,1.1496,22.8742,26.0555,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,60.9438,3.15,3.15,2.6681,1.8522,1.8522,3.0392,2.1,39.0562,33129.4634,1848.703,0.6822,1848.703,17.1945,5.37,4.3717,5.3689,1496.2926,1440.313,#N/A N/A,4.1806,225.844,0.3539,0.0545,49.7045,77.4457,#N/A N/A,67.2895,17.836,26.209,37.132,65.1512,53.9658,0.1754,3.3347,71.12
8/31/2007,66.51,6727672,33165.2026,21.8829,1.1148,21.8829,24.9263,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,60.9438,3.15,3.15,2.6681,1.8522,1.8522,3.0392,2.1,39.0562,31748.3142,1848.703,0.6822,1848.703,16.4493,5.37,4.5698,5.6122,1496.2926,1440.313,#N/A N/A,4.1806,225.844,0.3539,0.0569,50.7267,77.5198,#N/A N/A,68.3697,20.582,26.242,25.47,63.4962,51.1236,0.1754,3.1902,69.64
9/28/2007,69.69,2258156,33165.2026,22.9311,1.1074,22.9311,26.1203,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,60.9438,3.15,3.15,2.6681,1.8522,1.8522,3.0392,2.1,39.0562,33208.7247,1848.703,0.6822,1848.703,17.2373,5.37,4.3609,5.3556,1496.2926,1440.313,#N/A N/A,4.1806,225.844,0.3539,0.0543,51.82,77.5621,#N/A N/A,69.4166,14.165,19.934,24.008,64.4831,53.889,0.1754,3.343,66.68
10/31/2007,60.58,5118268,33165.2026,19.9327,0.846,19.9327,22.7049,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,60.9438,3.15,3.15,2.6681,1.8522,1.8522,3.0392,2.1,39.0562,29031.3126,1848.703,0.6822,1848.703,14.9834,5.37,5.0169,6.1613,1496.2926,1440.313,#N/A N/A,4.1806,225.844,0.3539,0.0625,52.6964,76.7144,#N/A N/A,70.2874,34.36,24.791,26.881,59.7065,45.8906,0.1754,2.9059,69.64
