Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,165.77,3633022,29241.1029,98.6717,4.6432,#N/A N/A,11.4194,2.3305,2.3305,3.352,132.4611,69.3973,1.2389,49.637,49.637,1.68,1.68,14.5163,0.8327,0.8327,1.68,1.4383,50.363,51974.8172,1571.899,2.032,1571.899,30.757,4.7927,1.0135,2.4722,789.2368,489.977,#N/A N/A,#N/A N/A,891.852,0.6596,0.1259,42.5135,90.5746,22.9643,66.5642,33.596,51.348,57.395,73.6811,72.5017,0.3676,2.2996,179.76
2/28/2007,162.67,10596311,29241.1029,96.8279,4.9286,#N/A N/A,11.206,2.3305,2.3305,3.352,132.4611,69.3973,1.2389,49.637,49.637,1.68,1.68,14.5163,0.8327,0.8327,1.68,1.4383,50.363,51070.0769,1571.899,2.032,1571.899,30.1823,4.7927,1.0328,2.5193,789.2368,489.977,#N/A N/A,#N/A N/A,891.852,0.6596,0.1283,45.7006,96.8017,24.5677,71.6874,43.504,43.644,52.089,72.9808,71.6279,0.3676,2.2566,167.37
3/30/2007,161.22,2600633,47090.2641,79.9756,4.2615,79.9756,9.9617,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,64.4049,2.0159,2.0159,16.1842,0.9992,0.9992,2.0159,1.2181,35.5951,56127.6112,1385.377,6.2968,1385.377,33.9909,2.4683,1.2504,2.0521,822.7386,588.808,#N/A N/A,#N/A N/A,291.852,0.4199,0.2041,48.8697,102.8956,26.1591,76.6404,51.764,42.199,48.647,72.6468,71.1957,0.0684,1.9794,161.87
4/30/2007,156.77,3431940,47090.2641,77.7699,3.9027,77.7699,9.6869,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,64.4049,2.0159,2.0159,16.1842,0.9992,0.9992,2.0159,1.2181,35.5951,54828.8711,1385.377,6.2968,1385.377,33.0535,2.4683,1.2858,2.1103,822.7386,588.808,#N/A N/A,#N/A N/A,291.852,0.4199,0.2099,51.9529,108.6951,27.7034,81.4512,59.637,53.966,48.439,71.6061,69.8037,0.0684,1.9248,156.27
5/31/2007,184.8,3836024,47090.2641,91.6733,4.3879,91.6733,11.4187,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,64.4049,2.0159,2.0159,16.1842,0.9992,0.9992,2.0159,1.2181,35.5951,63015.3117,1385.377,6.2968,1385.377,38.9627,2.4683,1.0908,1.7902,822.7386,588.808,#N/A N/A,#N/A N/A,291.852,0.4199,0.1781,55.601,115.7595,29.5293,87.1228,42.456,52.356,48.867,74.0317,73.3419,0.0684,2.269,160.72
6/29/2007,204.24,7557733,47090.2641,101.314,5.4197,101.314,12.6195,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,64.4049,2.0159,2.0159,16.1842,0.9992,0.9992,2.0159,1.2181,35.5951,68691.8276,1385.377,6.2968,1385.377,43.0601,2.4683,0.987,1.6199,822.7386,588.808,#N/A N/A,#N/A N/A,291.852,0.4199,0.1611,59.6363,124.144,31.5508,93.246,50.007,50.14,50.773,75.5311,75.4868,0.0684,2.5076,187.75
7/31/2007,200.29,3055653,47090.2641,99.3561,4.9932,99.3561,12.3757,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,64.4049,2.0159,2.0159,16.1842,0.9992,0.9992,2.0159,1.2181,35.5951,67539.0133,1385.377,6.2968,1385.377,42.228,2.4683,1.0065,1.6518,822.7386,588.808,#N/A N/A,#N/A N/A,291.852,0.4199,0.1643,63.5555,132.0235,33.5205,99.3142,39.238,44.44,49.083,74.6259,74.1814,0.0684,2.4591,207.83
8/31/2007,183.2,1848963,47090.2641,90.8802,4.6297,90.8802,11.3199,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,64.4049,2.0159,2.0159,16.1842,0.9992,0.9992,2.0159,1.2181,35.5951,62548.349,1385.377,6.2968,1385.377,38.6256,2.4683,1.1003,1.8058,822.7386,588.808,#N/A N/A,#N/A N/A,291.852,0.4199,0.1796,67.117,138.0188,35.3274,104.7706,42.738,44.112,43.765,70.8245,68.6471,0.0684,2.2493,197.74
9/28/2007,173.16,2624200,47090.2641,85.8988,4.1481,85.8988,10.6994,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,64.4049,2.0159,2.0159,16.1842,0.9992,0.9992,2.0159,1.2181,35.5951,59615.2868,1385.377,6.2968,1385.377,36.5084,2.4683,1.1642,1.9106,822.7386,588.808,#N/A N/A,#N/A N/A,291.852,0.4199,0.19,70.4753,143.5393,37.0319,109.9337,30.896,39.046,41.862,68.6969,65.5518,0.0684,2.126,182.85
10/31/2007,210.28,4705609,47090.2641,104.3127,4.4273,104.3127,12.9931,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,64.4049,2.0159,2.0159,16.1842,0.9992,0.9992,2.0159,1.2181,35.5951,70457.5882,1385.377,6.2968,1385.377,44.3346,2.4683,0.9587,1.5733,822.7386,588.808,#N/A N/A,#N/A N/A,291.852,0.4199,0.1565,74.5599,150.6228,39.1059,116.2756,65.366,49.015,46.136,71.9223,70.7942,0.0684,2.5818,170.96
