Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,346.38,16969060,189072.3277,15.2589,0.718,15.3197,3.307,11.3484,11.3484,9.8067,67.7329,63.2968,1.0847,15.8522,15.909,22.7,22.7,104.7415,4,4,22.7,0.8641,84.1478,294486.3517,21077.7,1.607,21077.7,7.5338,9.2266,6.5536,9.7274,11501.4342,11566.2,#N/A N/A,#N/A N/A,1344.9,0.343,0.1421,161.459,237.6789,98.2339,208.165,24.276,27.768,25.658,70.3157,74.0697,0.0983,1.5581,351
2/28/2007,275.37,23565895,189072.3277,12.131,0.6175,12.1793,2.6291,11.3484,11.3484,9.8067,67.7329,63.2968,1.0847,15.8522,15.909,22.7,22.7,104.7415,4,4,22.7,0.8641,84.1478,242191.0904,21077.7,1.607,21077.7,5.9895,9.2266,8.2433,12.2356,11501.4342,11566.2,#N/A N/A,#N/A N/A,1344.9,0.343,0.1787,166.1817,244.876,100.8152,212.7065,41.315,35.75,31.154,62.0582,61.2667,0.0983,1.2387,348.51
3/30/2007,260.5,39798415,191864.1672,6.07,0.3234,6.07,1.7983,14.1744,14.1744,14.1947,65.3092,60.3855,1.1609,12.6182,12.6182,42.916,42.916,144.8592,5.5,5.5,42.916,1.0014,87.3818,245731.6834,40249.7,1.125,40249.7,2.9671,16.3795,16.4745,28.5953,23464.6036,19979,#N/A N/A,#N/A N/A,979.7,0.4175,0.2552,170.583,250.581,103.2416,216.6278,43.276,37.625,36.124,60.5181,58.9673,0.129,0.8473,275.7
4/30/2007,304.65,15263225,191864.1672,7.0987,0.3562,7.0987,2.1031,14.1744,14.1744,14.1947,65.3092,60.3855,1.1609,12.6182,12.6182,42.916,42.916,144.8592,5.5,5.5,42.916,1.0014,87.3818,278248.3443,40249.7,1.125,40249.7,3.47,16.3795,14.0871,24.4513,23464.6036,19979,#N/A N/A,#N/A N/A,979.7,0.4175,0.2183,175.8057,257.7193,106.0637,222.2845,31.989,41.117,35.888,63.3137,63.3627,0.129,0.9909,255.16
5/31/2007,311.21,14703710,191864.1672,7.2516,0.3471,7.2516,2.1483,14.1744,14.1744,14.1947,65.3092,60.3855,1.1609,12.6182,12.6182,42.916,42.916,144.8592,5.5,5.5,42.916,1.0014,87.3818,283079.7962,40249.7,1.125,40249.7,3.5447,16.3795,13.7901,23.9359,23464.6036,19979,#N/A N/A,#N/A N/A,979.7,0.4175,0.2137,181.2066,265.0551,108.9611,227.9781,17.192,32.683,35.717,63.7087,63.98,0.129,1.0122,306.19
6/29/2007,328.1,12212795,191864.1672,7.6451,0.409,7.6451,2.2649,14.1744,14.1744,14.1947,65.3092,60.3855,1.1609,12.6182,12.6182,42.916,42.916,144.8592,5.5,5.5,42.916,1.0014,87.3818,295519.9305,40249.7,1.125,40249.7,3.7371,16.3795,13.0802,22.7037,23464.6036,19979,#N/A N/A,#N/A N/A,979.7,0.4175,0.2027,186.8704,274.4783,112.043,233.4284,28.923,26.957,35.835,64.7204,65.588,0.129,1.0671,313.04
7/31/2007,368.06,22600960,191864.1672,8.5763,0.431,8.5763,2.5408,14.1744,14.1744,14.1947,65.3092,60.3855,1.1609,12.6182,12.6182,42.916,42.916,144.8592,5.5,5.5,42.916,1.0014,87.3818,324951.8032,40249.7,1.125,40249.7,4.1922,16.3795,11.6601,20.2388,23464.6036,19979,#N/A N/A,#N/A N/A,979.7,0.4175,0.1807,193.2717,284.3698,115.5272,240.1801,28.832,26.529,26.994,66.9738,69.1023,0.129,1.1971,328.6
8/31/2007,366.8,11775575,191864.1672,8.547,0.4354,8.547,2.5321,14.1744,14.1744,14.1947,65.3092,60.3855,1.1609,12.6182,12.6182,42.916,42.916,144.8592,5.5,5.5,42.916,1.0014,87.3818,324025.8979,40249.7,1.125,40249.7,4.1779,16.3795,11.7001,20.3081,23464.6036,19979,#N/A N/A,#N/A N/A,979.7,0.4175,0.1813,199.3582,294.0506,119.0546,246.8187,28.72,30.11,27.879,66.8348,68.8641,0.129,1.193,367.18
9/28/2007,437.01,15864800,191864.1672,10.183,0.4917,10.183,3.0168,14.1744,14.1744,14.1947,65.3092,60.3855,1.1609,12.6182,12.6182,42.916,42.916,144.8592,5.5,5.5,42.916,1.0014,87.3818,375739.8103,40249.7,1.125,40249.7,4.9776,16.3795,9.8203,17.0453,23464.6036,19979,#N/A N/A,#N/A N/A,979.7,0.4175,0.1521,206.7491,306.8509,123.211,256.3471,21.375,28.338,27.69,70.3843,74.2121,0.129,1.4214,367.18
10/31/2007,461.62,15808945,191864.1672,10.7564,0.4565,10.7564,3.1867,14.1744,14.1744,14.1947,65.3092,60.3855,1.1609,12.6182,12.6182,42.916,42.916,144.8592,5.5,5.5,42.916,1.0014,87.3818,393863.7609,40249.7,1.125,40249.7,5.2579,16.3795,9.2968,16.1367,23464.6036,19979,#N/A N/A,#N/A N/A,979.7,0.4175,0.144,214.4422,319.0871,127.5515,266.9114,43.567,32.4,32.159,71.4905,75.7822,0.129,1.5014,438.05
11/30/2007,473.33,11596845,191864.1672,11.0293,0.4716,11.0293,3.2675,14.1744,14.1744,14.1947,65.3092,60.3855,1.1609,12.6182,12.6182,42.916,42.916,144.8592,5.5,5.5,42.916,1.0014,87.3818,402490.2846,40249.7,1.125,40249.7,5.3913,16.3795,9.0667,15.7374,23464.6036,19979,#N/A N/A,#N/A N/A,979.7,0.4175,0.1405,222.2506,329.9183,131.9289,278.0079,36.922,34.228,33.746,72.0054,76.5151,0.129,1.5395,466.76
12/31/2007,455.83,12564625,191864.1672,10.6215,0.4812,10.6215,3.1467,14.1744,14.1744,14.1947,65.3092,60.3855,1.1609,12.6182,12.6182,42.916,42.916,144.8592,5.5,5.5,42.916,1.0014,87.3818,389600.9197,40249.7,1.125,40249.7,5.192,16.3795,9.4148,16.3416,23464.6036,19979,#N/A N/A,#N/A N/A,979.7,0.4175,0.1459,229.2308,337.0457,135.9445,288.8213,24.301,34.897,31.494,70.05,72.9621,0.129,1.4826,473
1/31/2008,367.37,15048690,191864.1672,8.5602,0.4463,8.5602,2.536,14.1744,14.1744,14.1947,65.3092,60.3855,1.1609,12.6182,12.6182,42.916,42.916,144.8592,5.5,5.5,42.916,1.0014,87.3818,324443.6216,40249.7,1.125,40249.7,4.1844,16.3795,11.682,20.2768,23464.6036,19979,#N/A N/A,#N/A N/A,979.7,0.4175,0.181,234.339,344.3784,139.1253,296.1869,58.8,42.785,41.013,61.339,58.2397,0.129,1.1949,451.82
2/29/2008,358.64,8363800,191864.1672,8.3567,0.4361,8.3567,2.4758,14.1744,14.1744,14.1947,65.3092,60.3855,1.1609,12.6182,12.6182,42.916,42.916,144.8592,5.5,5.5,42.916,1.0014,87.3818,318012.6903,40249.7,1.125,40249.7,4.0849,16.3795,11.9664,20.7705,23464.6036,19979,#N/A N/A,#N/A N/A,979.7,0.4175,0.1854,239.0125,350.2692,142.1861,302.7453,42.297,44.098,40.474,60.57,57.0168,0.129,1.1665,367.44
3/31/2008,320.54,11645400,236088.6394,5.0823,0.306,5.084,1.6069,17.0346,17.0346,15.7058,53.8206,51.0344,0.9122,10.4937,10.4937,63.0498,63.0703,199.4849,6,6,63.0703,0.922,89.5063,302024.7615,49238,1.08,49238,2.9845,16.3026,19.6761,28.9447,29609.4222,28914.4,#N/A N/A,#N/A N/A,1212.7,0.2804,0.2375,242.6561,353.3498,144.8377,307.9471,45.828,48.352,42.791,57.3262,51.897,0.0622,0.8658,354.73
4/30/2008,299.33,12461450,236088.6394,4.7459,0.2586,4.7475,1.5005,17.0346,17.0346,15.7058,53.8206,51.0344,0.9122,10.4937,10.4937,63.0498,63.0703,199.4849,6,6,63.0703,0.922,89.5063,286398.939,49238,1.08,49238,2.787,16.3026,21.0707,30.9963,29609.4222,28914.4,#N/A N/A,#N/A N/A,1212.7,0.2804,0.2544,245.9762,354.3035,147.3231,313.2702,33.232,39.868,43.289,55.6103,49.2449,0.0622,0.8085,323.62
