Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
31/01/2007,162.13,39364296,163225.1819,30.1771,1.4201,32.1265,6.7583,15.1079,15.1079,16.4029,1.8968,-56.7076,3.2567,74.7245,74.7245,5.0465,5.3724,23.9891,4,4,5.3724,1.0857,25.2755,193209.749,10527.4,-1.6778,10527.4,19.7983,7.2267,3.3138,3.8442,7413.7824,6906.7,#N/A N/A,80.0873,646.9,2.8448,0.0028,93.8613,135.5081,#N/A N/A,119.5149,27.171,29.898,27.926,67.2575,63.0601,1.926,4.5591,161.25
28/02/2007,150.21,43707696,163225.1819,27.9598,1.4232,29.7659,6.2617,15.1079,15.1079,16.4029,1.8968,-56.7076,3.2567,74.7245,74.7245,5.0465,5.3724,23.9891,4,4,5.3724,1.0857,25.2755,177852.6321,10527.4,-1.6778,10527.4,18.3435,7.2267,3.5766,4.149,7413.7824,6906.7,#N/A N/A,80.0873,646.9,2.8448,0.003,95.9312,138.15,#N/A N/A,121.8676,44.892,36.111,33.142,63.9833,57.5466,1.926,4.2241,163.57
30/03/2007,145.7,78618630,163225.1819,27.1199,1.4451,28.8717,6.0736,15.1079,15.1079,16.4029,1.8968,-56.7076,3.2567,74.7245,74.7245,5.0465,5.3724,23.9891,4,4,5.3724,1.0857,25.2755,172122.6259,10527.4,-1.6778,10527.4,17.7925,7.2267,3.6873,4.2775,7413.7824,6906.7,#N/A N/A,80.0873,646.9,2.8448,0.0031,98.0346,140.39,#N/A N/A,123.7556,39.604,38.52,36.892,62.7855,55.5648,1.926,4.0972,150.25
30/04/2007,167.13,51710022,163225.1819,31.1078,1.5611,33.1173,6.9667,15.1079,15.1079,16.4029,1.8968,-56.7076,3.2567,74.7245,74.7245,5.0465,5.3724,23.9891,4,4,5.3724,1.0857,25.2755,204284.178,10527.4,-1.6778,10527.4,20.4089,7.2267,3.2146,3.7292,7413.7824,6906.7,#N/A N/A,80.0873,646.9,2.8448,0.0027,100.4989,143.04,#N/A N/A,126.2915,44.872,46.737,40.883,65.9191,62.2179,1.926,4.6997,142.75
31/05/2007,172.13,44301566,163225.1819,32.0385,1.5335,34.1081,7.1751,15.1079,15.1079,16.4029,1.8968,-56.7076,3.2567,74.7245,74.7245,5.0465,5.3724,23.9891,4,4,5.3724,1.0857,25.2755,210921.0091,10527.4,-1.6778,10527.4,21.0194,7.2267,3.1212,3.6208,7413.7824,6906.7,#N/A N/A,80.0873,646.9,2.8448,0.0026,103.1861,145.9556,#N/A N/A,128.9187,27.679,40.247,40.492,66.5981,63.5881,1.926,4.8403,167.63
29/06/2007,171.98,30669802,228273.8077,17.0272,0.9109,17.6732,5.6125,21.723,21.723,27.9972,1.8821,-24.4318,2.5045,39.8343,39.8343,9.7308,10.1,30.6414,4,4,10.1,1.2888,60.1657,218462.2041,13608.1,-0.7332,13608.1,16.4954,6.229,5.873,4.3701,9094.6008,13183.1,#N/A N/A,110.7342,1327.4,1.8306,0.0034,105.9507,149.3144,#N/A N/A,131.7846,21.374,32.292,40.438,66.5569,63.5137,0.9042,3.6988,172.48
31/07/2007,156.73,28074628,228273.8077,15.5173,0.7798,16.106,5.1148,21.723,21.723,27.9972,1.8821,-24.4318,2.5045,39.8343,39.8343,9.7308,10.1,30.6414,4,4,10.1,1.2888,60.1657,198219.8694,13608.1,-0.7332,13608.1,15.0327,6.229,6.4444,4.7953,9094.6008,13183.1,#N/A N/A,110.7342,1327.4,1.8306,0.0037,108.4679,150.7931,#N/A N/A,134.2533,32.793,26.945,35.879,62.4954,56.3,0.9042,3.3708,172.5
31/08/2007,152.4,33215886,228273.8077,15.0891,0.7687,15.6616,4.9737,21.723,21.723,27.9972,1.8821,-24.4318,2.5045,39.8343,39.8343,9.7308,10.1,30.6414,4,4,10.1,1.2888,60.1657,192488.6472,13608.1,-0.7332,13608.1,14.6178,6.229,6.6273,4.9314,9094.6008,13183.1,#N/A N/A,110.7342,1327.4,1.8306,0.0038,110.7436,151.6744,#N/A N/A,136.5113,46.418,35.16,32.621,61.3962,54.4124,0.9042,3.2778,153
28/09/2007,150.28,37307542,228273.8077,14.8787,0.7185,15.4432,4.9043,21.723,21.723,27.9972,1.8821,-24.4318,2.5045,39.8343,39.8343,9.7308,10.1,30.6414,4,4,10.1,1.2888,60.1657,189667.9513,13608.1,-0.7332,13608.1,14.414,6.229,6.721,5.0011,9094.6008,13183.1,#N/A N/A,110.7342,1327.4,1.8306,0.0039,112.932,151.3581,#N/A N/A,138.4163,39.744,40.03,34.512,60.8522,53.464,0.9042,3.2321,153
31/10/2007,157.53,51035524,228273.8077,15.5965,0.662,16.1882,5.1409,21.723,21.723,27.9972,1.8821,-24.4318,2.5045,39.8343,39.8343,9.7308,10.1,30.6414,4,4,10.1,1.2888,60.1657,199310.7214,13608.1,-0.7332,13608.1,15.1094,6.229,6.4117,4.771,9094.6008,13183.1,#N/A N/A,110.7342,1327.4,1.8306,0.0037,115.1571,151.61,#N/A N/A,140.8767,32.488,39.374,36.984,62.0393,56.2649,0.9042,3.388,150.75
30/11/2007,161.13,63188854,228273.8077,15.9529,0.6821,16.5582,5.2584,21.723,21.723,27.9972,1.8821,-24.4318,2.5045,39.8343,39.8343,9.7308,10.1,30.6414,4,4,10.1,1.2888,60.1657,204089.9016,13608.1,-0.7332,13608.1,15.4547,6.229,6.2684,4.6644,9094.6008,13183.1,#N/A N/A,110.7342,1327.4,1.8306,0.0036,117.5168,151.4887,#N/A N/A,143.1783,32.819,35.333,38.347,62.6216,57.6286,0.9042,3.4654,157.53
31/12/2007,164.82,24552024,228273.8077,16.3193,0.7394,16.9384,5.3792,21.723,21.723,27.9972,1.8821,-24.4318,2.5045,39.8343,39.8343,9.7308,10.1,30.6414,4,4,10.1,1.2888,60.1657,209013.0438,13608.1,-0.7332,13608.1,15.8096,6.229,6.1277,4.5597,9094.6008,13183.1,#N/A N/A,110.7342,1327.4,1.8306,0.0035,119.7284,152.5425,#N/A N/A,145.4267,36.302,33.882,34.687,63.2213,59.0422,0.9042,3.545,162.2
31/01/2008,120.83,47152924,228273.8077,11.9628,0.6236,12.4167,3.9432,21.723,21.723,27.9972,1.8821,-24.4318,2.5045,39.8343,39.8343,9.7308,10.1,30.6414,4,4,10.1,1.2888,60.1657,150711.9346,13608.1,-0.7332,13608.1,11.5892,6.229,8.3592,6.2201,9094.6008,13183.1,#N/A N/A,110.7342,1327.4,1.8306,0.0048,120.798,152.2812,#N/A N/A,146.0908,64.819,47.093,44.056,52.7991,41.3678,0.9042,2.5987,166
29/02/2008,138.82,23353694,228273.8077,13.745,0.7173,14.2665,4.5306,21.723,21.723,27.9972,1.8821,-24.4318,2.5045,39.8343,39.8343,9.7308,10.1,30.6414,4,4,10.1,1.2888,60.1657,174730.9365,13608.1,-0.7332,13608.1,13.3157,6.229,7.2754,5.4136,9094.6008,13183.1,#N/A N/A,110.7342,1327.4,1.8306,0.0042,122.0471,152.9144,#N/A N/A,146.9142,69.596,62.543,53.698,55.8774,48.1994,0.9042,2.9858,120
31/03/2008,126.63,31191422,228273.8077,12.5371,0.7549,13.0128,4.1325,21.723,21.723,27.9972,1.8821,-24.4318,2.5045,39.8343,39.8343,9.7308,10.1,30.6414,4,4,10.1,1.2888,60.1657,158636.0361,13608.1,-0.7332,13608.1,12.1455,6.229,7.9763,5.9352,9094.6008,13183.1,#N/A N/A,110.7342,1327.4,1.8306,0.0046,123.0619,152.7475,#N/A N/A,147.3413,74.881,71.705,61.912,53.434,44.4215,0.9042,2.7234,137.5
