ate,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
31/01/2007,159.75,74704799,211809.4998,10.9956,0.5174,10.9956,2.1872,13.4792,13.4792,8.4154,65.989,25.707,2.613,13.7276,13.7276,14.5285,14.5285,73.0388,1.9952,1.9952,14.5285,0.6243,86.2724,230449.2919,28071.42,0.8714,28071.42,6.1879,11.7921,9.0945,11.5783,15817.0946,15795.77,#N/A N/A,1.8153,1473.76,1.2578,0.3075,110.9405,144.0376,84.9508,132.3041,31.157,28.754,26.767,58.6157,60.7923,0.9382,1.4823,160.07
28/02/2007,126.19,122432248,211809.4998,8.686,0.4421,8.686,1.7278,13.4792,13.4792,8.4154,65.989,25.707,2.613,13.7276,13.7276,14.5285,14.5285,73.0388,1.9952,1.9952,14.5285,0.6243,86.2724,187556.3373,28071.42,0.8714,28071.42,4.8882,11.7921,11.5128,14.657,15817.0946,15795.77,#N/A N/A,1.8153,1473.76,1.2578,0.3892,112.4643,145.235,85.7727,133.1595,69.215,47.139,40.3,53.7289,51.9305,0.9382,1.1709,160.43
30/03/2007,118.17,64242253,151060.634,5.0393,0.2685,5.0393,1.1785,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,6.8863,23.4495,23.4495,100.27,1.5417,1.5417,23.4495,0.7838,93.1137,159919.2963,43563.99,0.0069,43563.99,3.0057,27.2399,19.8441,27.3182,26250.0716,25984.15,#N/A N/A,2.445,1043.25,1.8812,0.5589,113.8039,145.7594,86.5276,133.242,36.497,47.715,42.526,52.6429,50.0511,1.5888,0.687,127.87
30/04/2007,132.45,53374563,151060.634,5.6484,0.2835,5.6484,1.321,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,6.8863,23.4495,23.4495,100.27,1.5417,1.5417,23.4495,0.7838,93.1137,178177.7837,43563.99,0.0069,43563.99,3.369,27.2399,17.7041,24.3722,26250.0716,25984.15,#N/A N/A,2.445,1043.25,1.8812,0.4987,115.4509,146.2676,87.4143,134.2812,23.297,46.664,41.679,54.3419,53.2909,1.5888,0.7701,117.9
31/05/2007,127.51,47543332,151060.634,5.4376,0.2603,5.4376,1.2717,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,6.8863,23.4495,23.4495,100.27,1.5417,1.5417,23.4495,0.7838,93.1137,181401.053,43563.99,0.0069,43563.99,3.2433,27.2399,18.3904,25.317,26250.0716,25984.15,#N/A N/A,2.445,1043.25,1.8812,0.4893,117.0888,146.3729,88.2653,134.8106,20.538,27.818,41.318,53.6529,52.0332,1.5888,0.7413,132.41
29/06/2007,145.24,127205527,151060.634,6.1937,0.3313,6.1937,1.4485,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,6.8863,23.4495,23.4495,100.27,1.5417,1.5417,23.4495,0.7838,93.1137,205391.4494,43563.99,0.0069,43563.99,3.6943,27.2399,16.1454,22.2265,26250.0716,25984.15,#N/A N/A,2.445,1043.25,1.8812,0.4296,118.942,148.7446,89.3448,135.6064,31.966,26.927,29.496,55.7356,56.041,1.5888,0.8444,128.33
31/07/2007,154.13,100332105,151060.634,6.5727,0.3303,6.5727,1.5371,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,6.8863,23.4495,23.4495,100.27,1.5417,1.5417,23.4495,0.7838,93.1137,217417.3258,43563.99,0.0069,43563.99,3.9204,27.2399,15.2144,20.9448,26250.0716,25984.15,#N/A N/A,2.445,1043.25,1.8812,0.4048,120.8586,150.7489,90.4902,137.0444,47.839,35.119,32.194,56.7436,57.9382,1.5888,0.8961,146.37
31/08/2007,143.2,59188120,151060.634,6.1067,0.3111,6.1067,1.4281,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,6.8863,23.4495,23.4495,100.27,1.5417,1.5417,23.4495,0.7838,93.1137,202630.4063,43563.99,0.0069,43563.99,3.6424,27.2399,16.3755,22.5432,26250.0716,25984.15,#N/A N/A,2.445,1043.25,1.8812,0.4357,122.4475,151.4064,91.439,137.8562,47.42,43.455,38.17,55.1462,54.806,1.5888,0.8326,154.13
28/09/2007,156.17,56648373,151060.634,6.6597,0.3216,6.6597,1.5575,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,6.8863,23.4495,23.4495,100.27,1.5417,1.5417,23.4495,0.7838,93.1137,220178.3268,43563.99,0.0069,43563.99,3.9723,27.2399,15.0156,20.6711,26250.0716,25984.15,#N/A N/A,2.445,1043.25,1.8812,0.3995,124.1753,151.7419,92.5099,139.3777,29.728,43.82,39.577,56.6445,57.7266,1.5888,0.908,144.33
31/10/2007,178.21,100874584,151060.634,7.5995,0.3225,7.5995,1.7773,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,6.8863,23.4495,23.4495,100.27,1.5417,1.5417,23.4495,0.7838,93.1137,249997.586,43563.99,0.0069,43563.99,4.5328,27.2399,13.1587,18.1148,26250.0716,25984.15,#N/A N/A,2.445,1043.25,1.8812,0.3501,126.1832,153.6986,93.7523,141.9447,56.155,44.515,45.429,59.0493,62.1973,1.5888,1.0361,156.89
30/11/2007,168.14,124587797,151060.634,7.1702,0.3066,7.1702,1.6769,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,6.8863,23.4495,23.4495,100.27,1.5417,1.5417,23.4495,0.7838,93.1137,236376.4429,43563.99,0.0069,43563.99,4.2768,27.2399,13.9465,19.1994,26250.0716,25984.15,#N/A N/A,2.445,1043.25,1.8812,0.3711,127.9763,153.821,94.7137,144.3385,62.847,51.364,50.552,57.5411,59.1215,1.5888,0.9776,180.47
