Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,70.77,78013500,221068.6901,20.3076,0.9556,20.3076,8.7185,37.9802,37.9802,36.3518,16.2698,-32.6811,3.9542,7.1736,7.1736,3.4849,3.4849,8.1172,0.25,0.25,3.4849,0.9571,92.8264,287817.0056,23068.5,-0.4859,23068.5,12.9625,10.9923,4.9243,7.2429,14303.6423,14724.8,#N/A N/A,0.7948,4225.3,3.214,0.0187,25.5426,50.4058,13.6239,38.2342,39.078,49.369,54.177,63.6094,61.436,2.278,7.7129,83.94
2/28/2007,64.18,102407510,221068.6901,18.4166,0.9374,18.4166,7.9067,37.9802,37.9802,36.3518,16.2698,-32.6811,3.9542,7.1736,7.1736,3.4849,3.4849,8.1172,0.25,0.25,3.4849,0.9571,92.8264,259972.1459,23068.5,-0.4859,23068.5,11.7555,10.9923,5.4299,7.9865,14303.6423,14724.8,#N/A N/A,0.7948,4225.3,3.214,0.0206,26.7907,52.868,14.2564,40.071,57.06,45.974,53.508,61.7474,59.3798,2.278,6.9947,71.2
3/30/2007,56.49,53027770,238667.1437,5.3732,0.2863,5.3732,3.1292,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,4.7562,10.5124,10.5124,18.0509,0.5,0.5,10.5124,1.26,95.2438,193441.2075,64200.3,-0.7045,64200.3,3.7175,33.1885,18.6109,26.2423,43107.0982,44418.1,#N/A N/A,0.7451,4225.3,6.144,0,27.8847,54.836,14.8127,41.579,36.845,44.385,46.117,59.6387,56.9815,5.4707,2.7881,65.87
4/30/2007,67.91,84154220,238667.1437,6.4595,0.3242,6.4595,3.7619,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,4.7562,10.5124,10.5124,18.0509,0.5,0.5,10.5124,1.26,95.2438,241694.3634,64200.3,-0.7045,64200.3,4.4691,33.1885,15.481,21.829,43107.0982,44418.1,#N/A N/A,0.7451,4225.3,6.144,0,29.209,57.2553,15.4831,43.4773,52.016,49.39,45.077,61.6494,59.59,5.4707,3.3518,55.01
5/31/2007,65.66,60612780,238667.1437,6.246,0.299,6.246,3.6375,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,4.7562,10.5124,10.5124,18.0509,0.5,0.5,10.5124,1.26,95.2438,232208.5197,64200.3,-0.7045,64200.3,4.3214,33.1885,16.0103,22.5754,43107.0982,44418.1,#N/A N/A,0.7451,4225.3,6.144,0,30.4928,59.4698,16.131,45.2627,26.636,43.089,46.961,61.0311,58.8347,5.4707,3.241,69
6/29/2007,70.46,57175520,238667.1437,6.7021,0.3585,6.7021,3.9031,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,4.7562,10.5124,10.5124,18.0509,0.5,0.5,10.5124,1.26,95.2438,252468.9297,64200.3,-0.7045,64200.3,4.637,33.1885,14.9207,21.0389,43107.0982,44418.1,#N/A N/A,0.7451,4225.3,6.144,0,31.8647,61.9275,16.8271,47.1018,41.25,43.461,45.085,61.876,60.0008,5.4707,3.4777,66.05
7/31/2007,75.33,51555730,238667.1437,7.1658,0.3601,7.1658,4.1732,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,4.7562,10.5124,10.5124,18.0509,0.5,0.5,10.5124,1.26,95.2438,273067.3653,64200.3,-0.7045,64200.3,4.9578,33.1885,13.9551,19.6774,43107.0982,44418.1,#N/A N/A,0.7451,4225.3,6.144,0,33.3227,64.4993,17.5714,49.1058,48.97,40.036,44.084,62.7259,61.2041,5.4707,3.7183,71.3
8/31/2007,72.25,32893830,238667.1437,6.8724,0.3501,6.8724,4.0023,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,4.7562,10.5124,10.5124,18.0509,0.5,0.5,10.5124,1.26,95.2438,260032.2527,64200.3,-0.7045,64200.3,4.7548,33.1885,14.551,20.5176,43107.0982,44418.1,#N/A N/A,0.7451,4225.3,6.144,0,34.7034,66.8855,18.2857,50.928,29.255,41.787,41.344,61.8236,59.9745,5.4707,3.566,75.44
9/28/2007,81.11,40535030,238667.1437,7.7157,0.3726,7.7157,4.4934,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,4.7562,10.5124,10.5124,18.0509,0.5,0.5,10.5124,1.26,95.2438,297489.7157,64200.3,-0.7045,64200.3,5.3382,33.1885,12.9606,18.2752,43107.0982,44418.1,#N/A N/A,0.7451,4225.3,6.144,0,36.2312,69.1155,19.0873,53.065,27.991,38.432,37.663,63.3891,62.3172,5.4707,4.0036,72.3
10/31/2007,90.55,51542520,238667.1437,8.6141,0.3656,8.6141,5.0167,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,4.7562,10.5124,10.5124,18.0509,0.5,0.5,10.5124,1.26,95.2438,337397.8643,64200.3,-0.7045,64200.3,5.9598,33.1885,11.6088,16.369,43107.0982,44418.1,#N/A N/A,0.7451,4225.3,6.144,0,37.9422,71.8395,19.9824,55.5673,49.149,37.002,39.854,64.9723,64.6886,5.4707,4.4698,81.75
11/30/2007,81.16,37583320,238667.1437,7.72,0.3301,7.72,4.4959,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,4.7562,10.5124,10.5124,18.0509,0.5,0.5,10.5124,1.26,95.2438,297679.8551,64200.3,-0.7045,64200.3,5.3412,33.1885,12.9534,18.265,43107.0982,44418.1,#N/A N/A,0.7451,4225.3,6.144,0,39.4306,73.2813,20.7739,57.7732,55.262,46.287,44.282,62.203,60.6012,5.4707,4.0058,91.6
12/31/2007,82.73,34558430,238667.1437,7.8693,0.3565,7.8693,4.5829,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,4.7562,10.5124,10.5124,18.0509,0.5,0.5,10.5124,1.26,95.2438,304313.6077,64200.3,-0.7045,64200.3,5.4445,33.1885,12.7076,17.9184,43107.0982,44418.1,#N/A N/A,0.7451,4225.3,6.144,0,40.918,72.1115,21.5824,60.0328,41.225,48.318,42.797,62.4793,61.0439,5.4707,4.0833,82.26
1/31/2008,60.14,29437560,238667.1437,5.7209,0.2982,5.7209,3.3317,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,4.7562,10.5124,10.5124,18.0509,0.5,0.5,10.5124,1.26,95.2438,208884.7526,64200.3,-0.7045,64200.3,3.9581,33.1885,17.4798,24.6474,43107.0982,44418.1,#N/A N/A,0.7451,4225.3,6.144,0,41.8834,71.511,22.1589,61.4667,103.672,70.713,63.479,56.349,51.9926,5.4707,2.9685,82
2/29/2008,65.82,21076990,238667.1437,6.2607,0.3267,6.2607,3.6461,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,4.7562,10.5124,10.5124,18.0509,0.5,0.5,10.5124,1.26,95.2438,232863.4443,64200.3,-0.7045,64200.3,4.3316,33.1885,15.9726,22.5222,43107.0982,44418.1,#N/A N/A,0.7451,4225.3,6.144,0,42.9299,72.013,22.7976,63.0098,49.08,69.469,63.458,57.4346,53.8445,5.4707,3.2486,61.7
3/31/2008,52.53,21149320,221934.8805,5.0485,0.304,5.1832,1.8732,55.8035,55.8035,40.0343,0.0033,-11.4987,3.0182,4.8057,4.9339,10.404,10.404,28.0409,0.5,0.5,10.404,0.7174,95.1943,208311.0398,55465.1,-0.2456,55465.1,4.0013,26.6261,19.8077,23.9899,39061.7325,43960.7,#N/A N/A,0.7451,4225.3,2.0106,0,43.7748,72.0523,23.3048,64.0483,42.39,70.26,64.476,54.1708,49.0705,1.5168,2.8172,65.5
4/30/2008,63.88,26597720,221934.8805,6.1395,0.3346,6.3032,2.2779,55.8035,55.8035,40.0343,0.0033,-11.4987,3.0182,4.8057,4.9339,10.404,10.404,28.0409,0.5,0.5,10.404,0.7174,95.1943,256268.4233,55465.1,-0.2456,55465.1,4.866,26.6261,16.2881,19.7271,39061.7325,43960.7,#N/A N/A,0.7451,4225.3,2.0106,0,44.8402,72.43,23.9271,65.4675,53.743,49.694,64.311,56.3617,52.9104,1.5168,3.426,52.8
5/30/2008,65.56,70310060,221934.8805,6.3014,0.3619,6.4695,2.338,55.8035,55.8035,40.0343,0.0033,-11.4987,3.0182,4.8057,4.9339,10.404,10.404,28.0409,0.5,0.5,10.404,0.7174,95.1943,263388.0877,55465.1,-0.2456,55465.1,4.9943,26.6261,15.8694,19.2201,39061.7325,43960.7,#N/A N/A,0.7451,4225.3,2.0106,0,45.9482,72.74,24.5685,66.8563,72.716,57.759,70.639,56.6797,53.4713,1.5168,3.5164,66.4
6/30/2008,53.19,24732690,221934.8805,5.1125,0.3575,5.2488,1.8969,55.8035,55.8035,40.0343,0.0033,-11.4987,3.0182,4.8057,4.9339,10.404,10.404,28.0409,0.5,0.5,10.404,0.7174,95.1943,211120.8777,55465.1,-0.2456,55465.1,4.052,26.6261,19.5601,23.6899,39061.7325,43960.7,#N/A N/A,0.7451,4225.3,2.0106,0,46.8103,70.8655,25.089,67.812,43.512,58.141,52.638,53.7071,48.8695,1.5168,2.8529,65.51
7/31/2008,59.63,39012840,221934.8805,5.731,0.3711,5.8838,2.1264,55.8035,55.8035,40.0343,0.0033,-11.4987,3.0182,4.8057,4.9339,10.404,10.404,28.0409,0.5,0.5,10.404,0.7174,95.1943,238310.8127,55465.1,-0.2456,55465.1,4.5422,26.6261,17.4491,21.1332,39061.7325,43960.7,#N/A N/A,0.7451,4225.3,2.0106,0,47.8511,69.0973,25.6764,68.5825,56.864,61.757,57.382,54.9778,51.2213,1.5168,3.198,53.27
8/29/2008,57.48,15736050,221934.8805,5.5248,0.3547,5.6722,2.0499,55.8035,55.8035,40.0343,0.0033,-11.4987,3.0182,4.8057,4.9339,10.404,10.404,28.0409,0.5,0.5,10.404,0.7174,95.1943,229247.501,55465.1,-0.2456,55465.1,4.3788,26.6261,18.1002,21.9219,39061.7325,43960.7,#N/A N/A,0.7451,4225.3,2.0106,0,48.8455,67.8393,26.2431,69.296,27.2,47.528,53.876,54.4623,50.3893,1.5168,3.083,59.4
9/30/2008,43.03,30247880,221934.8805,4.1354,0.2988,4.2457,1.5344,55.8035,55.8035,40.0343,0.0033,-11.4987,3.0182,4.8057,4.9339,10.404,10.404,28.0409,0.5,0.5,10.404,0.7174,95.1943,168170.4986,55465.1,-0.2456,55465.1,3.2776,26.6261,24.1813,29.2869,39061.7325,43960.7,#N/A N/A,0.7451,4225.3,2.0106,0,49.5213,66.452,26.6647,68.9862,40.066,45.259,46.114,51.1207,45.0757,1.5168,2.3077,52.01
10/31/2008,32.02,28603360,221934.8805,3.0772,0.2921,3.1593,1.1417,55.8035,55.8035,40.0343,0.0033,-11.4987,3.0182,4.8057,4.9339,10.404,10.404,28.0409,0.5,0.5,10.404,0.7174,95.1943,121649.7239,55465.1,-0.2456,55465.1,2.4389,26.6261,32.4973,39.3587,39061.7325,43960.7,#N/A N/A,0.7451,4225.3,2.0106,0,49.9801,64.8438,26.9759,66.516,108.042,67.627,64.512,48.7633,41.4871,1.5168,1.7172,43.97
