Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,174.03,88673552,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,218.36,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,55.599,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,145.53
2/28/2007,165.16,11658700,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,218.36,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,62.311,53.895,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,176.06
3/30/2007,169.3,16222440,18484.1741,59.8565,3.1895,59.8565,8.6586,19.4027,19.4027,#N/A N/A,0.1795,-121.4078,3.849,7.5594,7.5594,2.8284,2.8284,19.5529,0.1875,0.1875,2.8284,#N/A N/A,92.4406,15892.5807,372.21,-6.9633,372.21,43.5488,2.3421,1.6707,2.0112,227.4865,270.803,#N/A N/A,#N/A N/A,272.953,3.7109,0.0002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,41.517,52.739,117.011,#N/A N/A,#N/A N/A,3.6789,11.6138,165
4/30/2007,194.66,10045288,18484.1741,68.8234,3.4538,68.8234,9.9557,19.4027,19.4027,#N/A N/A,0.1795,-121.4078,3.849,7.5594,7.5594,2.8284,2.8284,19.5529,0.1875,0.1875,2.8284,#N/A N/A,92.4406,18661.6889,372.21,-6.9633,372.21,50.0728,2.3421,1.453,1.7492,227.4865,270.803,#N/A N/A,#N/A N/A,272.953,3.7109,0.0002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,51.522,51.139,49.786,#N/A N/A,#N/A N/A,3.6789,13.3536,167.5
5/31/2007,202.46,22277724,18484.1741,71.5812,3.4262,71.5812,10.3546,19.4027,19.4027,#N/A N/A,0.1795,-121.4078,3.849,7.5594,7.5594,2.8284,2.8284,19.5529,0.1875,0.1875,2.8284,#N/A N/A,92.4406,19513.3022,372.21,-6.9633,372.21,52.0792,2.3421,1.397,1.6818,227.4865,270.803,#N/A N/A,#N/A N/A,272.953,3.7109,0.0002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,46.243,45.332,48.685,#N/A N/A,#N/A N/A,3.6789,13.8887,199.7
6/29/2007,194.95,7584576,18484.1741,68.9251,3.6871,68.9251,9.9704,19.4027,19.4027,#N/A N/A,0.1795,-121.4078,3.849,7.5594,7.5594,2.8284,2.8284,19.5529,0.1875,0.1875,2.8284,#N/A N/A,92.4406,18693.0785,372.21,-6.9633,372.21,50.1468,2.3421,1.4509,1.7466,227.4865,270.803,#N/A N/A,#N/A N/A,272.953,3.7109,0.0002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,27.619,43.842,43.5,#N/A N/A,#N/A N/A,3.6789,13.3734,205
7/31/2007,214.88,22400896,18484.1741,75.9696,3.8179,75.9696,10.9894,19.4027,19.4027,#N/A N/A,0.1795,-121.4078,3.849,7.5594,7.5594,2.8284,2.8284,19.5529,0.1875,0.1875,2.8284,#N/A N/A,92.4406,20868.5138,372.21,-6.9633,372.21,55.272,2.3421,1.3163,1.5846,227.4865,270.803,#N/A N/A,#N/A N/A,272.953,3.7109,0.0002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,77.793,50.073,50.625,#N/A N/A,#N/A N/A,3.6789,14.7402,198.5
8/31/2007,209.1,3460144,18484.1741,73.9279,3.7661,73.9279,10.6941,19.4027,19.4027,#N/A N/A,0.1795,-121.4078,3.849,7.5594,7.5594,2.8284,2.8284,19.5529,0.1875,0.1875,2.8284,#N/A N/A,92.4406,20237.9924,372.21,-6.9633,372.21,53.7865,2.3421,1.3527,1.6284,227.4865,270.803,#N/A N/A,#N/A N/A,272.953,3.7109,0.0002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,34.672,51.736,50.506,#N/A N/A,#N/A N/A,3.6789,14.344,214.75
9/28/2007,268.6,11277356,18484.1741,94.9643,4.5859,94.9643,13.7371,19.4027,19.4027,#N/A N/A,0.1795,-121.4078,3.849,7.5594,7.5594,2.8284,2.8284,19.5529,0.1875,0.1875,2.8284,#N/A N/A,92.4406,26733.952,372.21,-6.9633,372.21,69.0917,2.3421,1.053,1.2677,227.4865,270.803,#N/A N/A,#N/A N/A,272.953,3.7109,0.0001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,78.579,66.294,57.229,#N/A N/A,#N/A N/A,3.6789,18.4257,209.1
10/31/2007,300.07,3695800,18484.1741,106.0923,4.5028,106.0923,15.3468,19.4027,19.4027,#N/A N/A,0.1795,-121.4078,3.849,7.5594,7.5594,2.8284,2.8284,19.5529,0.1875,0.1875,2.8284,#N/A N/A,92.4406,30170.3925,372.21,-6.9633,372.21,77.1879,2.3421,0.9426,1.1347,227.4865,270.803,#N/A N/A,#N/A N/A,272.953,3.7109,0.0001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,50.129,56.713,59.472,#N/A N/A,#N/A N/A,3.6789,20.5848,276.25
