Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,58.2,380786121,732823.1545,28.5358,1.3428,28.1243,7.1101,22.2473,22.2473,18.2501,0.7076,-39.6158,2.2824,43.3532,42.5192,2.0296,2.0395,8.1855,0.8833,0.8833,2.0395,0.8203,56.6468,620212.7393,34662.7,-1.0633,34662.7,18.8965,4.9747,3.5044,4.743,21536.7839,22953.8,#N/A N/A,#N/A N/A,3755.2,1.1878,0.001,34.6659,53.639,25.7702,45.3181,30.782,26.96,25.301,67.6323,60.8261,1.0158,6.3484,58.83
2/28/2007,57.23,330174510,732823.1545,28.0618,1.4284,27.6572,6.992,22.2473,22.2473,18.2501,0.7076,-39.6158,2.2824,43.3532,42.5192,2.0296,2.0395,8.1855,0.8833,0.8833,2.0395,0.8203,56.6468,609370.2435,34662.7,-1.0633,34662.7,18.5827,4.9747,3.5636,4.8231,21536.7839,22953.8,#N/A N/A,#N/A N/A,3755.2,1.1878,0.001,35.5171,54.6539,26.1871,46.4504,27.96,28.102,26.526,66.9616,59.8174,1.0158,6.243,57.7
3/30/2007,50.38,727573653,568659.9732,20.6139,1.0984,20.674,5.3412,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,42.3296,2.437,2.4441,9.4329,1.0333,1.0333,2.4441,0.893,57.6704,536989.9773,40934.8,-0.7943,40934.8,13.8749,7.6198,4.8511,6.5138,25368.0055,27552.6,#N/A N/A,#N/A N/A,3762.2,1.0082,0.002,36.2406,55.3032,26.5392,47.287,41.117,33.46,31.304,62.4238,53.0977,0.8279,4.4118,57.57
4/30/2007,53.35,368110626,568659.9732,21.8277,1.0954,21.8913,5.6557,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,42.3296,2.437,2.4441,9.4329,1.0333,1.0333,2.4441,0.893,57.6704,570703.4752,40934.8,-0.7943,40934.8,14.6919,7.6198,4.5813,6.1515,25368.0055,27552.6,#N/A N/A,#N/A N/A,3762.2,1.0082,0.0019,37.0189,56.0467,26.906,48.2597,32.952,35.083,32.856,63.531,55.4328,0.8279,4.6716,50.4
5/31/2007,54.6,317211447,568659.9732,22.3391,1.0693,22.4042,5.7883,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,42.3296,2.437,2.4441,9.4329,1.0333,1.0333,2.4441,0.893,57.6704,584811.8111,40934.8,-0.7943,40934.8,15.0361,7.6198,4.4765,6.0107,25368.0055,27552.6,#N/A N/A,#N/A N/A,3762.2,1.0082,0.0019,37.8312,56.4975,27.274,49.1259,18.795,31.974,31.137,63.9935,56.4173,0.8279,4.7811,53.9
6/29/2007,51.57,354277176,568659.9732,21.0981,1.1286,21.1595,5.4667,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,42.3296,2.437,2.4441,9.4329,1.0333,1.0333,2.4441,0.893,57.6704,550575.5827,40934.8,-0.7943,40934.8,14.2008,7.6198,4.7398,6.3643,25368.0055,27552.6,#N/A N/A,#N/A N/A,3762.2,1.0082,0.002,38.5593,57.0725,27.6037,49.8746,20.385,25.075,31.34,62.0192,53.3379,0.8279,4.5154,54.2
7/31/2007,57,595122024,568659.9732,23.3211,1.172,23.389,6.0427,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,42.3296,2.437,2.4441,9.4329,1.0333,1.0333,2.4441,0.893,57.6704,611899.816,40934.8,-0.7943,40934.8,15.6971,7.6198,4.288,5.7576,25368.0055,27552.6,#N/A N/A,#N/A N/A,3762.2,1.0082,0.0018,39.391,57.6808,27.9597,50.7661,38.612,27.832,29.272,64.073,57.7829,0.8279,4.9912,51.67
8/31/2007,56.93,451008720,568659.9732,23.2938,1.1866,23.3617,6.0356,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,42.3296,2.437,2.4441,9.4329,1.0333,1.0333,2.4441,0.893,57.6704,611147.3714,40934.8,-0.7943,40934.8,15.6787,7.6198,4.293,5.7644,25368.0055,27552.6,#N/A N/A,#N/A N/A,3762.2,1.0082,0.0018,40.1891,58.1592,28.3213,51.7053,34.997,30.6,28.108,64.0291,57.7103,0.8279,4.9854,56.83
9/28/2007,63.27,368954070,568659.9732,25.885,1.25,25.9604,6.707,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,42.3296,2.437,2.4441,9.4329,1.0333,1.0333,2.4441,0.893,57.6704,682792.1135,40934.8,-0.7943,40934.8,17.4228,7.6198,3.8632,5.1873,25368.0055,27552.6,#N/A N/A,#N/A N/A,3762.2,1.0082,0.0016,41.136,58.7425,28.7184,52.82,30.316,34.152,30.48,66.3007,62.5296,0.8279,5.54,56.88
10/31/2007,59.63,423334515,568659.9732,24.3985,1.0355,24.4696,6.3219,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,42.3296,2.437,2.4441,9.4329,1.0333,1.0333,2.4441,0.893,57.6704,641929.298,40934.8,-0.7943,40934.8,16.4222,7.6198,4.0986,5.5034,25368.0055,27552.6,#N/A N/A,#N/A N/A,3762.2,1.0082,0.0017,41.9587,58.85,29.0713,53.7429,35.201,32.367,32.784,63.9056,58.4167,0.8279,5.2218,63.58
11/30/2007,62.78,462831627,568659.9732,25.6873,1.0983,25.7621,6.6558,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,42.3296,2.437,2.4441,9.4329,1.0333,1.0333,2.4441,0.893,57.6704,677680.6659,40934.8,-0.7943,40934.8,17.2897,7.6198,3.893,5.2273,25368.0055,27552.6,#N/A N/A,#N/A N/A,3762.2,1.0082,0.0016,42.8584,58.7367,29.4787,54.651,49.532,39.845,37.443,65.0384,60.8227,0.8279,5.4976,59.4
12/31/2007,69.82,380727120,568659.9732,28.5649,1.2942,28.6481,7.4014,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,42.3296,2.437,2.4441,9.4329,1.0333,1.0333,2.4441,0.893,57.6704,757120.2856,40934.8,-0.7943,40934.8,19.2266,7.6198,3.5008,4.7007,25368.0055,27552.6,#N/A N/A,#N/A N/A,3762.2,1.0082,0.0015,43.8687,58.8317,29.9485,55.747,27.77,38.37,35.475,67.4013,65.6075,0.8279,6.1135,63.63
1/31/2008,65.18,796099860,568659.9732,26.6692,1.3903,26.7469,6.9102,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,42.3296,2.437,2.4441,9.4329,1.0333,1.0333,2.4441,0.893,57.6704,705125.5104,40934.8,-0.7943,40934.8,17.9506,7.6198,3.7496,5.0348,25368.0055,27552.6,#N/A N/A,#N/A N/A,3762.2,1.0082,0.0016,44.7926,59.3342,30.4177,56.6733,67.098,50.8,45.795,64.4335,60.3761,0.8279,5.7078,70.67
2/29/2008,67.58,367215828,568659.9732,27.6511,1.443,27.7317,7.1647,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,42.3296,2.437,2.4441,9.4329,1.0333,1.0333,2.4441,0.893,57.6704,732375.6764,40934.8,-0.7943,40934.8,18.6116,7.6198,3.6165,4.856,25368.0055,27552.6,#N/A N/A,#N/A N/A,3762.2,1.0082,0.0015,45.7067,59.6733,30.9388,57.6433,44.093,50.261,47.795,65.2534,62.0635,0.8279,5.9179,64.08
3/31/2008,68.75,473026767,777275.8228,24.5858,1.4804,24.7075,6.3256,21.5413,21.5413,19.035,1.1266,-22.4869,2.0223,41.7704,41.7704,2.7826,2.7963,10.8686,1.1667,1.1667,2.7963,0.8836,58.2296,750247.5557,45763.1,-0.6094,45763.1,16.9647,6.0975,4.0674,5.2853,27916.3374,31577.6,#N/A N/A,1.4939,3768.6,0.8118,0.0018,46.6272,60.3208,31.4699,58.4156,43.724,52.447,46.777,65.6515,62.8908,0.6243,5.2961,66.1
4/30/2008,73.3,305842443,777275.8228,26.2129,1.4284,26.3426,6.7442,21.5413,21.5413,19.035,1.1266,-22.4869,2.0223,41.7704,41.7704,2.7826,2.7963,10.8686,1.1667,1.1667,2.7963,0.8836,58.2296,801963.4626,45763.1,-0.6094,45763.1,18.0875,6.0975,3.8149,4.9573,27916.3374,31577.6,#N/A N/A,1.4939,3768.6,0.8118,0.0017,47.6045,60.7942,32.0551,59.5233,31.452,40.263,46.299,67.1693,66.0045,0.6243,5.6466,69.33
5/30/2008,72.58,364506117,777275.8228,25.9566,1.4906,26.0851,6.6783,21.5413,21.5413,19.035,1.1266,-22.4869,2.0223,41.7704,41.7704,2.7826,2.7963,10.8686,1.1667,1.1667,2.7963,0.8836,58.2296,793860.9509,45763.1,-0.6094,45763.1,17.9107,6.0975,3.8526,5.0062,27916.3374,31577.6,#N/A N/A,1.4939,3768.6,0.8118,0.0017,48.5933,61.295,32.626,60.4483,43.131,38.728,46.191,66.6891,65.0783,0.6243,5.5914,74.9
6/30/2008,62.6,386602185,777275.8228,22.3865,1.5653,22.4973,5.7597,21.5413,21.5413,19.035,1.1266,-22.4869,2.0223,41.7704,41.7704,2.7826,2.7963,10.8686,1.1667,1.1667,2.7963,0.8836,58.2296,680991.0782,45763.1,-0.6094,45763.1,15.4472,6.0975,4.467,5.8046,27916.3374,31577.6,#N/A N/A,1.4939,3768.6,0.8118,0.002,49.3673,61.2583,33.0858,60.9561,37.77,37.167,37.178,60.4609,53.7607,0.6243,4.8223,73.07
7/31/2008,62.27,467334924,777275.8228,22.2673,1.4417,22.3775,5.7291,21.5413,21.5413,19.035,1.1266,-22.4869,2.0223,41.7704,41.7704,2.7826,2.7963,10.8686,1.1667,1.1667,2.7963,0.8836,58.2296,677222.4681,45763.1,-0.6094,45763.1,15.3649,6.0975,4.4909,5.8357,27916.3374,31577.6,#N/A N/A,1.4939,3768.6,0.8118,0.002,50.222,61.2867,33.5451,61.3117,53.209,45.128,41.508,60.2665,53.4266,0.6243,4.7967,62.2
8/29/2008,62.9,250375305,777275.8228,22.4937,1.4442,22.6051,5.7873,21.5413,21.5413,19.035,1.1266,-22.4869,2.0223,41.7704,41.7704,2.7826,2.7963,10.8686,1.1667,1.1667,2.7963,0.8836,58.2296,684455.8011,45763.1,-0.6094,45763.1,15.5212,6.0975,4.4457,5.7769,27916.3374,31577.6,#N/A N/A,1.4939,3768.6,0.8118,0.002,51.0854,61.4967,34.0474,61.4922,20.941,40.023,39.733,60.516,54.0114,0.6243,4.8454,62.67
9/30/2008,62.68,381559848,777275.8228,22.4163,1.6195,22.5272,5.7674,21.5413,21.5413,19.035,1.1266,-22.4869,2.0223,41.7704,41.7704,2.7826,2.7963,10.8686,1.1667,1.1667,2.7963,0.8836,58.2296,682103.9724,45763.1,-0.6094,45763.1,15.4677,6.0975,4.461,5.7969,27916.3374,31577.6,#N/A N/A,1.4939,3768.6,0.8118,0.002,51.8792,61.7208,34.5134,61.4133,34.512,36.852,39.367,60.3818,53.7627,0.6243,4.8288,62.97
10/31/2008,51.72,637829286,777275.8228,18.4945,1.7555,18.586,4.7584,21.5413,21.5413,19.035,1.1266,-22.4869,2.0223,41.7704,41.7704,2.7826,2.7963,10.8686,1.1667,1.1667,2.7963,0.8836,58.2296,558187.2058,45763.1,-0.6094,45763.1,12.7616,6.0975,5.407,7.0261,27916.3374,31577.6,#N/A N/A,1.4939,3768.6,0.8118,0.0024,52.4483,61.445,34.8539,60.8733,55.474,39.852,43.645,54.0998,42.9761,0.6243,3.9839,63
11/28/2008,57.87,318958116,777275.8228,20.6938,2.1173,20.7962,5.3242,21.5413,21.5413,19.035,1.1266,-22.4869,2.0223,41.7704,41.7704,2.7826,2.7963,10.8686,1.1667,1.1667,2.7963,0.8836,58.2296,627855.1236,45763.1,-0.6094,45763.1,14.2792,6.0975,4.8324,6.2794,27916.3374,31577.6,#N/A N/A,1.4939,3768.6,0.8118,0.0021,53.0999,61.8192,35.2679,60.9644,39.086,44.479,39.945,56.7125,49.1388,0.6243,4.4577,52.55
