Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,75.42,20084565,14638.0127,35.7317,1.6814,39.0662,9.5831,7.3092,7.3092,5.5708,222.0945,147.3927,2.4928,17.0563,18.6297,2.1086,2.1107,7.8699,0.36,0.36,2.1107,0.7622,82.9437,28852.6396,1875.382,2.5144,1875.382,11.7332,9.2549,2.7986,7.308,1557.687,615.8188,#N/A N/A,2.3834,1494.4242,1.4039,0.3059,27.5577,45.1779,15.5574,37.1306,20.877,32.678,34.359,79.6448,82.6432,0.7368,2.6117,74.54
2/28/2007,77.95,18305705,14638.0127,36.9313,1.8798,40.3778,9.9048,7.3092,7.3092,5.5708,222.0945,147.3927,2.4928,17.0563,18.6297,2.1086,2.1107,7.8699,0.36,0.36,2.1107,0.7622,82.9437,29632.4198,1875.382,2.5144,1875.382,12.1271,9.2549,2.7077,7.0707,1557.687,615.8188,#N/A N/A,2.3834,1494.4242,1.4039,0.296,28.8978,47.8204,16.3131,39.1697,45.829,34.514,36.834,80.1734,83.3868,0.7368,2.6994,76.43
3/30/2007,79.75,20872580,25852.5587,29.3395,1.5634,29.3522,7.7637,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,16.6339,2.717,2.7182,10.2723,0.4,0.4,2.7182,0.8831,83.3661,33831.202,1808.0939,4.5794,1808.0939,12.9245,5.148,3.4084,6.2949,1185.7604,832.5292,#N/A N/A,2.416,1502.8303,0.4556,0.3538,30.3265,50.4244,17.087,41.225,28.274,33.707,33.784,80.5452,83.9149,0.0467,1.6786,78.02
4/30/2007,82.23,2607630,25852.5587,30.2501,1.518,30.2631,8.0047,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,16.6339,2.717,2.7182,10.2723,0.4,0.4,2.7182,0.8831,83.3661,34593.459,1808.0939,4.5794,1808.0939,13.3256,5.148,3.3058,6.1054,1185.7604,832.5292,#N/A N/A,2.416,1502.8303,0.4556,0.3431,31.7984,52.9487,17.8875,43.3707,28.536,35.723,31.763,81.0503,84.6374,0.0467,1.7307,78.71
5/31/2007,89.44,18231115,25852.5587,32.9049,1.575,32.9191,8.7072,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,16.6339,2.717,2.7182,10.2723,0.4,0.4,2.7182,0.8831,83.3661,38263.7904,1808.0939,4.5794,1808.0939,14.4951,5.148,3.0391,5.6128,1185.7604,832.5292,#N/A N/A,2.416,1502.8303,0.4556,0.2997,33.4394,55.8021,18.7601,45.7262,25.619,26.658,32.366,82.4265,86.5362,0.0467,1.8826,83.56
6/29/2007,91.16,11408815,25852.5587,33.5364,1.794,33.5508,8.8743,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,16.6339,2.717,2.7182,10.2723,0.4,0.4,2.7182,0.8831,83.3661,39643.8308,1808.0939,4.5794,1808.0939,14.7733,5.148,2.9818,5.5071,1185.7604,832.5292,#N/A N/A,2.416,1502.8303,0.4556,0.2861,35.1239,58.986,19.6491,48.1045,31.713,29.946,32.742,82.735,86.9494,0.0467,1.9187,85.35
7/31/2007,100.24,10902000,25852.5587,36.8785,1.8533,36.8944,9.7587,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,16.6339,2.717,2.7182,10.2723,0.4,0.4,2.7182,0.8831,83.3661,43773.3303,1808.0939,4.5794,1808.0939,16.2455,5.148,2.7116,5.008,1185.7604,832.5292,#N/A N/A,2.416,1502.8303,0.4556,0.2518,36.8725,62.2159,20.6307,50.8072,29.094,29.1,28.176,84.2489,88.8923,0.0467,2.1099,89.99
8/31/2007,89.15,8566720,25852.5587,32.7968,1.6708,32.8109,8.6786,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,16.6339,2.717,2.7182,10.2723,0.4,0.4,2.7182,0.8831,83.3661,40274.6977,1808.0939,4.5794,1808.0939,14.4475,5.148,3.0491,5.6313,1185.7604,832.5292,#N/A N/A,2.416,1502.8303,0.4556,0.2803,38.3581,64.6838,21.4882,52.9266,47.875,37.675,35.676,75.8462,74.3366,0.0467,1.8764,96.82
9/28/2007,103.52,23103800,25852.5587,38.0821,1.839,38.0985,10.0772,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,16.6339,2.717,2.7182,10.2723,0.4,0.4,2.7182,0.8831,83.3661,45425.5639,1808.0939,4.5794,1808.0939,16.7757,5.148,2.6259,4.8498,1185.7604,832.5292,#N/A N/A,2.416,1502.8303,0.4556,0.2403,40.1178,67.7899,22.5022,55.5862,48.727,44.921,40.698,78.6928,79.1073,0.0467,2.1788,90.29
10/31/2007,110.02,13654860,25852.5587,40.4753,1.7179,40.4927,10.7104,5.9801,5.9801,5.2811,209.5219,199.6517,1.1392,16.6339,16.6339,2.717,2.7182,10.2723,0.4,0.4,2.7182,0.8831,83.3661,47697.7332,1808.0939,4.5794,1808.0939,17.8299,5.148,2.4706,4.563,1185.7604,832.5292,#N/A N/A,2.416,1502.8303,0.4556,0.2261,42.047,71.1511,23.5826,58.4513,39.239,43.531,40.983,79.8076,80.8437,0.0467,2.3157,103.93
