Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,265.79,1557577,34720.48,28.0374,1.3194,31.0145,4.5852,8.6143,8.6143,7.826,85.8736,69.4215,2.2097,14.1176,14.1176,8.57,9.48,57.9685,1.25,1.25,9.48,0.9085,85.8824,44754.0016,2282.7,2.5571,2282.7,15.9205,5.6074,3.5667,4.804,1343.8372,1296.75,#N/A N/A,3.1267,142.46,0.9537,0.1863,145.7383,216.9013,76.3313,198.0383,31.548,35.328,32.008,71.9801,65.4439,0.3416,2.4142,236.04
2/28/2007,241.16,938905,34720.48,25.4385,1.2948,28.1397,4.1601,8.6143,8.6143,7.826,85.8736,69.4215,2.2097,14.1176,14.1176,8.57,9.48,57.9685,1.25,1.25,9.48,0.9085,85.8824,41160.6969,2282.7,2.5571,2282.7,14.4448,5.6074,3.931,5.2947,1343.8372,1296.75,#N/A N/A,3.1267,142.46,0.9537,0.2053,150.2503,219.7175,78.6501,201.7947,33.186,34.2,34.335,66.7121,58.6481,0.3416,2.1904,268.2
3/30/2007,255.91,499088,37324.4759,16.0646,0.856,19.6551,4.0513,12.5987,12.5987,8.6225,178.9478,84.2903,2.4268,7.8978,7.8978,13.02,15.93,63.1673,1.25,1.25,15.93,0.6844,92.1022,45282.9363,2694.02,2.8895,2694.02,13.5987,5.9493,6.2248,5.569,1547.9616,2280,#N/A N/A,0.1179,143.76,1.6069,0.4428,154.9997,223.2479,81.1281,205.3983,23.73,29.606,31.049,68.1558,61.2434,1.2017,2.0244,243.91
4/30/2007,255.86,784357,37324.4759,16.0616,0.806,19.6514,4.0505,12.5987,12.5987,8.6225,178.9478,84.2903,2.4268,7.8978,7.8978,13.02,15.93,63.1673,1.25,1.25,15.93,0.6844,92.1022,45275.7641,2694.02,2.8895,2694.02,13.5961,5.9493,6.226,5.5701,1547.9616,2280,#N/A N/A,0.1179,143.76,1.6069,0.4429,159.7481,226.2982,83.6043,208.9514,17.308,26.04,28.45,68.1456,61.2296,1.2017,2.024,254.73
5/31/2007,279.91,1024640,37324.4759,17.5711,0.841,21.4983,4.4312,12.5987,12.5987,8.6225,178.9478,84.2903,2.4268,7.8978,7.8978,13.02,15.93,63.1673,1.25,1.25,15.93,0.6844,92.1022,48783.4272,2694.02,2.8895,2694.02,14.8739,5.9493,5.6912,5.0915,1547.9616,2280,#N/A N/A,0.1179,143.76,1.6069,0.4048,164.9757,230.4683,86.3216,212.7431,19.024,20.329,23.619,70.3856,65.3408,1.2017,2.2142,259.65
6/29/2007,303.02,2204889,37324.4759,19.022,1.0176,23.2734,4.7971,12.5987,12.5987,8.6225,178.9478,84.2903,2.4268,7.8978,7.8978,13.02,15.93,63.1673,1.25,1.25,15.93,0.6844,92.1022,52154.4268,2694.02,2.8895,2694.02,16.1021,5.9493,5.2571,4.7032,1547.9616,2280,#N/A N/A,0.1179,143.76,1.6069,0.3739,170.5954,235.6667,89.2655,217.4535,42.193,27.929,26.713,72.321,68.7687,1.2017,2.397,286.5
7/31/2007,300.76,1597457,37324.4759,18.88,0.9488,23.0997,4.7613,12.5987,12.5987,8.6225,178.9478,84.2903,2.4268,7.8978,7.8978,13.02,15.93,63.1673,1.25,1.25,15.93,0.6844,92.1022,51824.4992,2694.02,2.8895,2694.02,15.9819,5.9493,5.2966,4.7386,1547.9616,2280,#N/A N/A,0.1179,143.76,1.6069,0.3767,176.1136,240.9511,92.187,222.1049,34.834,32.874,28.869,71.8456,68.0593,1.2017,2.3791,303.02
8/31/2007,292,620693,37324.4759,18.3305,0.9338,22.4274,4.6227,12.5987,12.5987,8.6225,178.9478,84.2903,2.4268,7.8978,7.8978,13.02,15.93,63.1673,1.25,1.25,15.93,0.6844,92.1022,50550.0199,2694.02,2.8895,2694.02,15.5168,5.9493,5.4554,4.8806,1547.9616,2280,#N/A N/A,0.1179,143.76,1.6069,0.388,181.2616,244.9771,95.0423,226.5441,34.171,35.324,31.256,70.0036,65.2538,1.2017,2.3099,295.05
9/28/2007,308.77,835671,37324.4759,19.3831,0.936,23.7153,4.8882,12.5987,12.5987,8.6225,178.9478,84.2903,2.4268,7.8978,7.8978,13.02,15.93,63.1673,1.25,1.25,15.93,0.6844,92.1022,52995.8517,2694.02,2.8895,2694.02,16.4078,5.9493,5.1591,4.6155,1547.9616,2280,#N/A N/A,0.1179,143.76,1.6069,0.3669,186.8166,249.9718,98.0624,231.181,27.869,31.815,33.557,71.454,67.9771,1.2017,2.4425,297.02
10/31/2007,317.43,1838160,37324.4759,19.9265,0.8457,24.3801,5.0252,12.5987,12.5987,8.6225,178.9478,84.2903,2.4268,7.8978,7.8978,13.02,15.93,63.1673,1.25,1.25,15.93,0.6844,92.1022,54258.2468,2694.02,2.8895,2694.02,16.8677,5.9493,5.0185,4.4897,1547.9616,2280,#N/A N/A,0.1179,143.76,1.6069,0.3569,192.4939,255.15,101.1749,235.8642,35.182,32.646,31.742,72.1724,69.3139,1.2017,2.511,302.92
