Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,23.4,1957710,3256.0734,11.5163,0.5419,#N/A N/A,2.5278,8.5801,8.5801,7.2162,152.4855,148.5238,1.1526,17.8945,17.8945,2.0319,2.0319,9.257,0.35,0.35,2.0319,0.841,82.1055,5467.0826,706.27,2.8649,706.27,4.8759,13.3777,8.6834,15.1395,409.8377,299.03,#N/A N/A,#N/A N/A,147.17,0.4227,0.6032,14.1321,23.894,8.797,20.2478,29.858,28.578,28.58,64.7537,53.5554,0.04,0.9881,29.5
2/28/2007,18.5,1992016,3256.0734,9.1047,0.4634,#N/A N/A,1.9985,8.5801,8.5801,7.2162,152.4855,148.5238,1.1526,17.8945,17.8945,2.0319,2.0319,9.257,0.35,0.35,2.0319,0.841,82.1055,4745.9633,706.27,2.8649,706.27,3.8549,13.3777,10.9833,19.1494,409.8377,299.03,#N/A N/A,#N/A N/A,147.17,0.4227,0.763,14.4657,23.8215,8.9446,20.5557,40.475,35.123,30.888,58.7754,45.0049,0.04,0.7812,23.53
3/30/2007,15.83,1010456,2328.9203,28.7663,1.5328,#N/A N/A,1.6328,1.8694,1.8694,1.5357,241.7401,231.1635,1.2833,18.1818,18.1818,0.5501,0.5501,9.692,0.1,0.1,0.5501,0.8215,81.8182,5626.1211,593.46,5.5559,593.46,3.9243,10.5483,3.4763,15.8224,260.0501,80.96,#N/A N/A,#N/A N/A,147.17,0.4212,1.4805,14.7476,23.5115,9.0708,20.7982,39.286,35.973,34.622,55.8627,41.1431,0.0821,0.5377,18.25
4/30/2007,15.2,1111064,2328.9203,27.6302,1.3866,#N/A N/A,1.5683,1.8694,1.8694,1.5357,241.7401,231.1635,1.2833,18.1818,18.1818,0.5501,0.5501,9.692,0.1,0.1,0.5501,0.8215,81.8182,5534.1416,593.46,5.5559,593.46,3.7693,10.5483,3.6192,16.4729,260.0501,80.96,#N/A N/A,#N/A N/A,147.17,0.4212,1.5414,15.0184,23.1483,9.1898,20.9597,52.985,43.231,39.584,55.2015,40.2736,0.0821,0.5165,15
5/31/2007,13.13,1863382,2328.9203,23.8583,1.142,#N/A N/A,1.3542,1.8694,1.8694,1.5357,241.7401,231.1635,1.2833,18.1818,18.1818,0.5501,0.5501,9.692,0.1,0.1,0.5501,0.8215,81.8182,5228.7696,593.46,5.5559,593.46,3.2548,10.5483,4.1914,19.0772,260.0501,80.96,#N/A N/A,#N/A N/A,147.17,0.4212,1.7851,15.2473,22.5713,9.2881,20.9668,27.729,40.358,39.074,53.0452,37.4441,0.0821,0.446,15.45
6/29/2007,14.65,12707086,2328.9203,26.6304,1.4246,#N/A N/A,1.5115,1.8694,1.8694,1.5357,241.7401,231.1635,1.2833,18.1818,18.1818,0.5501,0.5501,9.692,0.1,0.1,0.5501,0.8215,81.8182,5453.1996,593.46,5.5559,593.46,3.6329,10.5483,3.7551,17.0914,260.0501,80.96,#N/A N/A,#N/A N/A,147.17,0.4212,1.5993,15.4993,22.1638,9.4035,20.9957,111.253,70.51,61.114,54.3995,40.7393,0.0821,0.4978,13.43
7/31/2007,13.98,7754200,2328.9203,25.4034,1.2767,#N/A N/A,1.4419,1.8694,1.8694,1.5357,241.7401,231.1635,1.2833,18.1818,18.1818,0.5501,0.5501,9.692,0.1,0.1,0.5501,0.8215,81.8182,5353.8618,593.46,5.5559,593.46,3.4655,10.5483,3.9365,17.9169,260.0501,80.96,#N/A N/A,#N/A N/A,147.17,0.4212,1.6765,15.728,21.7913,9.5073,20.9947,34.512,67.917,61.237,53.6904,39.7415,0.0821,0.4749,14.95
8/31/2007,13.45,4307188,2328.9203,24.4491,1.2455,#N/A N/A,1.3877,1.8694,1.8694,1.5357,241.7401,231.1635,1.2833,18.1818,18.1818,0.5501,0.5501,9.692,0.1,0.1,0.5501,0.8215,81.8182,5276.599,593.46,5.5559,593.46,3.3354,10.5483,4.0901,18.6163,260.0501,80.96,#N/A N/A,#N/A N/A,147.17,0.4212,1.742,15.9385,21.335,9.6113,20.9607,37.581,70.161,60.382,53.1332,38.9425,0.0821,0.457,14.23
9/28/2007,13.83,2782326,2328.9203,25.1308,1.2136,#N/A N/A,1.4264,1.8694,1.8694,1.5357,241.7401,231.1635,1.2833,18.1818,18.1818,0.5501,0.5501,9.692,0.1,0.1,0.5501,0.8215,81.8182,5331.7976,593.46,5.5559,593.46,3.4283,10.5483,3.9792,18.1113,260.0501,80.96,#N/A N/A,#N/A N/A,147.17,0.4212,1.6947,16.1439,20.9213,9.7209,20.9145,32.02,36.077,59.808,53.4899,39.8723,0.0821,0.4698,13.3
10/31/2007,11.95,6937690,2328.9203,21.7224,0.922,#N/A N/A,1.233,1.8694,1.8694,1.5357,241.7401,231.1635,1.2833,18.1818,18.1818,0.5501,0.5501,9.692,0.1,0.1,0.5501,0.8215,81.8182,5055.8576,593.46,5.5559,593.46,2.9634,10.5483,4.6035,20.953,260.0501,80.96,#N/A N/A,#N/A N/A,147.17,0.4212,1.9606,16.2989,20.4788,9.814,20.8295,41.633,37.195,41.987,51.464,36.8505,0.0821,0.4061,13.85
