Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,353.11,55988838,334218.3797,33.9019,1.5953,33.9019,8.8571,8.0228,8.0228,8.8918,71.0124,39.5126,1.4969,24.2292,24.2292,10.9981,10.9981,39.8674,2.4444,2.4444,10.4157,1.1083,75.7708,466447.3273,16290.5,1.2215,16290.5,25.9607,4.5865,2.9497,3.2762,10787.0202,13172.1,#N/A N/A,4.6406,274.8,0.8285,0.0803,141.6227,239.1153,90.4978,194.6283,27.216,25.051,24.395,80.4503,79.817,0.1913,2.5759,321.56
2/28/2007,331.08,89401698,334218.3797,31.7865,1.6179,31.7865,8.3045,8.0228,8.0228,8.8918,71.0124,39.5126,1.4969,24.2292,24.2292,10.9981,10.9981,39.8674,2.4444,2.4444,10.4157,1.1083,75.7708,438751.5577,16290.5,1.2215,16290.5,24.3408,4.5865,3.146,3.4942,10787.0202,13172.1,#N/A N/A,4.6406,274.8,0.8285,0.0856,147.5174,249.3789,93.5625,202.5817,40.68,32.471,28.455,76.4792,73.5433,0.1913,2.4151,355.51
3/30/2007,360.02,92331482,458926.9388,20.2041,1.0766,20.8699,6.6304,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,16.4387,17.2508,17.8192,54.2987,2.8889,2.8889,17.8192,0.9849,83.5613,493710.7306,24976.1,1.3147,24976.1,18.1214,5.0131,4.9495,4.7564,16680.1333,22401.4,#N/A N/A,1.7122,566.5,0.7755,0.1436,154.0862,260.3356,96.9143,211.4174,46.027,40.408,36.262,77.9578,76.1908,0.2679,2.2243,333.33
4/30/2007,377.42,67325697,458926.9388,21.1806,1.0629,21.8786,6.9509,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,16.4387,17.2508,17.8192,54.2987,2.8889,2.8889,17.8192,0.9849,83.5613,517718.0954,24976.1,1.3147,24976.1,18.9972,5.0131,4.7213,4.5371,16680.1333,22401.4,#N/A N/A,1.7122,566.5,0.7755,0.1364,160.9533,271.795,100.4154,220.9267,23.448,41.832,37.216,78.7871,77.6395,0.2679,2.3318,353.33
5/31/2007,446.64,81619628,458926.9388,25.0653,1.1998,25.8913,8.2257,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,16.4387,17.2508,17.8192,54.2987,2.8889,2.8889,17.8192,0.9849,83.5613,608276.7264,24976.1,1.3147,24976.1,22.4814,5.0131,3.9896,3.8339,16680.1333,22401.4,#N/A N/A,1.7122,566.5,0.7755,0.1147,169.2578,285.6886,104.5637,232.4698,32.95,35.564,38.877,81.6312,82.263,0.2679,2.7595,342
6/29/2007,488.44,104364779,458926.9388,27.4111,1.4663,28.3144,8.9955,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,16.4387,17.2508,17.8192,54.2987,2.8889,2.8889,17.8192,0.9849,83.5613,661590.8493,24976.1,1.3147,24976.1,24.5854,5.0131,3.6482,3.5058,16680.1333,22401.4,#N/A N/A,1.7122,566.5,0.7755,0.1048,178.344,302.34,109.1229,245.1143,29.363,29.465,37.423,83.0508,84.3654,0.2679,3.0177,445.56
7/31/2007,579.51,146047113,458926.9388,32.5217,1.6344,33.5934,10.6727,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,16.4387,17.2508,17.8192,54.2987,2.8889,2.8889,17.8192,0.9849,83.5613,779885.3799,24976.1,1.3147,24976.1,29.1691,5.0131,3.0749,2.9549,16680.1333,22401.4,#N/A N/A,1.7122,566.5,0.7755,0.0881,189.1765,321.9536,114.5199,260.7081,46.915,36.362,35.318,85.565,87.7672,0.2679,3.5804,495.56
8/31/2007,573.96,124797290,458926.9388,32.2099,1.6409,33.2713,10.5703,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,16.4387,17.2508,17.8192,54.2987,2.8889,2.8889,17.8192,0.9849,83.5613,778951.1991,24976.1,1.3147,24976.1,28.8895,5.0131,3.1046,2.9835,16680.1333,22401.4,#N/A N/A,1.7122,566.5,0.7755,0.0882,199.8218,340.4006,119.941,275.8094,31.816,37.041,35.274,84.7714,86.5303,0.2679,3.5461,575.56
9/28/2007,623.99,84836358,458926.9388,35.0177,1.691,36.1717,11.4918,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,16.4387,17.2508,17.8192,54.2987,2.8889,2.8889,17.8192,0.9849,83.5613,843442.2325,24976.1,1.3147,24976.1,31.4079,5.0131,2.8557,2.7443,16680.1333,22401.4,#N/A N/A,1.7122,566.5,0.7755,0.0811,211.3059,359.5328,125.7649,292.9072,23.223,35.898,35.248,85.9826,88.15,0.2679,3.8552,577.69
10/31/2007,942.94,181007312,458926.9388,52.9172,2.2459,54.6611,17.3659,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,16.4387,17.2508,17.8192,54.2987,2.8889,2.8889,17.8192,0.9849,83.5613,1255395.756,24976.1,1.3147,24976.1,47.4622,5.0131,1.8897,1.816,16680.1333,22401.4,#N/A N/A,1.7122,566.5,0.7755,0.0536,229.1808,393.3636,134.7068,320.7587,76.606,49.351,47.02,90.8053,93.5088,0.2679,5.8258,623.99
11/30/2007,917.5,143599694,458926.9388,51.4893,2.2016,53.1861,16.8973,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,16.4387,17.2508,17.8192,54.2987,2.8889,2.8889,17.8192,0.9849,83.5613,1240916.219,24976.1,1.3147,24976.1,46.1814,5.0131,1.9422,1.8664,16680.1333,22401.4,#N/A N/A,1.7122,566.5,0.7755,0.0543,246.4334,425.7236,143.3368,347.4606,41.445,53.78,49.331,88.2982,90.0118,0.2679,5.6686,950
