Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,120.18,14231910,40701.1028,27.8869,1.3123,27.9594,7.74,10.2035,10.2035,10.1819,147.9771,59.6502,1.7842,15.0818,15.0818,4.2984,4.3095,15.5272,0.65,0.65,4.3095,0.9979,84.9182,52013.9391,2868.1,1.2996,2868.1,16.8201,6.4533,3.5859,5.0979,1890.7709,1729.9,#N/A N/A,2.8671,401.4,1.1261,0.1916,67.4984,91.8785,43.1331,82.0255,31.738,26.194,25.62,64.463,68.0891,0.7201,2.8454,122.5
2/28/2007,119.91,21543840,40701.1028,27.8243,1.4163,27.8966,7.7226,10.2035,10.2035,10.1819,147.9771,59.6502,1.7842,15.0818,15.0818,4.2984,4.3095,15.5272,0.65,0.65,4.3095,0.9979,84.9182,51905.4924,2868.1,1.2996,2868.1,16.7823,6.4533,3.594,5.1094,1890.7709,1729.9,#N/A N/A,2.8671,401.4,1.1261,0.192,69.6053,94.3793,44.1022,83.7827,46.035,35.907,30.328,64.3736,67.9288,0.7201,2.839,121.2
3/30/2007,121.24,9722240,48704.8747,15.7732,0.8405,15.8474,5.577,15.3269,15.3269,14.3329,103.323,59.3008,1.9161,13.0152,13.0152,7.6505,7.6864,21.7391,1,1,7.6864,0.9351,86.9848,53876.6046,3210,1.6133,3210,15.1659,5.9573,6.3399,5.6363,2078.4815,3086.4,#N/A N/A,2.5389,803.4,1.0325,0.1853,71.7358,96.9768,45.1025,85.3895,42.251,39.237,35.279,64.6237,68.3243,0.5035,2.4176,122.8
4/30/2007,140.68,28206585,48704.8747,18.3023,0.9185,18.3884,6.4713,15.3269,15.3269,14.3329,103.323,59.3008,1.9161,13.0152,13.0152,7.6505,7.6864,21.7391,1,1,7.6864,0.9351,86.9848,61693.1894,3210,1.6133,3210,17.5976,5.9573,5.4638,4.8575,2078.4815,3086.4,#N/A N/A,2.5389,803.4,1.0325,0.1597,74.2481,100.1623,46.3149,88.0092,29.756,39.207,35.745,68.0187,73.4729,0.5035,2.8052,115
5/31/2007,142.26,46481885,48704.8747,18.5079,0.8859,18.5949,6.544,15.3269,15.3269,14.3329,103.323,59.3008,1.9161,13.0152,13.0152,7.6505,7.6864,21.7391,1,1,7.6864,0.9351,86.9848,62501.9706,3210,1.6133,3210,17.7953,5.9573,5.4031,4.8035,2078.4815,3086.4,#N/A N/A,2.5389,803.4,1.0325,0.1574,76.8427,103.4945,47.5325,90.639,19.84,30.101,35.239,68.2747,73.845,0.5035,2.8367,142.8
6/29/2007,146.42,40566405,48704.8747,19.0491,1.019,19.1387,6.7353,15.3269,15.3269,14.3329,103.323,59.3008,1.9161,13.0152,13.0152,7.6505,7.6864,21.7391,1,1,7.6864,0.9351,86.9848,64280.353,3210,1.6133,3210,18.3156,5.9573,5.2496,4.667,2078.4815,3086.4,#N/A N/A,2.5389,803.4,1.0325,0.1527,79.4596,107.303,48.7957,93.2348,22.519,25.144,32.54,68.9516,74.8455,0.5035,2.9196,144.4
7/31/2007,128.81,50984275,48704.8747,16.7581,0.8422,16.8369,5.9253,15.3269,15.3269,14.3329,103.323,59.3008,1.9161,13.0152,13.0152,7.6505,7.6864,21.7391,1,1,7.6864,0.9351,86.9848,57676.6043,3210,1.6133,3210,16.1128,5.9573,5.9673,5.3051,2078.4815,3086.4,#N/A N/A,2.5389,803.4,1.0325,0.1719,81.6434,109.9643,49.8598,95.5387,31.67,25.356,28.11,63.0597,63.7317,0.5035,2.5685,147.96
8/31/2007,117.56,16892220,48704.8747,15.2945,0.7791,15.3664,5.4078,15.3269,15.3269,14.3329,103.323,59.3008,1.9161,13.0152,13.0152,7.6505,7.6864,21.7391,1,1,7.6864,0.9351,86.9848,53385.8668,3210,1.6133,3210,14.7055,5.9573,6.5383,5.8128,2078.4815,3086.4,#N/A N/A,2.5389,803.4,1.0325,0.1872,83.3945,112.0153,50.8089,97.5978,29.101,28.05,26.41,59.689,57.8244,0.5035,2.3442,128
9/28/2007,117.63,15524310,48704.8747,15.3036,0.739,15.3755,5.411,15.3269,15.3269,14.3329,103.323,59.3008,1.9161,13.0152,13.0152,7.6505,7.6864,21.7391,1,1,7.6864,0.9351,86.9848,53428.2752,3210,1.6133,3210,14.7143,5.9573,6.5344,5.8093,2078.4815,3086.4,#N/A N/A,2.5389,803.4,1.0325,0.187,85.0082,113.6783,51.7992,99.6952,24.106,28.776,27.167,59.7028,57.8506,0.5035,2.3456,118.11
10/31/2007,117.62,26315415,48704.8747,15.3023,0.6495,15.3742,5.4105,15.3269,15.3269,14.3329,103.323,59.3008,1.9161,13.0152,13.0152,7.6505,7.6864,21.7391,1,1,7.6864,0.9351,86.9848,53430.0512,3210,1.6133,3210,14.713,5.9573,6.535,5.8098,2078.4815,3086.4,#N/A N/A,2.5389,803.4,1.0325,0.187,86.4391,114.8733,52.7879,101.7343,40.01,32.065,31.057,59.6998,57.8451,0.5035,2.3454,119.58
