Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,28,19121120,31499.8,37.3862,1.7593,37.3862,12.422,7.5948,7.5948,16.1101,91.7087,69.3629,1.4238,41.3904,41.3904,0.749,0.749,2.2541,0.31,0.31,0.749,2.1212,58.6096,36742.8959,1465.6,1.2375,1465.6,22.1624,4.3994,2.6748,3.1329,902.1336,868.8,#N/A N/A,#N/A N/A,580,0.5272,0.0687,12.245,20.8975,8.1176,17.0828,27.7,25.47,22.392,77.5048,74.2932,0.2803,2.8394,27.04
2/28/2007,29.76,19643962,31499.8,39.7296,2.0222,39.7296,13.2006,7.5948,7.5948,16.1101,91.7087,69.3629,1.4238,41.3904,41.3904,0.749,0.749,2.2541,0.31,0.31,0.749,2.1212,58.6096,38932.25,1465.6,1.2375,1465.6,23.5515,4.3994,2.517,2.9481,902.1336,868.8,#N/A N/A,#N/A N/A,580,0.5272,0.0646,12.7599,21.775,8.3773,17.862,26.355,27.835,24.815,78.4923,76.0201,0.2803,3.0174,28.22
3/30/2007,29.98,34705776,37392.6,31.7794,1.6934,31.7794,18.9793,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,35.1133,0.9432,0.9432,1.5794,0.3275,0.3275,0.9432,2.215,64.8867,39495.6,2128.5,0.988,2128.5,16.6086,5.3892,3.1467,4.5447,1212.5826,1128.9,#N/A N/A,#N/A N/A,609,0.1973,0.0671,13.2766,22.6239,8.6379,18.6407,42.47,33.073,31.092,78.6139,76.2353,0.0765,2.2706,30.59
4/30/2007,26.68,31964420,37392.6,28.2858,1.4195,28.2858,16.8928,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,35.1133,0.9432,0.9432,1.5794,0.3275,0.3275,0.9432,2.215,64.8867,35384.85,2128.5,0.988,2128.5,14.7827,5.3892,3.5353,5.106,1212.5826,1128.9,#N/A N/A,#N/A N/A,609,0.1973,0.0754,13.7281,23.2661,8.8616,19.3049,33.797,35.587,32.703,72.2746,66.5827,0.0765,2.021,30.27
5/31/2007,28.05,40980638,37392.6,29.735,1.4233,29.735,17.7583,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,35.1133,0.9432,0.9432,1.5794,0.3275,0.3275,0.9432,2.215,64.8867,37090.05,2128.5,0.988,2128.5,15.5401,5.3892,3.363,4.8571,1212.5826,1128.9,#N/A N/A,#N/A N/A,609,0.1973,0.0717,14.2166,23.9617,9.0867,19.9533,28.803,31.936,32.14,73.2019,68.3717,0.0765,2.1245,27.58
6/29/2007,27.05,23183210,37392.6,28.6739,1.5339,28.6739,17.1247,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,35.1133,0.9432,0.9432,1.5794,0.3275,0.3275,0.9432,2.215,64.8867,35841.6,2128.5,0.988,2128.5,14.9856,5.3892,3.4875,5.0369,1212.5826,1128.9,#N/A N/A,#N/A N/A,609,0.1973,0.0744,14.6822,24.6312,9.288,20.578,18.714,27.257,31.484,71.3934,65.6026,0.0765,2.0487,28.29
7/31/2007,27.49,34271032,37392.6,29.1398,1.4644,29.1398,17.4029,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,35.1133,0.9432,0.9432,1.5794,0.3275,0.3275,0.9432,2.215,64.8867,36389.7,2128.5,0.988,2128.5,15.2291,5.3892,3.4317,4.9563,1212.5826,1128.9,#N/A N/A,#N/A N/A,609,0.1973,0.0732,15.1509,25.243,9.4728,21.1935,18.857,22.512,27.472,71.7108,66.2489,0.0765,2.082,27.29
8/31/2007,28.19,16456728,37392.6,29.8902,1.5227,29.8902,17.8511,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,35.1133,0.9432,0.9432,1.5794,0.3275,0.3275,0.9432,2.215,64.8867,37272.75,2128.5,0.988,2128.5,15.6213,5.3892,3.3456,4.8319,1212.5826,1128.9,#N/A N/A,#N/A N/A,609,0.1973,0.0714,15.6308,25.7538,9.6838,21.7276,36.928,26.054,26.086,72.2245,67.3144,0.0765,2.1356,27.51
9/28/2007,29.61,13608572,37392.6,31.3912,1.5159,31.3912,18.7475,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,35.1133,0.9432,0.9432,1.5794,0.3275,0.3275,0.9432,2.215,64.8867,39038.85,2128.5,0.988,2128.5,16.4057,5.3892,3.1856,4.6009,1212.5826,1128.9,#N/A N/A,#N/A N/A,609,0.1973,0.0679,16.1375,26.1869,9.9059,22.3214,24.804,26.91,25.661,73.2301,69.3954,0.0765,2.2429,28.32
10/31/2007,32.98,20026734,37392.6,34.9625,1.4839,34.9625,20.8803,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,35.1133,0.9432,0.9432,1.5794,0.3275,0.3275,0.9432,2.215,64.8867,43240.95,2128.5,0.988,2128.5,18.2722,5.3892,2.8602,4.1309,1212.5826,1128.9,#N/A N/A,#N/A N/A,609,0.1973,0.061,16.6927,26.8502,10.157,23.0293,33.645,32.497,28.74,75.4206,73.6879,0.0765,2.498,30.24
11/30/2007,32,15605368,37392.6,33.9274,1.4506,33.9274,20.2621,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,35.1133,0.9432,0.9432,1.5794,0.3275,0.3275,0.9432,2.215,64.8867,42022.95,2128.5,0.988,2128.5,17.7312,5.3892,2.9475,4.2569,1212.5826,1128.9,#N/A N/A,#N/A N/A,609,0.1973,0.0629,17.2373,27.1245,10.4075,23.6575,33.204,34.392,33.029,73.6144,70.5971,0.0765,2.4241,33.64
12/31/2007,33.54,22506436,37392.6,35.5577,1.611,35.5577,21.2358,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,35.1133,0.9432,0.9432,1.5794,0.3275,0.3275,0.9432,2.215,64.8867,43941.3,2128.5,0.988,2128.5,18.5833,5.3892,2.8123,4.0617,1212.5826,1128.9,#N/A N/A,#N/A N/A,609,0.1973,0.06,17.8154,27.4613,10.6775,24.3687,31.071,33.863,32.516,74.6053,72.55,0.0765,2.5406,31.78
1/31/2008,31.12,71625840,37392.6,32.9957,1.7201,32.9957,19.7057,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,35.1133,0.9432,0.9432,1.5794,0.3275,0.3275,0.9432,2.215,64.8867,40926.75,2128.5,0.988,2128.5,17.2443,5.3892,3.0307,4.3771,1212.5826,1128.9,#N/A N/A,#N/A N/A,609,0.1973,0.0646,18.3447,27.9033,10.9363,24.9728,82.949,57.982,52.663,70.3129,65.2192,0.0765,2.3575,33.93
2/29/2008,30.78,9647352,37392.6,32.6334,1.703,32.6334,19.4893,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,35.1133,0.9432,0.9432,1.5794,0.3275,0.3275,0.9432,2.215,64.8867,40500.45,2128.5,0.988,2128.5,17.0549,5.3892,3.0643,4.4257,1212.5826,1128.9,#N/A N/A,#N/A N/A,609,0.1973,0.0654,18.8441,28.3668,11.1951,25.5377,31.526,57.638,52.218,69.726,64.2308,0.0765,2.3316,31.12
3/31/2008,33.1,13041644,41290.2,23.8444,1.4358,25.4498,12.8142,8.8677,8.8677,19.9667,114.0719,90.6272,0.9721,23.5924,25.172,1.3877,1.3882,2.5831,0.3275,0.3275,1.3882,2.2516,76.4076,44143.8,2913.1,0.9792,2913.1,13.8396,6.5991,4.1939,6.4602,2148.1538,1690.8,#N/A N/A,#N/A N/A,609,0.2946,0.087,19.399,28.8302,11.4812,26.1698,51.05,58.243,53.549,71.4016,67.7972,0.1358,2.1145,30.98
4/30/2008,32.51,15546016,41290.2,23.4224,1.2763,24.9993,12.5874,8.8677,8.8677,19.9667,114.0719,90.6272,0.9721,23.5924,25.172,1.3877,1.3882,2.5831,0.3275,0.3275,1.3882,2.2516,76.4076,43413,2913.1,0.9792,2913.1,13.5947,6.5991,4.2694,6.5766,2148.1538,1690.8,#N/A N/A,#N/A N/A,609,0.2946,0.0885,19.9322,29.2108,11.7656,26.7984,26.404,37.216,52.532,70.3835,66.0067,0.1358,2.077,33.15
5/30/2008,31.54,38854026,41290.2,22.719,1.3046,24.2486,12.2094,8.8677,8.8677,19.9667,114.0719,90.6272,0.9721,23.5924,25.172,1.3877,1.3882,2.5831,0.3275,0.3275,1.3882,2.2516,76.4076,42195,2913.1,0.9792,2913.1,13.1864,6.5991,4.4016,6.7802,2148.1538,1690.8,#N/A N/A,#N/A N/A,609,0.2946,0.0913,20.4351,29.5142,12.0444,27.3413,34.569,38.054,49.668,68.6947,63.0194,0.1358,2.0147,32.93
