Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,924.9,20392729,252594.0655,21.9189,1.0314,21.9189,4.7948,10.0394,10.0394,16.0294,13.6892,-30.764,2.2434,8.293,8.293,42.1965,42.1965,192.8974,3.5,3.5,42.1965,1.5967,91.707,250133.9471,19620,-0.8753,19620,13.6194,8.3307,4.5623,6.2606,11376.3026,12191,#N/A N/A,11.5482,1445,1.4913,0.0286,#N/A N/A,753.46,#N/A N/A,642.735,31.027,26.31,25.467,68.4069,68.6907,1.1718,2.2005,939
2/28/2007,841.7,16821155,252594.0655,19.9471,1.0153,19.9471,4.3635,10.0394,10.0394,16.0294,13.6892,-30.764,2.2434,8.293,8.293,42.1965,42.1965,192.8974,3.5,3.5,42.1965,1.5967,91.707,226096.6271,19620,-0.8753,19620,12.3943,8.3307,5.0132,6.8794,11376.3026,12191,#N/A N/A,11.5482,1445,1.4913,0.0314,#N/A N/A,772.3125,#N/A N/A,658.065,39.37,32.464,28.574,64.3326,62.0219,1.1718,2.0026,939.9
3/30/2007,820.2,27829030,236964.0351,14.9193,0.795,19.254,3.3821,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,8.1849,54.9756,54.9756,242.5149,4.5,4.5,54.9756,1.5484,91.8151,221421.0601,20887,-0.7441,20887,11.345,9.4332,6.7027,7.6518,12439.2149,15883,#N/A N/A,12.8332,1445,1.2009,0.0322,#N/A N/A,789.1875,#N/A N/A,673.595,42.634,36.788,33.27,63.3243,60.3903,0.8995,1.6096,848
4/30/2007,806.1,21423409,236964.0351,14.6629,0.7358,#N/A N/A,3.3239,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,8.1849,54.9756,54.9756,242.5149,4.5,4.5,54.9756,1.5484,91.8151,217347.4278,20887,-0.7441,20887,11.15,9.4332,6.8199,7.7856,12439.2149,15883,#N/A N/A,12.8332,1445,1.2009,0.0328,#N/A N/A,805.985,#N/A N/A,687.9517,29.072,41.016,37.414,62.6581,59.2887,0.8995,1.582,795
5/31/2007,817.1,10926759,236964.0351,14.863,0.7114,#N/A N/A,3.3693,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,8.1849,54.9756,54.9756,242.5149,4.5,4.5,54.9756,1.5484,91.8151,220525.4388,20887,-0.7441,20887,11.3022,9.4332,6.7281,7.6808,12439.2149,15883,#N/A N/A,12.8332,1445,1.2009,0.0323,#N/A N/A,818.85,#N/A N/A,701.185,18.434,32.645,35.579,62.9725,59.9032,0.8995,1.6035,817.5
6/29/2007,744.15,14008938,236964.0351,13.536,0.7241,#N/A N/A,3.0685,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,8.1849,54.9756,54.9756,242.5149,4.5,4.5,54.9756,1.5484,91.8151,199449.4474,20887,-0.7441,20887,10.2931,9.4332,7.3877,8.4338,12439.2149,15883,#N/A N/A,12.8332,1445,1.2009,0.0355,#N/A N/A,828.5975,#N/A N/A,710.615,23.222,23.711,33.188,59.5338,54.074,0.8995,1.4604,820
7/31/2007,844.55,17942677,236964.0351,15.3623,0.772,#N/A N/A,3.4825,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,8.1849,54.9756,54.9756,242.5149,4.5,4.5,54.9756,1.5484,91.8151,228456.0209,20887,-0.7441,20887,11.6819,9.4332,6.5095,7.4312,12439.2149,15883,#N/A N/A,12.8332,1445,1.2009,0.0313,#N/A N/A,840.155,#N/A N/A,723.6417,23.071,23.134,29.066,62.4529,59.8629,0.8995,1.6574,745
8/31/2007,867.7,17570658,236964.0351,15.7834,0.804,#N/A N/A,3.5779,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,8.1849,54.9756,54.9756,242.5149,4.5,4.5,54.9756,1.5484,91.8151,235144.2896,20887,-0.7441,20887,12.0021,9.4332,6.3358,7.2329,12439.2149,15883,#N/A N/A,12.8332,1445,1.2009,0.0304,598.095,851.75,#N/A N/A,736.795,37.136,28.258,26.264,63.088,61.0811,0.8995,1.7028,831.1
9/28/2007,998.75,24167896,236964.0351,18.1672,0.8773,#N/A N/A,4.1183,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,8.1849,54.9756,54.9756,242.5149,4.5,4.5,54.9756,1.5484,91.8151,273005.8662,20887,-0.7441,20887,13.8148,9.4332,5.5044,6.2839,12439.2149,15883,#N/A N/A,12.8332,1445,1.2009,0.0265,614.457,863.76,#N/A N/A,756.0433,38.94,33.631,31.114,66.415,67.1576,0.8995,1.96,876.7
10/31/2007,1073.85,34621723,236964.0351,19.5332,0.829,#N/A N/A,4.428,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,8.1849,54.9756,54.9756,242.5149,4.5,4.5,54.9756,1.5484,91.8151,294703.0074,20887,-0.7441,20887,14.8535,9.4332,5.1195,5.8444,12439.2149,15883,#N/A N/A,12.8332,1445,1.2009,0.0246,631.225,876.3225,#N/A N/A,778.2917,61.721,45.826,40.186,68.1185,70.0441,0.8995,2.1074,1008.8
