Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,14.49,6266522,24792.5557,25.1143,1.1818,25.1143,8.9815,10.1306,10.1306,13.3249,147.0542,85.7568,1.5074,26.2559,26.2559,0.5768,0.5768,1.6128,0.1514,0.1514,0.5768,1.3153,73.7441,28342.3972,1776.481,1.3999,1776.481,14.5444,6.5066,3.9818,5.0774,1072.1237,1028.808,#N/A N/A,0.762,234.889,0.8396,0.1651,7.5686,11.8551,4.1656,10.4737,24.65,35.126,34.82,71.263,65.4915,0.4702,2.5442,14.24
2/28/2007,13.94,8886745,24792.5557,24.1668,1.2301,24.1668,8.6427,10.1306,10.1306,13.3249,147.0542,85.7568,1.5074,26.2559,26.2559,0.5768,0.5768,1.6128,0.1514,0.1514,0.5768,1.3153,73.7441,27367.8133,1776.481,1.3999,1776.481,13.9957,6.5066,4.1379,5.2765,1072.1237,1028.808,#N/A N/A,0.762,234.889,0.8396,0.1716,7.8292,12.0787,4.3033,10.7621,26.59,26.395,32.947,69.6864,62.5069,0.4702,2.4483,14.49
3/30/2007,14.13,11807195,25203.6118,19.4594,1.0369,19.4594,6.6393,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,27.2032,0.7261,0.7261,2.1283,0.1975,0.1975,0.7261,1.3454,72.7968,28948.6925,2296.996,1.5723,2296.996,10.9724,7.9333,5.1389,6.5442,1306.365,1295.192,#N/A N/A,5.0908,234.889,0.6908,0.1826,8.0897,12.2584,4.4429,11.0129,33.247,28.004,32.056,69.9269,63.1389,0.2013,1.6499,13.83
4/30/2007,14.49,2910692,25203.6118,19.949,1.0011,19.949,6.8063,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,27.2032,0.7261,0.7261,2.1283,0.1975,0.1975,0.7261,1.3454,72.7968,29582.7591,2296.996,1.5723,2296.996,11.2485,7.9333,5.0128,6.3836,1306.365,1295.192,#N/A N/A,5.0908,234.889,0.6908,0.1781,8.3567,12.4375,4.5859,11.2582,23.261,27.439,27.301,70.3795,64.3443,0.2013,1.6914,13.83
5/31/2007,16.33,23898906,25203.6118,22.488,1.0764,22.488,7.6726,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,27.2032,0.7261,0.7261,2.1283,0.1975,0.1975,0.7261,1.3454,72.7968,32870.512,2296.996,1.5723,2296.996,12.6802,7.9333,4.4468,5.6629,1306.365,1295.192,#N/A N/A,5.0908,234.889,0.6908,0.158,8.6632,12.6891,4.7471,11.5335,72.959,46.622,41.03,72.5922,69.8499,0.2013,1.9067,14.62
6/29/2007,15.99,5021223,25203.6118,22.0255,1.1782,22.0255,7.5148,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,27.2032,0.7261,0.7261,2.1283,0.1975,0.1975,0.7261,1.3454,72.7968,32271.6713,2296.996,1.5723,2296.996,12.4194,7.9333,4.5402,5.7818,1306.365,1295.192,#N/A N/A,5.0908,234.889,0.6908,0.1613,8.9512,12.9817,4.9045,11.7619,21.605,45.002,40.519,71.5846,67.7965,0.2013,1.8675,17.11
7/31/2007,16.87,4073371,25203.6118,23.2315,1.1675,23.2315,7.9263,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,27.2032,0.7261,0.7261,2.1283,0.1975,0.1975,0.7261,1.3454,72.7968,33833.3539,2296.996,1.5723,2296.996,13.0994,7.9333,4.3045,5.4816,1306.365,1295.192,#N/A N/A,5.0908,234.889,0.6908,0.153,9.2386,13.2919,5.0695,12.0549,20.631,44.709,39.103,72.6102,70.2525,0.2013,1.9697,16.44
8/31/2007,18.98,7946730,25203.6118,26.1423,1.3318,26.1423,8.9194,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,27.2032,0.7261,0.7261,2.1283,0.1975,0.1975,0.7261,1.3454,72.7968,37602.5227,2296.996,1.5723,2296.996,14.7407,7.9333,3.8252,4.8713,1306.365,1295.192,#N/A N/A,5.0908,234.889,0.6908,0.1359,9.5599,13.6876,5.2557,12.4034,36.728,27.386,40.942,74.8744,75.1737,0.2013,2.2165,16.72
9/28/2007,21.83,3197657,25203.6118,30.0595,1.4516,30.0595,10.2559,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,27.2032,0.7261,0.7261,2.1283,0.1975,0.1975,0.7261,1.3454,72.7968,42675.0347,2296.996,1.5723,2296.996,16.9495,7.9333,3.3267,4.2365,1306.365,1295.192,#N/A N/A,5.0908,234.889,0.6908,0.1182,9.9297,14.2519,5.4706,12.8691,39.286,33.091,30.105,77.4677,79.975,0.2013,2.5487,18.77
10/31/2007,18.97,2520239,25203.6118,26.1287,1.109,26.1287,8.9147,8.4787,8.4787,11.4069,116.9449,91.7762,1.3758,27.2032,27.2032,0.7261,0.7261,2.1283,0.1975,0.1975,0.7261,1.3454,72.7968,37584.8921,2296.996,1.5723,2296.996,14.733,7.9333,3.8272,4.8738,1306.365,1295.192,#N/A N/A,5.0908,234.889,0.6908,0.136,10.2426,14.6402,5.6561,13.241,34.889,37.179,32.864,69.971,66.15,0.2013,2.2154,21.73
