Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,279.85,20428322,33565.7363,29.6959,1.3974,30.2109,6.8216,15.9405,15.9405,18.1789,0.5588,-14.3444,2.6661,31.834,31.834,9.2632,9.4239,41.0243,3,3,9.4239,1.1404,68.166,44510.0754,1980.208,-0.4785,1980.208,22.4731,6.0709,3.3675,3.2854,1421.3067,1498.575,#N/A N/A,#N/A N/A,1610.183,2.1564,0.0008,144.4045,181.0125,107.9613,164.2508,38.932,53.422,46.588,65.4485,73.3024,0.6996,4.7337,307
2/28/2007,259,31528820,33565.7363,27.4834,1.3989,27.9601,6.3133,15.9405,15.9405,18.1789,0.5588,-14.3444,2.6661,31.834,31.834,9.2632,9.4239,41.0243,3,3,9.4239,1.1404,68.166,41128.9837,1980.208,-0.4785,1980.208,20.7988,6.0709,3.6386,3.5499,1421.3067,1498.575,#N/A N/A,#N/A N/A,1610.183,2.1564,0.0009,147.7935,187.0688,109.8947,168.3983,65.695,56.444,54.079,62.3757,68.228,0.6996,4.381,280
3/30/2007,282.75,20435178,58865.7276,32.3379,1.7231,32.8374,5.837,10.2278,10.2278,17.0857,0.2818,-18.3996,2.6147,34.6883,34.6883,8.6106,8.7436,48.4411,3,3,8.7436,1.6705,65.3117,44321.7478,3067.399,-0.6049,3067.399,18.9841,5.3804,3.0923,3.5218,1876.769,1800.724,#N/A N/A,#N/A N/A,2081.83,2.0904,0.0006,151.7255,194.7125,112.1384,172.8583,47.293,54.379,55.277,64.3481,70.7149,0.6463,3.3075,260
4/30/2007,313.75,12633277,58865.7276,35.8834,1.8007,36.4376,6.4769,10.2278,10.2278,17.0857,0.2818,-18.3996,2.6147,34.6883,34.6883,8.6106,8.7436,48.4411,3,3,8.7436,1.6705,65.3117,49384.6115,3067.399,-0.6049,3067.399,21.0654,5.3804,2.7868,3.1738,1876.769,1800.724,#N/A N/A,#N/A N/A,2081.83,2.0904,0.0006,156.2068,204.0588,114.4744,178.82,39.398,54.52,51.466,66.705,73.6176,0.6463,3.6701,275
5/31/2007,306.4,17662174,58865.7276,35.0428,1.6773,35.584,6.3252,10.2278,10.2278,17.0857,0.2818,-18.3996,2.6147,34.6883,34.6883,8.6106,8.7436,48.4411,3,3,8.7436,1.6705,65.3117,48468.6741,3067.399,-0.6049,3067.399,20.572,5.3804,2.8537,3.25,1876.769,1800.724,#N/A N/A,#N/A N/A,2081.83,2.0904,0.0006,160.7008,213.1238,116.4153,184.2875,29.596,37.671,48.069,65.6407,71.8004,0.6463,3.5841,312.05
6/29/2007,328.5,14661543,58865.7276,37.5704,2.0098,38.1506,6.7814,10.2278,10.2278,17.0857,0.2818,-18.3996,2.6147,34.6883,34.6883,8.6106,8.7436,48.4411,3,3,8.7436,1.6705,65.3117,52118.7956,3067.399,-0.6049,3067.399,22.0558,5.3804,2.6617,3.0313,1876.769,1800.724,#N/A N/A,#N/A N/A,2081.83,2.0904,0.0005,165.9226,223.3675,118.5103,190.5908,31.584,34.646,42.499,67.2653,73.8876,0.6463,3.8426,308
7/31/2007,282.6,20189785,58865.7276,32.3208,1.6243,32.82,5.8339,10.2278,10.2278,17.0857,0.2818,-18.3996,2.6147,34.6883,34.6883,8.6106,8.7436,48.4411,3,3,8.7436,1.6705,65.3117,44602.4893,3067.399,-0.6049,3067.399,18.974,5.3804,3.094,3.5237,1876.769,1800.724,#N/A N/A,#N/A N/A,2081.83,2.0904,0.0006,170.1686,230.54,119.9031,195.6008,50.749,37.346,38.432,61.062,63.3931,0.6463,3.3057,330
8/31/2007,293.35,17444252,58865.7276,33.5503,1.7091,34.0684,6.0558,10.2278,10.2278,17.0857,0.2818,-18.3996,2.6147,34.6883,34.6883,8.6106,8.7436,48.4411,3,3,8.7436,1.6705,65.3117,59317.1188,3067.399,-0.6049,3067.399,19.6958,5.3804,2.9806,3.3945,1876.769,1800.724,#N/A N/A,#N/A N/A,2081.83,2.0904,0.0005,174.4725,237.7525,121.8482,201.2833,48.115,44.736,40.945,61.913,64.6591,0.6463,3.4315,280
9/28/2007,285.95,10668682,58865.7276,32.7039,1.5793,33.209,5.903,10.2278,10.2278,17.0857,0.2818,-18.3996,2.6147,34.6883,34.6883,8.6106,8.7436,48.4411,3,3,8.7436,1.6705,65.3117,57779.2784,3067.399,-0.6049,3067.399,19.1989,5.3804,3.0577,3.4824,1876.769,1800.724,#N/A N/A,#N/A N/A,2081.83,2.0904,0.0005,178.4815,243.375,123.6264,207.095,37.077,46.373,41.48,60.9642,63.0428,0.6463,3.3449,290.1
10/31/2007,310.65,11769009,58865.7276,35.5289,1.5079,36.0776,6.4129,10.2278,10.2278,17.0857,0.2818,-18.3996,2.6147,34.6883,34.6883,8.6106,8.7436,48.4411,3,3,8.7436,1.6705,65.3117,62951.339,3067.399,-0.6049,3067.399,20.8573,5.3804,2.8146,3.2055,1876.769,1800.724,#N/A N/A,#N/A N/A,2081.83,2.0904,0.0004,182.8545,250.2275,125.602,213.7833,29.764,37.809,41.917,62.926,66.0899,0.6463,3.6338,289.7
