Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,1092.95,472124,109571.6404,33.4429,1.5737,33.4429,27.0972,11.1892,11.1892,28.0466,4.1831,-35.4502,0.7975,78.0269,78.0269,32.681,32.681,40.3345,25.5,25.5,32.681,2.5066,21.9731,103998.9204,5423.858,-0.2542,5423.858,19.4285,5.0131,2.9902,4.5181,3121.9638,3150.965,#N/A N/A,5.0942,964.157,0.273,0.0015,749.756,999.2675,626.6515,864.91,39.597,31.323,28.332,71.2389,57.7577,0.2005,3.742,1136
2/28/2007,958.35,1061316,109571.6404,29.3244,1.4926,29.3244,23.7601,11.1892,11.1892,28.0466,4.1831,-35.4502,0.7975,78.0269,78.0269,32.681,32.681,40.3345,25.5,25.5,32.681,2.5066,21.9731,91021.3728,5423.858,-0.2542,5423.858,17.0358,5.0131,3.4101,5.1526,3121.9638,3150.965,#N/A N/A,5.0942,964.157,0.273,0.0018,758.458,1011.4575,632.1525,878.5566,29.028,33.545,29.232,64.5544,49.2671,0.2005,3.2812,1095.05
3/30/2007,934.5,960734,109571.6404,28.5946,1.5237,28.5946,23.1688,11.1892,11.1892,28.0466,4.1831,-35.4502,0.7975,78.0269,78.0269,32.681,32.681,40.3345,25.5,25.5,32.681,2.5066,21.9731,88721.8583,5423.858,-0.2542,5423.858,16.6119,5.0131,3.4972,5.2841,3121.9638,3150.965,#N/A N/A,5.0942,964.157,0.273,0.0018,766.377,1019.49,637.3875,891.8866,24.744,31.37,31.131,63.4629,47.9228,0.2005,3.1995,968
4/30/2007,1007.65,329510,109571.6404,30.8329,1.5473,30.8329,24.9823,11.1892,11.1892,28.0466,4.1831,-35.4502,0.7975,78.0269,78.0269,32.681,32.681,40.3345,25.5,25.5,32.681,2.5066,21.9731,95774.6669,5423.858,-0.2542,5423.858,17.9122,5.0131,3.2433,4.9005,3121.9638,3150.965,#N/A N/A,5.0942,964.157,0.273,0.0017,775.83,1027.22,642.894,907.385,26.633,27.204,30.243,65.3233,52.2283,0.2005,3.45,930
5/31/2007,1139.25,500975,109571.6404,34.8597,1.6686,34.8597,28.2451,11.1892,11.1892,28.0466,4.1831,-35.4502,0.7975,78.0269,78.0269,32.681,32.681,40.3345,25.5,25.5,32.681,2.5066,21.9731,108462.9734,5423.858,-0.2542,5423.858,20.2516,5.0131,2.8686,4.3344,3121.9638,3150.965,#N/A N/A,5.0942,964.157,0.273,0.0015,787.92,1041.405,649.1215,926.3683,26.704,26.433,29.252,68.3248,58.8238,0.2005,3.9005,1050
6/29/2007,1159.95,2361187,109571.6404,35.4931,1.8987,35.4931,28.7583,11.1892,11.1892,28.0466,4.1831,-35.4502,0.7975,78.0269,78.0269,32.681,32.681,40.3345,25.5,25.5,32.681,2.5066,21.9731,110458.7725,5423.858,-0.2542,5423.858,20.6195,5.0131,2.8175,4.2571,3121.9638,3150.965,#N/A N/A,5.0942,964.157,0.273,0.0015,800.512,1057.1975,655.851,945.5433,18.649,25.786,26.019,68.7648,59.7648,0.2005,3.9714,1154
7/31/2007,1189.35,892872,109571.6404,36.3927,1.8289,36.3927,29.4872,11.1892,11.1892,28.0466,4.1831,-35.4502,0.7975,78.0269,78.0269,32.681,32.681,40.3345,25.5,25.5,32.681,2.5066,21.9731,113293.4001,5423.858,-0.2542,5423.858,21.1422,5.0131,2.7478,4.1519,3121.9638,3150.965,#N/A N/A,5.0942,964.157,0.273,0.0014,813.603,1068.5425,661.9845,965.8866,26.281,21.173,25.37,69.3894,61.1237,0.2005,4.0721,1175
8/31/2007,1282.9,1211977,109571.6404,39.2552,1.9998,39.2552,31.8065,11.1892,11.1892,28.0466,4.1831,-35.4502,0.7975,78.0269,78.0269,32.681,32.681,40.3345,25.5,25.5,32.681,2.5066,21.9731,122313.0891,5423.858,-0.2542,5423.858,22.8051,5.0131,2.5474,3.8491,3121.9638,3150.965,#N/A N/A,5.0942,964.157,0.273,0.0013,827.521,1085.8775,669.7235,988.6983,37.659,27.975,28.303,71.2801,65.1562,0.2005,4.3924,1201
9/28/2007,1324.2,581890,109571.6404,40.5189,1.9567,40.5189,32.8305,11.1892,11.1892,28.0466,4.1831,-35.4502,0.7975,78.0269,78.0269,32.681,32.681,40.3345,25.5,25.5,32.681,2.5066,21.9731,126295.4457,5423.858,-0.2542,5423.858,23.5393,5.0131,2.468,3.729,3121.9638,3150.965,#N/A N/A,5.0942,964.157,0.273,0.0013,842.617,1102.845,677.2955,1011.5683,28.701,30.622,26.73,72.068,66.7938,0.2005,4.5338,1242
10/31/2007,1562.75,1088074,109571.6404,47.8183,2.0295,47.8183,38.7448,11.1892,11.1892,28.0466,4.1831,-35.4502,0.7975,78.0269,78.0269,32.681,32.681,40.3345,25.5,25.5,32.681,2.5066,21.9731,149295.4886,5423.858,-0.2542,5423.858,27.7798,5.0131,2.0913,3.1598,3121.9638,3150.965,#N/A N/A,5.0942,964.157,0.273,0.0011,862.288,1128.0175,687.538,1041.4783,54.478,42.967,37.386,76.0018,74.3055,0.2005,5.3505,1290.1
11/30/2007,1320.55,1350722,109571.6404,40.4072,1.7277,40.4072,32.74,11.1892,11.1892,28.0466,4.1831,-35.4502,0.7975,78.0269,78.0269,32.681,32.681,40.3345,25.5,25.5,32.681,2.5066,21.9731,125943.5393,5423.858,-0.2542,5423.858,23.4744,5.0131,2.4748,3.7394,3121.9638,3150.965,#N/A N/A,5.0942,964.157,0.273,0.0013,876.97,1136.2725,694.9025,1062.16,45.661,46.48,42.275,66.2082,59.5711,0.2005,4.5213,1580
12/31/2007,1499.9,1020802,144613.9324,34.9468,1.5834,34.9468,34.5616,11.8085,11.8085,31.8201,0.6862,-30.8994,0.7645,76.888,76.888,42.9196,42.9196,43.3979,33,33,42.9196,2.6947,23.112,143321.4519,6323.485,-0.2045,6323.485,22.8693,4.4121,2.8615,3.8477,3638.8877,4138.122,#N/A N/A,5.2065,964.157,0.1938,0.0002,895.653,1147.6675,703.4415,1088.3383,49.951,50.483,45.668,69.2442,65.0913,0.138,4.1267,1348
1/31/2008,1404.85,819323,144613.9324,32.7321,1.7064,32.7321,32.3714,11.8085,11.8085,31.8201,0.6862,-30.8994,0.7645,76.888,76.888,42.9196,42.9196,43.3979,33,33,42.9196,2.6947,23.112,134157.1111,6323.485,-0.2045,6323.485,21.4201,4.4121,3.0551,4.108,3638.8877,4138.122,#N/A N/A,5.2065,964.157,0.1938,0.0002,911.749,1164.1475,711.16,1109.3716,46.689,46.365,48.346,65.9936,60.3855,0.138,3.8652,1510
