Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,142.05,66236178,1105716.776,19.5999,0.9223,19.5999,2.6028,22.0568,22.0568,8.5008,49.9853,29.9967,2.1231,38.7958,38.7958,7.2475,7.2475,54.5762,2.8,2.8,7.2475,0.3854,61.2042,1306255.281,77282,1.7467,77282,15.1558,6.2289,5.1021,4.83,54649.7171,59759,#N/A N/A,0.056,82455,1.2888,0.192,#N/A N/A,118.1,#N/A N/A,#N/A N/A,25.486,36.016,31.318,#N/A N/A,67.1818,1.1631,4.3231,137.8
2/28/2007,139.9,81449619,1105716.776,19.3032,0.9825,19.3032,2.5634,22.0568,22.0568,8.5008,49.9853,29.9967,2.1231,38.7958,38.7958,7.2475,7.2475,54.5762,2.8,2.8,7.2475,0.3854,61.2042,1288527.532,77282,1.7467,77282,14.9264,6.2289,5.1805,4.9042,54649.7171,59759,#N/A N/A,0.056,82455,1.2888,0.195,#N/A N/A,120.945,#N/A N/A,#N/A N/A,18.141,29.933,30.852,#N/A N/A,65.7969,1.1631,4.2577,143
3/30/2007,150.25,76470546,1238881.026,17.951,0.9565,17.951,2.5433,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,34.9774,8.37,8.37,59.0779,3.2,3.2,8.37,0.4002,65.0226,1243368.093,101827,0.0394,101827,12.1665,8.1896,5.5707,6.5244,63511.9174,75666,#N/A N/A,0.0483,82455,2.7761,0.2183,#N/A N/A,123.7675,#N/A N/A,#N/A N/A,30.998,24.875,31.202,#N/A N/A,69.0993,2.866,3.6611,139.9
4/30/2007,159.8,101705897,1238881.026,19.092,0.9581,19.092,2.7049,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,34.9774,8.37,8.37,59.0779,3.2,3.2,8.37,0.4002,65.0226,1322112.282,101827,0.0394,101827,12.9398,8.1896,5.2378,6.1344,63511.9174,75666,#N/A N/A,0.0483,82455,2.7761,0.2052,#N/A N/A,126.655,#N/A N/A,113.63,29.732,26.412,26.753,#N/A N/A,71.8045,2.866,3.8938,148.45
5/31/2007,158.5,66955125,1238881.026,18.9367,0.9064,18.9367,2.6829,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,34.9774,8.37,8.37,59.0779,3.2,3.2,8.37,0.4002,65.0226,1311393.178,101827,0.0394,101827,12.8346,8.1896,5.2808,6.1848,63511.9174,75666,#N/A N/A,0.0483,82455,2.7761,0.2069,#N/A N/A,129.2825,#N/A N/A,116.275,25.063,27.397,25.992,69.793,70.8947,2.866,3.8621,160.8
6/29/2007,152.8,60811604,1238881.026,18.2557,0.9766,18.2557,2.5864,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,34.9774,8.37,8.37,59.0779,3.2,3.2,8.37,0.4002,65.0226,1264394.028,101827,0.0394,101827,12.373,8.1896,5.4777,6.4155,63511.9174,75666,#N/A N/A,0.0483,82455,2.7761,0.2146,#N/A N/A,132.065,#N/A N/A,118.4567,18.503,20.459,25.194,67.7986,66.8924,2.866,3.7232,161.4
7/31/2007,165.8,97308785,1238881.026,19.8088,0.9955,19.8088,2.8065,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,34.9774,8.37,8.37,59.0779,3.2,3.2,8.37,0.4002,65.0226,1371585.071,101827,0.0394,101827,13.4257,8.1896,5.0483,5.9125,63511.9174,75666,#N/A N/A,0.0483,82455,2.7761,0.1978,#N/A N/A,135.1425,#N/A N/A,121.1,28.065,24.069,25.217,69.8325,70.924,2.866,4.04,152.8
8/31/2007,173.35,109273616,1238881.026,20.7109,1.0551,20.7109,2.9343,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,34.9774,8.37,8.37,59.0779,3.2,3.2,8.37,0.4002,65.0226,1433838.331,101827,0.0394,101827,14.0371,8.1896,4.8284,5.6549,63511.9174,75666,#N/A N/A,0.0483,82455,2.7761,0.1892,#N/A N/A,138.21,#N/A N/A,123.7783,35.604,28.695,26.615,70.9354,72.9818,2.866,4.224,164.2
9/28/2007,193.95,199402528,1238881.026,23.172,1.119,23.172,3.283,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,34.9774,8.37,8.37,59.0779,3.2,3.2,8.37,0.4002,65.0226,1603694.906,101827,0.0394,101827,15.7051,8.1896,4.3155,5.0543,63511.9174,75666,#N/A N/A,0.0483,82455,2.7761,0.1691,#N/A N/A,142.1825,#N/A N/A,127.4,33.488,34.996,30.686,73.6541,77.6331,2.866,4.7259,174
10/31/2007,238.9,344308076,1238881.026,28.5424,1.2114,28.5424,4.0438,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,34.9774,8.37,8.37,59.0779,3.2,3.2,8.37,0.4002,65.0226,1974328.551,101827,0.0394,101827,19.345,8.1896,3.5036,4.1033,63511.9174,75666,#N/A N/A,0.0483,82455,2.7761,0.1373,#N/A N/A,147.57,#N/A N/A,132.625,64.429,49.884,43.714,78.2472,84.0754,2.866,5.8212,195.25
