Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,151.9,211655232,1869898.54,12.6607,0.5958,12.6607,3.434,21.7832,21.7832,17.906,3.8861,-4.0667,2.1211,41.6733,41.6733,11.9978,11.9978,44.2346,5,5,11.9978,0.822,58.3267,1933217.96,288069.29,-0.0812,288069.29,6.7671,15.5398,7.8985,11.3016,142319.2206,153976.23,#N/A N/A,3.643,14259.3,0.6249,0.0115,95.2366,128.3928,58.0583,115.8719,26.604,25.21,25.493,66.6752,66.2025,0.3175,2.7578,146.67
2/28/2007,131.34,154883778,1869898.54,10.9472,0.5572,10.9472,2.9692,21.7832,21.7832,17.906,3.8861,-4.0667,2.1211,41.6733,41.6733,11.9978,11.9978,44.2346,5,5,11.9978,0.822,58.3267,1669388.15,288069.29,-0.0812,288069.29,5.8512,15.5398,9.1348,13.0706,142319.2206,153976.23,#N/A N/A,3.643,14259.3,0.6249,0.0133,97.0861,129.2518,59.1756,117.6058,26.502,27.696,27.513,60.7195,55.5695,0.3175,2.3846,152
3/30/2007,146.8,176417502,1883918.924,10.7928,0.5751,10.7928,2.8239,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,37.3138,13.8467,13.8467,51.985,5.1667,5.1667,13.6017,0.8076,62.6862,1757590.83,334256.42,-0.4028,334256.42,5.6361,19.0179,9.2654,13.5682,165505.4019,177695.97,#N/A N/A,3.558,21388.87,1.0666,0.0085,99.1984,131.3779,60.4378,119.7268,34.267,29.715,28.309,63.2714,60.6831,0.8082,2.2902,131.34
4/30/2007,152.31,154761762,1883918.924,11.1978,0.5619,11.1978,2.9299,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,37.3138,13.8467,13.8467,51.985,5.1667,5.1667,13.6017,0.8076,62.6862,1828280.535,334256.42,-0.4028,334256.42,5.8476,19.0179,8.9303,13.0775,165505.4019,177695.97,#N/A N/A,3.558,21388.87,1.0666,0.0082,101.4091,133.5386,61.7372,121.8846,32.69,34.638,31.982,64.1304,62.3461,0.8082,2.3761,145.83
5/31/2007,153.72,154940922,1883918.924,11.3013,0.5409,11.3013,2.9569,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,37.3138,13.8467,13.8467,51.985,5.1667,5.1667,13.6017,0.8076,62.6862,1846354,334256.42,-0.4028,334256.42,5.9017,19.0179,8.8485,12.9577,165505.4019,177695.97,#N/A N/A,3.558,21388.87,1.0666,0.0081,103.6928,135.33,63.1037,123.9937,22.187,31.837,30.691,64.351,62.7795,0.8082,2.3981,153.98
6/29/2007,150.92,143240862,1883918.924,11.0961,0.5936,11.0961,2.9032,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,37.3138,13.8467,13.8467,51.985,5.1667,5.1667,13.6017,0.8076,62.6862,1810528.785,334256.42,-0.4028,334256.42,5.7945,19.0179,9.0122,13.1973,165505.4019,177695.97,#N/A N/A,3.558,21388.87,1.0666,0.0083,105.9234,137.7149,64.4624,125.9892,26.879,26.921,31.083,63.5498,61.2737,0.8082,2.3545,153.67
7/31/2007,152.42,149220186,1883918.924,11.2063,0.5632,11.2063,2.9321,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,37.3138,13.8467,13.8467,51.985,5.1667,5.1667,13.6017,0.8076,62.6862,1829778.639,334256.42,-0.4028,334256.42,5.8521,19.0179,8.9235,13.0675,165505.4019,177695.97,#N/A N/A,3.558,21388.87,1.0666,0.0082,107.9081,139.6158,65.8552,128.0381,28.253,25.65,28.566,63.8003,61.8039,0.8082,2.3779,151
8/31/2007,143.28,152406666,1883918.924,10.5342,0.5366,10.5342,2.7562,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,37.3138,13.8467,13.8467,51.985,5.1667,5.1667,13.6017,0.8076,62.6862,1712461.479,334256.42,-0.4028,334256.42,5.5011,19.0179,9.4928,13.9012,165505.4019,177695.97,#N/A N/A,3.558,21388.87,1.0666,0.0087,109.7009,140.2564,67.1665,129.6561,43.452,32.809,30.141,61.1507,56.7088,0.8082,2.2353,152.33
9/28/2007,159.68,175300386,1883918.924,11.74,0.5669,11.74,3.0717,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,37.3138,13.8467,13.8467,51.985,5.1667,5.1667,13.6017,0.8076,62.6862,1922927.006,334256.42,-0.4028,334256.42,6.1308,19.0179,8.5179,12.4735,165505.4019,177695.97,#N/A N/A,3.558,21388.87,1.0666,0.0078,111.8843,141.3667,68.5967,131.7,30.187,35.1,31.543,63.9307,62.6565,0.8082,2.4911,143.33
10/31/2007,207.73,333883392,1883918.924,15.272,0.6482,15.272,3.9959,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,37.3138,13.8467,13.8467,51.985,5.1667,5.1667,13.6017,0.8076,62.6862,2539457.162,334256.42,-0.4028,334256.42,7.9753,19.0179,6.5479,9.5887,165505.4019,177695.97,#N/A N/A,3.558,21388.87,1.0666,0.006,114.6739,145.4396,70.5039,135.6197,59.081,47.115,41.882,70.3584,73.948,0.8082,3.2406,160.33
