Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,59.75,1919988,26173.2575,24.733,1.1639,#N/A N/A,7.2979,13.2988,13.2988,20.1032,7.7643,3.8787,1.8587,25.8714,25.8714,2.4158,2.4158,8.1873,0.625,0.625,2.4158,1.5117,74.1286,30337.3163,1577.2,0.102,1577.2,19.1236,5.9859,4.0432,4.3002,973.1439,1219.494,#N/A N/A,#N/A N/A,252.4,0.7506,0.0107,27.7363,46.0948,19.7547,36.9895,19.877,52.82,47.458,73.9163,69.1908,0.0934,3.2892,62.15
2/28/2007,55.85,7314566,26173.2575,23.1187,1.1767,#N/A N/A,6.8215,13.2988,13.2988,20.1032,7.7643,3.8787,1.8587,25.8714,25.8714,2.4158,2.4158,8.1873,0.625,0.625,2.4158,1.5117,74.1286,28368.5963,1577.2,0.102,1577.2,17.8754,5.9859,4.3255,4.6005,973.1439,1219.494,#N/A N/A,#N/A N/A,252.4,0.7506,0.0114,28.6239,47.6106,20.2564,38.3507,36.581,30.697,47.558,70.9412,64.5018,0.0934,3.0745,60.3
3/30/2007,56.55,4991052,28545.7611,25.5456,1.3612,#N/A N/A,5.9397,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,33.8801,2.2137,2.2137,9.5206,0.75,0.75,2.2137,1.6445,66.1199,29345.3293,1815.62,0.4316,1815.62,15.7227,6.1872,3.9146,5.2035,1138.8246,1117.47,#N/A N/A,#N/A N/A,252.4,0.6529,0.0405,29.5149,49.0982,20.7617,39.704,33.201,29.984,48.151,71.1567,64.9608,0.1246,2.2871,55.03
4/30/2007,57.33,1774774,28545.7611,25.8957,1.2995,#N/A N/A,6.0211,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,33.8801,2.2137,2.2137,9.5206,0.75,0.75,2.2137,1.6445,66.1199,29736.5493,1815.62,0.4316,1815.62,15.9382,6.1872,3.8616,5.1331,1138.8246,1117.47,#N/A N/A,#N/A N/A,252.4,0.6529,0.04,30.4365,50.2688,21.2714,41.1251,22.211,30.673,27.26,71.3997,65.4928,0.1246,2.3184,56.08
5/31/2007,61.63,3341490,28545.7611,27.8382,1.3325,#N/A N/A,6.4728,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,33.8801,2.2137,2.2137,9.5206,0.75,0.75,2.2137,1.6445,66.1199,31907.1892,1815.62,0.4316,1815.62,17.1337,6.1872,3.5922,4.7749,1138.8246,1117.47,#N/A N/A,#N/A N/A,252.4,0.6529,0.0372,31.451,51.2613,21.8142,42.6191,27.102,27.151,28.062,72.7189,68.3629,0.1246,2.4923,57.75
6/29/2007,61.13,1576308,28545.7611,27.6123,1.4771,#N/A N/A,6.4203,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,33.8801,2.2137,2.2137,9.5206,0.75,0.75,2.2137,1.6445,66.1199,31654.7892,1815.62,0.4316,1815.62,16.9947,6.1872,3.6216,4.814,1138.8246,1117.47,#N/A N/A,#N/A N/A,252.4,0.6529,0.0375,32.4518,52.4963,22.3419,44.0286,17.556,22.295,24.399,72.3176,67.6582,0.1246,2.4721,61.65
7/31/2007,69.75,7933544,28545.7611,31.5085,1.5835,#N/A N/A,7.3262,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,33.8801,2.2137,2.2137,9.5206,0.75,0.75,2.2137,1.6445,66.1199,36008.6891,1815.62,0.4316,1815.62,19.3927,6.1872,3.1737,4.2187,1138.8246,1117.47,#N/A N/A,#N/A N/A,252.4,0.6529,0.0328,33.5962,54.105,22.9285,45.6697,54.942,36.163,31.516,74.7989,72.8559,0.1246,2.8209,62
8/31/2007,74.55,3976620,28545.7611,33.6768,1.7156,#N/A N/A,7.8304,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,33.8801,2.2137,2.2137,9.5206,0.75,0.75,2.2137,1.6445,66.1199,38431.7291,1815.62,0.4316,1815.62,20.7273,6.1872,2.9694,3.9471,1138.8246,1117.47,#N/A N/A,#N/A N/A,252.4,0.6529,0.0307,34.8213,55.7963,23.5651,47.4486,42.071,41.178,36.221,76.0356,75.2408,0.1246,3.015,69.98
9/28/2007,80.33,3404486,28545.7611,36.2856,1.7522,#N/A N/A,8.4369,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,33.8801,2.2137,2.2137,9.5206,0.75,0.75,2.2137,1.6445,66.1199,41346.949,1815.62,0.4316,1815.62,22.3329,6.1872,2.7559,3.6633,1138.8246,1117.47,#N/A N/A,#N/A N/A,252.4,0.6529,0.0285,36.1588,57.655,24.2572,49.4348,32.532,43.636,37.364,77.415,77.7712,0.1246,3.2486,73.5
10/31/2007,103.43,5210112,28545.7611,46.7207,1.9829,#N/A N/A,10.8633,8.9529,8.9529,14.7231,23.9865,16.2549,1.5736,33.8801,33.8801,2.2137,2.2137,9.5206,0.75,0.75,2.2137,1.6445,66.1199,53007.8287,1815.62,0.4316,1815.62,28.7554,6.1872,2.1404,2.8451,1138.8246,1117.47,#N/A N/A,#N/A N/A,252.4,0.6529,0.0221,37.9363,60.5,25.179,52.199,54.987,43.941,44.79,81.7595,84.566,0.1246,4.1828,81.25
