Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,73.16,41516346,11961.8479,23.5741,1.1093,23.5741,6.8652,1.2596,1.2596,4.9091,568.9558,56.5266,3.4639,11.1059,11.1059,3.1033,3.1033,10.6563,0.3333,0.3333,3.1033,3.8973,88.8941,17556.3128,-872.3444,#N/A N/A,-872.3444,#N/A N/A,#N/A N/A,4.2419,-5.6504,-840.3636,665.4723,#N/A N/A,#N/A N/A,73.907,3.0254,0.8287,18.1032,35.3952,#N/A N/A,27.7618,57.293,60.073,58.933,72.4602,71.8285,2.3072,0.2969,58.53
2/28/2007,61.46,48717162,11961.8479,19.804,1.008,19.804,5.7673,1.2596,1.2596,4.9091,568.9558,56.5266,3.4639,11.1059,11.1059,3.1033,3.1033,10.6563,0.3333,0.3333,3.1033,3.8973,88.8941,14962.1772,-872.3444,#N/A N/A,-872.3444,#N/A N/A,#N/A N/A,5.0495,-6.726,-840.3636,665.4723,#N/A N/A,#N/A N/A,73.907,3.0254,0.9865,19.2807,37.306,#N/A N/A,29.6415,62.883,65.63,61.826,67.075,64.9079,2.3072,0.2494,73.33
3/30/2007,62.63,27964500,13885.2776,13.7085,0.7305,17.9785,4.4926,1.5349,1.5349,2.2892,1075.2849,-789.8434,1.1573,7.297,7.297,3.4833,4.5683,13.9396,0.3333,0.3333,4.5683,1.4915,92.703,-10526.3821,471.6186,-51.7614,471.6186,29.4418,#N/A N/A,7.2947,3.2915,450.7544,1012.8361,#N/A N/A,#N/A N/A,73.907,1.1149,2.3935,20.4616,39.0688,#N/A N/A,31.5616,61.574,60.433,63.538,67.3255,65.2673,0.9648,0.2104,61.98
4/30/2007,67.45,18764430,13885.2776,14.7647,0.7409,19.3636,4.8387,1.5349,1.5349,2.2892,1075.2849,-789.8434,1.1573,7.297,7.297,3.4833,4.5683,13.9396,0.3333,0.3333,4.5683,1.4915,92.703,-9456.5783,471.6186,-51.7614,471.6186,31.7101,#N/A N/A,6.7729,3.0561,450.7544,1012.8361,#N/A N/A,#N/A N/A,73.907,1.1149,2.2222,21.7567,41.1846,#N/A N/A,33.5896,37.711,54.753,55.301,68.3555,66.7823,0.9648,0.2266,61.36
5/31/2007,83.72,32289720,13885.2776,18.3254,0.8771,24.0335,6.0057,1.5349,1.5349,2.2892,1075.2849,-789.8434,1.1573,7.297,7.297,3.4833,4.5683,13.9396,0.3333,0.3333,4.5683,1.4915,92.703,-5849.9168,471.6186,-51.7614,471.6186,39.3575,#N/A N/A,5.4569,2.4622,450.7544,1012.8361,#N/A N/A,#N/A N/A,73.907,1.1149,1.7904,23.3893,44.0721,#N/A N/A,36.0977,46.988,44.374,53.26,71.4899,71.3238,0.9648,0.2813,68.18
6/29/2007,88.87,60981156,13885.2776,19.4528,1.0406,25.512,6.3751,1.5349,1.5349,2.2892,1075.2849,-789.8434,1.1573,7.297,7.297,3.4833,4.5683,13.9396,0.3333,0.3333,4.5683,1.4915,92.703,-4708.0537,471.6186,-51.7614,471.6186,41.7787,#N/A N/A,5.1407,2.3195,450.7544,1012.8361,#N/A N/A,#N/A N/A,73.907,1.1149,1.6867,25.1258,47.3017,#N/A N/A,38.7487,50.77,44.739,51.809,72.3858,72.601,0.9648,0.2986,83.72
7/31/2007,94.56,32420478,13885.2776,20.6987,1.0402,27.1459,6.7834,1.5349,1.5349,2.2892,1075.2849,-789.8434,1.1573,7.297,7.297,3.4833,4.5683,13.9396,0.3333,0.3333,4.5683,1.4915,92.703,-3446.0917,471.6186,-51.7614,471.6186,44.4545,#N/A N/A,4.8312,2.1799,450.7544,1012.8361,#N/A N/A,#N/A N/A,73.907,1.1149,1.5852,26.97,50.9513,#N/A N/A,41.5222,21.626,40.431,39.715,73.3434,73.9802,0.9648,0.3177,88.17
8/31/2007,97.02,18216390,13885.2776,21.2386,1.082,27.8541,6.9604,1.5349,1.5349,2.2892,1075.2849,-789.8434,1.1573,7.297,7.297,3.4833,4.5683,13.9396,0.3333,0.3333,4.5683,1.4915,92.703,-2899.1799,471.6186,-51.7614,471.6186,45.6141,#N/A N/A,4.7084,2.1245,450.7544,1012.8361,#N/A N/A,#N/A N/A,73.907,1.1149,1.5449,28.8579,54.485,#N/A N/A,44.2697,44.868,37.645,42.007,73.7515,74.5775,0.9648,0.326,93.83
9/28/2007,155.01,90760428,13885.2776,33.931,1.6385,44.5,11.12,1.5349,1.5349,2.2892,1075.2849,-789.8434,1.1573,7.297,7.297,3.4833,4.5683,13.9396,0.3333,0.3333,4.5683,1.4915,92.703,9957.4071,471.6186,-51.7614,471.6186,72.8737,#N/A N/A,2.9472,1.3298,450.7544,1012.8361,#N/A N/A,#N/A N/A,73.907,1.1149,0.967,31.8897,60.6033,#N/A N/A,48.7513,44.718,42.934,42.886,80.8723,83.9212,0.9648,0.5208,96.65
10/31/2007,146.73,55906698,13885.2776,32.1178,1.3632,42.122,10.5258,1.5349,1.5349,2.2892,1075.2849,-789.8434,1.1573,7.297,7.297,3.4833,4.5683,13.9396,0.3333,0.3333,4.5683,1.4915,92.703,8120.7933,471.6186,-51.7614,471.6186,68.9795,#N/A N/A,3.1135,1.4049,450.7544,1012.8361,#N/A N/A,#N/A N/A,73.907,1.1149,1.0216,34.7475,66.3525,#N/A N/A,52.9743,32.067,44.449,39.766,77.755,79.4299,0.9648,0.493,155.82
11/30/2007,143.78,53799348,13885.2776,31.4739,1.3457,41.2775,10.3148,1.5349,1.5349,2.2892,1075.2849,-789.8434,1.1573,7.297,7.297,3.4833,4.5683,13.9396,0.3333,0.3333,4.5683,1.4915,92.703,7468.5553,471.6186,-51.7614,471.6186,67.5965,#N/A N/A,3.1772,1.4336,450.7544,1012.8361,#N/A N/A,#N/A N/A,73.907,1.1149,1.0425,37.5631,70.8442,#N/A N/A,56.9707,16.266,37.636,39.673,76.6693,77.8368,0.9648,0.4831,150
12/31/2007,150.93,58036938,13885.2776,33.039,1.4969,43.3301,10.8277,1.5349,1.5349,2.2892,1075.2849,-789.8434,1.1573,7.297,7.297,3.4833,4.5683,13.9396,0.3333,0.3333,4.5683,1.4915,92.703,9053.8818,471.6186,-51.7614,471.6186,70.958,#N/A N/A,3.0267,1.3657,450.7544,1012.8361,#N/A N/A,#N/A N/A,73.907,1.1149,0.9931,40.5124,75.7012,#N/A N/A,61.2271,34.515,27.76,36.324,77.4606,78.9423,0.9648,0.5071,146.62
