Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,52.07,825260,6308.8538,12.8568,0.605,12.8568,2.0305,11.5472,11.5472,7.9666,101.022,93.7972,0.9104,18.5785,18.5785,4.0502,4.0502,25.6447,0.75,0.75,4.0502,0.6899,81.4215,6597.4076,734.0784,2.8397,734.0784,6.1475,8.7458,7.778,12.0343,366.4467,351.0031,#N/A N/A,#N/A N/A,43.3315,0.282,0.4975,36.3517,63.8103,#N/A N/A,52.7702,41.699,36.2,32.743,62.4471,45.7704,0.1076,1.4846,57.91
2/28/2007,42.15,629940,6308.8538,10.4069,0.5297,10.4069,1.6436,11.5472,11.5472,7.9666,101.022,93.7972,0.9104,18.5785,18.5785,4.0502,4.0502,25.6447,0.75,0.75,4.0502,0.6899,81.4215,5737.4841,734.0784,2.8397,734.0784,4.9761,8.7458,9.609,14.8673,366.4467,351.0031,#N/A N/A,#N/A N/A,43.3315,0.282,0.6146,37.0622,63.8128,#N/A N/A,53.4985,46.953,42.17,38.214,58.2284,41.0292,0.1076,1.2017,51.25
3/30/2007,38.93,3416460,3373.5761,12.106,0.6451,12.106,1.3907,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,23.3242,3.2155,3.2155,27.9908,0.75,0.75,3.2155,0.7095,76.6758,5451.7852,935.4151,2.2217,935.4151,3.6065,17.1581,8.2603,18.9792,436.0097,278.6688,#N/A N/A,#N/A N/A,43.3315,0.2961,0.6685,37.6652,63.413,#N/A N/A,53.9678,68.694,52.763,47.417,56.9362,39.5947,0.1096,0.8905,40.65
4/30/2007,35.66,787600,3373.5761,11.0883,0.5564,11.0883,1.2738,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,23.3242,3.2155,3.2155,27.9908,0.75,0.75,3.2155,0.7095,76.6758,5168.1772,935.4151,2.2217,935.4151,3.3033,17.1581,9.0185,20.7212,436.0097,278.6688,#N/A N/A,#N/A N/A,43.3315,0.2961,0.7298,38.2082,62.4739,#N/A N/A,54.323,47.712,54.344,49.073,55.639,38.1365,0.1096,0.8156,35.5
5/31/2007,36.5,658980,3373.5761,11.3511,0.5433,11.3511,1.304,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,23.3242,3.2155,3.2155,27.9908,0.75,0.75,3.2155,0.7095,76.6758,5241.4083,935.4151,2.2217,935.4151,3.3816,17.1581,8.8097,20.2415,436.0097,278.6688,#N/A N/A,#N/A N/A,43.3315,0.2961,0.7129,38.8021,61.5364,#N/A N/A,54.7145,31.717,45.24,48.624,55.9074,38.7636,0.1096,0.835,35
6/29/2007,44.26,1006880,3373.5761,13.7652,0.7364,13.7652,1.5813,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,23.3242,3.2155,3.2155,27.9908,0.75,0.75,3.2155,0.7095,76.6758,5914.1376,935.4151,2.2217,935.4151,4.1008,17.1581,7.2647,16.6916,436.0097,278.6688,#N/A N/A,#N/A N/A,43.3315,0.2961,0.5879,39.5533,60.9244,#N/A N/A,54.995,54.742,44.172,50.716,58.3042,44.3451,0.1096,1.0125,36.5
7/31/2007,49.28,1272260,3373.5761,15.324,0.7701,15.324,1.7604,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,23.3242,3.2155,3.2155,27.9908,0.75,0.75,3.2155,0.7095,76.6758,6348.5409,935.4151,2.2217,935.4151,4.5652,17.1581,6.5257,14.9937,436.0097,278.6688,#N/A N/A,#N/A N/A,43.3315,0.2961,0.5281,40.3888,60.3934,#N/A N/A,55.475,32.366,40.83,41.947,59.7652,47.6624,0.1096,1.1272,40.75
8/31/2007,44.94,769700,3373.5761,13.9766,0.712,13.9766,1.6056,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,23.3242,3.2155,3.2155,27.9908,0.75,0.75,3.2155,0.7095,76.6758,5973.0691,935.4151,2.2217,935.4151,4.1638,17.1581,7.1548,16.4391,436.0097,278.6688,#N/A N/A,#N/A N/A,43.3315,0.2961,0.579,41.1077,59.3905,#N/A N/A,55.8719,36.393,42.125,39.275,57.9496,45.157,0.1096,1.0281,49.28
9/28/2007,47.7,695180,3373.5761,14.8342,0.7163,14.8342,1.7041,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,23.3242,3.2155,3.2155,27.9908,0.75,0.75,3.2155,0.7095,76.6758,6211.8545,935.4151,2.2217,935.4151,4.4192,17.1581,6.7412,15.4887,436.0097,278.6688,#N/A N/A,#N/A N/A,43.3315,0.2961,0.5456,41.8467,58.2655,#N/A N/A,56.3119,57.047,43.989,44.915,58.7742,47.0643,0.1096,1.0912,44.94
10/31/2007,54.51,2246620,3373.5761,16.9528,0.7195,16.9528,1.9475,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,23.3242,3.2155,3.2155,27.9908,0.75,0.75,3.2155,0.7095,76.6758,6802.2258,935.4151,2.2217,935.4151,5.0504,17.1581,5.8987,13.5531,436.0097,278.6688,#N/A N/A,#N/A N/A,43.3315,0.2961,0.4774,42.7219,57.4661,#N/A N/A,56.9623,50.191,49.055,46.723,60.7417,51.5475,0.1096,1.247,48
11/30/2007,53.36,2369260,3373.5761,16.5936,0.7095,16.5936,1.9063,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,23.3242,3.2155,3.2155,27.9908,0.75,0.75,3.2155,0.7095,76.6758,6702.1335,935.4151,2.2217,935.4151,4.9434,17.1581,6.0264,13.8465,436.0097,278.6688,#N/A N/A,#N/A N/A,43.3315,0.2961,0.4877,43.5851,56.4941,#N/A N/A,57.4496,61.111,57.259,51.114,60.2375,50.7625,0.1096,1.2206,57.5
12/31/2007,67.17,2981980,3373.5761,20.8884,0.9464,20.8884,2.3996,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,23.3242,3.2155,3.2155,27.9908,0.75,0.75,3.2155,0.7095,76.6758,7898.9081,935.4151,2.2217,935.4151,6.2228,17.1581,4.7873,10.9996,436.0097,278.6688,#N/A N/A,#N/A N/A,43.3315,0.2961,0.3874,44.7034,55.3525,#N/A N/A,58.2852,74.542,63.528,59.207,63.9398,58.8342,0.1096,1.5365,53.25
1/31/2008,52.51,2772180,3373.5761,16.3285,0.8512,16.3285,1.8758,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,23.3242,3.2155,3.2155,27.9908,0.75,0.75,3.2155,0.7095,76.6758,6628.2558,935.4151,2.2217,935.4151,4.8644,17.1581,6.1243,14.0713,436.0097,278.6688,#N/A N/A,#N/A N/A,43.3315,0.2961,0.4956,45.4575,53.7208,#N/A N/A,58.4713,110.645,82.49,75.532,58.0075,49.547,0.1096,1.2011,67.5
