Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,513.5,14801497,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,500.787,547.415,350.127,553.0033,22.307,28.647,29.046,46.6686,39.7989,#N/A N/A,#N/A N/A,520.05
2/28/2007,479.65,18386265,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,505.935,539.7825,353.4275,547.2217,33.728,30.534,31.489,45.158,36.1664,#N/A N/A,#N/A N/A,519.4
3/30/2007,494.2,14167175,112939.6782,12.7577,0.6798,13.3102,1.1846,17.6834,17.6834,#N/A N/A,69.542,38.2415,2.6442,14.5144,14.5144,37.1293,38.7374,417.2042,5.3,5.3,38.7374,#N/A N/A,85.4856,149400.7215,5144.6,7.0872,5144.6,20.6936,3.4435,7.8384,1.9843,2296.2452,8344.8,#N/A N/A,#N/A N/A,2285.7,1.0218,0.5871,511.386,534.1375,356.9175,542.6117,28.769,27.986,29.983,45.9361,38.754,0.7268,2.256,488
4/30/2007,509.75,12516613,112939.6782,13.1591,0.6604,13.729,1.2218,17.6834,17.6834,#N/A N/A,69.542,38.2415,2.6442,14.5144,14.5144,37.1293,38.7374,417.2042,5.3,5.3,38.7374,#N/A N/A,85.4856,152954.3691,5144.6,7.0872,5144.6,21.3448,3.4435,7.5993,1.9238,2296.2452,8344.8,#N/A N/A,#N/A N/A,2285.7,1.0218,0.5692,517,531.12,360.601,538.715,21.006,28.66,26.455,46.7711,41.4841,0.7268,2.327,484
5/31/2007,538.15,39948659,112939.6782,13.8923,0.665,14.4939,1.2899,17.6834,17.6834,#N/A N/A,69.542,38.2415,2.6442,14.5144,14.5144,37.1293,38.7374,417.2042,5.3,5.3,38.7374,#N/A N/A,85.4856,159444.6323,5144.6,7.0872,5144.6,22.534,3.4435,7.1982,1.8222,2296.2452,8344.8,#N/A N/A,#N/A N/A,2285.7,1.0218,0.5391,523.455,528.995,364.4625,537.965,39.579,30.757,30.417,48.2802,46.2009,0.7268,2.4566,510
6/29/2007,613.55,22386593,112939.6782,15.8387,0.8473,16.5247,1.4706,17.6834,17.6834,#N/A N/A,69.542,38.2415,2.6442,14.5144,14.5144,37.1293,38.7374,417.2042,5.3,5.3,38.7374,#N/A N/A,85.4856,176675.8242,5144.6,7.0872,5144.6,25.6912,3.4435,6.3136,1.5983,2296.2452,8344.8,#N/A N/A,#N/A N/A,2285.7,1.0218,0.4729,531.268,533.885,368.978,540.9367,35.899,32.041,31.751,52.0166,56.2775,0.7268,2.8008,545.1
7/31/2007,793.8,92974529,112939.6782,20.4918,1.0298,21.3793,1.9027,17.6834,17.6834,#N/A N/A,69.542,38.2415,2.6442,14.5144,14.5144,37.1293,38.7374,417.2042,5.3,5.3,38.7374,#N/A N/A,85.4856,217868.428,5144.6,7.0872,5144.6,33.2388,3.4435,4.88,1.2354,2296.2452,8344.8,#N/A N/A,#N/A N/A,2285.7,1.0218,0.3655,542.773,544.1975,375.466,548.965,50.152,41.352,36.68,59.2898,70.5016,0.7268,3.6237,615
8/31/2007,779.4,74176360,112939.6782,20.1201,1.025,20.9915,1.8682,17.6834,17.6834,#N/A N/A,69.542,38.2415,2.6442,14.5144,14.5144,37.1293,38.7374,417.2042,5.3,5.3,38.7374,#N/A N/A,85.4856,214577.5903,5144.6,7.0872,5144.6,32.6358,3.4435,4.9702,1.2582,2296.2452,8344.8,#N/A N/A,#N/A N/A,2285.7,1.0218,0.3723,552.774,552.92,381.935,556.1267,45.841,46.148,42.613,58.5562,68.582,0.7268,3.5579,793
9/28/2007,1205.5,104147253,112939.6782,31.1198,1.5028,32.4676,2.8895,17.6834,17.6834,#N/A N/A,69.542,38.2415,2.6442,14.5144,14.5144,37.1293,38.7374,417.2042,5.3,5.3,38.7374,#N/A N/A,85.4856,311953.9135,5144.6,7.0872,5144.6,50.4779,3.4435,3.2134,0.8135,2296.2452,8344.8,#N/A N/A,#N/A N/A,2285.7,1.0218,0.2407,571.302,581.395,392.451,578.6467,58.693,54.289,48.845,69.9402,83.1777,0.7268,5.503,782
10/31/2007,1865.8,230095079,112939.6782,48.1654,2.0443,50.2514,4.4722,17.6834,17.6834,#N/A N/A,69.542,38.2415,2.6442,14.5144,14.5144,37.1293,38.7374,417.2042,5.3,5.3,38.7374,#N/A N/A,85.4856,462852.2717,5144.6,7.0872,5144.6,78.1267,3.4435,2.0762,0.5256,2296.2452,8344.8,#N/A N/A,#N/A N/A,2285.7,1.0218,0.1555,601.958,643.6725,409.6175,624.8217,119.533,83.064,73.835,79.1301,90.5241,0.7268,8.5173,1248.9
