Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,191,17714166,21409.7575,12.0045,0.5649,12.0045,2.1976,7.4505,7.4505,7.257,121.7708,120.094,1.1171,18.8552,18.8552,15.9107,15.9107,86.9121,3,3,15.9107,0.974,81.1448,19059.4741,2666.98,2.5253,2666.98,4.6211,9.4759,8.3302,15.7565,1275.2183,1026.657,#N/A N/A,#N/A N/A,684.154,0.3749,0.5541,129.405,249.93,76.327,193.745,37.132,43.46,41.006,60.4514,37.2537,0.0255,0.8944,187.2
2/28/2007,151.95,21281477,21409.7575,9.5502,0.4861,9.5502,1.7483,7.4505,7.4505,7.257,121.7708,120.094,1.1171,18.8552,18.8552,15.9107,15.9107,86.9121,3,3,15.9107,0.974,81.1448,17050.115,2666.98,2.5253,2666.98,3.6763,9.4759,10.471,19.8058,1275.2183,1026.657,#N/A N/A,#N/A N/A,684.154,0.3749,0.662,131.998,248.995,77.7215,197.19,62.547,54.31,49.179,57.2857,33.1266,0.0255,0.7115,192.95
3/30/2007,121.25,32451953,8231.0565,2.7778,0.148,7.4572,0.986,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,14.1259,15.9107,43.65,122.9739,6,6,43.65,1.1468,85.8741,13785.0235,5755.93,0.9649,5755.93,1.3916,41.755,36,61.0707,3187.1074,2883.417,#N/A N/A,#N/A N/A,689.055,0.7673,0.6966,133.969,242.0625,78.819,199.6883,64.133,55.207,53.595,54.9456,30.286,0.059,0.4246,145.05
4/30/2007,154.8,44665349,8231.0565,3.5464,0.178,#N/A N/A,1.2588,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,14.1259,15.9107,43.65,122.9739,6,6,43.65,1.1468,85.8741,16062.5654,5755.93,0.9649,5755.93,1.7767,41.755,28.1977,47.8348,3187.1074,2883.417,#N/A N/A,#N/A N/A,689.055,0.7673,0.5456,136.598,234.15,80.267,203.0633,73.938,67.513,58.791,56.9344,36.6766,0.059,0.5421,115.15
5/31/2007,156.7,22788051,8231.0565,3.5899,0.1718,#N/A N/A,1.2743,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,14.1259,15.9107,43.65,122.9739,6,6,43.65,1.1468,85.8741,16191.5469,5755.93,0.9649,5755.93,1.7985,41.755,27.8558,47.2548,3187.1074,2883.417,#N/A N/A,#N/A N/A,689.055,0.7673,0.539,139.312,226.1025,81.73,205.6633,31.143,54.186,58.831,57.0455,37.0287,0.059,0.5487,158.7
6/29/2007,171.4,22973863,8231.0565,3.9267,0.2101,#N/A N/A,1.3938,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,14.1259,15.9107,43.65,122.9739,6,6,43.65,1.1468,85.8741,17189.4564,5755.93,0.9649,5755.93,1.9672,41.755,25.4667,43.202,3187.1074,2883.417,#N/A N/A,#N/A N/A,689.055,0.7673,0.4928,142.277,222.2875,83.344,208.9217,25.747,48.891,52.906,57.9144,39.8166,0.059,0.6002,158
7/31/2007,144.3,17407046,8231.0565,3.3058,0.1661,#N/A N/A,1.1734,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,14.1259,15.9107,43.65,122.9739,6,6,43.65,1.1468,85.8741,15349.7728,5755.93,0.9649,5755.93,1.6562,41.755,30.2495,51.3155,3187.1074,2883.417,#N/A N/A,#N/A N/A,689.055,0.7673,0.5853,144.629,215.65,84.662,211.1333,34.524,32.777,46.827,55.7633,36.5996,0.059,0.5053,173.6
8/31/2007,133.65,7749339,8231.0565,3.0619,0.156,#N/A N/A,1.0868,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,14.1259,15.9107,43.65,122.9739,6,6,43.65,1.1468,85.8741,14626.7976,5755.93,0.9649,5755.93,1.5339,41.755,32.6599,55.4046,3187.1074,2883.417,#N/A N/A,#N/A N/A,689.055,0.7673,0.632,146.75,208.23,85.8815,212.9067,32.747,34.124,33.99,54.9338,35.3895,0.059,0.468,143.4
9/28/2007,145.25,17095266,8231.0565,3.3276,0.1607,#N/A N/A,1.1811,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,14.1259,15.9107,43.65,122.9739,6,6,43.65,1.1468,85.8741,15414.2636,5755.93,0.9649,5755.93,1.6671,41.755,30.0516,50.9799,3187.1074,2883.417,#N/A N/A,#N/A N/A,689.055,0.7673,0.5815,149.14,201.6875,87.163,214.7817,28.969,36.349,33.95,55.6767,37.8017,0.059,0.5086,134.85
10/31/2007,139.75,18896368,8231.0565,3.2016,0.1359,#N/A N/A,1.1364,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,14.1259,15.9107,43.65,122.9739,6,6,43.65,1.1468,85.8741,15040.8961,5755.93,0.9649,5755.93,1.6039,41.755,31.2343,52.9862,3187.1074,2883.417,#N/A N/A,#N/A N/A,689.055,0.7673,0.6044,151.33,194.8325,88.3555,215.1133,42.108,35.601,37.058,55.2301,37.0946,0.059,0.4894,146.45
