Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,95.45,58213630,159645.6286,30.8885,1.4535,34.4568,11.1579,35.0222,35.0222,15.7645,115.4751,20.4673,4.5241,#N/A N/A,#N/A N/A,2.77,3.09,8.5541,0.55,0.55,3.09,0.4501,#N/A N/A,199839.6831,4910.3,0.6766,4910.3,36.0599,3.0067,3.2375,2.4285,4132.807,5732.5,#N/A N/A,1.2128,942.7,3.2344,0.0956,47.4799,73.2958,29.1606,63.5867,26.196,27.172,23.143,76.7381,78.6567,2.6211,10.8176,91.12
2/28/2007,86.07,51091040,159645.6286,27.8537,1.4178,31.0715,10.0617,35.0222,35.0222,15.7645,115.4751,20.4673,4.5241,#N/A N/A,#N/A N/A,2.77,3.09,8.5541,0.55,0.55,3.09,0.4501,#N/A N/A,182002.8204,4910.3,0.6766,4910.3,32.5171,3.0067,3.5902,2.6931,4132.807,5732.5,#N/A N/A,1.2128,942.7,3.2344,0.1051,48.9226,74.8995,29.9964,65.2628,23.249,26.53,25.238,70.8671,67.221,2.6211,9.7548,95.84
3/30/2007,97.84,51325010,204319.6697,23.4443,1.2492,25.1554,6.828,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,16.5789,3.8896,4.1735,14.3298,0.675,0.675,4.1735,0.515,83.4211,201201.045,7296.4,-0.3641,7296.4,25.1971,3.61,4.2654,3.5263,4132.807,7842.7,#N/A N/A,1.0261,980.7,5.5507,0.0548,50.6109,76.9137,30.9501,67.206,29.076,27.022,27.806,73.5009,72.6071,3.7206,8.6231,85.21
4/30/2007,102.63,81774740,204319.6697,24.5898,1.234,26.3846,7.1616,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,16.5789,3.8896,4.1735,14.3298,0.675,0.675,4.1735,0.515,83.4211,196273.4012,7296.4,-0.3641,7296.4,26.4282,3.61,4.0667,3.3621,4132.807,7842.7,#N/A N/A,1.0261,980.7,5.5507,0.0562,52.4041,79.1428,31.9552,69.2639,33.066,29.251,27.988,74.4702,74.4431,3.7206,9.0444,96.88
5/31/2007,111.93,48453720,204319.6697,26.8194,1.2837,28.7769,7.811,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,16.5789,3.8896,4.1735,14.3298,0.675,0.675,4.1735,0.515,83.4211,215407.5522,7296.4,-0.3641,7296.4,28.8245,3.61,3.7286,3.0826,4132.807,7842.7,#N/A N/A,1.0261,980.7,5.5507,0.0512,54.3921,81.641,33.0514,71.4652,28.87,29.453,29.306,76.2215,77.5912,3.7206,9.8644,104.8
6/29/2007,102.55,59337560,204319.6697,24.5719,1.3144,26.3653,7.1564,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,16.5789,3.8896,4.1735,14.3298,0.675,0.675,4.1735,0.515,83.4211,197702.6994,7296.4,-0.3641,7296.4,26.4089,3.61,4.0697,3.3645,4132.807,7842.7,#N/A N/A,1.0261,980.7,5.5507,0.0558,56.1863,83.9915,34.0532,73.1718,21.23,28.957,29.291,71.133,68.4392,3.7206,9.0378,112.9
7/31/2007,93.16,65772740,204319.6697,22.3231,1.1219,23.9524,6.5015,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,16.5789,3.8896,4.1735,14.3298,0.675,0.675,4.1735,0.515,83.4211,180356.5471,7296.4,-0.3641,7296.4,23.9921,3.61,4.4797,3.7034,4132.807,7842.7,#N/A N/A,1.0261,980.7,5.5507,0.0611,57.7751,85.5786,34.947,74.7434,19.123,24.567,26.99,66.5355,60.7219,3.7206,8.2107,102.61
8/31/2007,92.94,55648640,204319.6697,22.2692,1.1345,23.8946,6.4858,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,16.5789,3.8896,4.1735,14.3298,0.675,0.675,4.1735,0.515,83.4211,181858.4729,7296.4,-0.3641,7296.4,23.9341,3.61,4.4905,3.7124,4132.807,7842.7,#N/A N/A,1.0261,980.7,5.5507,0.0606,59.3113,87.0692,35.8447,76.3707,25.65,22.472,25.058,66.429,60.5456,3.7206,8.1908,90
9/28/2007,96.48,43909100,204319.6697,23.1174,1.1163,24.8047,6.7328,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,16.5789,3.8896,4.1735,14.3298,0.675,0.675,4.1735,0.515,83.4211,188869.4859,7296.4,-0.3641,7296.4,24.8458,3.61,4.3257,3.5762,4132.807,7842.7,#N/A N/A,1.0261,980.7,5.5507,0.0583,60.8693,88.6711,36.7709,78.1465,26.29,24.515,24.173,67.2813,62.3952,3.7206,8.5028,92.3
10/31/2007,105.5,53032710,204319.6697,25.2775,1.0728,27.1225,7.3619,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,16.5789,3.8896,4.1735,14.3298,0.675,0.675,4.1735,0.515,83.4211,206723.3332,7296.4,-0.3641,7296.4,27.1673,3.61,3.9561,3.2706,4132.807,7842.7,#N/A N/A,1.0261,980.7,5.5507,0.0533,62.5117,90.3438,37.7906,80.1216,31.922,27.572,25.79,69.3323,66.6792,3.7206,9.2973,97.5
