Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,47.94,280855420,35359.8722,52.078,2.4507,52.078,20.6203,5.6212,5.6212,9.4482,113.8666,106.3365,1.2197,17.1103,17.1103,0.9205,0.9205,2.3248,0.15,0.15,0.9205,1.6808,82.8897,45473.7986,1581.57,1.5905,1581.57,25.6279,4.1321,1.9202,3.4074,1203.8261,809.348,#N/A N/A,2.7772,822.763,0.2048,0.0633,17.4665,34.3699,10.4143,26.1776,32.454,42.104,37.112,75.502,64.1321,0.0338,2.8151,43.25
2/28/2007,41.37,201688520,35359.8722,44.9432,2.2876,44.9432,17.7953,5.6212,5.6212,9.4482,113.8666,106.3365,1.2197,17.1103,17.1103,0.9205,0.9205,2.3248,0.15,0.15,0.9205,1.6808,82.8897,39643.2639,1581.57,1.5905,1581.57,22.1169,4.1321,2.225,3.9483,1203.8261,809.348,#N/A N/A,2.7772,822.763,0.2048,0.0733,18.2171,35.5024,10.8027,27.3147,50.737,48.495,42.615,69.8068,56.7141,0.0338,2.4294,48.05
3/30/2007,42.14,196292860,37411.3096,37.4297,1.9945,37.4297,11.0976,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,22.325,1.1258,1.1258,3.7972,0.25,0.25,1.1258,1.9985,77.675,39556.4801,2045.349,1.0488,2045.349,18.1931,5.1707,2.6717,4.7976,1278.876,998.605,#N/A N/A,2.8115,443.893,0.1747,0.0662,18.9969,36.4043,11.2021,28.4871,47.348,43.987,46.249,70.0806,57.3372,0.0444,1.7799,41.4
4/30/2007,49.62,202461500,37411.3096,44.0758,2.2118,44.0758,13.0681,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,22.325,1.1258,1.1258,3.7972,0.25,0.25,1.1258,1.9985,77.675,46199.3391,2045.349,1.0488,2045.349,21.4235,5.1707,2.2688,4.0742,1278.876,998.605,#N/A N/A,2.8115,443.893,0.1747,0.0562,19.9306,37.6613,11.6514,29.8605,43.52,47.701,44.972,72.5795,62.9224,0.0444,2.0959,42.03
5/31/2007,56.25,126585720,37411.3096,49.9603,2.3914,49.9603,14.8129,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,22.325,1.1258,1.1258,3.7972,0.25,0.25,1.1258,1.9985,77.675,52080.9215,2045.349,1.0488,2045.349,24.2837,5.1707,2.0016,3.5943,1278.876,998.605,#N/A N/A,2.8115,443.893,0.1747,0.0496,21.0056,39.2649,12.1747,31.4485,30.768,38.932,43.383,74.5282,67.0372,0.0444,2.3758,51.19
6/29/2007,67.08,194235840,37411.3096,59.582,3.1873,59.582,17.6656,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,22.325,1.1258,1.1258,3.7972,0.25,0.25,1.1258,1.9985,77.675,61697.8636,2045.349,1.0488,2045.349,28.9605,5.1707,1.6784,3.0139,1278.876,998.605,#N/A N/A,2.8115,443.893,0.1747,0.0416,22.2911,41.3917,12.8057,33.3768,55.42,42.659,45.489,77.2615,72.4256,0.0444,2.8333,56.95
7/31/2007,57.64,177006560,37411.3096,51.1949,2.5728,51.1949,15.1789,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,22.325,1.1258,1.1258,3.7972,0.25,0.25,1.1258,1.9985,77.675,53314.9441,2045.349,1.0488,2045.349,24.8839,5.1707,1.9533,3.5077,1278.876,998.605,#N/A N/A,2.8115,443.893,0.1747,0.0484,23.3784,42.6409,13.3429,35.004,38.481,44.213,42.661,70.445,62.7901,0.0444,2.4345,67.25
8/31/2007,62.08,144426120,37411.3096,55.1431,2.8091,55.1431,16.3495,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,22.325,1.1258,1.1258,3.7972,0.25,0.25,1.1258,1.9985,77.675,57261.153,2045.349,1.0488,2045.349,26.8029,5.1707,1.8135,3.2565,1278.876,998.605,#N/A N/A,2.8115,443.893,0.1747,0.045,24.5536,43.7131,13.932,36.7317,48.402,47.187,43.711,71.6625,65.1412,0.0444,2.6222,57.05
9/28/2007,73.45,114477480,37411.3096,65.2355,3.1502,65.2355,19.3418,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,22.325,1.1258,1.1258,3.7972,0.25,0.25,1.1258,1.9985,77.675,67348.179,2045.349,1.0488,2045.349,31.7084,5.1707,1.5329,2.7527,1278.876,998.605,#N/A N/A,2.8115,443.893,0.1747,0.038,25.9567,45.6018,14.628,38.7983,32.51,41.294,44.257,74.4462,70.3061,0.0444,3.1021,62.59
10/31/2007,86.19,73626760,37411.3096,76.5515,3.249,76.5515,22.6969,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,22.325,1.1258,1.1258,3.7972,0.25,0.25,1.1258,1.9985,77.675,78658.4962,2045.349,1.0488,2045.349,37.2087,5.1707,1.3063,2.3458,1278.876,998.605,#N/A N/A,2.8115,443.893,0.1747,0.0324,27.6042,47.9415,15.4466,41.2695,49.537,43.586,42.631,77.0599,74.8123,0.0444,3.6402,74.75
