Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,103.43,1488470,18376.3969,34.4099,1.6192,#N/A N/A,5.0324,5.259,5.259,6.1556,76.3082,51.8686,1.9082,41.588,41.588,3.0057,3.0057,20.5518,1.25,1.25,3.0057,1.1705,58.412,19305.3642,1090.613,1.6543,1090.613,16.0477,5.4043,2.9061,4.7734,610.1247,508.627,#N/A N/A,#N/A N/A,423.092,0.9171,0.1517,64.1003,93.3288,43.1534,82.0556,29.248,41.183,35.889,65.212,61.3452,0.3027,1.8096,105
2/28/2007,101.33,1905340,18376.3969,33.7112,1.7159,#N/A N/A,4.9302,5.259,5.259,6.1556,76.3082,51.8686,1.9082,41.588,41.588,3.0057,3.0057,20.5518,1.25,1.25,3.0057,1.1705,58.412,18950.1311,1090.613,1.6543,1090.613,15.7218,5.4043,2.9664,4.8723,610.1247,508.627,#N/A N/A,#N/A N/A,423.092,0.9171,0.1548,65.6249,95.2747,44.0704,83.6115,51.063,44.738,41.424,64.352,60.0114,0.3027,1.7729,103.83
3/30/2007,97.9,1729756,16566.904,17.716,0.944,#N/A N/A,4.0382,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,27.1442,5.5261,5.5261,24.2433,1.5,1.5,5.5261,1.2693,72.8558,19347.9152,1633.936,1.7024,1633.936,10.1392,8.4448,5.6446,7.8785,1169.231,935.132,#N/A N/A,#N/A N/A,423.092,0.748,0.1804,67.0952,96.7969,44.9551,84.9704,47.326,42.999,43.851,62.9513,57.8038,0.0624,1.3138,101.58
4/30/2007,97.25,697992,16566.904,17.5984,0.8831,#N/A N/A,4.0114,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,27.1442,5.5261,5.5261,24.2433,1.5,1.5,5.5261,1.2693,72.8558,19238.0027,1633.936,1.7024,1633.936,10.0719,8.4448,5.6823,7.9312,1169.231,935.132,#N/A N/A,#N/A N/A,423.092,0.748,0.1816,68.5715,98.1969,45.8403,86.2065,14.021,40.446,37.844,62.6835,57.3725,0.0624,1.3051,99
5/31/2007,130.57,5994904,16566.904,23.6289,1.131,#N/A N/A,5.386,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,27.1442,5.5261,5.5261,24.2433,1.5,1.5,5.5261,1.2693,72.8558,24877.1926,1633.936,1.7024,1633.936,13.5233,8.4448,4.2321,5.907,1169.231,935.132,#N/A N/A,#N/A N/A,423.092,0.748,0.1353,70.7905,101.0984,47.0636,88.465,72.107,48.851,48.825,69.5543,69.8106,0.0624,1.7523,100
6/29/2007,129.8,2074256,16566.904,23.4887,1.2565,#N/A N/A,5.3541,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,27.1442,5.5261,5.5261,24.2433,1.5,1.5,5.5261,1.2693,72.8558,24746.0744,1633.936,1.7024,1633.936,13.443,8.4448,4.2574,5.9423,1169.231,935.132,#N/A N/A,#N/A N/A,423.092,0.748,0.1361,72.969,103.8366,48.2752,90.3988,38.041,48.095,46.446,69.2476,69.3041,0.0624,1.7419,127.5
7/31/2007,112.15,1667124,16566.904,20.2947,1.0199,#N/A N/A,4.626,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,27.1442,5.5261,5.5261,24.2433,1.5,1.5,5.5261,1.2693,72.8558,21759.3732,1633.936,1.7024,1633.936,11.615,8.4448,4.9274,6.8775,1169.231,935.132,#N/A N/A,#N/A N/A,423.092,0.748,0.1575,74.7368,105.4272,49.3067,92.065,28.746,51.172,42.649,62.73,58.8356,0.0624,1.5051,130
8/31/2007,103.35,1296150,16566.904,18.7023,0.9527,#N/A N/A,4.263,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,27.1442,5.5261,5.5261,24.2433,1.5,1.5,5.5261,1.2693,72.8558,20270.253,1633.936,1.7024,1633.936,10.7037,8.4448,5.3469,7.4631,1169.231,935.132,#N/A N/A,#N/A N/A,423.092,0.748,0.1709,76.202,105.3378,50.2326,93.5946,33.52,33.129,45.035,59.8258,54.4217,0.0624,1.387,117.5
9/28/2007,94.8,3200592,16566.904,17.1551,0.8284,#N/A N/A,3.9104,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,27.1442,5.5261,5.5261,24.2433,1.5,1.5,5.5261,1.2693,72.8558,18823.4186,1633.936,1.7024,1633.936,9.8182,8.4448,5.8292,8.1362,1169.231,935.132,#N/A N/A,#N/A N/A,423.092,0.748,0.1863,77.4306,104.3088,51.0537,94.9102,31.768,31.554,33.817,57.1657,50.4607,0.0624,1.2722,101.6
10/31/2007,92.4,11886890,16566.904,16.7208,0.7097,#N/A N/A,3.8114,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,27.1442,5.5261,5.5261,24.2433,1.5,1.5,5.5261,1.2693,72.8558,18417.2954,1633.936,1.7024,1633.936,9.5696,8.4448,5.9806,8.3475,1169.231,935.132,#N/A N/A,#N/A N/A,423.092,0.748,0.1912,78.3621,103.2163,51.883,96.1713,26.598,30.807,32.543,56.437,49.3744,0.0624,1.24,95.45
