Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,209.14,2043824,32303.8939,#N/A N/A,#N/A N/A,437.4293,22.7208,-1.3491,-1.3491,-1.14,83.3779,56.1947,3.1475,#N/A N/A,45.873,-0.9256,-0.9256,9.2049,0.224,0.224,-0.9256,0.8451,#N/A N/A,51099.2295,1149.547,2.4118,1149.547,39.4857,3.0241,-0.4426,1.7642,-270.8325,-107.801,#N/A N/A,6.5853,3152.043,1.3107,0.0906,56.7024,116.4736,#N/A N/A,88.1628,38.595,41.516,42.017,77.5056,74.9688,0.5927,5.6803,179.03
2/28/2007,249.46,4544627,32303.8939,#N/A N/A,#N/A N/A,521.7505,27.1006,-1.3491,-1.3491,-1.14,83.3779,56.1947,3.1475,#N/A N/A,45.873,-0.9256,-0.9256,9.2049,0.224,0.224,-0.9256,0.8451,#N/A N/A,59848.987,1149.547,2.4118,1149.547,47.0972,3.0241,-0.371,1.4791,-270.8325,-107.801,#N/A N/A,6.5853,3152.043,1.3107,0.076,61.466,126.5973,#N/A N/A,96.1132,66.646,52.359,48.52,79.8148,78.2957,0.5927,6.7753,209.04
3/30/2007,265.29,6809580,57575.5741,82.2539,4.3829,82.2539,20.0772,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,8.2407,3.2252,3.2252,13.2133,0.2489,0.2489,3.2252,0.949,91.7593,64978.763,1742.174,2.8322,1742.174,33.0481,2.6811,1.2157,2.2025,926.6547,784.434,#N/A N/A,7.2668,2685.043,1.1066,0.1112,66.5775,137.3217,#N/A N/A,104.5395,48.181,50.893,48.446,80.6227,79.4504,0.4062,4.7747,248.91
4/30/2007,268.82,218186,57575.5741,83.3496,4.1827,83.3496,20.3446,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,8.2407,3.2252,3.2252,13.2133,0.2489,0.2489,3.2252,0.949,91.7593,65745.7171,1742.174,2.8322,1742.174,33.4883,2.6811,1.1998,2.1736,926.6547,784.434,#N/A N/A,7.2668,2685.043,1.1066,0.1098,71.7772,147.5424,#N/A N/A,113.0595,26.247,49.036,44.828,80.8002,79.71,0.4062,4.8383,262.8
5/31/2007,314.36,2237390,57575.5741,97.4701,4.6654,97.4701,23.7913,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,8.2407,3.2252,3.2252,13.2133,0.2489,0.2489,3.2252,0.949,91.7593,75629.7025,1742.174,2.8322,1742.174,39.1617,2.6811,1.026,1.8587,926.6547,784.434,#N/A N/A,7.2668,2685.043,1.1066,0.0939,77.923,160.0225,#N/A N/A,122.2489,40.755,37.86,45.39,82.8896,82.7363,0.4062,5.658,270.76
6/29/2007,301.57,3501362,57575.5741,93.504,5.0019,93.504,22.8232,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,8.2407,3.2252,3.2252,13.2133,0.2489,0.2489,3.2252,0.949,91.7593,72853.5448,1742.174,2.8322,1742.174,37.5682,2.6811,1.0695,1.9375,926.6547,784.434,#N/A N/A,7.2668,2685.043,1.1066,0.0979,83.7883,171.7414,#N/A N/A,130.8578,85.168,54.869,50.75,80.349,79.1647,0.4062,5.4277,317.55
7/31/2007,326.11,688559,57575.5741,101.1121,5.0814,101.1121,24.6803,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,8.2407,3.2252,3.2252,13.2133,0.2489,0.2489,3.2252,0.949,91.7593,78179.0145,1742.174,2.8322,1742.174,40.625,2.6811,0.989,1.7917,926.6547,784.434,#N/A N/A,7.2668,2685.043,1.1066,0.0905,90.1322,184.662,#N/A N/A,140.3175,51.145,60.243,51.333,81.4757,80.8706,0.4062,5.8694,305.45
8/31/2007,293.11,4510446,57575.5741,90.8805,4.6297,90.8805,22.1829,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,8.2407,3.2252,3.2252,13.2133,0.2489,0.2489,3.2252,0.949,91.7593,71017.176,1742.174,2.8322,1742.174,36.5141,2.6811,1.1003,1.9935,926.6547,784.434,#N/A N/A,7.2668,2685.043,1.1066,0.1007,95.8075,195.5544,#N/A N/A,148.8304,38.958,58.819,53.26,75.4568,72.2975,0.4062,5.2755,326.11
9/28/2007,379.96,639570,57575.5741,117.8098,5.6891,117.8098,28.756,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,8.2407,3.2252,3.2252,13.2133,0.2489,0.2489,3.2252,0.949,91.7593,89866.8108,1742.174,2.8322,1742.174,47.3338,2.6811,0.8488,1.5378,926.6547,784.434,#N/A N/A,7.2668,2685.043,1.1066,0.0777,103.2094,210.17,#N/A N/A,160.4225,70.6,55.648,59.596,79.5667,78.6983,0.4062,6.8387,293.71
10/31/2007,364.13,24141999,57575.5741,112.9023,4.7919,112.9023,27.5581,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,8.2407,3.2252,3.2252,13.2133,0.2489,0.2489,3.2252,0.949,91.7593,86431.7271,1742.174,2.8322,1742.174,45.3621,2.6811,0.8857,1.6046,926.6547,784.434,#N/A N/A,7.2668,2685.043,1.1066,0.081,110.3003,222.8808,#N/A N/A,171.2025,68.359,60.947,55.633,77.1317,75.2845,0.4062,6.5538,382.25
