Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,995.15,2149821,84970.4781,55.0415,2.5901,55.0415,11.8877,6.652,6.652,6.2448,138.7977,118.0983,1.457,9.6801,9.6801,18.08,18.08,83.7123,1.75,1.75,18.08,0.9388,90.3199,136284.1443,5756,2.1464,5756,21.5223,5.9113,1.8168,2.7851,2735.2089,2251,#N/A N/A,1.5764,1244.9,0.5968,0.1172,#N/A N/A,657.135,#N/A N/A,544.8767,38.083,35.457,32.507,#N/A N/A,69.8243,0.3414,3.6609,1123.9
2/28/2007,888.05,2914485,84970.4781,49.1178,2.5001,49.1178,10.6084,6.652,6.652,6.2448,138.7977,118.0983,1.457,9.6801,9.6801,18.08,18.08,83.7123,1.75,1.75,18.08,0.9388,90.3199,122951.7043,5756,2.1464,5756,19.206,5.9113,2.0359,3.1209,2735.2089,2251,#N/A N/A,1.5764,1244.9,0.5968,0.1313,#N/A N/A,683.8525,#N/A N/A,565.6133,55.759,46.253,39.112,66.2743,64.4185,0.3414,3.2669,1000
3/30/2007,772.1,3128132,96115.5472,12.2458,0.6525,12.2458,5.4358,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,6.3434,63.05,63.05,142.041,4,4,63.05,1.1963,93.6566,110953.7641,14586.7,1.0136,14586.7,6.5893,13.1466,8.166,12.7972,8232.5086,7849.1,#N/A N/A,1.7555,1244.9,0.3521,0.1642,#N/A N/A,703.3775,#N/A N/A,582.4633,51.803,47.712,45.06,62.3607,59.0853,0.1286,1.9344,888
4/30/2007,821.25,3539900,96115.5472,13.0254,0.6537,13.0254,5.7818,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,6.3434,63.05,63.05,142.041,4,4,63.05,1.1963,93.6566,117072.2461,14586.7,1.0136,14586.7,7.0087,13.1466,7.6773,12.0313,8232.5086,7849.1,#N/A N/A,1.7555,1244.9,0.3521,0.1544,#N/A N/A,722.54,#N/A N/A,599.7133,44.976,50.598,48.384,63.3107,60.5753,0.1286,2.0576,740.15
5/31/2007,831.5,1830370,96115.5472,13.1879,0.6312,13.1879,5.8539,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,6.3434,63.05,63.05,142.041,4,4,63.05,1.1963,93.6566,118348.2266,14586.7,1.0136,14586.7,7.0962,13.1466,7.5827,11.883,8232.5086,7849.1,#N/A N/A,1.7555,1244.9,0.3521,0.1525,#N/A N/A,740.815,#N/A N/A,617.59,28.383,41.278,45.895,63.5094,60.8951,0.1286,2.0832,828.95
6/29/2007,900.4,2034055,96115.5472,14.2807,0.7639,14.2807,6.339,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,6.3434,63.05,63.05,142.041,4,4,63.05,1.1963,93.6566,126925.3052,14586.7,1.0136,14586.7,7.6842,13.1466,7.0024,10.9737,8232.5086,7849.1,#N/A N/A,1.7555,1244.9,0.3521,0.1408,#N/A N/A,765.8425,#N/A N/A,636.26,35.278,34.007,44.043,64.8338,63.0642,0.1286,2.2559,839.65
7/31/2007,933.4,4038491,96115.5472,14.8041,0.744,14.8041,6.5713,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,6.3434,63.05,63.05,142.041,4,4,63.05,1.1963,93.6566,131033.3399,14586.7,1.0136,14586.7,7.9658,13.1466,6.7549,10.5857,8232.5086,7849.1,#N/A N/A,1.7555,1244.9,0.3521,0.1359,#N/A N/A,790.0025,#N/A N/A,655.915,45.036,37.583,39.585,65.455,64.0916,0.1286,2.3385,900
8/31/2007,920.35,2860563,96115.5472,14.5971,0.7436,14.5971,6.4795,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,6.3434,63.05,63.05,142.041,4,4,63.05,1.1963,93.6566,129408.7989,14586.7,1.0136,14586.7,7.8545,13.1466,6.8507,10.7358,8232.5086,7849.1,#N/A N/A,1.7555,1244.9,0.3521,0.1378,#N/A N/A,814.6475,#N/A N/A,674.14,26.65,37.554,34.051,64.9854,63.3413,0.1286,2.3058,920
9/28/2007,1047.3,2143682,96115.5472,16.6106,0.8021,16.6106,7.3732,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,6.3434,63.05,63.05,142.041,4,4,63.05,1.1963,93.6566,145212.3879,14586.7,1.0136,14586.7,8.9379,13.1466,6.0202,9.4345,8232.5086,7849.1,#N/A N/A,1.7555,1244.9,0.3521,0.1211,#N/A N/A,841.1025,#N/A N/A,697.225,31.965,34.66,35.395,67.3433,67.3462,0.1286,2.6239,925
10/31/2007,997.2,3053766,96115.5472,15.816,0.6713,15.816,7.0205,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,6.3434,63.05,63.05,142.041,4,4,63.05,1.1963,93.6566,138975.6393,14586.7,1.0136,14586.7,8.5103,13.1466,6.3227,9.9085,8232.5086,7849.1,#N/A N/A,1.7555,1244.9,0.3521,0.1272,#N/A N/A,862.89,#N/A N/A,719.3267,45.504,36.587,40.296,65.5414,64.358,0.1286,2.4984,1050
11/30/2007,984.25,2729743,96115.5472,15.6106,0.6675,15.6106,6.9293,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,6.3434,63.05,63.05,142.041,4,4,63.05,1.1963,93.6566,137363.5456,14586.7,1.0136,14586.7,8.3998,13.1466,6.4059,10.0388,8232.5086,7849.1,#N/A N/A,1.7555,1244.9,0.3521,0.1288,#N/A N/A,877.95,#N/A N/A,741.2833,35.597,37.915,37.046,65.0758,63.5728,0.1286,2.4659,1003
