Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,163.85,12145996,49094.8166,28.0326,1.3191,28.3775,4.8009,12.0247,12.0247,7.4742,107.7432,75.2133,1.8554,9.4678,9.4678,5.7739,5.845,34.1289,0.5,0.5,5.845,0.6216,90.5322,70846.3823,4580.4,2.0977,4580.4,12.269,7.8024,3.5673,5.6558,2735.5813,2007.3,#N/A N/A,#N/A N/A,375.5,0.7727,0.2248,71.1543,123.4277,36.0159,105.8598,43.733,43.769,40.391,72.2095,67.7134,0.3799,3.3665,152.45
2/28/2007,159.18,11958182,49094.8166,27.2327,1.3862,27.5678,4.6639,12.0247,12.0247,7.4742,107.7432,75.2133,1.8554,9.4678,9.4678,5.7739,5.845,34.1289,0.5,0.5,5.845,0.6216,90.5322,69099.1768,4580.4,2.0977,4580.4,11.9189,7.8024,3.6721,5.8219,2735.5813,2007.3,#N/A N/A,#N/A N/A,375.5,0.7727,0.2314,74.309,127.3263,37.6005,109.0517,26.435,34.632,39.324,70.7015,65.5542,0.3799,3.2704,166
3/30/2007,162.32,14502688,60879.0394,23.3122,1.2422,24.2964,4.0712,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,8.3845,6.4909,6.9631,39.8716,0.6,0.6,6.9631,0.566,91.3699,77355.0383,4992.7,3.3328,4992.7,12.1788,6.4366,4.2896,5.488,2816.5047,2608.4,#N/A N/A,#N/A N/A,375,0.6997,0.3498,77.527,130.9265,39.2155,112.3287,45.049,38.984,40.594,71.1219,66.3332,0.312,2.6309,158.88
4/30/2007,165.28,11390906,60879.0394,23.7359,1.1911,24.7379,4.1452,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,8.3845,6.4909,6.9631,39.8716,0.6,0.6,6.9631,0.566,91.3699,78457.553,4992.7,3.3328,4992.7,12.4002,6.4366,4.213,5.3901,2816.5047,2608.4,#N/A N/A,#N/A N/A,375,0.6997,0.3436,80.8073,134.45,40.8585,115.6655,33.162,35.453,36.971,71.5178,67.084,0.312,2.6787,160.03
5/31/2007,141.25,22211024,60879.0394,20.2856,0.971,21.1419,3.5426,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,8.3845,6.4909,6.9631,39.8716,0.6,0.6,6.9631,0.566,91.3699,69478.5986,4992.7,3.3328,4992.7,10.5976,6.4366,4.9296,6.3068,2816.5047,2608.4,#N/A N/A,#N/A N/A,375,0.6997,0.402,83.6107,136.2738,42.262,117.959,24.701,35.242,34.637,64.1129,56.1098,0.312,2.2893,167.85
6/29/2007,155.7,21412816,60879.0394,22.3608,1.1962,23.3048,3.905,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,8.3845,6.4909,6.9631,39.8716,0.6,0.6,6.9631,0.566,91.3699,74884.3452,4992.7,3.3328,4992.7,11.6818,6.4366,4.4721,5.7215,2816.5047,2608.4,#N/A N/A,#N/A N/A,375,0.6997,0.3647,86.7023,138.9462,43.8099,120.5588,45.658,37.244,38.825,66.2849,60.3148,0.312,2.5235,141.78
7/31/2007,154.05,23247134,60879.0394,22.1238,1.1118,23.0578,3.8637,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,8.3845,6.4909,6.9631,39.8716,0.6,0.6,6.9631,0.566,91.3699,74267.6283,4992.7,3.3328,4992.7,11.558,6.4366,4.52,5.7828,2816.5047,2608.4,#N/A N/A,#N/A N/A,375,0.6997,0.3686,89.7576,141.1637,45.3378,123.2823,34.114,37.357,37.96,65.8144,59.6125,0.312,2.4968,156
8/31/2007,165.98,13305806,60879.0394,23.8364,1.2143,24.8427,4.1627,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,8.3845,6.4909,6.9631,39.8716,0.6,0.6,6.9631,0.566,91.3699,78724.8092,4992.7,3.3328,4992.7,12.4527,6.4366,4.1953,5.3673,2816.5047,2608.4,#N/A N/A,#N/A N/A,375,0.6997,0.3421,93.0302,143.4663,46.9883,126.5653,33.208,39.422,37.353,67.5372,62.9687,0.312,2.6901,155.88
9/28/2007,198.65,28708276,60879.0394,28.529,1.3777,29.7334,4.9822,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,8.3845,6.4909,6.9631,39.8716,0.6,0.6,6.9631,0.566,91.3699,90937.7143,4992.7,3.3328,4992.7,14.9042,6.4366,3.5052,4.4845,2816.5047,2608.4,#N/A N/A,#N/A N/A,375,0.6997,0.2858,96.9502,146.5988,48.9658,130.7473,40.919,37.118,38.749,71.5949,70.261,0.312,3.2197,165
10/31/2007,179.28,29201708,60879.0394,25.7465,1.0927,26.8334,4.4963,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,8.3845,6.4909,6.9631,39.8716,0.6,0.6,6.9631,0.566,91.3699,92360.6786,4992.7,3.3328,4992.7,13.4506,6.4366,3.884,4.9691,2816.5047,2608.4,#N/A N/A,#N/A N/A,375,0.6997,0.2805,100.4787,148.7887,50.7486,134.3142,47.847,41.47,39.874,66.4964,62.4126,0.312,2.9056,185.15
