Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,6.28,90512680,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.8978,3.7284,1.6139,2.7621,38.981,49.45,50.186,70.5907,70.267,#N/A N/A,#N/A N/A,6.55
2/28/2007,4.43,72695960,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.9703,3.861,1.6577,2.8978,38.986,48.643,49.462,62.3051,57.7924,#N/A N/A,#N/A N/A,6.49
3/30/2007,3.41,146125840,2609.6224,10.7082,0.5706,#N/A N/A,1.4717,20.8901,20.8901,#N/A N/A,1.5725,-1.4598,5.4643,11.7844,11.7844,0.3182,0.3182,2.3153,0.0375,0.0375,0.3182,#N/A N/A,88.2156,2599.1701,517.612,-0.0505,517.612,5.0417,19.9145,9.3386,14.1026,241.9261,243.703,#N/A N/A,#N/A N/A,191.462,1.5658,0.0108,2.025,3.9213,1.6914,2.9984,56.916,45.863,50.311,58.3888,52.2719,0.343,2.237,4.62
4/30/2007,3.47,195636240,2609.6224,10.9007,0.547,#N/A N/A,1.4982,20.8901,20.8901,#N/A N/A,1.5725,-1.4598,5.4643,11.7844,11.7844,0.3182,0.3182,2.3153,0.0375,0.0375,0.3182,#N/A N/A,88.2156,2646.0783,517.612,-0.0505,517.612,5.1323,19.9145,9.1737,13.8536,241.9261,243.703,#N/A N/A,#N/A N/A,191.462,1.5658,0.0106,2.0813,3.9593,1.726,3.102,58.974,52.828,49.87,58.5505,52.5645,0.343,2.2772,3.3
5/31/2007,3.5,117089800,2609.6224,11.0107,0.527,#N/A N/A,1.5133,20.8901,20.8901,#N/A N/A,1.5725,-1.4598,5.4643,11.7844,11.7844,0.3182,0.3182,2.3153,0.0375,0.0375,0.3182,#N/A N/A,88.2156,2672.883,517.612,-0.0505,517.612,5.1841,19.9145,9.0821,13.7152,241.9261,243.703,#N/A N/A,#N/A N/A,191.462,1.5658,0.0105,2.1415,4.0118,1.7608,3.2051,36.006,51.518,48.508,58.6454,52.7428,0.343,2.3001,3.53
6/29/2007,4.43,313666440,2609.6224,13.9097,0.7441,#N/A N/A,1.9117,20.8901,20.8901,#N/A N/A,1.5725,-1.4598,5.4643,11.7844,11.7844,0.3182,0.3182,2.3153,0.0375,0.0375,0.3182,#N/A N/A,88.2156,3379.3777,517.612,-0.0505,517.612,6.549,19.9145,7.1892,10.8567,241.9261,243.703,#N/A N/A,#N/A N/A,191.462,1.5658,0.0083,2.2218,4.1559,1.8022,3.3358,71.522,56.676,56.321,61.077,57.2993,0.343,2.9057,3.5
7/31/2007,4.19,164348440,2609.6224,13.179,0.6623,#N/A N/A,1.8113,20.8901,20.8901,#N/A N/A,1.5725,-1.4598,5.4643,11.7844,11.7844,0.3182,0.3182,2.3153,0.0375,0.0375,0.3182,#N/A N/A,88.2156,3201.3181,517.612,-0.0505,517.612,6.205,19.9145,7.5878,11.4586,241.9261,243.703,#N/A N/A,#N/A N/A,191.462,1.5658,0.0088,2.2965,4.2387,1.8415,3.4427,43.767,52.439,53.939,60.1548,55.838,0.343,2.7531,4.29
8/31/2007,3.79,76417040,2609.6224,11.9063,0.6065,#N/A N/A,1.6364,20.8901,20.8901,#N/A N/A,1.5725,-1.4598,5.4643,11.7844,11.7844,0.3182,0.3182,2.3153,0.0375,0.0375,0.3182,#N/A N/A,88.2156,2891.1496,517.612,-0.0505,517.612,5.6057,19.9145,8.3989,12.6835,241.9261,243.703,#N/A N/A,#N/A N/A,191.462,1.5658,0.0097,2.3603,4.2975,1.8778,3.5336,56.274,58.899,52.65,58.5615,53.2887,0.343,2.4872,4.1
9/28/2007,4.75,174446760,2609.6224,14.9271,0.7208,#N/A N/A,2.0516,20.8901,20.8901,#N/A N/A,1.5725,-1.4598,5.4643,11.7844,11.7844,0.3182,0.3182,2.3153,0.0375,0.0375,0.3182,#N/A N/A,88.2156,3627.283,517.612,-0.0505,517.612,7.028,19.9145,6.6992,10.1168,241.9261,243.703,#N/A N/A,#N/A N/A,191.462,1.5658,0.0077,2.4438,4.4051,1.9242,3.6387,54.475,52.274,55.299,61.0918,58.1702,0.343,3.1183,3.98
10/31/2007,4.68,164729560,2609.6224,14.6992,0.6239,#N/A N/A,2.0203,20.8901,20.8901,#N/A N/A,1.5725,-1.4598,5.4643,11.7844,11.7844,0.3182,0.3182,2.3153,0.0375,0.0375,0.3182,#N/A N/A,88.2156,3571.7596,517.612,-0.0505,517.612,6.9207,19.9145,6.8031,10.2736,241.9261,243.703,#N/A N/A,#N/A N/A,191.462,1.5658,0.0079,2.5202,4.5246,1.9691,3.7505,47.19,51.641,50.052,60.8021,57.6806,0.343,3.0707,4.75
