Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,103.35,27015056,33468.9915,46.43,2.1849,36.478,12.6018,3.7685,3.7685,6.2506,68.6459,20.8757,1.1231,26.9551,21.1774,2.2259,2.2259,8.2012,0.6,0.6,2.2259,1.6586,73.0449,34766.6152,1197.62,0.4735,1197.62,28.5541,3.5184,2.1538,3.0901,872.2002,736.526,#N/A N/A,6.3688,330.626,0.6324,0.0545,38.0865,76.0378,21.8792,57.2588,38.677,47.529,49.473,73.668,67.4184,0.1434,1.7497,114.75
2/28/2007,94.95,22352443,33468.9915,42.6563,2.1712,33.5132,11.5776,3.7685,3.7685,6.2506,68.6459,20.8757,1.1231,26.9551,21.1774,2.2259,2.2259,8.2012,0.6,0.6,2.2259,1.6586,73.0449,31987.1837,1197.62,0.4735,1197.62,26.2333,3.5184,2.3443,3.3635,872.2002,736.526,#N/A N/A,6.3688,330.626,0.6324,0.0593,39.8911,79.6215,22.7556,59.9797,39.874,45.22,50.498,70.5021,63.2867,0.1434,1.6075,104
3/30/2007,84.75,24989656,28042.4817,13.9114,0.7413,21.2539,6.6179,7.9779,7.9779,13.8411,46.3512,-15.6835,1.2827,16.6885,25.4968,6.0921,6.0921,12.8063,1,1,6.0921,1.7349,83.3115,27381.5947,1294.78,-0.5138,1294.78,21.6581,4.7287,7.1884,4.0621,1105.571,2015.797,#N/A N/A,5.7851,330.683,0.6709,0.0701,41.4837,82.6303,23.5391,62.2968,63.192,47.593,49.989,66.891,58.591,0.2338,1.1098,95.1
4/30/2007,95,33042622,28042.4817,15.5939,0.7825,23.8244,7.4182,7.9779,7.9779,13.8411,46.3512,-15.6835,1.2827,16.6885,25.4968,6.0921,6.0921,12.8063,1,1,6.0921,1.7349,83.3115,30773.1629,1294.78,-0.5138,1294.78,24.2775,4.7287,6.4128,3.6238,1105.571,2015.797,#N/A N/A,5.7851,330.683,0.6709,0.0625,43.2698,85.3788,24.363,64.969,27.14,48.056,44.25,68.5648,61.6688,0.2338,1.2441,83.6
5/31/2007,95.25,43385051,28042.4817,15.6349,0.7484,23.8871,7.4378,7.9779,7.9779,13.8411,46.3512,-15.6835,1.2827,16.6885,25.4968,6.0921,6.0921,12.8063,1,1,6.0921,1.7349,83.3115,30855.8841,1294.78,-0.5138,1294.78,24.3414,4.7287,6.396,3.6143,1105.571,2015.797,#N/A N/A,5.7851,330.683,0.6709,0.0624,45.0716,87.7653,25.1945,67.5503,37.64,38.239,45.347,68.6049,61.7435,0.2338,1.2473,85.7
6/29/2007,111.25,60973785,28042.4817,18.2612,0.9769,27.8997,8.6872,7.9779,7.9779,13.8411,46.3512,-15.6835,1.2827,16.6885,25.4968,6.0921,6.0921,12.8063,1,1,6.0921,1.7349,83.3115,36150.0394,1294.78,-0.5138,1294.78,28.4303,4.7287,5.4761,3.0945,1105.571,2015.797,#N/A N/A,5.7851,330.683,0.6709,0.0534,47.1944,91.1408,26.2015,70.5973,66.315,46.156,51.335,71.0468,66.273,0.2338,1.4569,96.45
7/31/2007,141.65,99504350,28042.4817,23.2513,1.1685,35.5235,11.061,7.9779,7.9779,13.8411,46.3512,-15.6835,1.2827,16.6885,25.4968,6.0921,6.0921,12.8063,1,1,6.0921,1.7349,83.3115,46208.9344,1294.78,-0.5138,1294.78,36.1991,4.7287,4.3008,2.4304,1105.571,2015.797,#N/A N/A,5.7851,330.683,0.6709,0.0419,49.9115,95.4693,27.5165,74.6055,61.52,55.514,49.666,74.8862,72.8502,0.2338,1.855,111.25
8/31/2007,136.55,57491896,28042.4817,22.4141,1.1418,34.2445,10.6627,7.9779,7.9779,13.8411,46.3512,-15.6835,1.2827,16.6885,25.4968,6.0921,6.0921,12.8063,1,1,6.0921,1.7349,83.3115,44521.4224,1294.78,-0.5138,1294.78,34.8957,4.7287,4.4615,2.5211,1105.571,2015.797,#N/A N/A,5.7851,330.683,0.6709,0.0435,52.4824,99.291,28.7975,78.4073,35.538,56.106,50.095,73.2016,70.3709,0.2338,1.7882,139.95
9/28/2007,163.05,45985117,28042.4817,26.764,1.2924,40.8903,12.732,7.9779,7.9779,13.8411,46.3512,-15.6835,1.2827,16.6885,25.4968,6.0921,6.0921,12.8063,1,1,6.0921,1.7349,83.3115,53289.9168,1294.78,-0.5138,1294.78,41.6679,4.7287,3.7364,2.1114,1105.571,2015.797,#N/A N/A,5.7851,330.683,0.6709,0.0364,55.5755,104.0855,30.3358,83.0793,34.272,46.792,50.64,76.0925,75.1109,0.2338,2.1352,136.9
10/31/2007,217.85,68030790,28042.4817,35.7592,1.5177,54.6332,17.0112,7.9779,7.9779,13.8411,46.3512,-15.6835,1.2827,16.6885,25.4968,6.0921,6.0921,12.8063,1,1,6.0921,1.7349,83.3115,71422.4154,1294.78,-0.5138,1294.78,55.6722,4.7287,2.7965,1.5803,1105.571,2015.797,#N/A N/A,5.7851,330.683,0.6709,0.0273,59.7312,110.882,32.4184,89.532,67.502,49.967,51.249,80.5752,81.6489,0.2338,2.8528,164.7
11/30/2007,243.15,50944250,28042.4817,39.9121,1.7065,60.978,18.9868,7.9779,7.9779,13.8411,46.3512,-15.6835,1.2827,16.6885,25.4968,6.0921,6.0921,12.8063,1,1,6.0921,1.7349,83.3115,79793.8061,1294.78,-0.5138,1294.78,62.1377,4.7287,2.5055,1.4158,1105.571,2015.797,#N/A N/A,5.7851,330.683,0.6709,0.0244,64.4078,117.982,34.7444,96.8068,61.559,57.465,53.885,82.1717,83.7687,0.2338,3.1841,221.4
12/31/2007,246.45,43678484,28042.4817,40.4537,1.8329,61.8056,19.2445,7.9779,7.9779,13.8411,46.3512,-15.6835,1.2827,16.6885,25.4968,6.0921,6.0921,12.8063,1,1,6.0921,1.7349,83.3115,80885.7267,1294.78,-0.5138,1294.78,62.981,4.7287,2.472,1.3969,1105.571,2015.797,#N/A N/A,5.7851,330.683,0.6709,0.0241,69.1221,125.281,37.1021,104.246,54.095,61.233,54.741,82.3673,84.0279,0.2338,3.2273,248.9
1/31/2008,192.45,38969166,28042.4817,31.5899,1.6468,48.2633,15.0278,7.9779,7.9779,13.8411,46.3512,-15.6835,1.2827,16.6885,25.4968,6.0921,6.0921,12.8063,1,1,6.0921,1.7349,83.3115,63017.9361,1294.78,-0.5138,1294.78,49.1811,4.7287,3.1656,1.7888,1105.571,2015.797,#N/A N/A,5.7851,330.683,0.6709,0.0309,72.691,129.934,38.9385,109.8418,98.726,73.263,69.652,69.4687,65.5759,0.2338,2.5202,248
2/29/2008,203.35,34075652,28042.4817,33.3791,1.742,50.9968,15.8789,7.9779,7.9779,13.8411,46.3512,-15.6835,1.2827,16.6885,25.4968,6.0921,6.0921,12.8063,1,1,6.0921,1.7349,83.3115,66624.5827,1294.78,-0.5138,1294.78,51.9667,4.7287,2.9959,1.693,1105.571,2015.797,#N/A N/A,5.7851,330.683,0.6709,0.0292,76.4729,136.2262,40.9053,115.2858,46.957,67.12,66.839,70.4355,67.1443,0.2338,2.6629,194.05
3/31/2008,179.65,26009685,59443.4435,28.6226,1.7235,33.7571,10.2982,6.4841,6.4841,10.9513,28.9811,-62.3127,1.2783,21.5087,25.3671,6.2765,6.2765,17.4448,1.35,1.35,6.2765,1.6889,78.4913,55848.725,2541.291,-1.4167,2541.291,23.391,4.5503,3.4937,3.9943,1587.6949,2076.803,#N/A N/A,5.1207,330.695,0.7423,0.0282,79.8366,141.2302,42.6399,119.6902,75.493,75.319,70.422,65.7524,60.6717,0.3567,1.8559,199
4/30/2008,191.7,28838602,59443.4435,30.5424,1.6643,36.0213,10.9889,6.4841,6.4841,10.9513,28.9811,-62.3127,1.2783,21.5087,25.3671,6.2765,6.2765,17.4448,1.35,1.35,6.2765,1.6889,78.4913,59835.8894,2541.291,-1.4167,2541.291,24.96,4.5503,3.2741,3.7432,1587.6949,2076.803,#N/A N/A,5.1207,330.695,0.7423,0.0264,83.4279,146.1075,44.4971,124.6222,48.286,57.743,66.402,66.9096,62.6434,0.3567,1.9804,183.9
