Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,61.95,55651832,682586.3297,1.8892,3.3563,3.3563,5.9333,92.8343,67.7811,1.155,28.7779,5.475,32.7918,1.5625,1.7678,71.2221,815791.8498,97836.9,2.2435,5.9167,10.6401,8.8378,12.5296,50876.8016,51159.0,11680.1,0.3234,0.5193,0.1996,0.3798,11.3151,63.5,61.95,63.73,61.26,2665112.0,-27.395715896279526,3.5600000000000023,0.6789453153448098,85.89450520438399,0.2728200117393079,-1.291592887595158,10.247693823497722,0.1587503074503922,-0.3333161701662714,-776558.0434435974,0.5714285714285714,7.460289827564252e-09,0.15410481296116646,59.70800000000003,62.0809999999999,57.33500000000002
2/28/2007,51.66,24294376,682586.3297,1.5755,3.3563,3.3563,5.9333,92.8343,67.7811,1.155,28.7779,5.475,32.7918,1.5625,1.7678,71.2221,719664.4452,97836.9,2.2435,4.9341,10.6401,10.5976,15.0246,50876.8016,51159.0,11680.1,0.3234,0.6228,0.1996,0.3167,9.4356,51.85,51.66,53.74,50.0,1224328.0,-83.36673346693391,-6.8700000000000045,0.1465269616275918,-96.09526638160392,0.5332518753921307,1.7710251907566246,-9.089073742919028,-0.2415165514412529,-0.4324059841700421,61835.331659044496,0.2857142857142857,-1.5801680500595761e-06,-0.19108795272778556,56.70700000000003,58.82199999999993,54.592
3/30/2007,49.96,25008832,466796.0757,1.2782,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,623207.2785,127626.8,1.0925,3.7338,20.479,16.5098,20.464000000000002,69287.3137,78674.5,11923.7,0.46,0.6315,0.3452,0.2583,6.0574,50.28,49.96,51.0,49.75,1409608.0,-91.14139693356043,0.030000000000001137,0.540905256306494,-84.05695401617281,0.2899580504779348,0.9177669385202876,-8.713120405782664,-0.15098592574506944,-3.39547855595178,-266849.05353452626,0.42857142857142855,2.0161010417310016e-08,-0.05130760773994741,51.17400000000003,53.04299999999995,49.30500000000002
4/30/2007,55.13,34090280,466796.0757,1.4106,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,671562.9839,127626.8,1.0925,4.1206,20.479,14.9601,18.5431,69287.3137,78674.5,11923.7,0.46,0.5722,0.3452,0.2851,6.6843,54.0,55.13,55.5,52.5,1711832.0,-3.5679845708775075,4.280000000000001,0.4736477050160146,140.59879326253755,0.21109668030979387,-0.6239181364907296,2.9239313803955063,0.11168849483126968,-3.2074786607785963,498781.932947143,0.7142857142857143,-6.793347523174015e-07,0.07380884431592524,50.755166666666696,52.708166666666635,48.80216666666668
5/31/2007,58.28,55845640,466796.0757,1.4909999999999999,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,700938.4909,127626.8,1.0925,4.3555,20.479,14.152999999999999,17.5427,69287.3137,78674.5,11923.7,0.46,0.5414,0.3452,0.3014,7.0662,59.25,58.28,60.0,58.03,2861224.0,-78.17204301075267,1.2700000000000031,0.5147949760924883,-26.527660421324054,0.2780997072776317,-1.4729326070425015,19.46385963566057,0.21566755699243936,-1.5956337575718418,-556499.631062102,0.5,6.338186404062194e-08,0.19803516420476935,59.7526666666667,62.23016666666659,57.27516666666668
6/29/2007,55.45,42937312,466796.0757,1.4188,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,685348.4251,127626.8,1.0925,4.1444,20.479,14.8741,18.4365,69287.3137,78674.5,11923.7,0.46,0.5573,0.3452,0.2867,6.7231,55.63,55.45,55.63,54.63,483456.0,-64.44444444444441,0.5100000000000051,0.8260396131976971,12.083935322970278,0.4445625407077268,0.4661939029533855,-7.258482194300357,-0.08361803166724725,-1.4792472770379184,-87213.80814629328,0.5,4.632729008030038e-07,-0.09128008937351904,55.012,57.22699999999996,52.79700000000002
7/31/2007,50.37,51315816,466796.0757,1.2888,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,636878.4111,127626.8,1.0925,3.7646,20.479,16.3746,20.2964,69287.3137,78674.5,11923.7,0.46,0.6135,0.3452,0.2605,6.1072,50.0,50.37,50.49,49.63,1985432.0,-82.53521126760569,-2.9600000000000013,0.3107124283341894,-126.26683376122202,0.3270911053813869,1.2753569710752046,-5.997288763812285,-0.3080543767425828,-5.491154179748196,454409.6875206267,0.42857142857142855,2.587717788755127e-07,-0.10949329672960426,53.50033333333334,55.06133333333331,51.93933333333334
8/31/2007,48.54,55968072,466796.0757,1.2419,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,619410.1281,127626.8,1.0925,3.6278,20.479,16.9924,21.0621,69287.3137,78674.5,11923.7,0.46,0.6367,0.3452,0.251,5.8853,48.74,48.54,49.37,48.13,1258400.0,-54.20000000000002,-1.6899999999999975,0.5542163601688131,-10.586029085387224,0.1429078643332924,1.102658287985193,-10.543437034346068,-0.2818932447613459,-0.2666914558534709,182310.89061492655,0.5,-8.610535131110046e-08,-0.1098590925318021,48.91683333333333,50.625833333333304,47.20783333333334
9/28/2007,58.81,79695232,466796.0757,1.5046,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,717363.5593,127626.8,1.0925,4.3953,20.479,14.0252,17.3843,69287.3137,78674.5,11923.7,0.46,0.5255,0.3452,0.3041,7.1305,52.63,58.81,59.36,52.63,4839144.0,-14.206349206349197,8.32,0.6376977094122458,131.89192953017746,0.36716141242321976,-1.7809915340597298,7.312459283913553,0.327245247703627,-2.1376358742698733,517020.6859461421,0.5,-8.079085935584543e-08,0.16173701792566475,51.14366666666668,53.45316666666663,48.83416666666667
10/31/2007,60.22,100689272,466796.0757,1.5408,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,730837.3858,127626.8,1.0925,4.5008,20.479,13.6962,16.9765,69287.3137,78674.5,11923.7,0.46,0.5132,0.3452,0.3114,7.3014,60.78,60.22,61.88,58.5,5243040.0,-15.6456173421301,1.1499999999999986,0.7406295645622802,70.91581581061617,0.2332726041065933,-0.773227764043213,6.461337999841389,0.08365479410301037,-1.0579374716767849,671096.6715039355,0.5714285714285714,-2.3311730111129932e-07,-0.01009089431991355,57.40283333333336,60.58833333333328,54.21733333333333
