Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,151.9,211655232,1869898.54,3.4339999999999997,21.7832,21.7832,17.906,3.8861,-4.0667,2.1211,41.6733,11.9978,44.2346,5.0,0.8220000000000001,58.3267,1933217.96,288069.29,-0.0812,6.7671,15.5398,7.8985,11.3016,142319.2206,153976.23,14259.3,0.6249,0.0115,0.3175,2.7578,12.6607,154.17,151.9,154.83,149.35,12199260.0,-36.43092105263156,-0.8400000000000034,0.5118443639488094,34.778989045444554,0.12777905465673514,-2.034565129807163,6.667075008753061,0.14717571430946202,-0.8315200665180974,244416.42111635703,0.5714285714285714,-2.391331921573036e-07,0.07961783480519981,150.62049999999994,155.36049999999992,145.8805
2/28/2007,131.34,154883778,1869898.54,2.9692,21.7832,21.7832,17.906,3.8861,-4.0667,2.1211,41.6733,11.9978,44.2346,5.0,0.8220000000000001,58.3267,1669388.15,288069.29,-0.0812,5.8512,15.5398,9.1348,13.0706,142319.2206,153976.23,14259.3,0.6249,0.0133,0.3175,2.3846,10.947,133.54,131.34,136.0,121.08,20112498.0,-67.85714285714283,-17.310000000000002,0.06594454939497944,-186.99479822947308,0.5233593437246786,3.244984716326144,-4.64793462462755,-0.2413160434206744,-3.5842717425843085,2868334.802265061,0.21428571428571427,-1.31372001535481e-06,-0.1088202418446643,146.62983333333332,152.01033333333322,141.24933333333334
3/30/2007,146.8,176417502,1883918.924,2.8239,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,1757590.83,334256.42,-0.4028,5.6361,19.0179,9.2654,13.5682,165505.4019,177695.97,21388.87,1.0666,0.0085,0.8082,2.2902,10.6018,145.33,146.8,147.5,145.18,8582580.0,-3.2558139534883197,16.230000000000018,0.6892334163835193,134.0695529314085,0.3179645806683672,-1.18678904040803,-3.839572401195172,0.06813276228977819,29.399214467472333,1445835.850081703,0.7857142857142857,6.600965084494496e-07,0.04792582559065443,134.45766666666668,139.8821666666666,129.0331666666667
4/30/2007,152.31,154761762,1883918.924,2.9299,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,1828280.535,334256.42,-0.4028,5.8476,19.0179,8.9303,13.0775,165505.4019,177695.97,21388.87,1.0666,0.0082,0.8082,2.3761,10.9997,151.0,152.31,154.58,150.39,7735146.0,-52.721229746572504,6.5800000000000125,0.5544601424950131,37.16896523553455,0.25092513501074704,-4.4083399504992835,14.79732233374783,0.2388061289955237,-2.176168230355546,-1811644.8808386764,0.7142857142857143,-4.160936481063508e-07,0.17620823202314834,148.73566666666662,154.03616666666662,143.43516666666667
5/31/2007,153.72,154940922,1883918.924,2.9569,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,1846354.0,334256.42,-0.4028,5.9017,19.0179,8.8485,12.9577,165505.4019,177695.97,21388.87,1.0666,0.0081,0.8082,2.3981,11.1016,153.31,153.72,154.67,151.17,10037874.0,-33.55325164938735,6.539999999999992,0.4810340261979032,44.09262902666098,0.170766524007467,-0.9270810334501504,2.461612437621412,0.06375902394449329,3.4068023730375847,1476528.7882203143,0.5714285714285714,2.385796117532504e-07,0.0016251217125877824,151.82083333333327,156.60483333333318,147.0368333333334
6/29/2007,150.92,143240862,1883918.924,2.9032,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,1810528.785,334256.42,-0.4028,5.7945,19.0179,9.0122,13.1973,165505.4019,177695.97,21388.87,1.0666,0.0083,0.8082,2.3545,10.8993,150.83,150.92,153.33,149.73,7754988.0,-44.47779111644666,8.769999999999982,0.4567904005811823,38.480143593800115,0.18577039702999992,-0.9357812094529264,0.3991350814458508,0.06797259175404291,-2.7922295449686456,-2286231.040139744,0.6428571428571429,3.7624848411174906e-07,0.020926509217499275,148.90066666666667,154.6566666666666,143.1446666666666
7/31/2007,152.42,149220186,1883918.924,2.9321,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,1829778.639,334256.42,-0.4028,5.8521,19.0179,8.9235,13.0675,165505.4019,177695.97,21388.87,1.0666,0.0082,0.8082,2.3779,11.0077,151.67,152.42,153.17,149.58,3164694.0,-55.92452830188698,2.2800000000000007,0.5277311851413905,31.442960464871984,0.22156833254669095,-0.8726801362705032,2.3757909962471992,0.06250134848177401,-1.3710754719027511,182506.80729770567,0.6428571428571429,-3.161718406392625e-07,0.03380503212760591,150.42999999999995,154.59149999999985,146.2685
8/31/2007,143.28,152406666,1883918.924,2.7562,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,1712461.479,334256.42,-0.4028,5.5011,19.0179,9.4928,13.9012,165505.4019,177695.97,21388.87,1.0666,0.0087,0.8082,2.2353,10.3476,140.83,143.28,144.83,139.09,6101208.0,-9.209744503862213,2.9000000000000057,0.5149342605842285,39.87926377844923,0.2857979717153346,2.3837696375262567,-9.550404627978644,-0.12125177508223167,-2.0465086517517377,1618700.1984275687,0.5714285714285714,-3.4382834371112344e-07,-0.12798198375242756,139.32333333333332,145.10733333333326,133.53933333333336
9/28/2007,159.68,175300386,1883918.924,3.0717,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,1922927.006,334256.42,-0.4028,6.1308,19.0179,8.5179,12.4735,165505.4019,177695.97,21388.87,1.0666,0.0078,0.8082,2.4911,11.532,162.0,159.68,166.66,157.83,9008520.0,-23.557205534930787,21.0,0.8443548123953121,127.4094048272106,0.4895252474774599,-4.818134509263615,8.377174882685258,0.2993844322047161,0.6617061953289756,-573452.3697552878,0.7142857142857143,9.47516430233074e-07,0.17540912986757376,145.8551666666666,150.50766666666652,141.2026666666667
10/31/2007,207.73,333883392,1883918.924,3.9959,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,2539457.162,334256.42,-0.4028,7.9753,19.0179,6.5479,9.5887,165505.4019,177695.97,21388.87,1.0666,0.006,0.8082,3.2406,15.0021,203.33,207.73,210.82,200.83,16359024.0,-8.131176999101541,30.109999999999985,0.6640523873268189,107.6714751541896,0.2861130773571829,-11.765359838328125,31.78267550257378,0.34695435543127684,-0.13571093028136166,-709153.9459030912,0.7142857142857143,8.705558202513935e-07,0.3892137050657578,183.10166666666663,196.22216666666648,169.9811666666666
11/30/2007,194.59,254106510,1883918.924,3.7432,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,2370913.966,334256.42,-0.4028,7.471,19.0179,6.9899,10.2358,165505.4019,177695.97,21388.87,1.0666,0.0064,0.8082,3.0357,14.0532,190.74,194.59,196.22,186.67,7639662.0,-71.74454828660437,-2.299999999999983,0.4131720145726203,-77.3665797153456,0.18505379824035997,-0.12672574320154695,5.197988700812743,0.006178470195048139,-2.8874640019095437,1955537.8187995332,0.42857142857142855,-8.505250613924797e-07,-0.049938343880424764,203.02849999999992,213.67399999999984,192.38299999999995
